source,run,precision,recall,mAP50,mAP50_95,mAP50_small
runs_newluggage_r10_runs_newluggage_r10,r10_nwd_fixedc,81.94,74.37,82.96,57.75,79.9
runs_newluggage_r10_runs_newluggage_r10,r10_dfl_entropy,79.86,75.47,82.61,57.71,79.18
runs_loss_ablation_runs_loss_ablation,run5_class_balance_seed42,80.57,75.3,82.65,57.5,79.08
runs_swa_v1_ablation_luggage,swa1_09_03,83.15,75.21,82.79,57.48,79.6
runs_swa_v2_boost,swa2_b150,80.84,76.02,83.02,57.47,79.33
runs_newluggage_r10_runs_newluggage_r10,r9b_nwd_adapt,82.54,73.98,82.75,57.45,79.14
runs_newluggage_r10_runs_newluggage_r9b,r9b_nwd_adapt,82.54,73.98,82.75,57.45,79.14
runs_newluggage_r10_runs_newluggage_r10,r10_anchor,80.92,75.18,82.7,57.43,79.49
runs_newluggage_r10_runs_newluggage_r10,r9b_anchor,80.92,75.18,82.7,57.43,79.49
runs_newluggage_r10_runs_newluggage_r9b,r9b_anchor,80.92,75.18,82.7,57.43,79.49
runs_newluggage_r9_runs_newluggage_r9,r9_anchor2,80.92,75.18,82.7,57.43,79.49
runs_swa_v1_ablation2,swa1b_09_02,80.29,76.07,82.8,57.31,79.56
runs_loss_ablation_runs_loss_ablation,run2_siou_seed42,82.47,74.06,82.62,57.29,79.29
runs_swa_v2_boost,swa2_b125,82.17,74.29,82.37,57.27,79.2
runs_loss_ablation_runs_loss_ablation,run1_eiou_seed42,79.87,75.41,82.36,57.27,78.85
runs_swa_v2_boost,swa2_b200,81.9,75.5,83.13,57.26,79.88
runs_newluggage_r10_runs_newluggage_r10,r9b_dfl_gated,80.81,74.72,82.52,57.25,79.44
runs_newluggage_r10_runs_newluggage_r9b,r9b_dfl_gated,80.81,74.72,82.52,57.25,79.44
runs_loss4_ablation_runs_loss4_ablation,run1_class_balance_seed42,80.24,75.17,82.34,57.25,78.57
runs_newluggage_r10_runs_newluggage_r10,r10_l1_smooth,81.26,75.23,82.45,57.23,79.16
runs_swa_v1_boost,swa1c_b200_px48,82.27,75.13,82.79,57.22,79.46
runs_newluggage_r10_runs_newluggage_r10,r10_tightness,81.06,75.22,82.58,57.22,78.89
runs_loss_ablation_runs_loss_ablation,run4_metric_widthboost_seed42,81.54,74.07,82.2,57.19,78.93
runs_newluggage_r9_runs_newluggage_r9,r9_nwd,81.43,74.69,82.46,57.19,78.67
runs_swa_v1_ablation_luggage,swa1_05_03,81.51,75.59,82.26,57.18,78.98
runs_swa_v1_ablation2,swa1b_09_01,80.67,76.3,82.91,57.15,79.18
runs_swa_v1_boost,swa1c_b120_px36,82.0,74.83,82.7,57.13,79.28
runs_swa_v1_ablation_luggage,swa1_07_05,81.24,76.04,82.88,57.12,79.1
runs_swa_v1_boost,swa1c_b300_px48,82.05,75.31,82.99,57.12,79.7
runs_newluggage_r10_runs_newluggage_r10,r9b_iarw_lo,79.6,75.91,82.31,57.1,78.94
runs_newluggage_r10_runs_newluggage_r9b,r9b_iarw_lo,79.6,75.91,82.31,57.1,78.94
runs_newluggage_r9_runs_newluggage_r9,r9_dflboost,80.43,75.85,82.36,57.1,79.03
runs_swa_v1_boost,swa1c_b200_px36,80.23,76.19,82.8,57.1,79.26
runs_swa_v1_ablation_luggage,swa1_07_06,81.49,75.84,82.75,57.07,79.42
runs_swa_v1_boost,swa1c_b120_px48,82.15,75.21,82.72,57.06,79.39
runs_swa_v1_ablation_luggage,swa1_07_04,82.14,74.91,82.79,57.05,79.55
runs_newluggage_r9_runs_newluggage_r9,r9_area_fixed,81.05,75.33,82.85,57.03,79.53
runs_swa_v1_ablation_luggage,swa1_09_05,81.0,75.79,82.34,57.0,78.98
runs_swa_v1_ablation2,swa1b_095_02,81.06,75.83,82.43,56.99,79.09
runs_loss4_ablation_runs_loss4_ablation,run3_size_boost_seed42,81.18,74.58,82.25,56.99,79.04
runs_swa_v1_boost,swa1c_b150_px48,81.8,75.38,82.84,56.95,79.38
runs_newluggage_r10_runs_newluggage_r10,r9b_iarw,80.84,74.62,82.41,56.93,79.36
runs_newluggage_r10_runs_newluggage_r9b,r9b_iarw,80.84,74.62,82.41,56.93,79.36
runs_newluggage_r10_runs_newluggage_r10,r9b_iarw_nwd,80.51,75.4,82.64,56.93,79.28
runs_newluggage_r10_runs_newluggage_r9b,r9b_iarw_nwd,80.51,75.4,82.64,56.93,79.28
runs_loss4_ablation_runs_loss4_ablation,run2_nwd_blend_seed42,81.06,74.15,82.11,56.91,78.56
runs_loss4_ablation_runs_loss4_ablation,run5_inner_iou_seed42,80.75,75.13,81.98,56.9,78.79
runs_newluggage_r10_runs_newluggage_r10,r10_alpha_iou,80.69,72.94,81.58,56.9,77.94
runs_loss_ablation_runs_loss_ablation,run3_metric_nwd_seed42,81.28,75.02,82.32,56.87,78.86
runs_swa_v1_boost,swa1c_b150_px36,81.25,75.39,82.16,56.87,78.87
runs_loss4_ablation_runs_loss4_ablation,run4_ar_penalty_seed42,81.56,74.48,82.25,56.84,78.94
runs_luggage_section_sweep_runs_luggage_section_sweep,v6_default2,82.0,72.72,82.54,56.84,78.25
runs_swa_v2_boost,swa2_b300,80.79,75.14,82.63,56.83,79.64
runs_luggage_round2_runs_luggage_round2,r2_tal_strict,81.07,73.97,82.24,56.78,77.93
runs_swa_v1_ablation2,swa1b_08_03,82.3,74.4,82.33,56.74,78.93
runs_luggage_section_sweep_runs_luggage_section_sweep,v6_clip_loose,80.8,73.69,82.45,56.72,78.07
runs_luggage_round8_runs_luggage_round8,r8_area_sqrt,82.83,73.51,83.24,56.71,79.3
runs_loss4_ablation_runs_loss4_ablation,run6_full_seed42,80.6,75.41,82.01,56.71,79.29
runs_swa_v1_boost,swa1c_b300_px36,80.51,75.72,82.27,56.7,79.38
runs_luggage_section_sweep_runs_luggage_section_sweep,v6_swa_moderate,81.06,75.19,83.31,56.68,79.21
per_class_seed42,run1_class_balance_seed42,81.63,73.74,82.19,56.65,
runs_luggage_section_sweep_runs_luggage_section_sweep,v6_clip_medium,81.19,73.61,82.63,56.6,78.38
runs_luggage_round2_runs_luggage_round2,r2_swa_const06,81.78,75.06,83.19,56.6,79.18
runs_swa_v1_ablation2,swa1b_095_03,82.41,74.48,82.34,56.58,79.33
per_class_seed42,run3_metric_nwd_seed42,80.29,74.53,82.12,56.54,
runs_luggage_round2_runs_luggage_round2,r2_swahigh_clip,81.92,75.2,83.19,56.53,79.29
runs_luggage_round8_runs_luggage_round8,r8_artal,82.35,75.2,83.49,56.52,79.67
runs_luggage_round2_runs_luggage_round2,r2_swa_boost25,81.86,73.96,82.86,56.52,78.97
per_class_seed42,run1_eiou_seed42,80.09,75.15,82.47,56.5,
per_class_seed42,run5_class_balance_seed42,80.51,73.83,82.03,56.49,
runs_luggage_round3_satal_runs_luggage_round3_satal,r3_swa_anchor,81.72,74.96,82.96,56.44,79.4
runs_luggage_round4_runs_luggage_round4,r4_wiou,83.37,74.14,83.19,56.43,79.59
runs_luggage_round4_runs_luggage_round4,r4_mpdiou,81.99,74.65,82.86,56.43,79.04
runs_luggage_round2_runs_luggage_round2,r2_tal_beta7,80.58,73.28,82.14,56.43,77.92
runs_luggage_round5_runs_luggage_round5,r5_wiou_default,80.78,73.84,82.43,56.41,78.36
runs_luggage_section_sweep_runs_luggage_section_sweep,v6_clip_tight,81.22,73.5,82.5,56.4,78.32
runs_luggage_round2_runs_luggage_round2,r2_swa_px32,82.06,73.99,82.84,56.4,79.08
runs_luggage_round4_runs_luggage_round4,r4_baseline_clean,82.64,73.45,82.8,56.39,79.25
runs_luggage_round8_runs_luggage_round8,r8_center_crowd,81.36,75.57,83.17,56.39,78.86
runs_swa_v1_ablation_luggage,swa1_09_06,81.14,75.71,82.24,56.38,78.93
runs_luggage_section_sweep_runs_luggage_section_sweep,v6_swa_proven,82.12,74.48,82.77,56.38,78.81
runs_luggage_round4_runs_luggage_round4,r4_focaler,81.46,75.32,83.17,56.37,79.19
runs_luggage_round8_runs_luggage_round8,r8_bag_penalty,80.85,75.15,82.85,56.35,78.47
runs_luggage_round8_runs_luggage_round8,r8_boost_bag,80.96,74.75,83.07,56.35,78.97
per_class_seed42,run3_size_boost_seed42,80.32,74.33,81.78,56.31,
per_class_seed42,run4_ar_penalty_seed42,81.31,73.48,81.93,56.31,
per_class_seed42,run5_inner_iou_seed42,81.87,73.88,82.03,56.3,
runs_luggage_section_sweep_runs_luggage_section_sweep,v6_swa_high,82.71,74.51,83.43,56.3,79.57
runs_luggage_round4_runs_luggage_round4,r4_swa_smooth,81.25,75.32,82.87,56.3,78.65
per_class_seed42,run4_metric_widthboost_seed42,79.84,75.35,82.26,56.27,
runs_luggage_round8_runs_luggage_round8,r8_anchor,82.5,74.07,82.61,56.25,78.76
runs_luggage_round7_runs_luggage_round7,r7_wiou_rep,82.88,73.97,82.83,56.21,79.02
per_class_seed42,run2_siou_seed42,81.25,73.85,81.92,56.18,
per_class_seed42,run2_nwd_blend_seed42,81.8,73.59,81.74,56.17,
runs_luggage_round8_runs_luggage_round8,r8_cls_swa,81.27,74.74,82.68,56.13,78.98
per_class_seed42,run6_full_seed42,80.91,73.96,81.82,55.99,
runs_luggage_section_sweep_runs_luggage_section_sweep,v6_tal_beta,81.18,73.54,82.37,55.86,78.36
runs_luggage_round4_runs_luggage_round4,r4_nwd_small,82.13,74.4,82.74,55.71,79.01
runs_luggage_section_sweep_runs_luggage_section_sweep,v6_tal_best,80.66,74.08,82.8,55.52,78.61
runs_luggage_round3_satal_runs_luggage_round3_satal,r3_satal_r3,79.97,74.13,82.69,54.57,78.21
runs_luggage_round3_satal_runs_luggage_round3_satal,r3_satal_r3_swa,81.85,74.13,83.74,54.19,79.54
runs_luggage_round4_runs_luggage_round4,r4_satal_mpdiou,80.34,75.8,83.72,54.01,79.63
runs_luggage_round4_runs_luggage_round4,r4_satal_wiou,81.29,74.39,83.63,53.78,79.68
runs_luggage_round3_satal_runs_luggage_round3_satal,r3_satal_r4,81.27,73.04,82.46,53.67,78.42
runs_luggage_round7_runs_luggage_round7,r7_stack_bag,78.73,70.14,78.51,51.99,74.19
runs_luggage_round7_runs_luggage_round7,r7_stack,77.84,69.66,78.34,51.95,74.12
