epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,145.026,1.37197,1.94382,1.40677,0.58419,0.56712,0.59573,0.34256,1.13371,1.43454,1.19923,0.00332341,0.00332341,0.00332341
2,289.516,1.29495,1.58709,1.304,0.52415,0.50578,0.50902,0.26065,1.32941,1.75,1.30994,0.0065626,0.0065626,0.0065626
3,435.24,1.40646,1.7766,1.38596,0.36354,0.37992,0.32065,0.1547,1.49178,4.1819,1.48053,0.0097075,0.0097075,0.0097075
4,580.567,1.44173,1.83543,1.42841,0.55255,0.46345,0.48009,0.25439,1.33801,2.12627,1.35696,0.00957571,0.00957571,0.00957571
5,725.643,1.36819,1.694,1.37968,0.6086,0.52692,0.57652,0.33187,1.20301,1.4179,1.27156,0.00943429,0.00943429,0.00943429
6,872.006,1.32173,1.60021,1.35141,0.66244,0.56164,0.62788,0.37228,1.15432,1.28502,1.24005,0.00929286,0.00929286,0.00929286
7,1018.46,1.29114,1.53238,1.32929,0.68012,0.60367,0.66418,0.40047,1.10515,1.24577,1.21247,0.00915143,0.00915143,0.00915143
8,1163.22,1.26521,1.48385,1.31318,0.67969,0.59132,0.65914,0.39548,1.10968,1.20451,1.21579,0.00901,0.00901,0.00901
9,1307.33,1.24546,1.4487,1.29971,0.6834,0.59668,0.67143,0.41007,1.09234,1.16848,1.20482,0.00886857,0.00886857,0.00886857
10,1452.18,1.22679,1.40611,1.28676,0.71511,0.61808,0.70141,0.43658,1.05865,1.10615,1.17708,0.00872714,0.00872714,0.00872714
11,1596.26,1.21479,1.37547,1.27941,0.71791,0.63113,0.70999,0.44152,1.04913,1.06791,1.179,0.00858571,0.00858571,0.00858571
12,1740.9,1.19559,1.3525,1.2683,0.71205,0.62574,0.7076,0.44574,1.04014,1.07535,1.16867,0.00844429,0.00844429,0.00844429
13,1885.39,1.18376,1.3256,1.25791,0.73053,0.6328,0.71606,0.45395,1.02253,1.06143,1.16545,0.00830286,0.00830286,0.00830286
14,2030.19,1.17838,1.30844,1.25461,0.76002,0.62884,0.72736,0.46238,1.00781,1.03633,1.15317,0.00816143,0.00816143,0.00816143
15,2175.13,1.16641,1.29053,1.24671,0.72295,0.6573,0.7366,0.46957,1.00451,1.01897,1.14912,0.00802,0.00802,0.00802
16,2319.95,1.15631,1.26531,1.23843,0.73854,0.65555,0.73935,0.47933,0.97794,0.99009,1.14216,0.00787857,0.00787857,0.00787857
17,2464.35,1.14765,1.24692,1.23456,0.74229,0.67061,0.75112,0.48647,0.97815,0.99134,1.1305,0.00773714,0.00773714,0.00773714
18,2608.49,1.14128,1.23443,1.2297,0.76323,0.66473,0.75899,0.49213,0.98207,0.96192,1.13715,0.00759571,0.00759571,0.00759571
19,2752.52,1.13407,1.2165,1.22527,0.75978,0.66726,0.76075,0.49688,0.96484,0.9539,1.1288,0.00745429,0.00745429,0.00745429
20,2896.9,1.12668,1.20752,1.2223,0.75905,0.67199,0.76166,0.49436,0.96709,0.95285,1.13352,0.00731286,0.00731286,0.00731286
21,3040.98,1.11697,1.18852,1.21312,0.76711,0.67655,0.76714,0.50363,0.96217,0.92253,1.12847,0.00717143,0.00717143,0.00717143
22,3185.13,1.11518,1.17899,1.21196,0.77934,0.68285,0.77605,0.51223,0.94674,0.90697,1.11697,0.00703,0.00703,0.00703
23,3329.25,1.10418,1.16527,1.20625,0.77801,0.68196,0.7743,0.51127,0.94376,0.91027,1.1135,0.00688857,0.00688857,0.00688857
24,3473.22,1.09982,1.14903,1.19883,0.78121,0.68683,0.779,0.51323,0.94004,0.89619,1.1104,0.00674714,0.00674714,0.00674714
25,3617.2,1.09399,1.13671,1.19412,0.77665,0.6939,0.78349,0.51744,0.93507,0.88951,1.11125,0.00660571,0.00660571,0.00660571
26,3761.32,1.08637,1.124,1.18978,0.78374,0.68824,0.77891,0.51246,0.93518,0.89829,1.10915,0.00646429,0.00646429,0.00646429
