epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,78.2838,3.08366,1.79054,1.25545,0.6437,0.57847,0.63886,0.39938,2.72102,1.1806,1.13328,0.00331224,0.00331224,0.00331224
2,156.553,3.14125,1.4049,1.2082,0.50175,0.4581,0.44303,0.22401,3.29805,2.46338,1.3221,0.00655158,0.00655158,0.00655158
3,241.172,3.41666,1.58058,1.29224,0.34407,0.31086,0.26515,0.12333,3.82417,9.61724,1.62006,0.00969664,0.00969664,0.00969664
4,321.161,3.53817,1.71112,1.36263,0.4665,0.43066,0.42069,0.21696,3.52987,3.60307,1.45997,0.00957571,0.00957571,0.00957571
5,399.786,3.39721,1.59362,1.32444,0.50951,0.51418,0.508,0.27741,3.38089,2.3404,1.41506,0.00943429,0.00943429,0.00943429
6,479.164,3.30191,1.50133,1.2927,0.59526,0.51629,0.54804,0.31291,3.234,1.75591,1.34134,0.00929286,0.00929286,0.00929286
7,557.546,3.20941,1.43092,1.26761,0.59623,0.53253,0.56253,0.33291,3.02836,1.63265,1.27307,0.00915143,0.00915143,0.00915143
8,637.012,3.16028,1.3846,1.25633,0.59059,0.53735,0.58231,0.35135,3.05797,1.61656,1.27611,0.00901,0.00901,0.00901
9,716.794,3.12085,1.34582,1.24775,0.6495,0.58173,0.62386,0.37824,2.92949,1.45187,1.25051,0.00886857,0.00886857,0.00886857
10,793.083,3.08583,1.31226,1.23214,0.67472,0.57929,0.6538,0.40537,2.90555,1.19143,1.23711,0.00872714,0.00872714,0.00872714
11,869.285,3.05034,1.28521,1.22415,0.66137,0.60518,0.65626,0.40288,2.85531,1.27419,1.2355,0.00858571,0.00858571,0.00858571
12,948.998,3.02297,1.26981,1.2188,0.68442,0.58367,0.66211,0.41224,2.86464,1.19302,1.23037,0.00844429,0.00844429,0.00844429
13,1026.7,2.99048,1.2333,1.20486,0.68847,0.61511,0.68577,0.43533,2.8105,1.13311,1.21558,0.00830286,0.00830286,0.00830286
14,1104.84,2.969,1.22137,1.2006,0.6745,0.62401,0.68114,0.43381,2.76381,1.16982,1.19834,0.00816143,0.00816143,0.00816143
15,1185.89,2.94871,1.20042,1.19468,0.71152,0.6294,0.70898,0.4537,2.72111,1.06943,1.19523,0.00802,0.00802,0.00802
16,1263.43,2.93432,1.18741,1.19378,0.72862,0.63218,0.71774,0.46133,2.6893,1.07222,1.18038,0.00787857,0.00787857,0.00787857
17,1341.37,2.90825,1.16519,1.18301,0.73473,0.62362,0.71443,0.4625,2.6843,1.06195,1.17443,0.00773714,0.00773714,0.00773714
18,1418.27,2.88265,1.16171,1.17705,0.74973,0.63555,0.72954,0.47376,2.68226,1.00829,1.17238,0.00759571,0.00759571,0.00759571
19,1494.8,2.87318,1.15204,1.17925,0.74044,0.64602,0.73652,0.48149,2.64454,1.02983,1.15987,0.00745429,0.00745429,0.00745429
20,1571.37,2.86854,1.13102,1.17485,0.7386,0.64929,0.73283,0.47646,2.67708,1.01697,1.16885,0.00731286,0.00731286,0.00731286
21,1647.68,2.82894,1.11156,1.16915,0.73073,0.65569,0.7322,0.4725,2.66632,1.0088,1.16695,0.00717143,0.00717143,0.00717143
22,1724.44,2.82636,1.10989,1.16431,0.74684,0.65229,0.74416,0.48701,2.63432,0.99446,1.15287,0.00703,0.00703,0.00703
23,1805.88,2.81464,1.08898,1.15962,0.73192,0.65122,0.73357,0.47864,2.62679,1.01532,1.1542,0.00688857,0.00688857,0.00688857
24,1884.31,2.79837,1.0795,1.15279,0.76515,0.64843,0.75095,0.49079,2.61167,0.96803,1.15309,0.00674714,0.00674714,0.00674714
25,1961.07,2.78122,1.06433,1.14955,0.76751,0.655,0.75584,0.4991,2.61556,0.95091,1.15439,0.00660571,0.00660571,0.00660571
26,2038.32,2.78356,1.06295,1.14924,0.75453,0.66973,0.75575,0.49792,2.60703,0.96239,1.14924,0.00646429,0.00646429,0.00646429
27,2114.7,2.75144,1.04631,1.14244,0.75207,0.67296,0.76156,0.50698,2.57849,0.92816,1.14243,0.00632286,0.00632286,0.00632286
28,2192.12,2.74917,1.04282,1.1434,0.76714,0.67674,0.76751,0.5121,2.54695,0.92353,1.1365,0.00618143,0.00618143,0.00618143
29,2268.52,2.73019,1.03412,1.13691,0.75732,0.67349,0.76559,0.51232,2.55135,0.92097,1.13383,0.00604,0.00604,0.00604
30,2345.59,2.72214,1.02816,1.13663,0.77886,0.67853,0.77577,0.51636,2.54682,0.90763,1.13056,0.00589857,0.00589857,0.00589857
31,2423.69,2.70819,1.00337,1.12979,0.77219,0.67041,0.76984,0.51653,2.52974,0.90824,1.12658,0.00575714,0.00575714,0.00575714
32,2505.97,2.69416,0.99926,1.12795,0.77502,0.68678,0.7785,0.52567,2.51628,0.89324,1.12837,0.00561571,0.00561571,0.00561571
33,2587.5,2.70974,1.00141,1.13151,0.77613,0.68315,0.7772,0.52282,2.51987,0.8977,1.12605,0.00547429,0.00547429,0.00547429
34,2669.11,2.68221,0.97866,1.12074,0.78184,0.68611,0.7836,0.53178,2.50404,0.88187,1.11997,0.00533286,0.00533286,0.00533286
35,2746.73,2.67383,0.97729,1.12257,0.78803,0.68905,0.78423,0.52876,2.50973,0.87674,1.12594,0.00519143,0.00519143,0.00519143
36,2824.43,2.6708,0.96864,1.1169,0.756,0.70119,0.78056,0.52594,2.50518,0.8868,1.12334,0.00505,0.00505,0.00505
37,2901.25,2.63504,0.95247,1.11455,0.78481,0.68796,0.78836,0.53635,2.48321,0.86143,1.11569,0.00490857,0.00490857,0.00490857
38,2977.32,2.63819,0.94971,1.11531,0.77291,0.70009,0.78615,0.53244,2.47382,0.87142,1.11106,0.00476714,0.00476714,0.00476714
39,3057.77,2.631,0.95211,1.10853,0.78156,0.6918,0.78926,0.53851,2.46946,0.85609,1.11162,0.00462571,0.00462571,0.00462571
40,3135.81,2.61505,0.93187,1.10445,0.78596,0.69664,0.79414,0.5423,2.47037,0.83946,1.11013,0.00448429,0.00448429,0.00448429
41,3213,2.6075,0.9303,1.10413,0.78522,0.70523,0.7967,0.54546,2.45012,0.83749,1.10615,0.00434286,0.00434286,0.00434286
42,3290.33,2.61736,0.9201,1.1043,0.79487,0.69187,0.79498,0.54106,2.46012,0.84509,1.11204,0.00420143,0.00420143,0.00420143
43,3367.16,2.59216,0.9181,1.09799,0.7825,0.70387,0.79898,0.54694,2.46184,0.83235,1.11075,0.00406,0.00406,0.00406
44,3443.78,2.57389,0.90065,1.09792,0.79363,0.70872,0.80323,0.55149,2.43983,0.81627,1.10911,0.00391857,0.00391857,0.00391857
45,3521.34,2.58313,0.90398,1.09745,0.80112,0.70899,0.80567,0.55074,2.44706,0.81977,1.10678,0.00377714,0.00377714,0.00377714
46,3598.59,2.56347,0.89113,1.09142,0.79217,0.70691,0.80099,0.54812,2.44825,0.83314,1.10715,0.00363571,0.00363571,0.00363571
47,3675.79,2.56018,0.88175,1.09187,0.78683,0.7136,0.80075,0.5471,2.45276,0.8268,1.10863,0.00349429,0.00349429,0.00349429
48,3753.03,2.54916,0.87515,1.08813,0.78742,0.71836,0.80428,0.55122,2.45012,0.80957,1.10955,0.00335286,0.00335286,0.00335286
49,3830.34,2.54008,0.86552,1.08757,0.78753,0.72397,0.8085,0.55474,2.43954,0.80571,1.1043,0.00321143,0.00321143,0.00321143
50,3907.74,2.5326,0.86017,1.08406,0.78982,0.72103,0.80704,0.55647,2.4201,0.80044,1.10143,0.00307,0.00307,0.00307
51,3984.57,2.52393,0.85276,1.08234,0.79733,0.71569,0.80732,0.55534,2.42779,0.81001,1.10307,0.00292857,0.00292857,0.00292857
52,4061.27,2.49764,0.83826,1.08021,0.79125,0.71925,0.80724,0.55605,2.42752,0.80329,1.10002,0.00278714,0.00278714,0.00278714
53,4138.42,2.4971,0.83719,1.07657,0.79756,0.71521,0.81004,0.5576,2.41925,0.79638,1.10261,0.00264571,0.00264571,0.00264571
54,4216.21,2.48273,0.83289,1.07198,0.79504,0.71619,0.81013,0.55785,2.41731,0.79817,1.10038,0.00250429,0.00250429,0.00250429
55,4293.39,2.45897,0.81993,1.06993,0.79598,0.72014,0.81199,0.55952,2.41458,0.79593,1.09956,0.00236286,0.00236286,0.00236286
56,4370.71,2.46139,0.80942,1.06704,0.79525,0.72643,0.8123,0.56066,2.4138,0.78924,1.09718,0.00222143,0.00222143,0.00222143
57,4448.28,2.46714,0.81317,1.06779,0.80081,0.72339,0.81221,0.56229,2.41246,0.79044,1.09701,0.00208,0.00208,0.00208
58,4525.09,2.43707,0.7941,1.06097,0.79616,0.7252,0.81195,0.56076,2.41731,0.7897,1.09829,0.00193857,0.00193857,0.00193857
59,4603.02,2.42528,0.79574,1.0553,0.80353,0.72065,0.81466,0.56357,2.41633,0.78301,1.10076,0.00179714,0.00179714,0.00179714
60,4681.35,2.42111,0.78643,1.05577,0.80489,0.72531,0.81683,0.56412,2.41618,0.78281,1.09998,0.00165571,0.00165571,0.00165571
61,4761.91,2.36351,0.7155,1.05406,0.80691,0.72569,0.8166,0.56269,2.41929,0.78501,1.09941,0.00151429,0.00151429,0.00151429
62,4840.77,2.34731,0.69345,1.04868,0.80323,0.73203,0.81709,0.56233,2.42165,0.78852,1.10312,0.00137286,0.00137286,0.00137286
63,4920.33,2.32904,0.68566,1.04553,0.81043,0.72275,0.81533,0.56171,2.42044,0.78891,1.10522,0.00123143,0.00123143,0.00123143
64,4996.88,2.31591,0.67526,1.03962,0.81099,0.72511,0.81586,0.56139,2.42202,0.79033,1.10355,0.00109,0.00109,0.00109
65,5074.34,2.29749,0.66512,1.03611,0.81265,0.72332,0.81554,0.56157,2.42683,0.7887,1.10532,0.000948571,0.000948571,0.000948571
66,5152.23,2.28584,0.65801,1.03424,0.81064,0.7236,0.81495,0.56113,2.42945,0.78711,1.10677,0.000807143,0.000807143,0.000807143
67,5229.71,2.28029,0.65048,1.03129,0.80911,0.7267,0.81635,0.56105,2.43143,0.78572,1.10617,0.000665714,0.000665714,0.000665714
68,5307.51,2.25593,0.64266,1.02574,0.81155,0.72622,0.81656,0.56126,2.42999,0.78566,1.10527,0.000524286,0.000524286,0.000524286
69,5386.76,2.24437,0.63293,1.02408,0.812,0.72759,0.81702,0.56199,2.43066,0.78554,1.105,0.000382857,0.000382857,0.000382857
70,5466.31,2.23963,0.62839,1.02409,0.80742,0.73173,0.81561,0.56162,2.43155,0.78497,1.10629,0.000241429,0.000241429,0.000241429
