epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,77.9758,1.33603,1.73778,1.27787,0.66051,0.59206,0.6578,0.41769,1.12994,1.14231,nan,0.00331224,0.00331224,0.00331224
2,155.974,1.33346,1.34904,1.21776,0.58056,0.54937,0.55417,0.30043,1.34612,1.71391,nan,0.00655158,0.00655158,0.00655158
3,238.106,1.45928,1.50161,1.28827,0.40134,0.36241,0.3367,0.16755,1.68018,6.86292,nan,0.00969664,0.00969664,0.00969664
4,319.19,1.52818,1.62369,1.34899,0.4375,0.41437,0.38153,0.18961,1.59773,5.21758,nan,0.00957571,0.00957571,0.00957571
5,398.074,1.45624,1.50008,1.31333,0.58958,0.50931,0.54929,0.301,1.43886,1.82973,nan,0.00943429,0.00943429,0.00943429
6,476.342,1.41156,1.41742,1.28946,0.61741,0.51312,0.5609,0.31937,1.40914,1.53208,nan,0.00929286,0.00929286,0.00929286
7,554.015,1.37072,1.35636,1.27264,0.65965,0.58361,0.64164,0.39008,1.26088,1.41788,nan,0.00915143,0.00915143,0.00915143
8,631.811,1.34708,1.31593,1.26142,0.66724,0.6003,0.65587,0.40307,1.23314,1.30483,nan,0.00901,0.00901,0.00901
9,709.362,1.32809,1.28127,1.25545,0.68882,0.59865,0.67043,0.41058,1.22882,1.24376,nan,0.00886857,0.00886857,0.00886857
10,787.019,1.31314,1.24664,1.24128,0.70366,0.60719,0.6864,0.4225,1.21538,1.17123,nan,0.00872714,0.00872714,0.00872714
11,865.065,1.29412,1.22205,1.23114,0.70053,0.6189,0.69624,0.44292,1.17466,1.15578,nan,0.00858571,0.00858571,0.00858571
12,942.606,1.27046,1.19821,1.22156,0.70446,0.62226,0.70059,0.44121,1.18125,1.10733,nan,0.00844429,0.00844429,0.00844429
13,1019.98,1.26547,1.1715,1.21481,0.73429,0.62774,0.71274,0.45342,1.17491,1.07336,nan,0.00830286,0.00830286,0.00830286
14,1097.69,1.25212,1.15623,1.20735,0.73154,0.64704,0.72979,0.46732,1.15711,1.03947,nan,0.00816143,0.00816143,0.00816143
15,1175.52,1.24038,1.135,1.20282,0.72988,0.64682,0.73224,0.46513,1.15528,1.02875,nan,0.00802,0.00802,0.00802
16,1252.61,1.23225,1.12189,1.20339,0.74048,0.65484,0.7402,0.47631,1.13226,1.03498,nan,0.00787857,0.00787857,0.00787857
17,1330.18,1.22383,1.10489,1.19146,0.7307,0.66011,0.74513,0.48339,1.12524,1.00279,nan,0.00773714,0.00773714,0.00773714
18,1407.58,1.20959,1.09451,1.18787,0.75871,0.6472,0.74775,0.48434,1.13518,0.99225,nan,0.00759571,0.00759571,0.00759571
19,1485.16,1.2073,1.08792,1.1874,0.74242,0.66754,0.7538,0.49345,1.10801,0.98831,nan,0.00745429,0.00745429,0.00745429
20,1562.72,1.19822,1.06432,1.18035,0.76326,0.66979,0.76367,0.50037,1.09223,0.95268,nan,0.00731286,0.00731286,0.00731286
21,1640.09,1.18267,1.04578,1.17867,0.75281,0.67714,0.76022,0.49725,1.10876,0.95814,nan,0.00717143,0.00717143,0.00717143
22,1717.96,1.18413,1.04767,1.17233,0.7599,0.66507,0.76241,0.50417,1.0783,0.95168,nan,0.00703,0.00703,0.00703
23,1795.52,1.17618,1.02893,1.16672,0.7441,0.65537,0.74706,0.48921,1.09405,0.9751,nan,0.00688857,0.00688857,0.00688857
24,1872.24,1.16836,1.0164,1.16331,0.76628,0.68799,0.77704,0.51266,1.06984,0.92573,nan,0.00674714,0.00674714,0.00674714
25,1949.21,1.16064,0.99856,1.15891,0.77072,0.69017,0.77801,0.51597,1.06788,0.92185,nan,0.00660571,0.00660571,0.00660571
26,2025.87,1.15916,0.99877,1.15695,0.77453,0.67516,0.7689,0.5035,1.08234,0.93665,nan,0.00646429,0.00646429,0.00646429
27,2102.9,1.14477,0.97707,1.1513,0.7674,0.69933,0.78343,0.52136,1.07639,0.88663,nan,0.00632286,0.00632286,0.00632286
28,2179.21,1.1445,0.97327,1.15341,0.76991,0.6864,0.78121,0.52121,1.05676,0.90759,nan,0.00618143,0.00618143,0.00618143
29,2255.27,1.13756,0.96198,1.1444,0.76258,0.69876,0.78352,0.52526,1.05163,0.88959,nan,0.00604,0.00604,0.00604
30,2331.22,1.13272,0.95819,1.14761,0.78628,0.68857,0.78671,0.5278,1.04923,0.88187,nan,0.00589857,0.00589857,0.00589857
