epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,77.5181,1.47465,1.74732,1.24383,0.62674,0.5829,0.63204,0.3924,1.2284,1.19456,1.11381,0.00331224,0.00331224,0.00331224
2,156.317,1.46428,1.35632,1.18469,0.53877,0.50435,0.5144,0.28559,1.47981,1.76861,1.252,0.00655158,0.00655158,0.00655158
3,238.221,1.61081,1.49991,1.24681,0.29754,0.31424,0.24024,0.11136,2.04912,8.16463,1.63025,0.00969664,0.00969664,0.00969664
4,317.224,1.69131,1.62696,1.30741,0.48169,0.453,0.44694,0.23769,1.6288,3.47442,1.39724,0.00957571,0.00957571,0.00957571
5,395.663,1.60045,1.51201,1.2748,0.55376,0.52229,0.52863,0.284,1.64948,2.06073,1.41005,0.00943429,0.00943429,0.00943429
6,473.944,1.55716,1.43275,1.25269,0.60055,0.56274,0.58757,0.34269,1.45946,1.86016,1.28621,0.00929286,0.00929286,0.00929286
7,551.555,1.50552,1.36857,1.23226,0.6694,0.54626,0.61387,0.36193,1.40243,1.50271,1.25191,0.00915143,0.00915143,0.00915143
8,629.351,1.47808,1.32676,1.22004,0.64615,0.58255,0.64105,0.38576,1.37727,1.47451,1.23062,0.00901,0.00901,0.00901
9,707.468,1.45892,1.29072,1.21376,0.67948,0.60101,0.66843,0.40906,1.32705,1.26926,1.21871,0.00886857,0.00886857,0.00886857
10,785.59,1.43246,1.25088,1.20135,0.69403,0.61492,0.68964,0.43392,1.31269,1.1618,1.19523,0.00872714,0.00872714,0.00872714
11,863.311,1.42153,1.22471,1.19493,0.66792,0.62921,0.68575,0.4206,1.32311,1.27128,1.20445,0.00858571,0.00858571,0.00858571
12,941.234,1.39537,1.20953,1.188,0.69356,0.61981,0.69762,0.436,1.28691,1.153,1.189,0.00844429,0.00844429,0.00844429
13,1019.3,1.38258,1.17734,1.17445,0.72082,0.62927,0.70991,0.45435,1.25449,1.07756,1.17334,0.00830286,0.00830286,0.00830286
14,1096.89,1.37059,1.16512,1.16654,0.71581,0.64623,0.71463,0.45065,1.27346,1.07619,1.1872,0.00816143,0.00816143,0.00816143
15,1174.52,1.35787,1.14365,1.16475,0.73542,0.63992,0.72984,0.46874,1.23716,1.03956,1.18217,0.00802,0.00802,0.00802
16,1251.83,1.34922,1.12571,1.1619,0.73429,0.66069,0.73896,0.46995,1.23961,1.03372,1.15719,0.00787857,0.00787857,0.00787857
17,1328.31,1.33872,1.11052,1.15177,0.72796,0.64696,0.73271,0.46837,1.24942,1.01566,1.16758,0.00773714,0.00773714,0.00773714
18,1404.38,1.32632,1.10359,1.15326,0.7501,0.65383,0.74472,0.4804,1.23769,0.99548,1.16105,0.00759571,0.00759571,0.00759571
19,1481.94,1.32179,1.09273,1.15346,0.73344,0.67127,0.74932,0.49008,1.21944,0.97915,1.15382,0.00745429,0.00745429,0.00745429
20,1559.89,1.31096,1.07208,1.14426,0.75446,0.66534,0.75813,0.49501,1.19781,0.96831,1.14818,0.00731286,0.00731286,0.00731286
21,1636.1,1.29167,1.05611,1.14043,0.755,0.66984,0.75765,0.49688,1.19092,0.95146,1.1442,0.00717143,0.00717143,0.00717143
22,1714.99,1.29378,1.05523,1.13855,0.75624,0.6689,0.76126,0.50366,1.17446,0.95336,1.12307,0.00703,0.00703,0.00703
23,1791.93,1.28706,1.03693,1.12965,0.74074,0.68547,0.76339,0.50474,1.17355,0.95009,1.13641,0.00688857,0.00688857,0.00688857
24,1869.34,1.27599,1.02171,1.12641,0.7739,0.6756,0.77129,0.51274,1.15688,0.92811,1.12068,0.00674714,0.00674714,0.00674714
25,1945.26,1.26575,1.00669,1.12326,0.77508,0.67226,0.77057,0.50942,1.15709,0.92625,1.12439,0.00660571,0.00660571,0.00660571
26,2022.63,1.26581,1.00716,1.12016,0.76515,0.68405,0.7705,0.5089,1.16827,0.93734,1.12756,0.00646429,0.00646429,0.00646429
27,2099.97,1.24886,0.98354,1.11393,0.77017,0.67582,0.77836,0.52127,1.15566,0.90415,1.12531,0.00632286,0.00632286,0.00632286
28,2176.94,1.24673,0.98535,1.11671,0.76646,0.6918,0.78335,0.52267,1.15076,0.8969,1.11668,0.00618143,0.00618143,0.00618143
29,2254.62,1.23881,0.96804,1.10823,0.773,0.6888,0.78501,0.52346,1.1408,0.89153,1.11143,0.00604,0.00604,0.00604
30,2331.81,1.23381,0.96817,1.11223,0.7811,0.69241,0.78797,0.52792,1.14184,0.88322,1.11221,0.00589857,0.00589857,0.00589857
31,2408.99,1.22682,0.9476,1.10612,0.78291,0.68965,0.78707,0.52917,1.13796,0.8684,1.11538,0.00575714,0.00575714,0.00575714
32,2485.83,1.21741,0.93759,1.10352,0.78887,0.69297,0.79319,0.53464,1.13144,0.86143,1.11204,0.00561571,0.00561571,0.00561571
33,2562.21,1.22789,0.93878,1.10579,0.78069,0.69805,0.78921,0.52916,1.12679,0.88889,1.1134,0.00547429,0.00547429,0.00547429
34,2638.93,1.21408,0.92225,1.09834,0.78492,0.70033,0.79696,0.54176,1.11851,0.85451,1.10063,0.00533286,0.00533286,0.00533286
35,2715.21,1.20716,0.91076,1.0987,0.7829,0.70675,0.799,0.53825,1.12844,0.84699,1.10956,0.00519143,0.00519143,0.00519143
36,2792.36,1.20971,0.90699,1.09507,0.77804,0.70245,0.79388,0.53499,1.13641,0.85993,1.11321,0.00505,0.00505,0.00505
37,2869.47,1.18425,0.893,1.08806,0.78606,0.70462,0.80177,0.5452,1.11503,0.83773,1.1004,0.00490857,0.00490857,0.00490857
38,2946.07,1.18621,0.89041,1.08959,0.77946,0.71179,0.80103,0.54381,1.11051,0.84345,1.09849,0.00476714,0.00476714,0.00476714
39,3022.53,1.18442,0.89098,1.08494,0.79468,0.70765,0.80352,0.54705,1.10296,0.83888,1.09053,0.00462571,0.00462571,0.00462571
40,3099.45,1.16898,0.86925,1.07963,0.7943,0.71454,0.8094,0.55289,1.10563,0.81595,1.09617,0.00448429,0.00448429,0.00448429
41,3176.05,1.16924,0.86504,1.07881,0.79461,0.71532,0.80738,0.55087,1.10283,0.82159,1.0978,0.00434286,0.00434286,0.00434286
42,3251.59,1.16935,0.85588,1.07664,0.79927,0.71451,0.81105,0.55238,1.10147,0.81343,1.09781,0.00420143,0.00420143,0.00420143
43,3327.45,1.1607,0.85395,1.07189,0.80486,0.71351,0.81203,0.55645,1.09515,0.81067,1.09554,0.00406,0.00406,0.00406
44,3403.48,1.15161,0.83976,1.07044,0.78079,0.73934,0.81274,0.55561,1.09808,0.80329,1.09175,0.00391857,0.00391857,0.00391857
45,3479.99,1.15323,0.84008,1.07062,0.79513,0.7296,0.81533,0.55739,1.09712,0.80352,1.09163,0.00377714,0.00377714,0.00377714
46,3557.45,1.14663,0.82747,1.06667,0.80265,0.72217,0.81502,0.55783,1.09498,0.81406,1.093,0.00363571,0.00363571,0.00363571
47,3634.61,1.14315,0.81845,1.06531,0.80411,0.72337,0.81444,0.55536,1.10251,0.80617,1.09958,0.00349429,0.00349429,0.00349429
48,3710.71,1.13385,0.81316,1.06287,0.79339,0.73192,0.8155,0.55712,1.09768,0.80406,1.09425,0.00335286,0.00335286,0.00335286
