epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,77.7855,1.34237,1.73861,1.24568,0.64705,0.57099,0.63291,0.39102,1.16273,1.18674,1.14732,0.00331224,0.00331224,0.00331224
2,154.835,1.33191,1.34829,1.18252,0.5478,0.52569,0.53212,0.28872,1.36104,2.032,1.2587,0.00655158,0.00655158,0.00655158
3,235.056,1.46236,1.50294,1.25242,0.37337,0.36166,0.31984,0.15392,1.70111,6.61669,1.57579,0.00969664,0.00969664,0.00969664
4,315.193,1.53715,1.61821,1.31659,0.47328,0.46662,0.45635,0.24474,1.5058,4.04863,1.42025,0.00957571,0.00957571,0.00957571
5,393.199,1.45888,1.50505,1.27978,0.54627,0.51774,0.52856,0.29877,1.40451,2.06882,1.32841,0.00943429,0.00943429,0.00943429
6,470.081,1.4157,1.42262,1.25653,0.61435,0.56086,0.60327,0.35514,1.33734,1.45303,1.27496,0.00929286,0.00929286,0.00929286
7,547.957,1.3719,1.35473,1.23738,0.63175,0.5596,0.61036,0.36533,1.29465,1.42663,1.2517,0.00915143,0.00915143,0.00915143
8,626.329,1.34778,1.32241,1.22934,0.62635,0.58275,0.62444,0.3758,1.26066,1.50602,1.23919,0.00901,0.00901,0.00901
9,703.586,1.32904,1.28528,1.21955,0.64916,0.59931,0.64579,0.38692,1.24195,1.35768,1.23658,0.00886857,0.00886857,0.00886857
10,779.957,1.31423,1.24781,1.20746,0.69445,0.61811,0.68795,0.43279,1.21751,1.13441,1.2038,0.00872714,0.00872714,0.00872714
11,857.438,1.29801,1.22526,1.20031,0.70387,0.63404,0.69914,0.43703,1.18297,1.1912,1.19475,0.00858571,0.00858571,0.00858571
12,934.572,1.27657,1.20471,1.19388,0.7378,0.61158,0.70627,0.44435,1.17364,1.08917,1.1903,0.00844429,0.00844429,0.00844429
13,1012.79,1.27073,1.17288,1.18377,0.70202,0.62582,0.69652,0.42916,1.21292,1.14324,1.20257,0.00830286,0.00830286,0.00830286
14,1089.96,1.25392,1.15549,1.17437,0.71903,0.63749,0.7096,0.44701,1.17035,1.10945,1.18443,0.00816143,0.00816143,0.00816143
15,1167.59,1.24363,1.13528,1.17059,0.72595,0.66275,0.74012,0.47852,1.12766,1.00308,1.17876,0.00802,0.00802,0.00802
16,1244.27,1.23464,1.12098,1.17042,0.74033,0.65171,0.73678,0.47331,1.13402,1.04236,1.16932,0.00787857,0.00787857,0.00787857
17,1320.58,1.22606,1.1006,1.16038,0.74449,0.66011,0.74211,0.48169,1.11982,0.99152,1.15802,0.00773714,0.00773714,0.00773714
18,1397.31,1.21471,1.09623,1.15934,0.7437,0.65493,0.73952,0.47584,1.13654,0.99547,1.16138,0.00759571,0.00759571,0.00759571
19,1475.28,1.20979,1.0907,1.15688,0.74705,0.66152,0.74893,0.48537,1.10829,0.9996,1.16184,0.00745429,0.00745429,0.00745429
20,1552.23,1.20407,1.06655,1.1515,0.75889,0.65392,0.7548,0.49478,1.10558,0.96504,1.14754,0.00731286,0.00731286,0.00731286
21,1628.82,1.18482,1.04931,1.14828,0.76017,0.66582,0.75742,0.49571,1.09325,0.97035,1.14695,0.00717143,0.00717143,0.00717143
22,1705.79,1.18499,1.04706,1.1417,0.75159,0.68042,0.76624,0.50638,1.083,0.93989,1.12933,0.00703,0.00703,0.00703
23,1783.62,1.17638,1.03104,1.13678,0.7462,0.68368,0.76868,0.50731,1.08129,0.95504,1.13548,0.00688857,0.00688857,0.00688857
24,1860.51,1.17079,1.01633,1.13266,0.76712,0.68063,0.77323,0.51428,1.07112,0.92204,1.13007,0.00674714,0.00674714,0.00674714
25,1936.99,1.16302,1.00029,1.12841,0.76791,0.67987,0.77478,0.51308,1.06793,0.92309,1.13057,0.00660571,0.00660571,0.00660571
26,2013.27,1.15872,0.99682,1.12448,0.77743,0.6872,0.78223,0.51922,1.06957,0.90185,1.13394,0.00646429,0.00646429,0.00646429
27,2089.46,1.14705,0.97684,1.12143,0.77125,0.68064,0.78026,0.5204,1.07115,0.89062,1.12609,0.00632286,0.00632286,0.00632286
28,2166.08,1.14758,0.97866,1.12445,0.76513,0.69076,0.77878,0.51996,1.0572,0.90121,1.12514,0.00618143,0.00618143,0.00618143
29,2242.59,1.13622,0.96228,1.11547,0.77516,0.68906,0.78423,0.52384,1.05838,0.89054,1.11978,0.00604,0.00604,0.00604
30,2318.87,1.13536,0.95984,1.11674,0.77593,0.70012,0.78759,0.52703,1.05085,0.88302,1.11506,0.00589857,0.00589857,0.00589857
31,2395.21,1.1269,0.93636,1.10969,0.79019,0.70055,0.79672,0.5348,1.05365,0.86031,1.1229,0.00575714,0.00575714,0.00575714
32,2472.64,1.1211,0.93061,1.10537,0.80051,0.68601,0.79179,0.53231,1.0517,0.86231,1.11792,0.00561571,0.00561571,0.00561571
33,2550.12,1.12594,0.93103,1.10713,0.78086,0.71538,0.79646,0.53664,1.04217,0.86648,1.11605,0.00547429,0.00547429,0.00547429
34,2626.48,1.11597,0.91671,1.10341,0.7872,0.69749,0.79435,0.53411,1.04228,0.86837,1.1187,0.00533286,0.00533286,0.00533286
35,2702.77,1.10764,0.90606,1.10183,0.77812,0.71384,0.80038,0.53959,1.03517,0.84746,1.10559,0.00519143,0.00519143,0.00519143
36,2780.48,1.10932,0.90052,1.09815,0.7694,0.72727,0.79956,0.53744,1.04548,0.85346,1.11348,0.00505,0.00505,0.00505
37,2858.16,1.0894,0.88657,1.09198,0.7852,0.71294,0.80111,0.54365,1.03249,0.84226,1.10767,0.00490857,0.00490857,0.00490857
38,2936.03,1.08949,0.88355,1.09378,0.79098,0.71314,0.80628,0.55146,1.01727,0.82746,1.1032,0.00476714,0.00476714,0.00476714
39,3013.17,1.08947,0.88165,1.09063,0.80373,0.71078,0.80804,0.54994,1.02198,0.82413,1.10152,0.00462571,0.00462571,0.00462571
40,3090.71,1.07855,0.8584,1.08566,0.78732,0.71899,0.80828,0.54756,1.03296,0.82559,1.10802,0.00448429,0.00448429,0.00448429
41,3168.52,1.07663,0.86121,1.08261,0.79384,0.71988,0.81103,0.55185,1.02097,0.82002,1.10477,0.00434286,0.00434286,0.00434286
42,3245.65,1.07829,0.85097,1.08201,0.79203,0.72114,0.81346,0.5554,1.01373,0.81278,1.0991,0.00420143,0.00420143,0.00420143
43,3322.82,1.06662,0.84947,1.07687,0.79004,0.72297,0.8129,0.55648,1.01101,0.80998,1.09652,0.00406,0.00406,0.00406
44,3399.23,1.06156,0.82876,1.07526,0.79582,0.72953,0.81603,0.5573,1.01679,0.79874,1.09671,0.00391857,0.00391857,0.00391857
45,3475.98,1.06045,0.8331,1.07294,0.79178,0.72958,0.81549,0.55832,1.01087,0.79504,1.09579,0.00377714,0.00377714,0.00377714
46,3553.47,1.05431,0.82266,1.07057,0.79477,0.73126,0.8157,0.55807,1.01047,0.80127,1.09643,0.00363571,0.00363571,0.00363571
47,3631.22,1.05288,0.81031,1.06987,0.78883,0.738,0.81485,0.5573,1.01524,0.79358,1.10037,0.00349429,0.00349429,0.00349429
48,3708.88,1.04317,0.80136,1.0653,0.80783,0.72872,0.81713,0.55944,1.01174,0.79381,1.09726,0.00335286,0.00335286,0.00335286
49,3785.14,1.03949,0.79125,1.06488,0.79868,0.73349,0.8186,0.56273,1.00831,0.79226,1.09633,0.00321143,0.00321143,0.00321143
50,3861.44,1.03944,0.78735,1.06168,0.80123,0.73486,0.81983,0.56377,1.00984,0.78483,1.1004,0.00307,0.00307,0.00307
51,3937.58,1.03332,0.7809,1.05924,0.79744,0.73632,0.81752,0.56238,1.0072,0.78835,1.09247,0.00292857,0.00292857,0.00292857
52,4014.13,1.02277,0.76441,1.05846,0.80214,0.73514,0.82033,0.56267,1.01212,0.78431,1.09644,0.00278714,0.00278714,0.00278714
53,4091.25,1.02001,0.76282,1.053,0.79947,0.7386,0.82111,0.56314,1.00868,0.78366,1.09459,0.00264571,0.00264571,0.00264571
54,4168.02,1.0155,0.75696,1.05048,0.80267,0.73689,0.82164,0.5642,1.0078,0.77986,1.0937,0.00250429,0.00250429,0.00250429
55,4244.4,1.00287,0.74804,1.04676,0.79748,0.74201,0.82268,0.56439,1.00749,0.77835,1.09459,0.00236286,0.00236286,0.00236286
56,4321.75,1.00107,0.73614,1.04289,0.79452,0.74024,0.82116,0.56433,1.01043,0.77926,1.09451,0.00222143,0.00222143,0.00222143
57,4397.68,1.00851,0.73863,1.04679,0.80826,0.72993,0.82059,0.56381,1.00782,0.7835,1.09286,0.00208,0.00208,0.00208
58,4473.89,0.99432,0.72033,1.03917,0.80638,0.72974,0.82061,0.56396,1.00604,0.77877,1.09102,0.00193857,0.00193857,0.00193857
59,4551.04,0.98712,0.71898,1.03509,0.80516,0.73489,0.82179,0.56517,1.0077,0.77663,1.09407,0.00179714,0.00179714,0.00179714
60,4627.07,0.98659,0.71388,1.03536,0.8119,0.73097,0.82365,0.56686,1.00633,0.77394,1.0943,0.00165571,0.00165571,0.00165571
61,4707.63,0.9508,0.63836,1.0302,0.80836,0.73644,0.8235,0.56701,1.00881,0.775,1.09726,0.00151429,0.00151429,0.00151429
62,4786.56,0.94002,0.61792,1.02413,0.81216,0.73014,0.82053,0.56435,1.01006,0.78134,1.0999,0.00137286,0.00137286,0.00137286
63,4863.41,0.92927,0.61346,1.01905,0.80604,0.73321,0.82012,0.56621,1.00812,0.78021,1.09879,0.00123143,0.00123143,0.00123143
64,4942.54,0.92666,0.60119,1.01723,0.79779,0.74025,0.82094,0.56586,1.0122,0.7803,1.10244,0.00109,0.00109,0.00109
65,5021.96,0.91548,0.59147,1.01278,0.8088,0.73533,0.82046,0.56494,1.01444,0.78357,1.10353,0.000948571,0.000948571,0.000948571
66,5098.37,0.91184,0.58273,1.009,0.81277,0.73638,0.82071,0.56515,1.01747,0.78406,1.10348,0.000807143,0.000807143,0.000807143
67,5174.16,0.90707,0.5771,1.00608,0.81561,0.73507,0.82128,0.56556,1.01813,0.78066,1.10338,0.000665714,0.000665714,0.000665714
68,5252.89,0.89866,0.56658,1.00237,0.82374,0.72792,0.82046,0.56505,1.01903,0.78192,1.10605,0.000524286,0.000524286,0.000524286
69,5332.81,0.89395,0.56013,1.00042,0.8231,0.72633,0.82067,0.56504,1.0214,0.7813,1.1084,0.000382857,0.000382857,0.000382857
70,5412.53,0.88911,0.55314,0.99883,0.81654,0.73054,0.82008,0.56429,1.02157,0.78237,1.10843,0.000241429,0.000241429,0.000241429
