epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,77.5764,1.4953,1.75325,1.24462,0.63455,0.59193,0.64753,0.4065,1.22789,1.19398,1.11538,0.00331224,0.00331224,0.00331224
2,156.04,1.48118,1.35672,1.18339,0.57417,0.51876,0.52253,0.26899,1.57201,1.72158,1.29609,0.00655158,0.00655158,0.00655158
3,236.043,1.63545,1.53262,1.2504,0.30838,0.35569,0.27135,0.13141,1.84198,6.17973,1.5147,0.00969664,0.00969664,0.00969664
4,313.695,1.71026,1.62606,1.30457,0.46842,0.4773,0.4577,0.24752,1.60412,3.5371,1.35969,0.00957571,0.00957571,0.00957571
5,391.898,1.62815,1.5102,1.2677,0.53072,0.48632,0.49307,0.26744,1.58132,2.15584,1.34273,0.00943429,0.00943429,0.00943429
6,470.027,1.5753,1.43252,1.23962,0.63038,0.53872,0.59645,0.34182,1.45451,1.48898,1.25364,0.00929286,0.00929286,0.00929286
7,547.487,1.52355,1.37373,1.22371,0.66776,0.5823,0.63549,0.38434,1.4012,1.31261,1.2424,0.00915143,0.00915143,0.00915143
8,625.988,1.49709,1.33309,1.2145,0.6647,0.56309,0.62867,0.38178,1.34419,1.35396,1.21468,0.00901,0.00901,0.00901
9,704.12,1.47318,1.30685,1.20405,0.67357,0.59152,0.6508,0.38937,1.37507,1.26994,1.22048,0.00886857,0.00886857,0.00886857
10,782.016,1.45335,1.26371,1.18789,0.67664,0.59539,0.66697,0.41456,1.34117,1.18194,1.18865,0.00872714,0.00872714,0.00872714
11,859.245,1.43751,1.24017,1.18498,0.69345,0.61331,0.68542,0.42643,1.29543,1.18529,1.19381,0.00858571,0.00858571,0.00858571
12,937.251,1.41305,1.21574,1.17613,0.68305,0.61224,0.67767,0.41613,1.2943,1.23001,1.17832,0.00844429,0.00844429,0.00844429
13,1014.75,1.40169,1.18863,1.16419,0.72643,0.62666,0.71205,0.45118,1.26807,1.08022,1.15762,0.00830286,0.00830286,0.00830286
14,1091.43,1.38896,1.17297,1.15691,0.7098,0.6375,0.71354,0.44809,1.26042,1.08604,1.15844,0.00816143,0.00816143,0.00816143
15,1167.94,1.3753,1.14966,1.15523,0.7208,0.63404,0.72429,0.46008,1.2415,1.05611,1.16705,0.00802,0.00802,0.00802
16,1244.74,1.36451,1.14044,1.15303,0.74246,0.64888,0.7331,0.47045,1.24294,1.03473,1.15204,0.00787857,0.00787857,0.00787857
17,1321.49,1.35487,1.12314,1.13936,0.73327,0.65519,0.73813,0.48057,1.21617,1.00876,1.132,0.00773714,0.00773714,0.00773714
18,1398.4,1.33994,1.11754,1.13971,0.73869,0.6538,0.73855,0.47628,1.22878,0.99595,1.14375,0.00759571,0.00759571,0.00759571
19,1475.44,1.33838,1.10737,1.14023,0.75239,0.63627,0.73922,0.48265,1.22319,0.99369,1.13548,0.00745429,0.00745429,0.00745429
20,1552.65,1.33152,1.08706,1.13346,0.75367,0.64689,0.73985,0.48034,1.19404,0.99777,1.12466,0.00731286,0.00731286,0.00731286
21,1629.12,1.31097,1.0648,1.13208,0.75516,0.6622,0.75496,0.49089,1.20807,0.95927,1.13367,0.00717143,0.00717143,0.00717143
22,1706.5,1.3094,1.06431,1.1257,0.75261,0.67289,0.76018,0.49635,1.18881,0.94611,1.1196,0.00703,0.00703,0.00703
23,1783.24,1.30221,1.04806,1.12108,0.7381,0.67691,0.75462,0.49381,1.18381,0.97156,1.12164,0.00688857,0.00688857,0.00688857
24,1859.76,1.29523,1.03622,1.11811,0.75176,0.68083,0.76414,0.49995,1.17617,0.94317,1.12419,0.00674714,0.00674714,0.00674714
25,1936.81,1.28654,1.01499,1.11403,0.76578,0.67489,0.769,0.50215,1.17334,0.92693,1.12175,0.00660571,0.00660571,0.00660571
26,2014.08,1.28239,1.01647,1.11046,0.76478,0.68078,0.77041,0.511,1.16381,0.92458,1.11262,0.00646429,0.00646429,0.00646429
27,2090.13,1.26467,0.99916,1.10428,0.76832,0.6895,0.77864,0.51724,1.16759,0.90582,1.11167,0.00632286,0.00632286,0.00632286
28,2167.1,1.26121,0.99542,1.10414,0.77544,0.69228,0.78233,0.51776,1.158,0.90102,1.10405,0.00618143,0.00618143,0.00618143
29,2244.59,1.25519,0.98145,1.09928,0.76549,0.68212,0.77744,0.5158,1.15242,0.9037,1.1085,0.00604,0.00604,0.00604
30,2321.83,1.25161,0.9811,1.10302,0.76796,0.69919,0.78168,0.52257,1.14194,0.8949,1.09952,0.00589857,0.00589857,0.00589857
31,2398.79,1.24278,0.95542,1.0946,0.78315,0.68491,0.78042,0.51983,1.15276,0.88189,1.10958,0.00575714,0.00575714,0.00575714
32,2476.24,1.23542,0.94683,1.0915,0.79114,0.68671,0.78684,0.5245,1.13923,0.88045,1.10073,0.00561571,0.00561571,0.00561571
33,2553.38,1.24294,0.94801,1.09073,0.78556,0.69789,0.78859,0.52647,1.13912,0.87987,1.09768,0.00547429,0.00547429,0.00547429
34,2629.71,1.23391,0.93147,1.08479,0.78837,0.70203,0.79251,0.53378,1.12845,0.86169,1.09527,0.00533286,0.00533286,0.00533286
35,2706.55,1.22398,0.92474,1.08797,0.78817,0.70287,0.79345,0.53399,1.138,0.85115,1.09895,0.00519143,0.00519143,0.00519143
36,2783.46,1.2275,0.91562,1.08303,0.79334,0.69926,0.79366,0.53452,1.13947,0.85471,1.09782,0.00505,0.00505,0.00505
37,2860.7,1.2042,0.90386,1.07784,0.77555,0.71631,0.79715,0.54058,1.12752,0.85287,1.0941,0.00490857,0.00490857,0.00490857
38,2937.55,1.2029,0.90312,1.07971,0.78322,0.70655,0.79855,0.53945,1.11402,0.84587,1.08621,0.00476714,0.00476714,0.00476714
39,3014.47,1.2033,0.89776,1.07395,0.79735,0.70408,0.80239,0.54141,1.11814,0.83349,1.08769,0.00462571,0.00462571,0.00462571
40,3091.86,1.18951,0.87715,1.07223,0.77716,0.7213,0.80423,0.5421,1.12219,0.83669,1.09627,0.00448429,0.00448429,0.00448429
41,3168.76,1.1888,0.87735,1.06952,0.79569,0.71861,0.80668,0.54576,1.11552,0.8227,1.08967,0.00434286,0.00434286,0.00434286
42,3245.67,1.18938,0.8678,1.06786,0.7919,0.71785,0.80939,0.55048,1.11242,0.81356,1.08538,0.00420143,0.00420143,0.00420143
43,3322.36,1.18052,0.8632,1.06364,0.79152,0.7213,0.8097,0.55146,1.10676,0.81735,1.08424,0.00406,0.00406,0.00406
44,3399.92,1.17096,0.84449,1.06194,0.79373,0.72043,0.80933,0.55131,1.10069,0.81829,1.07821,0.00391857,0.00391857,0.00391857
45,3477.15,1.17158,0.84705,1.05983,0.80021,0.721,0.80899,0.54876,1.10456,0.81717,1.07801,0.00377714,0.00377714,0.00377714
46,3554.27,1.16586,0.83496,1.05736,0.78922,0.72805,0.81208,0.55306,1.10453,0.81241,1.07927,0.00363571,0.00363571,0.00363571
47,3631.24,1.16271,0.82797,1.05629,0.80336,0.7173,0.8123,0.55136,1.10318,0.81125,1.08267,0.00349429,0.00349429,0.00349429
48,3708.55,1.1552,0.82043,1.05428,0.80317,0.72563,0.81408,0.55071,1.10731,0.80525,1.08877,0.00335286,0.00335286,0.00335286
49,3785.19,1.15091,0.81114,1.05476,0.79036,0.7337,0.81492,0.55764,1.10034,0.79574,1.07903,0.00321143,0.00321143,0.00321143
50,3862.52,1.14919,0.80726,1.04999,0.80578,0.72774,0.81585,0.55865,1.10088,0.79243,1.07912,0.00307,0.00307,0.00307
51,3939.64,1.14173,0.79766,1.04695,0.81241,0.72079,0.81619,0.55851,1.09537,0.79371,1.07644,0.00292857,0.00292857,0.00292857
52,4016.48,1.12709,0.78174,1.0468,0.80174,0.72973,0.81884,0.56143,1.09173,0.79088,1.07915,0.00278714,0.00278714,0.00278714
53,4093.44,1.12748,0.77934,1.04131,0.80831,0.73091,0.82067,0.56018,1.09844,0.78907,1.08179,0.00264571,0.00264571,0.00264571
54,4169.65,1.12403,0.77541,1.03981,0.80881,0.73584,0.82072,0.56143,1.09975,0.7846,1.08187,0.00250429,0.00250429,0.00250429
55,4246.55,1.10829,0.76136,1.03689,0.79822,0.7411,0.81958,0.56176,1.09708,0.78081,1.08073,0.00236286,0.00236286,0.00236286
56,4323.04,1.10587,0.75121,1.03206,0.80341,0.73216,0.819,0.56046,1.10109,0.779,1.08221,0.00222143,0.00222143,0.00222143
57,4398.75,1.11286,0.75236,1.03613,0.80533,0.73842,0.81856,0.55959,1.10153,0.78347,1.08435,0.00208,0.00208,0.00208
58,4474.82,1.09648,0.73794,1.02833,0.80629,0.73654,0.81932,0.56146,1.10306,0.77858,1.07951,0.00193857,0.00193857,0.00193857
59,4550.61,1.0905,0.73385,1.02415,0.81058,0.73623,0.82113,0.5614,1.10215,0.77698,1.08053,0.00179714,0.00179714,0.00179714
60,4626.4,1.09232,0.72897,1.02476,0.80096,0.74154,0.82199,0.56392,1.10211,0.77232,1.08231,0.00165571,0.00165571,0.00165571
61,4706.8,1.04149,0.65487,1.02111,0.8027,0.73984,0.8225,0.56398,1.10129,0.77493,1.0812,0.00151429,0.00151429,0.00151429
62,4786.09,1.03411,0.63375,1.01591,0.80309,0.74012,0.82236,0.56417,1.10284,0.7759,1.08353,0.00137286,0.00137286,0.00137286
63,4865.51,1.01987,0.62696,1.00904,0.81075,0.7383,0.82213,0.56392,1.10492,0.77578,1.08635,0.00123143,0.00123143,0.00123143
64,4944.87,1.01636,0.61732,1.00783,0.82139,0.73239,0.8224,0.56398,1.1057,0.77752,1.08905,0.00109,0.00109,0.00109
65,5021.65,1.00614,0.60691,1.00491,0.81473,0.73788,0.82185,0.56374,1.10846,0.77806,1.0905,0.000948571,0.000948571,0.000948571
66,5099.09,0.99956,0.59625,1.00061,0.81015,0.74235,0.82279,0.5642,1.10975,0.77754,1.09185,0.000807143,0.000807143,0.000807143
67,5176.98,0.99697,0.5894,0.99875,0.8196,0.73311,0.82228,0.56378,1.11251,0.77906,1.09404,0.000665714,0.000665714,0.000665714
68,5254.94,0.98854,0.58206,0.99501,0.8131,0.73787,0.82202,0.56327,1.11202,0.77619,1.09374,0.000524286,0.000524286,0.000524286
69,5334.85,0.978,0.57105,0.99129,0.81214,0.73987,0.8226,0.56344,1.11296,0.77565,1.09362,0.000382857,0.000382857,0.000382857
70,5416.06,0.97636,0.56613,0.99005,0.80783,0.74289,0.82178,0.56299,1.11492,0.77736,1.09422,0.000241429,0.000241429,0.000241429
