epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,77.9574,1.349,1.7353,1.24587,0.65131,0.57035,0.64193,0.4075,1.12149,1.16565,1.12621,0.00331224,0.00331224,0.00331224
2,156.316,1.33493,1.35182,1.18413,0.56625,0.54079,0.54624,0.29246,1.35603,1.86192,1.28238,0.00655158,0.00655158,0.00655158
3,242.587,1.46357,1.50297,1.24947,0.25836,0.28222,0.19441,0.08675,1.89278,inf,1.76019,0.00969664,0.00969664,0.00969664
4,321.393,1.53287,1.62046,1.30819,0.43863,0.44631,0.41816,0.22095,1.53589,4.75722,1.43257,0.00957571,0.00957571,0.00957571
5,399.328,1.46182,1.50373,1.28157,0.54576,0.50288,0.52655,0.29268,1.39734,2.46092,1.33567,0.00943429,0.00943429,0.00943429
6,475.748,1.41249,1.42466,1.25195,0.63474,0.55968,0.61157,0.36064,1.30441,1.38763,1.2698,0.00929286,0.00929286,0.00929286
7,552.976,1.3721,1.36159,1.23572,0.66014,0.56348,0.61808,0.37314,1.26812,1.44005,1.24659,0.00915143,0.00915143,0.00915143
8,632.504,1.3503,1.31861,1.22532,0.63339,0.57739,0.61201,0.37304,1.24626,1.52061,1.2282,0.00901,0.00901,0.00901
9,710.074,1.33445,1.28604,1.21739,0.68177,0.6141,0.6729,0.41174,1.2292,1.2863,1.22287,0.00886857,0.00886857,0.00886857
10,788.02,1.31071,1.24762,1.20225,0.66904,0.60864,0.66889,0.41764,1.22355,1.15288,1.20321,0.00872714,0.00872714,0.00872714
11,865.936,1.29671,1.22415,1.19778,0.67362,0.63304,0.69072,0.42901,1.18578,1.26177,1.20685,0.00858571,0.00858571,0.00858571
12,943.644,1.27732,1.20361,1.1913,0.70474,0.63285,0.70249,0.44497,1.18,1.14186,1.19318,0.00844429,0.00844429,0.00844429
13,1021.2,1.27352,1.17805,1.18351,0.70909,0.63122,0.70646,0.45102,1.16767,1.09839,1.19159,0.00830286,0.00830286,0.00830286
14,1098.19,1.25922,1.15994,1.17455,0.71893,0.64507,0.71854,0.45865,1.16829,1.06034,1.18663,0.00816143,0.00816143,0.00816143
15,1174.88,1.24509,1.13777,1.16796,0.7303,0.63909,0.72692,0.4675,1.14937,1.04452,1.19179,0.00802,0.00802,0.00802
16,1253.14,1.24158,1.12851,1.17295,0.7442,0.65174,0.73923,0.47172,1.14652,1.01002,1.17627,0.00787857,0.00787857,0.00787857
17,1331.49,1.22805,1.11115,1.15913,0.75112,0.63965,0.73772,0.47382,1.14452,1.01597,1.16719,0.00773714,0.00773714,0.00773714
18,1408.54,1.21865,1.10174,1.15927,0.73578,0.6637,0.74161,0.48269,1.12909,0.99018,1.16932,0.00759571,0.00759571,0.00759571
19,1485.14,1.21483,1.09329,1.15719,0.74414,0.65941,0.74722,0.48981,1.11621,0.99437,1.15705,0.00745429,0.00745429,0.00745429
20,1561.8,1.20708,1.07262,1.1489,0.76462,0.65722,0.7573,0.49542,1.11597,0.96097,1.13805,0.00731286,0.00731286,0.00731286
21,1639.81,1.19071,1.05397,1.14708,0.76759,0.65821,0.75711,0.49766,1.09257,0.95822,1.14392,0.00717143,0.00717143,0.00717143
22,1717.9,1.19145,1.05364,1.14111,0.74574,0.66774,0.75596,0.49527,1.09509,0.96582,1.13782,0.00703,0.00703,0.00703
