epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,78.825,1.4102,1.73732,1.24517,0.65769,0.59911,0.66328,0.41625,1.18673,1.15182,1.13487,0.00331224,0.00331224,0.00331224
2,156.538,1.40148,1.34994,1.18709,0.60789,0.55316,0.57913,0.32341,1.37926,1.60396,1.24945,0.00655158,0.00655158,0.00655158
3,242.007,1.53711,1.50979,1.25136,0.31778,0.28628,0.21974,0.10069,1.88559,inf,1.63406,0.00969664,0.00969664,0.00969664
4,320.654,1.60574,1.61508,1.31052,0.4759,0.48131,0.45925,0.24147,1.54097,2.94259,1.38771,0.00957571,0.00957571,0.00957571
5,399.703,1.5324,1.51423,1.28062,0.5555,0.51081,0.51736,0.28375,1.48363,2.27732,1.34477,0.00943429,0.00943429,0.00943429
6,477.957,1.49229,1.4256,1.25952,0.61505,0.53913,0.58193,0.32731,1.47726,1.87994,1.32769,0.00929286,0.00929286,0.00929286
7,556.432,1.43934,1.36265,1.23735,0.63999,0.58882,0.62069,0.37336,1.31485,1.38865,1.24919,0.00915143,0.00915143,0.00915143
8,633.946,1.4178,1.31861,1.23009,0.65856,0.59228,0.65074,0.39498,1.33469,1.3284,1.23855,0.00901,0.00901,0.00901
9,713.611,1.39733,1.28644,1.22279,0.67747,0.60465,0.65845,0.39744,1.30351,1.35047,1.23598,0.00886857,0.00886857,0.00886857
10,792.595,1.3764,1.25144,1.20839,0.70112,0.60869,0.68755,0.43162,1.25489,1.18466,1.21381,0.00872714,0.00872714,0.00872714
11,870.995,1.36261,1.22465,1.20413,0.70304,0.60949,0.69058,0.43293,1.23981,1.18161,1.19958,0.00858571,0.00858571,0.00858571
12,948.985,1.34053,1.20387,1.19492,0.70168,0.62435,0.70045,0.43889,1.22948,1.10934,1.1887,0.00844429,0.00844429,0.00844429
13,1027.05,1.33018,1.17486,1.18474,0.69896,0.62376,0.6962,0.44051,1.23009,1.12214,1.19597,0.00830286,0.00830286,0.00830286
14,1104.38,1.31542,1.15995,1.17544,0.72208,0.63683,0.7217,0.45879,1.21107,1.04876,1.18137,0.00816143,0.00816143,0.00816143
15,1181.16,1.30299,1.13911,1.16916,0.72728,0.6658,0.7364,0.46874,1.19963,1.03571,1.1805,0.00802,0.00802,0.00802
16,1258.84,1.29299,1.12501,1.16957,0.74284,0.64009,0.72446,0.45261,1.21731,1.05184,1.17655,0.00787857,0.00787857,0.00787857
17,1334.91,1.28098,1.1086,1.15831,0.74137,0.64458,0.73324,0.47564,1.1841,1.00959,1.17259,0.00773714,0.00773714,0.00773714
18,1411.18,1.26744,1.10057,1.15775,0.75454,0.65986,0.74974,0.48496,1.16471,0.99451,1.15769,0.00759571,0.00759571,0.00759571
19,1489.04,1.26605,1.08879,1.15884,0.75077,0.6563,0.75227,0.49078,1.18029,0.96974,1.16828,0.00745429,0.00745429,0.00745429
20,1566.7,1.25682,1.07107,1.14942,0.75095,0.669,0.7589,0.4975,1.14909,0.95994,1.14495,0.00731286,0.00731286,0.00731286
21,1644.8,1.23375,1.04924,1.14718,0.73247,0.69035,0.76022,0.49694,1.15005,0.95568,1.14417,0.00717143,0.00717143,0.00717143
22,1721.22,1.23677,1.05202,1.14224,0.74467,0.66993,0.75877,0.49722,1.1546,0.9631,1.13435,0.00703,0.00703,0.00703
23,1797.5,1.22788,1.02869,1.13871,0.74108,0.68079,0.75717,0.49521,1.14809,0.97709,1.14618,0.00688857,0.00688857,0.00688857
24,1873.54,1.22204,1.02264,1.1333,0.76011,0.68957,0.77396,0.51329,1.13278,0.91816,1.13322,0.00674714,0.00674714,0.00674714
25,1950.33,1.21159,1.003,1.13066,0.78114,0.67721,0.77853,0.51657,1.12789,0.91568,1.13867,0.00660571,0.00660571,0.00660571
26,2026.75,1.21087,1.00079,1.13144,0.77144,0.68523,0.77478,0.5106,1.13042,0.92087,1.13572,0.00646429,0.00646429,0.00646429
27,2102.79,1.19196,0.98061,1.12251,0.7542,0.70194,0.77884,0.52031,1.12358,0.89839,1.13199,0.00632286,0.00632286,0.00632286
28,2179.37,1.19109,0.97875,1.12239,0.77963,0.6868,0.78113,0.51969,1.12185,0.89625,1.13039,0.00618143,0.00618143,0.00618143
29,2255.76,1.18014,0.96582,1.1187,0.76918,0.68888,0.78058,0.52202,1.10088,0.9063,1.12099,0.00604,0.00604,0.00604
30,2332.09,1.17703,0.96645,1.1166,0.77018,0.69494,0.7858,0.52457,1.1124,0.89753,1.11853,0.00589857,0.00589857,0.00589857
31,2409.27,1.16793,0.94265,1.1115,0.77857,0.69747,0.78741,0.52879,1.10599,0.87257,1.12919,0.00575714,0.00575714,0.00575714
32,2487.3,1.16017,0.93337,1.10668,0.78409,0.69537,0.79286,0.53252,1.10576,0.86248,1.12116,0.00561571,0.00561571,0.00561571
33,2563.7,1.16461,0.93371,1.10893,0.78983,0.70432,0.79756,0.53568,1.09473,0.86615,1.12013,0.00547429,0.00547429,0.00547429
34,2641.44,1.15567,0.91772,1.10271,0.78458,0.70792,0.79818,0.53954,1.08874,0.84924,1.10963,0.00533286,0.00533286,0.00533286
35,2719.25,1.14886,0.90927,1.10313,0.80135,0.69583,0.79724,0.53707,1.08926,0.85705,1.11804,0.00519143,0.00519143,0.00519143
36,2795.51,1.14431,0.90407,1.09769,0.78385,0.71214,0.80081,0.53741,1.09895,0.85526,1.11165,0.00505,0.00505,0.00505
37,2872.91,1.12893,0.88941,1.09602,0.78349,0.71104,0.80244,0.54533,1.08595,0.84143,1.11188,0.00490857,0.00490857,0.00490857
38,2950.63,1.12593,0.88746,1.09577,0.78195,0.72102,0.80481,0.54565,1.0771,0.83652,1.10712,0.00476714,0.00476714,0.00476714
39,3027.4,1.12526,0.88605,1.09233,0.78887,0.71607,0.80486,0.54699,1.07691,0.82733,1.10943,0.00462571,0.00462571,0.00462571
40,3105.14,1.11094,0.86126,1.08561,0.80356,0.70857,0.80927,0.5501,1.07233,0.82113,1.10518,0.00448429,0.00448429,0.00448429
41,3181.78,1.11083,0.8632,1.08259,0.79703,0.71868,0.80771,0.54937,1.06968,0.81374,1.09963,0.00434286,0.00434286,0.00434286
42,3259.73,1.10889,0.8527,1.0809,0.78429,0.73017,0.80913,0.55216,1.07027,0.82126,1.09894,0.00420143,0.00420143,0.00420143
43,3338.21,1.10102,0.85003,1.07793,0.79358,0.72692,0.81253,0.55513,1.06629,0.81297,1.09961,0.00406,0.00406,0.00406
44,3415.31,1.09143,0.83614,1.07719,0.79412,0.72927,0.81704,0.5573,1.06718,0.80126,1.09704,0.00391857,0.00391857,0.00391857
45,3492.42,1.09333,0.83656,1.07529,0.80064,0.71998,0.81289,0.55644,1.06141,0.8088,1.09546,0.00377714,0.00377714,0.00377714
46,3569.61,1.08257,0.82301,1.07124,0.79766,0.72782,0.81558,0.55702,1.06852,0.80418,1.09894,0.00363571,0.00363571,0.00363571
47,3647.45,1.08066,0.81281,1.06989,0.80562,0.72303,0.81362,0.55464,1.07192,0.80354,1.1036,0.00349429,0.00349429,0.00349429
48,3725.43,1.0709,0.80592,1.06723,0.79502,0.7338,0.81656,0.55829,1.06748,0.79998,1.10167,0.00335286,0.00335286,0.00335286
49,3803.54,1.06598,0.79659,1.06572,0.79998,0.72861,0.81469,0.55942,1.06053,0.80246,1.09681,0.00321143,0.00321143,0.00321143
50,3881.61,1.06199,0.7909,1.06119,0.81311,0.71858,0.81642,0.56173,1.06376,0.79235,1.10033,0.00307,0.00307,0.00307
51,3958.52,1.05741,0.78259,1.05943,0.79345,0.73969,0.81785,0.56321,1.06116,0.79173,1.09532,0.00292857,0.00292857,0.00292857
52,4035.97,1.0456,0.76731,1.05815,0.80124,0.72941,0.81641,0.55996,1.06732,0.79279,1.10165,0.00278714,0.00278714,0.00278714
53,4113.76,1.04391,0.76711,1.05501,0.79347,0.73648,0.82118,0.56369,1.06382,0.78616,1.09976,0.00264571,0.00264571,0.00264571
54,4191.81,1.03595,0.76157,1.05011,0.80257,0.72876,0.81823,0.56248,1.06339,0.79483,1.09891,0.00250429,0.00250429,0.00250429
55,4269.65,1.02317,0.74448,1.04821,0.80659,0.73721,0.82066,0.56344,1.06446,0.78565,1.10076,0.00236286,0.00236286,0.00236286
56,4347.45,1.02365,0.74271,1.04626,0.81236,0.73338,0.82216,0.56435,1.06219,0.77918,1.10168,0.00222143,0.00222143,0.00222143
57,4424.27,1.0242,0.74046,1.04858,0.8062,0.7349,0.82061,0.56456,1.06151,0.7853,1.10071,0.00208,0.00208,0.00208
58,4500.4,1.01167,0.72599,1.04264,0.80087,0.74209,0.82195,0.56624,1.06545,0.77949,1.10159,0.00193857,0.00193857,0.00193857
59,4576.75,1.00499,0.72522,1.03578,0.8028,0.74025,0.82016,0.56438,1.06331,0.77747,1.1019,0.00179714,0.00179714,0.00179714
60,4652.97,1.00233,0.71516,1.03707,0.80044,0.74218,0.82072,0.56497,1.06679,0.77822,1.10566,0.00165571,0.00165571,0.00165571
61,4730.45,0.96567,0.64297,1.03253,0.81084,0.73887,0.82047,0.56443,1.06277,0.78132,1.10115,0.00151429,0.00151429,0.00151429
62,4808.88,0.95239,0.61943,1.02545,0.80349,0.74162,0.81918,0.56373,1.06778,0.78243,1.10769,0.00137286,0.00137286,0.00137286
63,4888.13,0.94473,0.61195,1.02111,0.81129,0.74181,0.82013,0.56415,1.0688,0.78027,1.10703,0.00123143,0.00123143,0.00123143
64,4967.62,0.93772,0.60311,1.01893,0.80526,0.74621,0.82057,0.56438,1.06789,0.78277,1.10887,0.00109,0.00109,0.00109
65,5047.29,0.92869,0.59258,1.01509,0.80482,0.74352,0.81929,0.56359,1.06867,0.78471,1.10808,0.000948571,0.000948571,0.000948571
66,5127.07,0.9232,0.58419,1.01283,0.81196,0.73722,0.81986,0.56352,1.06919,0.78132,1.109,0.000807143,0.000807143,0.000807143
67,5207.11,0.91768,0.5799,1.01013,0.80674,0.74078,0.81955,0.56294,1.07102,0.78202,1.1102,0.000665714,0.000665714,0.000665714
68,5285.53,0.90522,0.56555,1.00414,0.80904,0.74112,0.8191,0.56231,1.0731,0.78499,1.11183,0.000524286,0.000524286,0.000524286
69,5364.63,0.90101,0.56242,1.00228,0.80607,0.74256,0.81938,0.56166,1.07417,0.78847,1.11272,0.000382857,0.000382857,0.000382857
70,5443.03,0.89649,0.55609,1.00162,0.80563,0.74146,0.81876,0.56107,1.07662,0.79182,1.11444,0.000241429,0.000241429,0.000241429
