epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,77.3873,1.34827,1.73811,1.24626,0.67112,0.60071,0.66578,0.41408,1.15902,1.18152,1.14814,0.00331224,0.00331224,0.00331224
2,155.288,1.34279,1.35044,1.18243,0.62575,0.53383,0.56845,0.32203,1.31325,1.48873,1.21386,0.00655158,0.00655158,0.00655158
3,235.037,1.47392,1.50637,1.25195,0.40024,0.37175,0.33346,0.1584,1.73457,5.72791,1.60781,0.00969664,0.00969664,0.00969664
4,312.141,1.54481,1.6222,1.31333,0.50072,0.49651,0.47845,0.24611,1.52872,2.3838,1.39175,0.00957571,0.00957571,0.00957571
5,390.478,1.47661,1.50065,1.28674,0.57746,0.54386,0.5649,0.31832,1.40709,1.86696,1.34515,0.00943429,0.00943429,0.00943429
6,468.371,1.42979,1.42092,1.25814,0.61652,0.55689,0.60101,0.34881,1.36106,1.50639,1.31244,0.00929286,0.00929286,0.00929286
7,546.936,1.38272,1.35975,1.23855,0.65281,0.58741,0.63687,0.38421,1.27863,1.34106,1.2486,0.00915143,0.00915143,0.00915143
8,624.899,1.36045,1.31851,1.23114,0.61721,0.57879,0.61484,0.37436,1.26689,1.54166,1.23862,0.00901,0.00901,0.00901
9,701.696,1.33803,1.28336,1.22128,0.69094,0.59995,0.6689,0.41322,1.2321,1.21502,1.22585,0.00886857,0.00886857,0.00886857
10,778.808,1.31944,1.24754,1.20711,0.67741,0.61979,0.68007,0.42382,1.22417,1.21568,1.22353,0.00872714,0.00872714,0.00872714
11,855.512,1.30566,1.22512,1.19823,0.66445,0.61698,0.67631,0.41946,1.2121,1.25998,1.19973,0.00858571,0.00858571,0.00858571
12,932.233,1.28366,1.19764,1.19058,0.69711,0.62752,0.70556,0.44513,1.17152,1.11083,1.1875,0.00844429,0.00844429,0.00844429
13,1008.54,1.27553,1.17049,1.18001,0.69043,0.63874,0.7066,0.44711,1.17932,1.10786,1.19174,0.00830286,0.00830286,0.00830286
14,1086.42,1.2625,1.15761,1.17472,0.71381,0.65618,0.72856,0.46435,1.17755,1.03805,1.17961,0.00816143,0.00816143,0.00816143
15,1164.07,1.25132,1.13572,1.16825,0.71861,0.65085,0.72799,0.46483,1.15448,1.0456,1.18007,0.00802,0.00802,0.00802
16,1240.49,1.24416,1.12089,1.16812,0.72112,0.66281,0.74031,0.47788,1.1324,1.00833,1.16744,0.00787857,0.00787857,0.00787857
17,1317,1.23204,1.09887,1.15803,0.73331,0.64412,0.73168,0.47629,1.13064,1.00835,1.15959,0.00773714,0.00773714,0.00773714
18,1393.09,1.22258,1.09738,1.15802,0.74486,0.65854,0.74496,0.48404,1.11578,0.99603,1.15787,0.00759571,0.00759571,0.00759571
19,1470.6,1.21764,1.08675,1.15756,0.7638,0.65755,0.75277,0.49373,1.11832,0.98178,1.15216,0.00745429,0.00745429,0.00745429
20,1547.02,1.21418,1.06861,1.14961,0.74619,0.67528,0.754,0.48937,1.12246,0.97259,1.15656,0.00731286,0.00731286,0.00731286
21,1625.4,1.1922,1.04719,1.14587,0.75965,0.66696,0.75979,0.49743,1.09616,0.96056,1.1475,0.00717143,0.00717143,0.00717143
22,1702.27,1.19392,1.04182,1.14084,0.76528,0.67326,0.77031,0.50963,1.0903,0.93022,1.13412,0.00703,0.00703,0.00703
23,1779.59,1.18772,1.02615,1.13757,0.76258,0.68836,0.77047,0.50919,1.09163,0.93476,1.13117,0.00688857,0.00688857,0.00688857
24,1856.82,1.17734,1.0141,1.13123,0.77048,0.68152,0.77209,0.51023,1.08022,0.93364,1.12752,0.00674714,0.00674714,0.00674714
25,1933.74,1.17046,1.00031,1.12661,0.77209,0.68559,0.7766,0.51615,1.07977,0.9078,1.12713,0.00660571,0.00660571,0.00660571
26,2011.49,1.17007,0.99674,1.12488,0.76874,0.67804,0.77266,0.5122,1.07863,0.91449,1.13573,0.00646429,0.00646429,0.00646429
27,2087.48,1.15409,0.97755,1.1197,0.76131,0.69974,0.78621,0.52328,1.08394,0.88467,1.13059,0.00632286,0.00632286,0.00632286
28,2163.46,1.15308,0.97627,1.1219,0.78662,0.68659,0.78703,0.52344,1.07014,0.89378,1.128,0.00618143,0.00618143,0.00618143
29,2239.69,1.14504,0.96176,1.11433,0.76584,0.7005,0.78484,0.52434,1.06049,0.88209,1.11832,0.00604,0.00604,0.00604
30,2315.86,1.14047,0.95698,1.11735,0.77395,0.70258,0.79071,0.53008,1.05703,0.87984,1.12215,0.00589857,0.00589857,0.00589857
31,2392.08,1.13478,0.93853,1.10801,0.78303,0.69869,0.79272,0.53364,1.05432,0.86572,1.11809,0.00575714,0.00575714,0.00575714
32,2469.14,1.12883,0.93183,1.10398,0.78199,0.69851,0.79459,0.53571,1.05086,0.85731,1.11568,0.00561571,0.00561571,0.00561571
33,2546.04,1.13403,0.93383,1.10897,0.78972,0.70924,0.7997,0.53772,1.04506,0.85678,1.11532,0.00547429,0.00547429,0.00547429
34,2623.68,1.12373,0.9139,1.10159,0.7958,0.70139,0.80195,0.54491,1.04144,0.84122,1.11453,0.00533286,0.00533286,0.00533286
35,2700.99,1.11539,0.904,1.10094,0.79578,0.71121,0.80492,0.5427,1.0446,0.84483,1.1154,0.00519143,0.00519143,0.00519143
36,2778.6,1.11713,0.90229,1.09907,0.78583,0.7138,0.80221,0.54174,1.04484,0.83688,1.11506,0.00505,0.00505,0.00505
37,2855.32,1.09993,0.8857,1.09047,0.79998,0.70979,0.80627,0.54781,1.03156,0.83775,1.09739,0.00490857,0.00490857,0.00490857
38,2932.12,1.09649,0.8804,1.09146,0.79097,0.71424,0.80767,0.54841,1.02732,0.82698,1.1006,0.00476714,0.00476714,0.00476714
39,3008.41,1.09889,0.8804,1.08959,0.79505,0.71384,0.80797,0.54982,1.02851,0.82271,1.10273,0.00462571,0.00462571,0.00462571
40,3086.4,1.08637,0.85779,1.08229,0.78869,0.71364,0.8098,0.55152,1.03225,0.81527,1.10357,0.00448429,0.00448429,0.00448429
41,3163.79,1.08455,0.85617,1.08112,0.78873,0.7289,0.81118,0.55248,1.02305,0.80716,1.09845,0.00434286,0.00434286,0.00434286
42,3240.83,1.08669,0.84902,1.08193,0.80444,0.71402,0.81152,0.55171,1.02498,0.82185,1.10095,0.00420143,0.00420143,0.00420143
43,3317.4,1.07623,0.84527,1.07828,0.79611,0.72353,0.81562,0.5558,1.02212,0.80235,1.09814,0.00406,0.00406,0.00406
44,3394.67,1.06839,0.83083,1.07686,0.80384,0.7234,0.81796,0.55834,1.01977,0.80077,1.09922,0.00391857,0.00391857,0.00391857
45,3470.87,1.07018,0.82827,1.07392,0.80147,0.72095,0.81501,0.55701,1.02027,0.80522,1.10365,0.00377714,0.00377714,0.00377714
46,3547.09,1.06267,0.81663,1.07165,0.80416,0.72614,0.81689,0.55912,1.0168,0.80261,1.09642,0.00363571,0.00363571,0.00363571
47,3624.53,1.06145,0.80879,1.06929,0.79482,0.73506,0.81874,0.56045,1.01706,0.79267,1.09571,0.00349429,0.00349429,0.00349429
48,3701.91,1.05335,0.80282,1.06691,0.80165,0.72845,0.81549,0.55477,1.01948,0.80247,1.09992,0.00335286,0.00335286,0.00335286
49,3779.44,1.04934,0.79017,1.06648,0.79331,0.73837,0.81717,0.55736,1.0213,0.79623,1.10166,0.00321143,0.00321143,0.00321143
50,3855.61,1.04729,0.79061,1.06146,0.80295,0.72984,0.81998,0.56295,1.01343,0.78466,1.09605,0.00307,0.00307,0.00307
51,3933.25,1.04224,0.77957,1.05754,0.79475,0.73755,0.81668,0.5593,1.01723,0.7909,1.09319,0.00292857,0.00292857,0.00292857
52,4009.45,1.02837,0.76385,1.05599,0.8019,0.73478,0.81998,0.56124,1.02036,0.79587,1.09638,0.00278714,0.00278714,0.00278714
53,4085.52,1.02878,0.76344,1.05269,0.80781,0.73583,0.82191,0.56384,1.01305,0.784,1.09429,0.00264571,0.00264571,0.00264571
54,4162.25,1.02265,0.75361,1.04881,0.79495,0.74662,0.82072,0.56418,1.00988,0.78693,1.09082,0.00250429,0.00250429,0.00250429
55,4239.13,1.01018,0.74514,1.04691,0.79798,0.75089,0.82318,0.56559,1.01203,0.77855,1.09633,0.00236286,0.00236286,0.00236286
56,4315.22,1.01175,0.73578,1.04367,0.7974,0.74626,0.82334,0.56535,1.01658,0.77542,1.0964,0.00222143,0.00222143,0.00222143
57,4392.97,1.01558,0.73824,1.04787,0.79432,0.74971,0.8237,0.56754,1.01469,0.77636,1.09735,0.00208,0.00208,0.00208
58,4470.15,1.00034,0.72317,1.03894,0.81338,0.74182,0.82527,0.56745,1.02016,0.77556,1.10081,0.00193857,0.00193857,0.00193857
59,4547.94,0.99503,0.71875,1.03448,0.81057,0.74091,0.82403,0.56574,1.02076,0.77722,1.10231,0.00179714,0.00179714,0.00179714
60,4624.06,0.99242,0.71269,1.03421,0.80631,0.74404,0.8244,0.56742,1.0175,0.77607,1.10245,0.00165571,0.00165571,0.00165571
61,4704.34,0.95952,0.63872,1.03116,0.80127,0.75032,0.82439,0.56574,1.01863,0.77778,1.10246,0.00151429,0.00151429,0.00151429
62,4784.06,0.94791,0.61825,1.02425,0.80767,0.74325,0.82376,0.56605,1.02112,0.7756,1.10572,0.00137286,0.00137286,0.00137286
63,4863.67,0.93674,0.61011,1.01807,0.80299,0.7441,0.82429,0.56635,1.02037,0.77642,1.10663,0.00123143,0.00123143,0.00123143
64,4943.95,0.93325,0.60026,1.01572,0.79575,0.75181,0.82459,0.56665,1.0237,0.77371,1.11018,0.00109,0.00109,0.00109
65,5023.28,0.92329,0.59178,1.011,0.80469,0.74762,0.82437,0.56627,1.02529,0.77694,1.11125,0.000948571,0.000948571,0.000948571
66,5103.09,0.9186,0.58317,1.00904,0.81331,0.74371,0.82467,0.56619,1.02636,0.77788,1.11204,0.000807143,0.000807143,0.000807143
67,5182.97,0.9132,0.57647,1.0058,0.80985,0.74685,0.825,0.56592,1.02645,0.77701,1.11178,0.000665714,0.000665714,0.000665714
68,5260.41,0.90522,0.56582,1.00129,0.80959,0.74625,0.82326,0.56551,1.02759,0.7779,1.11417,0.000524286,0.000524286,0.000524286
69,5339.57,0.89948,0.55872,1.00183,0.80619,0.74731,0.82283,0.56555,1.0279,0.77842,1.11582,0.000382857,0.000382857,0.000382857
70,5415.6,0.89676,0.55283,0.99926,0.80291,0.74887,0.82185,0.56472,1.0286,0.78102,1.11635,0.000241429,0.000241429,0.000241429
