epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,77.7532,1.27468,1.79507,1.22539,0.66629,0.58663,0.6572,0.41978,1.08863,1.15166,1.09311,0.00331224,0.00331224,0.00331224
2,156.242,1.27816,1.40132,1.16121,0.56301,0.5449,0.56884,0.31517,1.31604,1.60823,1.20771,0.00655158,0.00655158,0.00655158
3,236.863,1.40752,1.56979,1.23847,0.34631,0.36603,0.30434,0.15022,1.6398,5.87044,1.55672,0.00969664,0.00969664,0.00969664
4,316.091,1.48253,1.69552,1.30683,0.46597,0.46178,0.44578,0.23406,1.50656,2.94587,1.40212,0.00957571,0.00957571,0.00957571
5,394.013,1.40751,1.57129,1.26836,0.55711,0.49881,0.5238,0.28784,1.37328,2.19922,1.3383,0.00943429,0.00943429,0.00943429
6,472.749,1.36433,1.48888,1.24424,0.61178,0.53838,0.58589,0.33802,1.30314,1.58682,1.29564,0.00929286,0.00929286,0.00929286
7,550.715,1.32291,1.42868,1.22585,0.60487,0.55662,0.58807,0.35538,1.23437,1.52949,1.25573,0.00915143,0.00915143,0.00915143
8,630.054,1.29948,1.37911,1.21847,0.60147,0.53334,0.57937,0.34844,1.22219,1.73458,1.22706,0.00901,0.00901,0.00901
9,708.566,1.28163,1.34815,1.20727,0.67805,0.5875,0.66125,0.40931,1.16925,1.30462,1.21588,0.00886857,0.00886857,0.00886857
10,786.802,1.2612,1.3049,1.19211,0.66575,0.60352,0.6637,0.41392,1.15364,1.21131,1.19228,0.00872714,0.00872714,0.00872714
11,865.926,1.24406,1.2824,1.18586,0.65821,0.61727,0.67073,0.42232,1.14219,1.24935,1.1925,0.00858571,0.00858571,0.00858571
12,945.088,1.22935,1.26239,1.17825,0.66149,0.6255,0.68014,0.42592,1.1294,1.26701,1.18204,0.00844429,0.00844429,0.00844429
13,1021.95,1.21938,1.23259,1.17036,0.7022,0.62883,0.70319,0.44894,1.10981,1.13174,1.17546,0.00830286,0.00830286,0.00830286
14,1098.31,1.20514,1.21458,1.15768,0.70946,0.63063,0.70516,0.45129,1.10691,1.10505,1.16607,0.00816143,0.00816143,0.00816143
15,1174.41,1.19493,1.19243,1.15522,0.70822,0.65159,0.71849,0.46041,1.09129,1.07946,1.16428,0.00802,0.00802,0.00802
16,1252.03,1.18674,1.17795,1.15333,0.72194,0.65319,0.72907,0.47237,1.07524,1.06189,1.15796,0.00787857,0.00787857,0.00787857
17,1329.78,1.17596,1.1587,1.14105,0.72013,0.64945,0.72783,0.47191,1.08284,1.04709,1.1512,0.00773714,0.00773714,0.00773714
18,1407.81,1.16612,1.15459,1.14177,0.73797,0.65526,0.74104,0.48011,1.07785,1.03202,1.15676,0.00759571,0.00759571,0.00759571
19,1485.6,1.16363,1.14699,1.1398,0.72991,0.66293,0.74017,0.48584,1.05153,1.03489,1.13669,0.00745429,0.00745429,0.00745429
20,1563.89,1.15444,1.12449,1.13456,0.73991,0.67247,0.75636,0.49592,1.05034,1.00768,1.13252,0.00731286,0.00731286,0.00731286
21,1642.4,1.13698,1.10469,1.13089,0.72876,0.66757,0.74664,0.48943,1.03531,1.01427,1.131,0.00717143,0.00717143,0.00717143
22,1720.56,1.14151,1.10044,1.12768,0.75096,0.67209,0.76427,0.50442,1.04576,0.98176,1.12953,0.00703,0.00703,0.00703
23,1797.52,1.131,1.08286,1.12105,0.74361,0.67374,0.75529,0.49597,1.03816,0.99992,1.13707,0.00688857,0.00688857,0.00688857
24,1873.66,1.12382,1.07096,1.11684,0.75597,0.66479,0.75535,0.49791,1.04265,0.99023,1.12744,0.00674714,0.00674714,0.00674714
25,1951.45,1.11749,1.0562,1.11281,0.75128,0.67322,0.76554,0.50956,1.02224,0.95933,1.12105,0.00660571,0.00660571,0.00660571
26,2029.72,1.11551,1.05174,1.11089,0.77736,0.67518,0.77098,0.51213,1.02529,0.9665,1.12064,0.00646429,0.00646429,0.00646429
27,2107.63,1.10115,1.03223,1.105,0.76047,0.68729,0.77692,0.52032,1.01298,0.94001,1.11051,0.00632286,0.00632286,0.00632286
28,2184.02,1.10283,1.03415,1.10642,0.76219,0.68448,0.77276,0.51716,1.01595,0.94296,1.11687,0.00618143,0.00618143,0.00618143
29,2261.85,1.09116,1.01554,1.09905,0.74889,0.69199,0.77011,0.5141,1.01533,0.94657,1.11477,0.00604,0.00604,0.00604
30,2339.6,1.089,1.01159,1.10086,0.75631,0.70372,0.78035,0.52212,1.0036,0.93111,1.10863,0.00589857,0.00589857,0.00589857
31,2417.64,1.08188,0.98911,1.09396,0.76152,0.69586,0.78167,0.52607,0.99858,0.90958,1.10253,0.00575714,0.00575714,0.00575714
32,2495.01,1.07507,0.98627,1.08945,0.7697,0.70236,0.78905,0.53219,0.99328,0.90926,1.10412,0.00561571,0.00561571,0.00561571
33,2572.86,1.0803,0.98534,1.09084,0.77096,0.70815,0.78639,0.52977,0.99798,0.91409,1.10121,0.00547429,0.00547429,0.00547429
34,2649,1.06871,0.96919,1.0828,0.77593,0.69576,0.78384,0.53384,0.98491,0.90778,1.09903,0.00533286,0.00533286,0.00533286
35,2725.14,1.06482,0.95862,1.08719,0.77397,0.70597,0.7889,0.53193,0.98943,0.90782,1.10235,0.00519143,0.00519143,0.00519143
36,2803.04,1.06741,0.95336,1.08474,0.76437,0.7098,0.79258,0.53693,0.9913,0.89026,1.10357,0.00505,0.00505,0.00505
37,2881.2,1.04828,0.93551,1.07596,0.78918,0.69885,0.79378,0.54045,0.98336,0.87964,1.08975,0.00490857,0.00490857,0.00490857
