epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,140.892,0.9718,1.9125,0.7717,0.61631,0.56179,0.60177,0.353,0.7441,1.36922,0.6414,0.00332341,0.00332341,0.00332341
2,280.306,0.91564,1.56939,0.71439,0.55563,0.53075,0.53247,0.28452,0.86051,1.69766,0.69842,0.0065626,0.0065626,0.0065626
3,421.357,0.99502,1.75572,0.7624,0.39506,0.36943,0.3428,0.15998,1.04814,4.32186,0.85031,0.0097075,0.0097075,0.0097075
4,561.561,1.02101,1.80866,0.78747,0.55384,0.49807,0.51239,0.26763,0.88275,2.02401,0.73876,0.00957571,0.00957571,0.00957571
5,700.508,0.97675,1.67407,0.76835,0.65601,0.5417,0.60669,0.34326,0.79612,1.44885,0.68517,0.00943429,0.00943429,0.00943429
6,840.605,0.9405,1.58329,0.75236,0.6566,0.57687,0.63518,0.36831,0.7745,1.30257,0.67377,0.00929286,0.00929286,0.00929286
7,980.002,0.92542,1.52001,0.74559,0.6731,0.58847,0.65138,0.38432,0.74906,1.33575,0.66726,0.00915143,0.00915143,0.00915143
8,1120.5,0.90833,1.46895,0.74015,0.66105,0.60787,0.66527,0.39995,0.71926,1.1934,0.65196,0.00901,0.00901,0.00901
9,1260.89,0.89472,1.43553,0.73251,0.69746,0.6049,0.68394,0.41605,0.71555,1.15011,0.64851,0.00886857,0.00886857,0.00886857
10,1401,0.89009,1.39243,0.73367,0.72394,0.62576,0.71357,0.44518,0.68877,1.08572,0.62848,0.00872714,0.00872714,0.00872714
11,1541.54,0.88482,1.36035,0.73252,0.74389,0.63216,0.72389,0.45789,0.67204,1.04767,0.62779,0.00858571,0.00858571,0.00858571
12,1681.47,0.8746,1.33716,0.7301,0.71048,0.63966,0.71525,0.4514,0.66364,1.06295,0.62497,0.00844429,0.00844429,0.00844429
13,1820.13,0.86828,1.31194,0.72778,0.74511,0.63786,0.73184,0.46127,0.66708,1.03689,0.62271,0.00830286,0.00830286,0.00830286
14,1959.01,0.86823,1.29522,0.72882,0.76431,0.63775,0.73723,0.47202,0.65237,1.02674,0.61828,0.00816143,0.00816143,0.00816143
15,2098.56,0.86353,1.27612,0.72969,0.74749,0.65384,0.73881,0.46733,0.65566,1.0215,0.61996,0.00802,0.00802,0.00802
16,2238.8,0.86172,1.25449,0.7284,0.72893,0.67398,0.7478,0.47926,0.64156,0.99034,0.60986,0.00787857,0.00787857,0.00787857
17,2378.94,0.85416,1.23473,0.7272,0.75984,0.66119,0.75494,0.48581,0.6413,0.98467,0.61026,0.00773714,0.00773714,0.00773714
18,2517.94,0.85796,1.22168,0.73268,0.75664,0.67153,0.76338,0.49627,0.62762,0.96103,0.6084,0.00759571,0.00759571,0.00759571
19,2657.91,0.85922,1.20548,0.73304,0.77394,0.67555,0.76918,0.49825,0.63143,0.94343,0.60786,0.00745429,0.00745429,0.00745429
20,2797.58,0.8551,1.19509,0.73423,0.77855,0.67331,0.77036,0.50046,0.6271,0.93584,0.6012,0.00731286,0.00731286,0.00731286
21,2937.43,0.85296,1.17279,0.73171,0.78818,0.67733,0.77841,0.51115,0.61722,0.9184,0.59996,0.00717143,0.00717143,0.00717143
22,3076.01,0.85478,1.16768,0.73578,0.78562,0.6844,0.78107,0.51536,0.61397,0.91233,0.59779,0.00703,0.00703,0.00703
23,3215.1,0.85065,1.15092,0.73607,0.7892,0.68567,0.7812,0.51431,0.61272,0.89926,0.59564,0.00688857,0.00688857,0.00688857
24,3353.69,0.85385,1.13691,0.73787,0.79205,0.69291,0.78782,0.51651,0.61391,0.89084,0.59542,0.00674714,0.00674714,0.00674714
25,3492.43,0.85436,1.12276,0.73949,0.79523,0.69155,0.79261,0.52366,0.60648,0.88966,0.5942,0.00660571,0.00660571,0.00660571
26,3632.38,0.84921,1.11146,0.73945,0.79557,0.69246,0.79154,0.52589,0.60046,0.88157,0.59284,0.00646429,0.00646429,0.00646429
27,3771.56,0.85133,1.09896,0.74318,0.80672,0.69008,0.79348,0.52386,0.60589,0.87407,0.592,0.00632286,0.00632286,0.00632286
28,3910.24,0.85215,1.09123,0.74293,0.80137,0.69801,0.79795,0.5279,0.60288,0.86629,0.59144,0.00618143,0.00618143,0.00618143
29,4049.25,0.84775,1.08453,0.74375,0.79337,0.7029,0.79783,0.52996,0.60134,0.85884,0.59023,0.00604,0.00604,0.00604
30,4189.17,0.85243,1.07088,0.74744,0.79149,0.71359,0.80163,0.53261,0.59976,0.85547,0.59026,0.00589857,0.00589857,0.00589857
31,4328.96,0.85239,1.06599,0.74894,0.81249,0.7009,0.80365,0.53471,0.59684,0.85305,0.58763,0.00575714,0.00575714,0.00575714
32,4468.92,0.84814,1.04895,0.75,0.80936,0.70555,0.80666,0.53809,0.59332,0.84324,0.58739,0.00561571,0.00561571,0.00561571
33,4607.51,0.85301,1.03709,0.75139,0.7995,0.71501,0.80762,0.53886,0.59265,0.84243,0.58455,0.00547429,0.00547429,0.00547429
34,4746.12,0.85315,1.02789,0.75228,0.79353,0.7213,0.80592,0.53716,0.59386,0.84099,0.58583,0.00533286,0.00533286,0.00533286
35,4885.97,0.85247,1.01746,0.75703,0.80839,0.71392,0.80867,0.54005,0.59416,0.83186,0.58708,0.00519143,0.00519143,0.00519143
36,5025.99,0.84847,1.00793,0.75568,0.81528,0.71375,0.81113,0.542,0.5922,0.82464,0.58641,0.00505,0.00505,0.00505
37,5166.42,0.84891,0.99751,0.75557,0.81731,0.7136,0.81154,0.54418,0.59038,0.82557,0.58461,0.00490857,0.00490857,0.00490857
38,5305.58,0.85131,0.98779,0.75936,0.81696,0.71455,0.81358,0.54472,0.58931,0.82422,0.58312,0.00476714,0.00476714,0.00476714
39,5445.87,0.8537,0.9852,0.76188,0.80767,0.72266,0.81455,0.54587,0.58958,0.82282,0.58318,0.00462571,0.00462571,0.00462571
40,5585.92,0.85127,0.96829,0.7617,0.80399,0.72875,0.8167,0.54822,0.58921,0.8205,0.58295,0.00448429,0.00448429,0.00448429
41,5724.67,0.84966,0.95443,0.76188,0.80799,0.72809,0.8172,0.54905,0.58834,0.81732,0.58274,0.00434286,0.00434286,0.00434286
42,5863.35,0.85238,0.95037,0.76472,0.81235,0.72595,0.81834,0.55,0.58826,0.81201,0.58301,0.00420143,0.00420143,0.00420143
43,6002.99,0.84805,0.943,0.76565,0.81667,0.7207,0.81829,0.55055,0.58795,0.80974,0.58317,0.00406,0.00406,0.00406
44,6142.59,0.84758,0.93087,0.76703,0.80865,0.72776,0.81866,0.55079,0.58821,0.80753,0.58343,0.00391857,0.00391857,0.00391857
45,6281.15,0.85175,0.92641,0.77025,0.81155,0.73138,0.8188,0.55147,0.58707,0.80518,0.58307,0.00377714,0.00377714,0.00377714
46,6419.68,0.85102,0.91439,0.77336,0.81089,0.73336,0.81916,0.55152,0.58724,0.80486,0.58348,0.00363571,0.00363571,0.00363571
47,6558.33,0.85074,0.90498,0.77291,0.81218,0.73244,0.8193,0.55182,0.58666,0.8039,0.58283,0.00349429,0.00349429,0.00349429
48,6698.24,0.84993,0.89612,0.77485,0.81593,0.72914,0.81954,0.55191,0.58575,0.80278,0.58225,0.00335286,0.00335286,0.00335286
49,6836.91,0.85115,0.88727,0.77603,0.81987,0.72582,0.81995,0.55244,0.58553,0.80152,0.58183,0.00321143,0.00321143,0.00321143
50,6976.71,0.85065,0.87925,0.77871,0.82397,0.72182,0.82019,0.55228,0.5853,0.80073,0.58152,0.00307,0.00307,0.00307
51,7116.93,0.84801,0.87188,0.7794,0.82398,0.72214,0.81972,0.55214,0.58509,0.80128,0.58134,0.00292857,0.00292857,0.00292857
52,7256.91,0.84552,0.85727,0.77854,0.82406,0.72046,0.81978,0.55206,0.58506,0.80033,0.58139,0.00278714,0.00278714,0.00278714
53,7396.46,0.84903,0.85528,0.78203,0.82439,0.72193,0.8196,0.55242,0.58511,0.80012,0.58132,0.00264571,0.00264571,0.00264571
54,7536.02,0.84581,0.84169,0.78513,0.82515,0.72374,0.82005,0.55242,0.58514,0.79941,0.58131,0.00250429,0.00250429,0.00250429
55,7675.5,0.84769,0.83295,0.78376,0.82618,0.72254,0.82004,0.55309,0.585,0.79911,0.58111,0.00236286,0.00236286,0.00236286
56,7814.21,0.84605,0.82017,0.78549,0.82772,0.72215,0.81988,0.55318,0.58479,0.79767,0.58082,0.00222143,0.00222143,0.00222143
57,7953.48,0.84467,0.81323,0.78728,0.82669,0.72302,0.8204,0.5534,0.5846,0.79691,0.58068,0.00208,0.00208,0.00208
58,8093.08,0.84283,0.80537,0.7876,0.82556,0.72516,0.82063,0.55339,0.58469,0.79569,0.58066,0.00193857,0.00193857,0.00193857
59,8231.91,0.84622,0.80062,0.78935,0.82837,0.72161,0.82077,0.55342,0.58479,0.79566,0.58067,0.00179714,0.00179714,0.00179714
60,8370.59,0.84521,0.79326,0.79321,0.82575,0.72399,0.82068,0.55387,0.58484,0.79505,0.58078,0.00165571,0.00165571,0.00165571
61,8512.87,0.81722,0.70466,0.79313,0.82311,0.72534,0.82075,0.55419,0.58483,0.79477,0.58068,0.00151429,0.00151429,0.00151429
62,8652.32,0.80661,0.68076,0.78889,0.82198,0.72665,0.82074,0.55418,0.58478,0.79451,0.58073,0.00137286,0.00137286,0.00137286
63,8794.23,0.80226,0.66596,0.78725,0.82368,0.72643,0.82098,0.55358,0.58501,0.79373,0.58089,0.00123143,0.00123143,0.00123143
64,8933.2,0.79749,0.65486,0.78734,0.82387,0.727,0.82112,0.55446,0.58494,0.79319,0.5809,0.00109,0.00109,0.00109
65,9075.38,0.79322,0.64391,0.78675,0.82441,0.72616,0.8214,0.55457,0.5851,0.79246,0.58081,0.000948571,0.000948571,0.000948571
66,9217.93,0.78941,0.62897,0.78519,0.82183,0.72682,0.82132,0.55488,0.58493,0.79183,0.58063,0.000807143,0.000807143,0.000807143
67,9355.98,0.78823,0.62023,0.78695,0.81842,0.73113,0.82164,0.55501,0.58518,0.79144,0.58082,0.000665714,0.000665714,0.000665714
68,9496.14,0.78469,0.61185,0.78757,0.81926,0.7301,0.82168,0.5551,0.58534,0.79138,0.581,0.000524286,0.000524286,0.000524286
69,9636.94,0.78253,0.60367,0.78869,0.81779,0.73115,0.82181,0.55532,0.58557,0.79113,0.58111,0.000382857,0.000382857,0.000382857
70,9777.76,0.77984,0.59469,0.78888,0.81576,0.7308,0.82144,0.55532,0.58567,0.79084,0.58119,0.000241429,0.000241429,0.000241429
