epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,138.958,0.78566,1.9069,0.62265,0.6106,0.57725,0.61444,0.35923,0.6027,1.46207,0.51549,0.00332341,0.00332341,0.00332341
2,278.85,0.73531,1.56394,0.57044,0.59208,0.51305,0.54066,0.28674,0.69511,1.48461,0.56423,0.0065626,0.0065626,0.0065626
3,418.969,0.79485,1.7467,0.60466,0.41005,0.40463,0.36619,0.17791,0.8166,2.85686,0.63535,0.0097075,0.0097075,0.0097075
4,559.763,0.81226,1.80539,0.62076,0.57535,0.46242,0.49836,0.25841,0.72715,2.18634,0.58979,0.00957571,0.00957571,0.00957571
5,700.403,0.77265,1.66687,0.60177,0.61784,0.52522,0.57286,0.32212,0.65301,1.4778,0.55788,0.00943429,0.00943429,0.00943429
6,840.68,0.74181,1.57927,0.58733,0.67216,0.57077,0.6461,0.36677,0.64705,1.27692,0.5468,0.00929286,0.00929286,0.00929286
7,979.864,0.72547,1.51289,0.57833,0.69802,0.58826,0.67057,0.40247,0.58605,1.23591,0.52803,0.00915143,0.00915143,0.00915143
8,1119.68,0.70984,1.46061,0.57246,0.70714,0.59757,0.67246,0.40261,0.58534,1.19602,0.52947,0.00901,0.00901,0.00901
9,1259.8,0.69382,1.43168,0.56233,0.70732,0.62125,0.69944,0.42399,0.57727,1.16253,0.52232,0.00886857,0.00886857,0.00886857
10,1399.27,0.68643,1.3928,0.55956,0.73898,0.62491,0.71661,0.44624,0.55412,1.08194,0.50815,0.00872714,0.00872714,0.00872714
11,1539.25,0.68062,1.35797,0.555,0.7552,0.62989,0.7276,0.45258,0.55442,1.05804,0.50608,0.00858571,0.00858571,0.00858571
12,1679.58,0.66963,1.33398,0.55121,0.71405,0.6411,0.72352,0.45128,0.53686,1.05084,0.50085,0.00844429,0.00844429,0.00844429
13,1819.95,0.65999,1.30517,0.54402,0.75372,0.62994,0.73393,0.46453,0.53665,1.03391,0.49997,0.00830286,0.00830286,0.00830286
14,1959.95,0.65755,1.29219,0.54495,0.74825,0.64877,0.74084,0.46878,0.52985,1.03291,0.4975,0.00816143,0.00816143,0.00816143
15,2098.92,0.652,1.27092,0.54123,0.74492,0.66701,0.75027,0.47781,0.52584,0.99593,0.49705,0.00802,0.00802,0.00802
16,2238.34,0.64589,1.25263,0.53724,0.75938,0.66027,0.75358,0.48182,0.51972,0.98416,0.49349,0.00787857,0.00787857,0.00787857
17,2378.37,0.63721,1.22964,0.53378,0.7515,0.6673,0.757,0.48848,0.51371,0.98634,0.48938,0.00773714,0.00773714,0.00773714
18,2517.69,0.63724,1.21492,0.53329,0.78199,0.65963,0.76878,0.49825,0.51411,0.95236,0.48831,0.00759571,0.00759571,0.00759571
19,2657.94,0.63551,1.20189,0.53135,0.76103,0.683,0.77425,0.50459,0.5093,0.94432,0.48567,0.00745429,0.00745429,0.00745429
20,2797.2,0.62788,1.18914,0.52921,0.77237,0.68222,0.77841,0.50425,0.50549,0.94155,0.48836,0.00731286,0.00731286,0.00731286
21,2935.95,0.62517,1.17112,0.52491,0.78982,0.68315,0.78432,0.51065,0.50412,0.91913,0.48434,0.00717143,0.00717143,0.00717143
22,3075.61,0.62369,1.1594,0.52412,0.7887,0.69209,0.78456,0.51398,0.49949,0.90344,0.48137,0.00703,0.00703,0.00703
23,3215.09,0.61791,1.14768,0.52202,0.79115,0.68317,0.78345,0.51442,0.49305,0.91033,0.47927,0.00688857,0.00688857,0.00688857
24,3354.09,0.61625,1.1325,0.52121,0.78442,0.69927,0.78912,0.51937,0.49359,0.8933,0.478,0.00674714,0.00674714,0.00674714
25,3493.64,0.61369,1.11631,0.51793,0.80562,0.70094,0.79624,0.52768,0.48837,0.88127,0.47666,0.00660571,0.00660571,0.00660571
26,3632.69,0.608,1.10442,0.51575,0.78651,0.70533,0.79664,0.52763,0.48761,0.87756,0.47704,0.00646429,0.00646429,0.00646429
