epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,140.279,0.38083,1.9014,0.23582,0.60091,0.57744,0.6174,0.34645,0.27382,1.57113,0.19089,0.00332341,0.00332341,0.00332341
2,280.707,0.35757,1.57341,0.21912,0.59737,0.52758,0.55525,0.29104,0.3105,1.62935,0.20381,0.0065626,0.0065626,0.0065626
3,421.671,0.40703,1.76226,0.24397,0.43932,0.41082,0.38448,0.16576,0.4235,3.94818,0.25433,0.0097075,0.0097075,0.0097075
4,562.467,0.42573,1.82212,0.25778,0.49981,0.46911,0.45404,0.21257,0.35624,2.56219,0.22247,0.00957571,0.00957571,0.00957571
5,702.086,0.41717,1.69158,0.26042,0.6108,0.5543,0.59759,0.32674,0.2941,1.4136,0.20081,0.00943429,0.00943429,0.00943429
6,842.335,0.40303,1.60434,0.25956,0.66438,0.59025,0.65189,0.36092,0.28637,1.2826,0.19564,0.00929286,0.00929286,0.00929286
7,981.333,0.39982,1.53968,0.26359,0.70435,0.59203,0.66655,0.38151,0.27079,1.28888,0.19218,0.00915143,0.00915143,0.00915143
8,1120.92,0.403,1.48928,0.27035,0.6898,0.62106,0.6815,0.401,0.25208,1.167,0.18506,0.00901,0.00901,0.00901
9,1260.59,0.39477,1.45705,0.27123,0.71122,0.60998,0.69509,0.41383,0.2556,1.16145,0.18538,0.00886857,0.00886857,0.00886857
10,1399.93,0.40521,1.41145,0.28016,0.73293,0.62395,0.70927,0.43122,0.24854,1.12517,0.1821,0.00872714,0.00872714,0.00872714
11,1539.31,0.40937,1.37879,0.28609,0.72919,0.62844,0.71406,0.43448,0.24486,1.08482,0.18058,0.00858571,0.00858571,0.00858571
12,1678.77,0.41247,1.35722,0.29329,0.75025,0.63789,0.72798,0.45048,0.23773,1.07065,0.17776,0.00844429,0.00844429,0.00844429
13,1818.22,0.41392,1.32979,0.29724,0.76533,0.63854,0.73854,0.45912,0.23262,1.05341,0.17627,0.00830286,0.00830286,0.00830286
14,1958.3,0.42284,1.30998,0.30557,0.75107,0.64749,0.74238,0.45661,0.23431,1.04592,0.17631,0.00816143,0.00816143,0.00816143
15,2097.05,0.42574,1.28962,0.31175,0.75181,0.65954,0.74477,0.46587,0.23146,1.01474,0.17598,0.00802,0.00802,0.00802
16,2237.23,0.43137,1.26887,0.31818,0.7606,0.65257,0.75059,0.4742,0.22379,1.01003,0.17204,0.00787857,0.00787857,0.00787857
