epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,139.089,1.57709,2.00007,1.38754,0.61898,0.57232,0.61659,0.36755,1.20545,1.3853,1.15028,0.00332341,0.00332341,0.00332341
2,279.368,1.49901,1.65493,1.2945,0.52444,0.52413,0.5131,0.27347,1.41565,2.05925,1.3035,0.0065626,0.0065626,0.0065626
3,420.444,1.61428,1.86033,1.38547,0.39865,0.32797,0.29482,0.13835,1.71375,4.24666,1.50935,0.0097075,0.0097075,0.0097075
4,561.236,1.64698,1.92329,1.4296,0.50551,0.41484,0.41238,0.2059,1.5676,2.33192,1.38711,0.00957571,0.00957571,0.00957571
5,700.272,1.56987,1.78101,1.3823,0.58914,0.52144,0.56073,0.31942,1.34416,1.47971,1.26568,0.00943429,0.00943429,0.00943429
6,839.219,1.51233,1.67992,1.34717,0.65637,0.54242,0.60972,0.36116,1.27797,1.3799,1.23638,0.00929286,0.00929286,0.00929286
7,978.12,1.48087,1.6116,1.32734,0.66693,0.56655,0.62624,0.38242,1.23523,1.34456,1.21342,0.00915143,0.00915143,0.00915143
8,1117.73,1.44837,1.5565,1.30949,0.65719,0.5898,0.65492,0.4018,1.19947,1.24271,1.20166,0.00901,0.00901,0.00901
9,1257.73,1.42922,1.52219,1.29829,0.672,0.59684,0.66323,0.40716,1.19842,1.23095,1.19028,0.00886857,0.00886857,0.00886857
10,1397.24,1.40855,1.47907,1.28802,0.70902,0.61327,0.69605,0.43787,1.15866,1.16223,1.1786,0.00872714,0.00872714,0.00872714
11,1536.37,1.39614,1.44651,1.27795,0.73162,0.60577,0.70225,0.43688,1.16668,1.14933,1.18643,0.00858571,0.00858571,0.00858571
12,1675.11,1.37487,1.42288,1.26772,0.70648,0.61765,0.7006,0.4424,1.1628,1.12411,1.16496,0.00844429,0.00844429,0.00844429
13,1813.95,1.36158,1.39302,1.25427,0.73866,0.62955,0.72042,0.46261,1.11473,1.10259,1.14496,0.00830286,0.00830286,0.00830286
14,1953.46,1.35349,1.37901,1.24934,0.74047,0.63188,0.72459,0.46341,1.11968,1.07606,1.14524,0.00816143,0.00816143,0.00816143
15,2092.4,1.34206,1.35438,1.2435,0.73101,0.64325,0.72967,0.4711,1.10374,1.05462,1.14474,0.00802,0.00802,0.00802
16,2231.34,1.33155,1.33248,1.23496,0.74022,0.64402,0.73076,0.4725,1.09104,1.05839,1.14052,0.00787857,0.00787857,0.00787857
17,2370.66,1.32188,1.31432,1.23123,0.73724,0.65755,0.74006,0.48215,1.08292,1.04999,1.12751,0.00773714,0.00773714,0.00773714
18,2517.5,1.31416,1.29892,1.22869,0.76088,0.65569,0.74721,0.48858,1.07877,1.02521,1.12968,0.00759571,0.00759571,0.00759571
19,2661.45,1.30926,1.28671,1.22209,0.76114,0.66237,0.75421,0.49508,1.0726,0.99788,1.12328,0.00745429,0.00745429,0.00745429
20,2804.38,1.29882,1.27239,1.21669,0.77092,0.66193,0.75847,0.49709,1.06545,0.99684,1.11987,0.00731286,0.00731286,0.00731286
21,2947.92,1.28841,1.25389,1.20729,0.77177,0.66236,0.76268,0.50363,1.06448,0.97317,1.12515,0.00717143,0.00717143,0.00717143
22,3092.5,1.2866,1.24592,1.20813,0.77136,0.67017,0.7671,0.5078,1.04861,0.96438,1.11255,0.00703,0.00703,0.00703
23,3236.69,1.277,1.22864,1.20055,0.78001,0.67265,0.76951,0.51042,1.04131,0.95819,1.10407,0.00688857,0.00688857,0.00688857
24,3380.7,1.27057,1.21187,1.1957,0.78871,0.66954,0.7746,0.51507,1.04012,0.94073,1.10471,0.00674714,0.00674714,0.00674714
25,3523.87,1.26914,1.20192,1.19294,0.7818,0.67793,0.77753,0.51821,1.03418,0.93731,1.09926,0.00660571,0.00660571,0.00660571
26,3666.96,1.25753,1.18681,1.18851,0.79102,0.67961,0.77925,0.52294,1.0247,0.93848,1.09629,0.00646429,0.00646429,0.00646429
27,3809.95,1.25376,1.17612,1.1886,0.79189,0.68453,0.78193,0.5229,1.03128,0.91972,1.09741,0.00632286,0.00632286,0.00632286
28,3954.05,1.24897,1.16796,1.18375,0.78382,0.69721,0.78797,0.52609,1.02457,0.91857,1.09872,0.00618143,0.00618143,0.00618143
29,4097.21,1.24268,1.16169,1.18261,0.77575,0.69789,0.78727,0.52739,1.02568,0.9092,1.10132,0.00604,0.00604,0.00604
30,4239.94,1.2383,1.14748,1.17843,0.79034,0.68972,0.79025,0.53162,1.02217,0.90487,1.09495,0.00589857,0.00589857,0.00589857
31,4382.79,1.23148,1.13826,1.17191,0.78929,0.69703,0.79429,0.53113,1.02211,0.89639,1.09498,0.00575714,0.00575714,0.00575714
32,4525.72,1.22578,1.12715,1.16746,0.78307,0.70234,0.79594,0.53408,1.0128,0.89506,1.09225,0.00561571,0.00561571,0.00561571
33,4668.72,1.22106,1.11166,1.16564,0.79716,0.69753,0.79663,0.53554,1.00916,0.889,1.08683,0.00547429,0.00547429,0.00547429
34,4812.51,1.21384,1.10564,1.15855,0.78856,0.70712,0.80011,0.53751,1.01063,0.88046,1.08859,0.00533286,0.00533286,0.00533286
35,4955.51,1.21164,1.09349,1.16008,0.80482,0.69771,0.80055,0.53839,1.01015,0.87611,1.08963,0.00519143,0.00519143,0.00519143
