epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,137.89,1.20121,1.97277,0.80998,0.63312,0.58096,0.62502,0.344,1.22349,1.46475,0.79154,0.00332341,0.00332341,0.00332341
2,274.972,1.40858,1.67484,0.84445,0.55976,0.52793,0.52287,0.23426,1.43841,2.10492,0.90109,0.0065626,0.0065626,0.0065626
3,413.494,1.52558,1.79537,0.90391,0.40967,0.38651,0.35807,0.14745,1.70602,4.81774,1.0065,0.0097075,0.0097075,0.0097075
4,550.955,1.5462,1.81586,0.92325,0.48662,0.41338,0.40282,0.17484,1.61014,2.51577,1.00639,0.00957571,0.00957571,0.00957571
5,689.122,1.51709,1.69445,0.91286,0.56663,0.51054,0.52546,0.24073,1.5112,1.46994,0.94844,0.00943429,0.00943429,0.00943429
6,826.477,1.46933,1.62853,0.89411,0.63464,0.56312,0.60463,0.30107,1.47277,1.28818,0.92257,0.00929286,0.00929286,0.00929286
7,965.262,1.45095,1.56724,0.88538,0.67235,0.58543,0.64867,0.34286,1.24872,1.27947,0.84615,0.00915143,0.00915143,0.00915143
8,1103.18,1.42306,1.53175,0.87755,0.6531,0.58207,0.63806,0.33487,1.28584,1.24531,0.86953,0.00901,0.00901,0.00901
9,1241.09,1.3758,1.50386,0.85524,0.68392,0.60022,0.66494,0.35685,1.29259,1.20845,0.86431,0.00886857,0.00886857,0.00886857
10,1378.79,1.3847,1.47494,0.86223,0.71022,0.61771,0.69632,0.38721,1.24711,1.09951,0.85071,0.00872714,0.00872714,0.00872714
11,1516.15,1.37215,1.4355,0.84997,0.70232,0.64322,0.70341,0.39286,1.18363,1.07738,0.82304,0.00858571,0.00858571,0.00858571
12,1653.31,1.36837,1.42661,0.85157,0.7017,0.64472,0.70538,0.39889,1.20641,1.06826,0.84021,0.00844429,0.00844429,0.00844429
13,1790.95,1.33927,1.40106,0.83661,0.73487,0.62666,0.7151,0.4084,1.19839,1.05376,0.84021,0.00830286,0.00830286,0.00830286
14,1929.24,1.34504,1.38491,0.84126,0.74315,0.64472,0.73334,0.41329,1.20322,1.02595,0.83073,0.00816143,0.00816143,0.00816143
15,2067.29,1.33548,1.37549,0.83605,0.73572,0.64653,0.7291,0.42129,1.18662,1.06381,0.82625,0.00802,0.00802,0.00802
16,2205.12,1.32269,1.35626,0.8277,0.73298,0.67082,0.74189,0.43084,1.17625,0.98463,0.82044,0.00787857,0.00787857,0.00787857
17,2343.27,1.29269,1.34214,0.81795,0.78433,0.6538,0.75517,0.44745,1.14009,0.97162,0.80745,0.00773714,0.00773714,0.00773714
18,2481.58,1.30539,1.33051,0.82516,0.75082,0.67676,0.75618,0.44418,1.13588,0.98847,0.80924,0.00759571,0.00759571,0.00759571
19,2619.08,1.30785,1.32169,0.82542,0.76479,0.66972,0.76085,0.45446,1.11047,0.96056,0.79785,0.00745429,0.00745429,0.00745429
20,2757.23,1.29031,1.30073,0.82205,0.77965,0.6667,0.76659,0.45367,1.11102,0.9601,0.8003,0.00731286,0.00731286,0.00731286
21,2894.99,1.27821,1.29297,0.81142,0.75558,0.6927,0.76814,0.45893,1.11457,0.95709,0.80618,0.00717143,0.00717143,0.00717143
22,3032.7,1.27207,1.28412,0.80727,0.76712,0.69197,0.77415,0.46584,1.10547,0.91879,0.79635,0.00703,0.00703,0.00703
23,3169.9,1.26904,1.27636,0.80959,0.78199,0.69002,0.77964,0.47094,1.08642,0.9167,0.78413,0.00688857,0.00688857,0.00688857
24,3307.38,1.26908,1.2536,0.80942,0.79349,0.69059,0.78499,0.47617,1.10337,0.89299,0.80112,0.00674714,0.00674714,0.00674714
25,3445.23,1.26999,1.2459,0.80657,0.78126,0.69557,0.78601,0.47427,1.07694,0.89143,0.78503,0.00660571,0.00660571,0.00660571
26,3582.45,1.25661,1.23166,0.80222,0.78886,0.70148,0.79131,0.4815,1.06028,0.88631,0.77735,0.00646429,0.00646429,0.00646429
27,3720.29,1.26147,1.22405,0.80416,0.79566,0.69784,0.79207,0.48464,1.06367,0.87394,0.77156,0.00632286,0.00632286,0.00632286
28,3858.9,1.24822,1.21691,0.79463,0.7958,0.69739,0.79476,0.48654,1.05854,0.87605,0.77473,0.00618143,0.00618143,0.00618143
29,3997.86,1.2298,1.21215,0.78679,0.80998,0.69747,0.79948,0.49045,1.065,0.86975,0.77759,0.00604,0.00604,0.00604
30,4135.97,1.23905,1.20504,0.79317,0.79855,0.70951,0.80364,0.49531,1.04961,0.86856,0.76937,0.00589857,0.00589857,0.00589857
31,4274.01,1.23929,1.19423,0.79148,0.79862,0.71967,0.80603,0.49726,1.05189,0.85718,0.76549,0.00575714,0.00575714,0.00575714
32,4411.94,1.2163,1.1842,0.78318,0.80736,0.70978,0.80701,0.50133,1.04706,0.8452,0.76927,0.00561571,0.00561571,0.00561571
33,4549.57,1.22039,1.16793,0.77974,0.80507,0.71448,0.80701,0.49985,1.04432,0.84807,0.76394,0.00547429,0.00547429,0.00547429
34,4687.25,1.23185,1.16365,0.78829,0.81355,0.71268,0.81217,0.50573,1.03895,0.8424,0.76334,0.00533286,0.00533286,0.00533286
35,4825.92,1.21526,1.1541,0.78426,0.80764,0.72123,0.81403,0.50598,1.04457,0.84397,0.76893,0.00519143,0.00519143,0.00519143
36,4963.21,1.19927,1.14143,0.77506,0.79156,0.73401,0.81514,0.50849,1.03805,0.8259,0.76382,0.00505,0.00505,0.00505
37,5101.02,1.19284,1.12833,0.77184,0.79687,0.73353,0.81535,0.50983,1.03737,0.82866,0.7656,0.00490857,0.00490857,0.00490857
38,5238.27,1.2056,1.13255,0.77981,0.80315,0.7295,0.81732,0.51253,1.03667,0.82643,0.76573,0.00476714,0.00476714,0.00476714
39,5375.43,1.19578,1.12353,0.77396,0.8095,0.72719,0.81958,0.51323,1.03819,0.82162,0.76894,0.00462571,0.00462571,0.00462571
40,5512.96,1.19902,1.11144,0.77797,0.80129,0.73388,0.82061,0.51375,1.03382,0.81843,0.7673,0.00448429,0.00448429,0.00448429
41,5651.01,1.18233,1.09793,0.76792,0.8,0.73893,0.82146,0.51511,1.03662,0.81527,0.76811,0.00434286,0.00434286,0.00434286
42,5789.05,1.17861,1.08842,0.76444,0.81333,0.73272,0.82189,0.51576,1.02622,0.82175,0.76257,0.00420143,0.00420143,0.00420143
43,5926.81,1.15992,1.08016,0.75394,0.80375,0.73983,0.82339,0.51767,1.02431,0.8129,0.76047,0.00406,0.00406,0.00406
44,6065.33,1.14031,1.07241,0.74581,0.79406,0.74563,0.82418,0.51877,1.02099,0.81807,0.75912,0.00391857,0.00391857,0.00391857
45,6202.99,1.14964,1.07105,0.74942,0.79712,0.74621,0.82428,0.51944,1.01818,0.81725,0.75674,0.00377714,0.00377714,0.00377714
46,6340.6,1.17497,1.06051,0.76519,0.79172,0.74663,0.82415,0.52031,1.01753,0.82084,0.75677,0.00363571,0.00363571,0.00363571
47,6478.64,1.15358,1.04573,0.75425,0.80195,0.74104,0.82444,0.5216,1.01365,0.82393,0.75472,0.00349429,0.00349429,0.00349429
48,6616.39,1.16042,1.04012,0.757,0.79972,0.74521,0.82576,0.5222,1.01459,0.82657,0.755,0.00335286,0.00335286,0.00335286
49,6753.91,1.13097,1.0301,0.74142,0.80497,0.74177,0.82573,0.5225,1.01314,0.82622,0.75411,0.00321143,0.00321143,0.00321143
50,6891.64,1.14835,1.03446,0.75492,0.80425,0.74432,0.82593,0.52313,1.00972,0.82071,0.75282,0.00307,0.00307,0.00307
51,7029.15,1.1347,1.01862,0.74687,0.80498,0.74622,0.82732,0.52367,1.01094,0.81651,0.75283,0.00292857,0.00292857,0.00292857
52,7166.36,1.12511,1.00107,0.74426,0.80515,0.74702,0.82817,0.52461,1.01196,0.81261,0.75385,0.00278714,0.00278714,0.00278714
53,7303.59,1.13019,0.99737,0.74702,0.80235,0.75049,0.82887,0.52524,1.01165,0.80488,0.75366,0.00264571,0.00264571,0.00264571
54,7440.8,1.12402,0.99018,0.74653,0.80113,0.75292,0.8282,0.52561,1.0116,0.80197,0.75459,0.00250429,0.00250429,0.00250429
55,7578.02,1.11687,0.97263,0.73689,0.80273,0.75191,0.82811,0.52621,1.00967,0.79997,0.75316,0.00236286,0.00236286,0.00236286
56,7715.21,1.11717,0.9641,0.73976,0.80321,0.75223,0.82916,0.52671,1.01058,0.80289,0.7535,0.00222143,0.00222143,0.00222143
57,7853.45,1.10006,0.95935,0.73156,0.80348,0.7532,0.82951,0.52675,1.01163,0.80662,0.75375,0.00208,0.00208,0.00208
58,7991.2,1.10215,0.94997,0.73311,0.80627,0.74672,0.82908,0.52717,1.01168,0.8085,0.75341,0.00193857,0.00193857,0.00193857
59,8129.15,1.11161,0.94736,0.73702,0.80745,0.74547,0.8289,0.52747,1.01146,0.80965,0.75319,0.00179714,0.00179714,0.00179714
60,8266.52,1.11102,0.94383,0.73947,0.80596,0.74829,0.82951,0.52815,1.01173,0.80797,0.75343,0.00165571,0.00165571,0.00165571
61,8406.86,1.10271,0.78946,0.76875,0.80766,0.74764,0.83049,0.52856,1.012,0.80864,0.75354,0.00151429,0.00151429,0.00151429
62,8547.35,1.07927,0.76502,0.7598,0.80926,0.74735,0.83071,0.52872,1.01081,0.80861,0.75312,0.00137286,0.00137286,0.00137286
63,8688.8,1.06882,0.74556,0.75436,0.80933,0.74675,0.83055,0.52951,1.00973,0.81001,0.75273,0.00123143,0.00123143,0.00123143
64,8830.12,1.06721,0.73649,0.7535,0.81358,0.74339,0.83088,0.53006,1.00884,0.81211,0.75235,0.00109,0.00109,0.00109
65,8970.43,1.05502,0.72004,0.74913,0.81797,0.73986,0.83134,0.531,1.00836,0.8092,0.75173,0.000948571,0.000948571,0.000948571
66,9107.87,1.04585,0.70759,0.74174,0.82073,0.73778,0.83108,0.53121,1.0084,0.81216,0.75121,0.000807143,0.000807143,0.000807143
