epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,136.867,2.08775,2.03343,1.63097,0.61789,0.5688,0.60975,0.33723,1.72223,1.31668,1.31252,0.00332341,0.00332341,0.00332341
2,275,2.15401,1.68116,1.53755,0.52672,0.47571,0.4779,0.22996,2.04034,2.51874,1.56578,0.0065626,0.0065626,0.0065626
3,413.589,2.3594,1.82154,1.69288,0.29876,0.26558,0.21002,0.07067,2.83162,3.8946,1.98384,0.0097075,0.0097075,0.0097075
4,552.006,2.41643,1.83623,1.75429,0.52413,0.48666,0.49304,0.23883,2.06853,1.92534,1.6283,0.00957571,0.00957571,0.00957571
5,689.81,2.30002,1.71534,1.69621,0.58565,0.50806,0.53613,0.26195,2.0496,1.40846,1.60703,0.00943429,0.00943429,0.00943429
6,827.603,2.23125,1.63717,1.66469,0.6004,0.53994,0.57565,0.27838,2.01627,1.4158,1.59833,0.00929286,0.00929286,0.00929286
7,965.212,2.18555,1.57746,1.62782,0.64071,0.55453,0.60137,0.31577,1.88378,1.23714,1.5319,0.00915143,0.00915143,0.00915143
8,1103.71,2.13844,1.5487,1.61497,0.61589,0.57194,0.61141,0.32626,1.81685,1.24536,1.54137,0.00901,0.00901,0.00901
9,1241.57,2.11616,1.52354,1.58914,0.67367,0.59263,0.65935,0.36105,1.78731,1.1277,1.44877,0.00886857,0.00886857,0.00886857
10,1379.72,2.07488,1.48186,1.56705,0.68248,0.60995,0.67134,0.38145,1.70659,1.08366,1.41413,0.00872714,0.00872714,0.00872714
11,1516.86,2.05725,1.45317,1.55036,0.68164,0.60819,0.67369,0.38426,1.67706,1.08308,1.42996,0.00858571,0.00858571,0.00858571
12,1654.86,2.0328,1.44113,1.5384,0.70505,0.61915,0.6935,0.39787,1.67852,1.04868,1.41661,0.00844429,0.00844429,0.00844429
13,1793.51,2.01161,1.41098,1.52221,0.70946,0.62428,0.69817,0.40518,1.65702,1.06912,1.40999,0.00830286,0.00830286,0.00830286
14,1931.77,1.99458,1.40116,1.51582,0.7215,0.61955,0.70311,0.40258,1.65275,1.05666,1.3933,0.00816143,0.00816143,0.00816143
15,2070.17,1.98229,1.38356,1.50494,0.72775,0.6243,0.71026,0.41086,1.61779,1.04666,1.38826,0.00802,0.00802,0.00802
16,2208.69,1.96988,1.35833,1.49473,0.71287,0.65635,0.72374,0.42395,1.59467,1.00476,1.36014,0.00787857,0.00787857,0.00787857
17,2345.99,1.94625,1.34881,1.48298,0.73688,0.64565,0.73088,0.43261,1.57751,0.99739,1.33806,0.00773714,0.00773714,0.00773714
18,2484.55,1.94222,1.33972,1.47933,0.75804,0.64956,0.74332,0.4394,1.58191,0.96541,1.3428,0.00759571,0.00759571,0.00759571
19,2622.94,1.92412,1.32884,1.47213,0.73588,0.67229,0.74512,0.45087,1.53553,0.94514,1.34088,0.00745429,0.00745429,0.00745429
20,2760.91,1.91058,1.30646,1.46364,0.75759,0.65555,0.74875,0.45171,1.53618,0.94068,1.32942,0.00731286,0.00731286,0.00731286
21,2897.98,1.89956,1.3021,1.45247,0.76062,0.65964,0.75375,0.45461,1.52486,0.9396,1.32147,0.00717143,0.00717143,0.00717143
22,3034.92,1.9003,1.29801,1.45766,0.76301,0.67207,0.75918,0.45846,1.52142,0.92298,1.32669,0.00703,0.00703,0.00703
23,3172.37,1.87773,1.27848,1.44063,0.76305,0.67807,0.76304,0.46353,1.50153,0.89874,1.30321,0.00688857,0.00688857,0.00688857
