epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,137.207,0.78851,1.84677,0.62363,0.64807,0.60174,0.64639,0.3806,0.58353,1.24549,0.50474,0.00332341,0.00332341,0.00332341
2,274.073,0.7388,1.51208,0.57137,0.55258,0.4844,0.50624,0.26416,0.71067,1.82679,0.56758,0.0065626,0.0065626,0.0065626
3,412.411,0.79939,1.69887,0.60693,0.47883,0.38072,0.37141,0.17698,0.81138,3.16031,0.63603,0.0097075,0.0097075,0.0097075
4,549.71,0.8155,1.74913,0.62343,0.54587,0.49319,0.50486,0.26883,0.70237,2.23022,0.5854,0.00957571,0.00957571,0.00957571
5,686.743,0.77857,1.61696,0.60447,0.61966,0.52838,0.57886,0.32277,0.6578,1.40884,0.55899,0.00943429,0.00943429,0.00943429
6,823.671,0.74677,1.53212,0.59026,0.67032,0.57855,0.64266,0.36937,0.62878,1.2208,0.54245,0.00929286,0.00929286,0.00929286
7,961.234,0.73031,1.46805,0.58023,0.68004,0.60291,0.65627,0.38481,0.59177,1.26696,0.52933,0.00915143,0.00915143,0.00915143
8,1100.08,0.71431,1.42149,0.57297,0.69344,0.60612,0.67864,0.40948,0.58551,1.10437,0.52228,0.00901,0.00901,0.00901
9,1237.92,0.69864,1.38744,0.56432,0.69591,0.62962,0.70534,0.42946,0.57115,1.08247,0.51488,0.00886857,0.00886857,0.00886857
10,1374.83,0.69122,1.34833,0.56081,0.73581,0.6259,0.71731,0.44363,0.55899,1.02742,0.50557,0.00872714,0.00872714,0.00872714
11,1511.79,0.68337,1.3137,0.55677,0.73093,0.64286,0.72058,0.44577,0.5567,1.01464,0.51189,0.00858571,0.00858571,0.00858571
12,1648.91,0.67372,1.29434,0.552,0.72906,0.63692,0.71993,0.45087,0.54931,1.00867,0.50393,0.00844429,0.00844429,0.00844429
13,1786.8,0.66389,1.26394,0.54492,0.74843,0.6427,0.7331,0.4629,0.53674,1.00228,0.50155,0.00830286,0.00830286,0.00830286
14,1925.33,0.6614,1.24873,0.54431,0.73068,0.64829,0.72957,0.45733,0.54147,0.99637,0.5015,0.00816143,0.00816143,0.00816143
15,2062.97,0.65631,1.22866,0.54207,0.75006,0.6584,0.74335,0.46624,0.53385,0.97906,0.4972,0.00802,0.00802,0.00802
