epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,136.219,0.78382,1.90687,0.62119,0.61818,0.581,0.61979,0.35408,0.6112,1.51342,0.52457,0.00332341,0.00332341,0.00332341
2,273.808,0.73229,1.56423,0.56903,0.57672,0.55189,0.56456,0.28757,0.69051,1.83877,0.55582,0.0065626,0.0065626,0.0065626
3,411.536,0.79283,1.7519,0.60304,0.33046,0.38514,0.29324,0.12129,0.93955,4.24671,0.70052,0.0097075,0.0097075,0.0097075
4,549.112,0.81037,1.80211,0.62025,0.54436,0.5106,0.51924,0.27584,0.67841,2.32384,0.57807,0.00957571,0.00957571,0.00957571
5,686.336,0.77233,1.67092,0.59961,0.61878,0.5416,0.58488,0.3264,0.6522,1.43507,0.55552,0.00943429,0.00943429,0.00943429
6,823.462,0.74146,1.57957,0.5867,0.6881,0.58825,0.66174,0.38977,0.61515,1.23454,0.53317,0.00929286,0.00929286,0.00929286
7,960.962,0.72422,1.51389,0.57619,0.68146,0.5976,0.66463,0.39341,0.60689,1.21263,0.53176,0.00915143,0.00915143,0.00915143
8,1097.5,0.70874,1.46494,0.57074,0.69448,0.59746,0.67825,0.40538,0.58995,1.16852,0.52804,0.00901,0.00901,0.00901
9,1234.56,0.69364,1.43446,0.56293,0.70843,0.61204,0.69461,0.42389,0.56955,1.12727,0.51666,0.00886857,0.00886857,0.00886857
10,1372.23,0.68628,1.39055,0.55819,0.72761,0.62426,0.7125,0.44027,0.5611,1.09554,0.51181,0.00872714,0.00872714,0.00872714
11,1509.84,0.67932,1.35892,0.55391,0.73456,0.63372,0.72425,0.44997,0.54569,1.06237,0.50512,0.00858571,0.00858571,0.00858571
12,1647.33,0.66949,1.33576,0.54982,0.71606,0.64747,0.72515,0.45504,0.53872,1.05507,0.50288,0.00844429,0.00844429,0.00844429
13,1783.47,0.6613,1.30927,0.54455,0.75026,0.65317,0.73899,0.46779,0.53729,1.03572,0.50105,0.00830286,0.00830286,0.00830286
14,1920.02,0.65725,1.29389,0.5434,0.75728,0.64248,0.73626,0.45756,0.53884,1.04626,0.50399,0.00816143,0.00816143,0.00816143
15,2057.53,0.65229,1.27409,0.5407,0.7401,0.66455,0.74275,0.46897,0.53184,1.02248,0.49828,0.00802,0.00802,0.00802
16,2194.84,0.64615,1.2523,0.53597,0.77091,0.65787,0.75419,0.48308,0.51567,0.99637,0.48831,0.00787857,0.00787857,0.00787857
17,2331.92,0.63666,1.23397,0.53213,0.75644,0.66594,0.75689,0.48715,0.51362,0.97908,0.4874,0.00773714,0.00773714,0.00773714
18,2467.86,0.63612,1.21644,0.53308,0.77266,0.6699,0.76042,0.48903,0.51383,0.96595,0.48781,0.00759571,0.00759571,0.00759571
19,2604.01,0.63393,1.20298,0.53079,0.76952,0.68076,0.77354,0.49767,0.50751,0.94628,0.48368,0.00745429,0.00745429,0.00745429
20,2741.33,0.62649,1.18981,0.52841,0.77411,0.68128,0.77584,0.50117,0.50621,0.94157,0.4856,0.00731286,0.00731286,0.00731286
21,2877.99,0.62356,1.17303,0.52482,0.7787,0.68665,0.78096,0.51123,0.50202,0.91121,0.48235,0.00717143,0.00717143,0.00717143
22,3013.94,0.62167,1.16191,0.52355,0.78762,0.68545,0.78243,0.51179,0.49662,0.91306,0.47957,0.00703,0.00703,0.00703
23,3150.42,0.61551,1.14747,0.52065,0.80297,0.687,0.78985,0.51817,0.49437,0.89159,0.47793,0.00688857,0.00688857,0.00688857
24,3286.85,0.61445,1.13284,0.51925,0.78456,0.69666,0.79038,0.51784,0.49537,0.89207,0.48009,0.00674714,0.00674714,0.00674714
25,3422.84,0.61255,1.1194,0.5171,0.80114,0.69818,0.79661,0.52373,0.48834,0.88108,0.47798,0.00660571,0.00660571,0.00660571
