epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,137.307,0.65562,1.8443,0.62148,0.62311,0.59292,0.63288,0.36502,0.47192,1.35512,0.52216,0.00332341,0.00332341,0.00332341
2,274.548,0.60196,1.51396,0.57111,0.56654,0.53451,0.54795,0.29516,0.53259,1.7875,0.55657,0.0065626,0.0065626,0.0065626
3,411.273,0.66459,1.69693,0.60646,0.44136,0.43815,0.41281,0.19696,0.70142,3.22367,0.64524,0.0097075,0.0097075,0.0097075
4,548.038,0.68486,1.74486,0.6216,0.52606,0.4725,0.47896,0.24256,0.61133,2.5218,0.59786,0.00957571,0.00957571,0.00957571
5,684.514,0.64452,1.61959,0.60273,0.61277,0.55615,0.59002,0.329,0.51524,1.46119,0.55589,0.00943429,0.00943429,0.00943429
6,820.763,0.61192,1.53012,0.58634,0.6517,0.56451,0.62931,0.35198,0.5291,1.25582,0.54293,0.00929286,0.00929286,0.00929286
7,958.343,0.59385,1.46254,0.57673,0.6719,0.59962,0.65878,0.39084,0.45859,1.24103,0.52925,0.00915143,0.00915143,0.00915143
8,1096.52,0.57896,1.41904,0.573,0.71196,0.6059,0.67752,0.40352,0.44888,1.14842,0.52368,0.00901,0.00901,0.00901
9,1233.98,0.5626,1.38778,0.56303,0.70475,0.61084,0.69078,0.41505,0.44464,1.11015,0.51777,0.00886857,0.00886857,0.00886857
10,1371.49,0.55523,1.34501,0.55984,0.75363,0.62363,0.72279,0.448,0.42492,1.02543,0.50715,0.00872714,0.00872714,0.00872714
11,1508.3,0.54701,1.31295,0.55516,0.73395,0.63876,0.72743,0.45368,0.40861,0.99948,0.5036,0.00858571,0.00858571,0.00858571
12,1645.16,0.5385,1.29145,0.55115,0.73088,0.6505,0.73084,0.45697,0.40582,1.00315,0.50237,0.00844429,0.00844429,0.00844429
13,1781.27,0.52839,1.26343,0.54407,0.76053,0.64664,0.7425,0.47005,0.39584,0.98228,0.49703,0.00830286,0.00830286,0.00830286
14,1918.83,0.52521,1.24668,0.54248,0.75332,0.64483,0.73713,0.45955,0.40425,1.00707,0.50038,0.00816143,0.00816143,0.00816143
15,2055.52,0.51886,1.2284,0.54033,0.75207,0.64706,0.73715,0.46148,0.39276,0.98818,0.49648,0.00802,0.00802,0.00802
16,2191.62,0.51335,1.20858,0.53697,0.75615,0.67056,0.7537,0.47967,0.38377,0.94699,0.49196,0.00787857,0.00787857,0.00787857
17,2327.89,0.50317,1.18602,0.53293,0.76346,0.66837,0.75941,0.48513,0.3792,0.93916,0.48744,0.00773714,0.00773714,0.00773714
18,2464.85,0.50295,1.17363,0.53284,0.76205,0.66922,0.76264,0.49043,0.37995,0.92269,0.48977,0.00759571,0.00759571,0.00759571
19,2602.37,0.50148,1.16029,0.53093,0.77115,0.67624,0.77204,0.50172,0.36778,0.90962,0.48366,0.00745429,0.00745429,0.00745429
20,2739.39,0.49362,1.15068,0.52832,0.77968,0.67824,0.77421,0.50129,0.37286,0.89822,0.48769,0.00731286,0.00731286,0.00731286
21,2875.79,0.4898,1.13191,0.52331,0.76914,0.69621,0.7822,0.51025,0.36546,0.87592,0.48346,0.00717143,0.00717143,0.00717143
22,3012.45,0.48813,1.11986,0.5236,0.79222,0.68417,0.78353,0.5119,0.36302,0.86455,0.48253,0.00703,0.00703,0.00703
23,3149.77,0.48228,1.10858,0.52108,0.79623,0.69486,0.79019,0.51887,0.3569,0.85857,0.47689,0.00688857,0.00688857,0.00688857
24,3286.78,0.47986,1.08696,0.51839,0.79401,0.69486,0.79204,0.52112,0.35574,0.84459,0.47639,0.00674714,0.00674714,0.00674714
25,3424.41,0.478,1.07872,0.51674,0.77828,0.71349,0.79451,0.52482,0.35105,0.83895,0.47447,0.00660571,0.00660571,0.00660571
