epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,136.556,0.48195,1.84791,0.62796,0.6192,0.57201,0.62077,0.36289,0.34868,1.39419,0.51994,0.00332341,0.00332341,0.00332341
2,274.261,0.42388,1.519,0.5761,0.59526,0.51624,0.55951,0.3053,0.38689,1.41917,0.55158,0.0065626,0.0065626,0.0065626
3,412.154,0.47647,1.70446,0.61526,0.40127,0.39252,0.33798,0.14611,0.56773,4.01339,0.71281,0.0097075,0.0097075,0.0097075
4,549.628,0.50725,1.76305,0.63734,0.54808,0.51274,0.52065,0.2733,0.43488,2.47039,0.58747,0.00957571,0.00957571,0.00957571
5,685.922,0.48328,1.62747,0.6193,0.58117,0.49409,0.5384,0.30219,0.42064,1.46957,0.57079,0.00943429,0.00943429,0.00943429
6,821.92,0.46896,1.54248,0.60654,0.67686,0.58011,0.65236,0.36453,0.40767,1.19989,0.56164,0.00929286,0.00929286,0.00929286
7,958.733,0.45791,1.47772,0.59749,0.67669,0.59166,0.65566,0.37136,0.39701,1.21991,0.55261,0.00915143,0.00915143,0.00915143
8,1096.07,0.45012,1.42932,0.59097,0.68413,0.60038,0.66547,0.39291,0.37832,1.16841,0.53983,0.00901,0.00901,0.00901
9,1233.6,0.43933,1.39729,0.58106,0.70671,0.61678,0.69422,0.41602,0.36773,1.09901,0.52967,0.00886857,0.00886857,0.00886857
10,1371.24,0.43548,1.35579,0.57901,0.73753,0.62005,0.70994,0.43318,0.35342,1.05443,0.51792,0.00872714,0.00872714,0.00872714
11,1508.68,0.4278,1.32015,0.57284,0.74541,0.63801,0.72706,0.4485,0.35272,1.01432,0.51703,0.00858571,0.00858571,0.00858571
12,1645.75,0.42313,1.30239,0.56934,0.74401,0.63801,0.72642,0.44787,0.35504,1.0094,0.51996,0.00844429,0.00844429,0.00844429
13,1782.67,0.41732,1.27268,0.56311,0.75746,0.63649,0.73637,0.45844,0.34589,1.00463,0.51316,0.00830286,0.00830286,0.00830286
14,1918.78,0.41476,1.25858,0.56144,0.74925,0.64575,0.73806,0.45659,0.34169,0.98977,0.51168,0.00816143,0.00816143,0.00816143
15,2054.83,0.41122,1.23809,0.55957,0.7532,0.65967,0.74255,0.4636,0.33586,0.97147,0.50609,0.00802,0.00802,0.00802
16,2191.56,0.40585,1.215,0.55439,0.76681,0.65428,0.75346,0.47381,0.3349,0.94481,0.50504,0.00787857,0.00787857,0.00787857
17,2328.86,0.40111,1.19756,0.55067,0.76522,0.67009,0.7573,0.47993,0.33073,0.9554,0.50181,0.00773714,0.00773714,0.00773714
18,2466.19,0.40152,1.18363,0.55165,0.76403,0.67074,0.76457,0.48698,0.32782,0.92187,0.50066,0.00759571,0.00759571,0.00759571
19,2603.64,0.39754,1.17037,0.54831,0.77769,0.66948,0.76751,0.4908,0.32846,0.92225,0.50016,0.00745429,0.00745429,0.00745429
20,2741.36,0.39777,1.15421,0.54809,0.78453,0.67002,0.77359,0.49653,0.32761,0.89678,0.49981,0.00731286,0.00731286,0.00731286
21,2878.78,0.38898,1.13447,0.54176,0.78042,0.6849,0.77853,0.50202,0.32479,0.88543,0.49747,0.00717143,0.00717143,0.00717143
