epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,137.591,1.28817,1.97964,0.79928,0.65033,0.61206,0.65417,0.3668,1.20982,1.34704,0.75273,0.00332341,0.00332341,0.00332341
2,275.543,1.48733,1.6812,0.82459,0.56747,0.49177,0.52529,0.24854,1.4952,1.90935,0.87967,0.0065626,0.0065626,0.0065626
3,413.797,1.63825,1.80489,0.88705,0.34607,0.369,0.27801,0.11536,1.87215,4.04525,1.03992,0.0097075,0.0097075,0.0097075
4,550.686,1.65426,1.81122,0.91349,0.5645,0.47066,0.49476,0.23174,1.4734,2.14729,0.89447,0.00957571,0.00957571,0.00957571
5,688.538,1.63074,1.70405,0.90998,0.58886,0.50799,0.54156,0.2657,1.4855,1.46037,0.90521,0.00943429,0.00943429,0.00943429
6,826.262,1.57059,1.6303,0.88334,0.65047,0.54391,0.59909,0.28494,1.53083,1.31968,0.89523,0.00929286,0.00929286,0.00929286
7,963.491,1.55607,1.57243,0.87909,0.67672,0.5981,0.65158,0.34317,1.39528,1.20116,0.87126,0.00915143,0.00915143,0.00915143
8,1100.78,1.52093,1.54052,0.86948,0.68837,0.60278,0.67081,0.36371,1.30526,1.13943,0.83461,0.00901,0.00901,0.00901
9,1238.76,1.45796,1.51264,0.84337,0.67565,0.58898,0.64873,0.34161,1.37735,1.17026,0.8601,0.00886857,0.00886857,0.00886857
10,1376.52,1.47511,1.48076,0.85249,0.70195,0.62064,0.69297,0.37663,1.27241,1.12138,0.81607,0.00872714,0.00872714,0.00872714
11,1513.28,1.44807,1.44316,0.83749,0.69385,0.62804,0.68827,0.38036,1.29405,1.11969,0.82301,0.00858571,0.00858571,0.00858571
12,1649.26,1.45335,1.43645,0.84279,0.72735,0.63704,0.71456,0.40695,1.26239,1.05575,0.81385,0.00844429,0.00844429,0.00844429
13,1786.3,1.42967,1.41032,0.83009,0.74106,0.6381,0.72419,0.41421,1.24166,1.03954,0.81424,0.00830286,0.00830286,0.00830286
14,1922.29,1.43641,1.39532,0.83429,0.72622,0.65138,0.724,0.40963,1.24405,1.05417,0.80817,0.00816143,0.00816143,0.00816143
15,2060.05,1.41402,1.38284,0.82433,0.73819,0.65143,0.73464,0.42659,1.21614,1.02183,0.80579,0.00802,0.00802,0.00802
16,2196.85,1.39205,1.36237,0.81402,0.75415,0.65528,0.73908,0.42408,1.21899,1.01553,0.79817,0.00787857,0.00787857,0.00787857
17,2335.01,1.37428,1.34919,0.81047,0.75339,0.66597,0.75116,0.44131,1.1845,1.00104,0.78694,0.00773714,0.00773714,0.00773714
18,2471.77,1.38525,1.33753,0.81881,0.7515,0.67583,0.75802,0.44313,1.17755,0.96562,0.78556,0.00759571,0.00759571,0.00759571
19,2608.55,1.37972,1.32781,0.8119,0.76567,0.66489,0.75682,0.44619,1.19496,0.97051,0.79945,0.00745429,0.00745429,0.00745429
20,2746.2,1.37379,1.31832,0.81143,0.78039,0.66331,0.76636,0.45311,1.15108,0.95767,0.77536,0.00731286,0.00731286,0.00731286
21,2883.78,1.36035,1.29806,0.80352,0.75681,0.68368,0.77041,0.46088,1.15483,0.94534,0.77775,0.00717143,0.00717143,0.00717143
22,3020.36,1.34353,1.28783,0.79526,0.77546,0.6824,0.77581,0.46702,1.14867,0.92463,0.77177,0.00703,0.00703,0.00703
23,3156.44,1.33921,1.27572,0.79411,0.77663,0.68526,0.77987,0.4679,1.13049,0.92525,0.7656,0.00688857,0.00688857,0.00688857
24,3294.26,1.35711,1.26126,0.8061,0.78987,0.68638,0.78222,0.47431,1.13817,0.90751,0.77296,0.00674714,0.00674714,0.00674714
25,3431.74,1.34252,1.25121,0.79716,0.77174,0.70223,0.78617,0.47704,1.11612,0.88827,0.76681,0.00660571,0.00660571,0.00660571
26,3569.66,1.32342,1.24202,0.79151,0.77732,0.70062,0.79168,0.48223,1.10599,0.88341,0.7603,0.00646429,0.00646429,0.00646429
27,3707.25,1.33389,1.23235,0.79567,0.78358,0.6937,0.79092,0.48381,1.12019,0.87044,0.76457,0.00632286,0.00632286,0.00632286
28,3844.23,1.31448,1.23058,0.78396,0.78972,0.7071,0.79596,0.48603,1.12536,0.87473,0.76265,0.00618143,0.00618143,0.00618143
29,3981.59,1.30441,1.22707,0.78225,0.8066,0.69673,0.80096,0.49209,1.12114,0.85567,0.76233,0.00604,0.00604,0.00604
30,4119.68,1.31047,1.20978,0.78505,0.79028,0.70487,0.80133,0.49271,1.10761,0.87073,0.76252,0.00589857,0.00589857,0.00589857
31,4257.42,1.31462,1.19881,0.78514,0.79611,0.70607,0.80308,0.49279,1.0981,0.87132,0.75876,0.00575714,0.00575714,0.00575714
32,4395,1.28485,1.18717,0.77492,0.78886,0.7207,0.80668,0.49905,1.09895,0.84573,0.7593,0.00561571,0.00561571,0.00561571
33,4532.43,1.29841,1.17702,0.77815,0.80055,0.71644,0.80901,0.49756,1.10199,0.84636,0.75978,0.00547429,0.00547429,0.00547429
34,4669.93,1.30813,1.16831,0.7823,0.7892,0.72135,0.81131,0.50264,1.09962,0.84245,0.76115,0.00533286,0.00533286,0.00533286
35,4807.76,1.28536,1.15841,0.77386,0.79809,0.72103,0.81195,0.50278,1.09728,0.83874,0.75738,0.00519143,0.00519143,0.00519143
36,4945.86,1.27097,1.15388,0.7694,0.79561,0.7284,0.81626,0.50712,1.08842,0.82781,0.75354,0.00505,0.00505,0.00505
37,5083.71,1.26393,1.13639,0.76401,0.80434,0.7257,0.81746,0.50798,1.08547,0.82246,0.75134,0.00490857,0.00490857,0.00490857
38,5221.11,1.26552,1.13477,0.76677,0.80655,0.72204,0.81796,0.51031,1.08729,0.83871,0.7534,0.00476714,0.00476714,0.00476714
39,5357.2,1.25992,1.13002,0.76252,0.80128,0.73196,0.81888,0.51129,1.08708,0.84764,0.75313,0.00462571,0.00462571,0.00462571
40,5493.19,1.25116,1.11907,0.76195,0.80549,0.72455,0.81904,0.51317,1.0821,0.84296,0.7506,0.00448429,0.00448429,0.00448429
41,5630.32,1.2412,1.10425,0.7564,0.81616,0.71827,0.82047,0.51307,1.07746,0.83019,0.74746,0.00434286,0.00434286,0.00434286
42,5767.24,1.24789,1.0953,0.76054,0.80643,0.72476,0.82184,0.51375,1.07713,0.82544,0.74779,0.00420143,0.00420143,0.00420143
43,5904.21,1.22725,1.08949,0.75213,0.81092,0.72457,0.82266,0.51513,1.07787,0.81955,0.7486,0.00406,0.00406,0.00406
44,6042.02,1.20881,1.08244,0.74328,0.80873,0.72791,0.82332,0.51626,1.07909,0.81551,0.7494,0.00391857,0.00391857,0.00391857
45,6179.8,1.22253,1.08232,0.75032,0.80862,0.72948,0.82432,0.51783,1.07831,0.81336,0.7494,0.00377714,0.00377714,0.00377714
46,6317.02,1.23532,1.06867,0.75872,0.81603,0.72449,0.82531,0.51999,1.07321,0.808,0.74774,0.00363571,0.00363571,0.00363571
47,6453.47,1.21631,1.0555,0.74686,0.81574,0.72719,0.82648,0.52098,1.07427,0.80941,0.74858,0.00349429,0.00349429,0.00349429
48,6590.94,1.22814,1.04372,0.75217,0.81463,0.73147,0.82705,0.52145,1.07611,0.80265,0.74945,0.00335286,0.00335286,0.00335286
49,6728.75,1.19535,1.03827,0.73495,0.81333,0.73342,0.82782,0.52189,1.07407,0.80277,0.74837,0.00321143,0.00321143,0.00321143
50,6866.36,1.2061,1.04205,0.74286,0.81078,0.73489,0.82828,0.52255,1.07398,0.80497,0.74775,0.00307,0.00307,0.00307
51,7004.46,1.18799,1.02738,0.73307,0.81116,0.73411,0.82856,0.52298,1.07401,0.80547,0.74732,0.00292857,0.00292857,0.00292857
52,7141.21,1.17937,1.00533,0.7304,0.81146,0.7332,0.82915,0.52356,1.0733,0.80227,0.74642,0.00278714,0.00278714,0.00278714
53,7277.36,1.19009,1.0065,0.7366,0.80483,0.73975,0.82933,0.52418,1.07337,0.80217,0.74662,0.00264571,0.00264571,0.00264571
54,7414.72,1.1836,0.99339,0.73796,0.80239,0.74307,0.82935,0.52471,1.07484,0.8006,0.74719,0.00250429,0.00250429,0.00250429
55,7550.75,1.17578,0.97904,0.73042,0.80347,0.74483,0.82996,0.5261,1.07301,0.80161,0.74718,0.00236286,0.00236286,0.00236286
56,7686.72,1.17599,0.96693,0.73241,0.80234,0.74416,0.83014,0.52614,1.07325,0.80297,0.74696,0.00222143,0.00222143,0.00222143
57,7822.7,1.15608,0.96737,0.72306,0.80372,0.74561,0.83074,0.5265,1.07073,0.80277,0.74627,0.00208,0.00208,0.00208
58,7958.7,1.1615,0.95616,0.72655,0.80186,0.7464,0.83105,0.52688,1.07204,0.80303,0.74683,0.00193857,0.00193857,0.00193857
59,8094.69,1.16666,0.94867,0.72604,0.79879,0.74928,0.83066,0.52693,1.07079,0.80441,0.74593,0.00179714,0.00179714,0.00179714
60,8230.9,1.17071,0.94389,0.73188,0.79795,0.75083,0.83156,0.52692,1.07069,0.80567,0.74553,0.00165571,0.00165571,0.00165571
61,8370.83,1.14065,0.79899,0.7553,0.79996,0.75055,0.83219,0.52749,1.06891,0.80588,0.74483,0.00151429,0.00151429,0.00151429
62,8511.57,1.11399,0.76358,0.74573,0.79878,0.75096,0.83194,0.52779,1.06943,0.80399,0.74468,0.00137286,0.00137286,0.00137286
63,8652.17,1.10394,0.75173,0.73885,0.79897,0.75173,0.83235,0.5281,1.06858,0.8045,0.74444,0.00123143,0.00123143,0.00123143
64,8791.81,1.10096,0.74452,0.73841,0.80006,0.75302,0.83316,0.52897,1.06725,0.80657,0.74342,0.00109,0.00109,0.00109
65,8927.68,1.08814,0.72585,0.73534,0.79928,0.75415,0.83329,0.52956,1.06723,0.80856,0.74345,0.000948571,0.000948571,0.000948571
66,9065.88,1.08041,0.71418,0.72968,0.80561,0.75046,0.83368,0.53026,1.06794,0.81064,0.74349,0.000807143,0.000807143,0.000807143
67,9201.17,1.06723,0.70273,0.72474,0.80709,0.75131,0.83385,0.53077,1.06674,0.80874,0.74265,0.000665714,0.000665714,0.000665714
68,9336.9,1.06784,0.68972,0.7284,0.81002,0.74835,0.83402,0.53105,1.06607,0.80936,0.74219,0.000524286,0.000524286,0.000524286
69,9472.4,1.05909,0.67647,0.72395,0.81057,0.74723,0.834,0.53121,1.06591,0.81526,0.74199,0.000382857,0.000382857,0.000382857
70,9607.78,1.0496,0.66969,0.71953,0.81087,0.74631,0.83384,0.53174,1.06494,0.81502,0.74126,0.000241429,0.000241429,0.000241429
