epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,137.337,0.84446,1.84494,0.6212,0.62028,0.55991,0.60412,0.34688,0.6703,1.44385,0.52623,0.00332341,0.00332341,0.00332341
2,275.24,0.80529,1.51321,0.5698,0.58475,0.52808,0.54992,0.27229,0.85363,1.6603,0.56341,0.0065626,0.0065626,0.0065626
3,412.93,0.87789,1.697,0.60548,0.47167,0.4348,0.42398,0.20548,0.92187,2.70598,0.65216,0.0097075,0.0097075,0.0097075
4,549.921,0.89006,1.74526,0.6211,0.53272,0.50096,0.50192,0.26553,0.79146,2.14093,0.58226,0.00957571,0.00957571,0.00957571
5,686.871,0.84724,1.61437,0.60182,0.6104,0.54296,0.58752,0.33068,0.7179,1.32234,0.55309,0.00943429,0.00943429,0.00943429
6,823.012,0.81483,1.5295,0.58763,0.64292,0.56816,0.62633,0.36336,0.67819,1.23634,0.54088,0.00929286,0.00929286,0.00929286
7,960.336,0.79608,1.46251,0.57758,0.70094,0.59073,0.66762,0.39522,0.64397,1.19025,0.52457,0.00915143,0.00915143,0.00915143
8,1097.43,0.78036,1.41953,0.57006,0.68431,0.60462,0.67126,0.39226,0.65353,1.15026,0.53005,0.00901,0.00901,0.00901
9,1234.69,0.76179,1.38707,0.56234,0.70395,0.61415,0.69774,0.42172,0.62946,1.10185,0.51785,0.00886857,0.00886857,0.00886857
10,1371.87,0.75475,1.34616,0.55982,0.73719,0.62376,0.71853,0.44153,0.61232,1.04196,0.50587,0.00872714,0.00872714,0.00872714
11,1508.73,0.74658,1.31557,0.55474,0.73511,0.63652,0.72635,0.44517,0.59853,1.04322,0.50771,0.00858571,0.00858571,0.00858571
12,1646.25,0.73496,1.29468,0.55008,0.73607,0.64298,0.72458,0.45811,0.58124,1.01952,0.49951,0.00844429,0.00844429,0.00844429
13,1783.4,0.72588,1.26404,0.54482,0.75938,0.64423,0.74413,0.46691,0.59119,0.98917,0.50192,0.00830286,0.00830286,0.00830286
14,1920.68,0.72262,1.25015,0.54345,0.76088,0.65162,0.74605,0.46975,0.57508,0.9922,0.49616,0.00816143,0.00816143,0.00816143
15,2058.25,0.71494,1.22987,0.54095,0.75862,0.65027,0.74133,0.46272,0.58358,0.98043,0.49861,0.00802,0.00802,0.00802
16,2195.29,0.70912,1.20681,0.53726,0.7675,0.66554,0.75611,0.48149,0.57179,0.93516,0.49529,0.00787857,0.00787857,0.00787857
17,2331.96,0.69952,1.1891,0.53275,0.76175,0.67489,0.76252,0.48834,0.56471,0.93678,0.48853,0.00773714,0.00773714,0.00773714
18,2467.93,0.69981,1.17585,0.53372,0.77828,0.6669,0.76839,0.48991,0.57365,0.92702,0.49245,0.00759571,0.00759571,0.00759571
19,2603.76,0.69775,1.16195,0.53062,0.78047,0.67477,0.77387,0.4993,0.55787,0.90389,0.48566,0.00745429,0.00745429,0.00745429
20,2739.57,0.68899,1.14994,0.52924,0.77665,0.68192,0.77625,0.50283,0.55822,0.89866,0.487,0.00731286,0.00731286,0.00731286
21,2875.57,0.68458,1.13172,0.52395,0.78364,0.68778,0.78464,0.51136,0.55394,0.88192,0.4846,0.00717143,0.00717143,0.00717143
22,3012.16,0.68398,1.1242,0.52423,0.79022,0.68557,0.78795,0.51222,0.5508,0.87484,0.48328,0.00703,0.00703,0.00703
23,3149.62,0.67699,1.10878,0.52166,0.78307,0.69761,0.78948,0.51687,0.54505,0.86693,0.47888,0.00688857,0.00688857,0.00688857
24,3287.15,0.67539,1.09158,0.51952,0.789,0.69329,0.79408,0.51744,0.54711,0.85584,0.47848,0.00674714,0.00674714,0.00674714
25,3424.7,0.67407,1.0821,0.51857,0.78801,0.70387,0.79857,0.52648,0.5398,0.84626,0.47599,0.00660571,0.00660571,0.00660571
26,3561.97,0.66776,1.06808,0.51563,0.78769,0.70914,0.79833,0.5243,0.53994,0.84381,0.47707,0.00646429,0.00646429,0.00646429
27,3699.07,0.66595,1.05642,0.51611,0.79596,0.71135,0.80209,0.52611,0.53886,0.83676,0.47554,0.00632286,0.00632286,0.00632286
28,3835,0.66276,1.05173,0.5129,0.80345,0.70916,0.80526,0.52926,0.53574,0.83063,0.47562,0.00618143,0.00618143,0.00618143
29,3971.07,0.65616,1.04225,0.51177,0.78257,0.72242,0.80485,0.53166,0.53319,0.82682,0.4751,0.00604,0.00604,0.00604
30,4107.15,0.65702,1.02787,0.51125,0.79787,0.70954,0.80747,0.53239,0.53365,0.82085,0.47432,0.00589857,0.00589857,0.00589857
31,4244.06,0.65464,1.01897,0.509,0.79903,0.71695,0.80781,0.53262,0.5352,0.81678,0.47319,0.00575714,0.00575714,0.00575714
32,4381.07,0.64775,1.00433,0.50552,0.80566,0.7176,0.81071,0.53814,0.53298,0.80636,0.47182,0.00561571,0.00561571,0.00561571
33,4517.37,0.64787,0.99739,0.505,0.80643,0.71783,0.8131,0.53888,0.52868,0.80517,0.47012,0.00547429,0.00547429,0.00547429
34,4654.53,0.64544,0.98785,0.50281,0.79496,0.72972,0.81424,0.53956,0.52755,0.79986,0.46967,0.00533286,0.00533286,0.00533286
35,4791.32,0.64265,0.97716,0.50213,0.80396,0.72327,0.81658,0.54244,0.52804,0.79684,0.46999,0.00519143,0.00519143,0.00519143
36,4928.06,0.636,0.96579,0.49889,0.80311,0.72607,0.81839,0.54424,0.52756,0.79104,0.4695,0.00505,0.00505,0.00505
37,5064.95,0.63438,0.95806,0.49758,0.80463,0.73257,0.82015,0.54576,0.52521,0.78878,0.46828,0.00490857,0.00490857,0.00490857
