epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,155.664,1.70838,1.88162,1.41022,0.60256,0.55956,0.59305,0.34701,1.38113,1.39486,1.17374,0.00332341,0.00332341,0.00332341
2,314.101,1.67432,1.53715,1.31096,0.54578,0.51645,0.52875,0.26929,1.71762,1.5817,1.29922,0.0065626,0.0065626,0.0065626
3,474.39,1.80106,1.72483,1.39852,0.41001,0.38167,0.35973,0.16964,2.09781,3.31372,1.49698,0.0097075,0.0097075,0.0097075
4,631.905,1.82879,1.78162,1.44601,0.49561,0.4538,0.44375,0.23023,1.73319,2.61291,1.38098,0.00957571,0.00957571,0.00957571
5,789.6,1.73917,1.64379,1.39321,0.60616,0.53544,0.57098,0.31942,1.51837,1.38964,1.29387,0.00943429,0.00943429,0.00943429
6,943.933,1.67914,1.55185,1.3615,0.64629,0.55817,0.62116,0.3511,1.54932,1.2522,1.28119,0.00929286,0.00929286,0.00929286
7,1098.74,1.6521,1.48864,1.34271,0.67616,0.59896,0.66072,0.39696,1.34278,1.19362,1.21355,0.00915143,0.00915143,0.00915143
8,1255.35,1.61628,1.44597,1.32513,0.68815,0.57994,0.66285,0.40567,1.32627,1.13516,1.22923,0.00901,0.00901,0.00901
9,1412.95,1.59524,1.41328,1.31056,0.68578,0.58729,0.67453,0.41091,1.30782,1.12645,1.20251,0.00886857,0.00886857,0.00886857
10,1569.1,1.56949,1.37268,1.29835,0.71841,0.61698,0.70422,0.43831,1.29253,1.05708,1.17814,0.00872714,0.00872714,0.00872714
11,1726.41,1.5578,1.33904,1.2893,0.73268,0.62012,0.7088,0.43633,1.29521,1.03601,1.1935,0.00858571,0.00858571,0.00858571
12,1885.35,1.5346,1.31662,1.27985,0.72682,0.62764,0.71299,0.45031,1.26604,1.01468,1.18025,0.00844429,0.00844429,0.00844429
13,2043.77,1.52075,1.2902,1.26858,0.74117,0.62846,0.72491,0.4629,1.25154,0.99832,1.16923,0.00830286,0.00830286,0.00830286
14,2199.16,1.51251,1.27285,1.26311,0.75425,0.63118,0.7252,0.45905,1.2378,0.99487,1.16037,0.00816143,0.00816143,0.00816143
15,2357.88,1.49589,1.25417,1.25539,0.72839,0.64813,0.72769,0.46532,1.21932,0.99325,1.152,0.00802,0.00802,0.00802
16,2512.04,1.48469,1.23291,1.24725,0.72633,0.659,0.74095,0.47568,1.21614,0.95732,1.15209,0.00787857,0.00787857,0.00787857
17,2667.33,1.47672,1.21525,1.24417,0.74949,0.64815,0.74267,0.47917,1.22345,0.96046,1.14217,0.00773714,0.00773714,0.00773714
18,2823.54,1.47047,1.20419,1.24041,0.74806,0.66661,0.75264,0.48604,1.21408,0.94065,1.14264,0.00759571,0.00759571,0.00759571
19,2983.64,1.462,1.19041,1.23312,0.76539,0.66677,0.75899,0.49502,1.19173,0.91477,1.13387,0.00745429,0.00745429,0.00745429
20,3139.27,1.44989,1.17822,1.2313,0.75994,0.67147,0.76496,0.49989,1.1971,0.90612,1.1329,0.00731286,0.00731286,0.00731286
21,3293.69,1.44114,1.15659,1.22026,0.77335,0.66771,0.76791,0.50254,1.19753,0.90209,1.13508,0.00717143,0.00717143,0.00717143
22,3452.49,1.44112,1.14948,1.21963,0.77428,0.67615,0.77192,0.5088,1.18266,0.87936,1.12638,0.00703,0.00703,0.00703
