epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,223.347,0.83039,1.27573,0.60652,0.63309,0.51501,0.56489,0.28735,0.92364,1.23741,0.55626,0.00332341,0.00332341,0.00332341
2,460.175,0.72422,0.9057,0.53473,0.54286,0.46135,0.46362,0.22293,1.01461,1.5402,0.59298,0.0065626,0.0065626,0.0065626
3,693.268,0.82005,1.1006,0.57935,0.31092,0.3226,0.24481,0.10392,1.24171,4.09,0.72727,0.0097075,0.0097075,0.0097075
4,909.82,0.85173,1.15773,0.59444,0.41748,0.37883,0.34156,0.16386,1.10456,2.05378,0.65225,0.00957571,0.00957571,0.00957571
5,1123.64,0.75968,0.9665,0.55082,0.5533,0.48666,0.49372,0.25401,0.92951,1.50182,0.58056,0.00943429,0.00943429,0.00943429
6,1338.34,0.70415,0.86541,0.52681,0.54755,0.50932,0.52122,0.27892,0.90872,1.40845,0.57361,0.00929286,0.00929286,0.00929286
7,1557.68,0.65201,0.79539,0.50709,0.61392,0.51809,0.55822,0.31021,0.84681,1.30964,0.55327,0.00915143,0.00915143,0.00915143
8,1784.95,0.62406,0.75196,0.4957,0.63047,0.53062,0.57528,0.31934,0.85335,1.26783,0.55179,0.00901,0.00901,0.00901
9,2009.14,0.5973,0.71928,0.48571,0.63069,0.52685,0.58284,0.32805,0.83398,1.21292,0.54209,0.00886857,0.00886857,0.00886857
10,2228.66,0.57209,0.68284,0.47738,0.65205,0.54568,0.59797,0.34123,0.82692,1.19285,0.53817,0.00872714,0.00872714,0.00872714
11,2445.19,0.55838,0.6621,0.47186,0.65925,0.5605,0.62183,0.352,0.81056,1.19284,0.5383,0.00858571,0.00858571,0.00858571
12,2668.23,0.53765,0.64599,0.46459,0.66674,0.58005,0.63816,0.38045,0.76646,1.13461,0.51697,0.00844429,0.00844429,0.00844429
13,2893.42,0.5222,0.62598,0.45874,0.66831,0.58767,0.63648,0.37739,0.78429,1.15117,0.5214,0.00830286,0.00830286,0.00830286
14,3119.49,0.51232,0.61695,0.45593,0.69271,0.57717,0.65017,0.38832,0.77965,1.07561,0.51903,0.00816143,0.00816143,0.00816143
15,3346.85,0.50121,0.59941,0.4521,0.6746,0.57801,0.64559,0.38797,0.76149,1.07939,0.51418,0.00802,0.00802,0.00802
16,3572.16,0.4877,0.58357,0.44737,0.69798,0.59228,0.66501,0.40791,0.7463,1.03672,0.50656,0.00787857,0.00787857,0.00787857
17,3800.51,0.47905,0.57809,0.44471,0.71641,0.59654,0.68091,0.41529,0.74476,1.01583,0.50794,0.00773714,0.00773714,0.00773714
18,4025.95,0.46959,0.56458,0.4425,0.71886,0.61008,0.68618,0.41695,0.74973,1.0161,0.50614,0.00759571,0.00759571,0.00759571
19,4245.96,0.46069,0.55589,0.44074,0.71412,0.61641,0.69311,0.42554,0.7356,0.99023,0.50314,0.00745429,0.00745429,0.00745429
20,4463.34,0.45313,0.54665,0.43796,0.70848,0.6287,0.69991,0.43418,0.72545,0.97228,0.49752,0.00731286,0.00731286,0.00731286
21,4679.39,0.44849,0.54003,0.43661,0.72007,0.6191,0.70053,0.43289,0.72847,0.97302,0.50103,0.00717143,0.00717143,0.00717143
22,4896.55,0.43601,0.53048,0.43346,0.72657,0.62571,0.7089,0.44149,0.71397,0.95068,0.49678,0.00703,0.00703,0.00703
23,5119.87,0.43499,0.52941,0.43309,0.74103,0.61783,0.70815,0.44009,0.71299,0.96166,0.49452,0.00688857,0.00688857,0.00688857
24,5345.27,0.42863,0.52065,0.4323,0.73734,0.63415,0.71662,0.45006,0.71233,0.93614,0.4938,0.00674714,0.00674714,0.00674714
25,5567.32,0.42061,0.51094,0.4295,0.73786,0.63838,0.72083,0.45282,0.70593,0.93459,0.49324,0.00660571,0.00660571,0.00660571
26,5794.17,0.41851,0.50946,0.42907,0.74518,0.63731,0.72084,0.45503,0.70147,0.93214,0.4886,0.00646429,0.00646429,0.00646429
27,6016.39,0.41117,0.50404,0.42729,0.74278,0.64287,0.72816,0.45994,0.69955,0.91424,0.48693,0.00632286,0.00632286,0.00632286
28,6242.18,0.40425,0.49738,0.4254,0.73745,0.65293,0.73298,0.46478,0.69426,0.8966,0.48749,0.00618143,0.00618143,0.00618143
29,6467.79,0.3977,0.48987,0.42251,0.74807,0.65616,0.73794,0.46704,0.69302,0.8882,0.48793,0.00604,0.00604,0.00604
30,6696.77,0.39598,0.48834,0.42224,0.74926,0.66001,0.7397,0.46933,0.68917,0.88825,0.48529,0.00589857,0.00589857,0.00589857
