epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,216.626,0.91469,1.84252,0.61906,0.58877,0.55224,0.57811,0.32874,0.73276,1.35405,0.52476,0.00332341,0.00332341,0.00332341
2,433.552,0.87501,1.50731,0.56747,0.56673,0.53525,0.55108,0.27162,0.86565,1.83947,0.55469,0.0065626,0.0065626,0.0065626
3,649.695,0.94952,1.69152,0.60096,0.41355,0.40636,0.3677,0.17945,0.96495,2.85609,0.63879,0.0097075,0.0097075,0.0097075
4,864.953,0.96469,1.73658,0.61653,0.57313,0.50572,0.52035,0.2711,0.84041,2.15759,0.58878,0.00957571,0.00957571,0.00957571
5,1080.18,0.91856,1.60904,0.59636,0.61719,0.56647,0.60674,0.34328,0.74068,1.30189,0.54572,0.00943429,0.00943429,0.00943429
6,1296.43,0.88469,1.51961,0.58039,0.67368,0.58742,0.65727,0.38505,0.70741,1.17575,0.53253,0.00929286,0.00929286,0.00929286
7,1511.41,0.86594,1.4606,0.57154,0.70324,0.61373,0.68901,0.4087,0.69401,1.14635,0.52459,0.00915143,0.00915143,0.00915143
8,1725.56,0.85028,1.41245,0.56496,0.69634,0.60971,0.68097,0.41001,0.67574,1.11313,0.52101,0.00901,0.00901,0.00901
9,1942.72,0.83153,1.38063,0.55593,0.72932,0.61318,0.70646,0.42995,0.67943,1.08179,0.51542,0.00886857,0.00886857,0.00886857
10,2166.71,0.82324,1.34067,0.55231,0.72522,0.6263,0.70978,0.43707,0.65281,1.06056,0.50488,0.00872714,0.00872714,0.00872714
11,2390.93,0.81619,1.31127,0.548,0.73606,0.63318,0.72723,0.45094,0.63985,1.02157,0.50105,0.00858571,0.00858571,0.00858571
12,2617.05,0.80423,1.29085,0.5441,0.71751,0.64492,0.7197,0.4498,0.63365,1.01003,0.49988,0.00844429,0.00844429,0.00844429
13,2842.72,0.79405,1.25842,0.53854,0.75945,0.63815,0.74341,0.46798,0.62852,0.97793,0.49709,0.00830286,0.00830286,0.00830286
14,3068.22,0.79276,1.2446,0.5362,0.7688,0.64933,0.74526,0.46809,0.62767,0.98606,0.49379,0.00816143,0.00816143,0.00816143
15,3282.97,0.78412,1.22682,0.53341,0.7349,0.67207,0.73933,0.46322,0.62693,0.98504,0.49503,0.00802,0.00802,0.00802
16,3498.22,0.77832,1.20534,0.53009,0.75101,0.67026,0.75345,0.47566,0.61518,0.95375,0.49075,0.00787857,0.00787857,0.00787857
17,3724.63,0.76711,1.18632,0.52634,0.76292,0.67448,0.76434,0.48429,0.61266,0.93165,0.48658,0.00773714,0.00773714,0.00773714
18,3951.36,0.76993,1.17178,0.52699,0.77719,0.67748,0.7695,0.49363,0.60696,0.91727,0.48471,0.00759571,0.00759571,0.00759571
19,4178.67,0.76614,1.15847,0.52496,0.7926,0.66917,0.77609,0.50163,0.60391,0.89441,0.4814,0.00745429,0.00745429,0.00745429
20,4404.9,0.75717,1.1471,0.52244,0.78237,0.67698,0.77782,0.50213,0.60014,0.88937,0.48169,0.00731286,0.00731286,0.00731286
21,4631.75,0.7537,1.12657,0.51798,0.78174,0.69186,0.78416,0.51115,0.59446,0.87513,0.47787,0.00717143,0.00717143,0.00717143
22,4859.08,0.75192,1.11956,0.51831,0.79017,0.69004,0.78792,0.51549,0.58754,0.86169,0.47668,0.00703,0.00703,0.00703
23,5084.4,0.74205,1.10673,0.51474,0.79517,0.68863,0.78834,0.51731,0.58543,0.86429,0.47309,0.00688857,0.00688857,0.00688857
24,5301.43,0.74272,1.08648,0.51332,0.78977,0.70325,0.7967,0.5209,0.5857,0.83814,0.47305,0.00674714,0.00674714,0.00674714
