epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,204.684,0.78626,1.84492,0.62132,0.59339,0.57058,0.60744,0.35217,0.59391,1.31541,0.51381,0.00332341,0.00332341,0.00332341
2,398.004,0.73597,1.51587,0.5703,0.60795,0.54351,0.5739,0.28846,0.71227,1.65051,0.56535,0.0065626,0.0065626,0.0065626
3,588.344,0.79688,1.69371,0.60408,0.42899,0.38771,0.36871,0.16848,0.83927,3.54733,0.6576,0.0097075,0.0097075,0.0097075
4,770.503,0.81437,1.75308,0.62103,0.58927,0.50179,0.524,0.27278,0.7161,2.43623,0.5867,0.00957571,0.00957571,0.00957571
5,958.719,0.77417,1.614,0.60246,0.62344,0.55198,0.59634,0.33596,0.6433,1.3862,0.5492,0.00943429,0.00943429,0.00943429
6,1142.93,0.74388,1.52968,0.58739,0.6611,0.58137,0.63702,0.36765,0.63488,1.2309,0.54124,0.00929286,0.00929286,0.00929286
7,1324.85,0.72809,1.46533,0.57904,0.64738,0.59882,0.64235,0.37305,0.59787,1.40534,0.53178,0.00915143,0.00915143,0.00915143
8,1530.95,0.71203,1.41933,0.57296,0.70226,0.60328,0.67731,0.41066,0.57587,1.11449,0.52288,0.00901,0.00901,0.00901
9,1738.59,0.69755,1.3902,0.56316,0.7047,0.62233,0.70014,0.425,0.56595,1.10364,0.51612,0.00886857,0.00886857,0.00886857
10,1945.45,0.69014,1.34562,0.55981,0.72265,0.62737,0.70806,0.4355,0.5645,1.05763,0.50793,0.00872714,0.00872714,0.00872714
11,2152.35,0.68304,1.31415,0.5545,0.73918,0.628,0.71686,0.44831,0.54958,1.02883,0.50384,0.00858571,0.00858571,0.00858571
12,2359.33,0.67129,1.29146,0.55035,0.73165,0.64325,0.7242,0.45292,0.54438,1.01423,0.50481,0.00844429,0.00844429,0.00844429
13,2566.32,0.66368,1.26572,0.54584,0.74413,0.64504,0.73778,0.46703,0.5312,1.00413,0.49823,0.00830286,0.00830286,0.00830286
14,2773.4,0.65927,1.24916,0.54324,0.73749,0.65347,0.73249,0.46046,0.53466,1.01139,0.49757,0.00816143,0.00816143,0.00816143
15,2980.12,0.6539,1.22842,0.54059,0.74416,0.66595,0.74764,0.47231,0.52581,0.96796,0.49266,0.00802,0.00802,0.00802
16,3166.4,0.64816,1.20588,0.53547,0.75343,0.67411,0.75902,0.48516,0.51654,0.93842,0.49124,0.00787857,0.00787857,0.00787857
17,3374.38,0.63922,1.18709,0.53242,0.74407,0.67691,0.75876,0.48952,0.51374,0.93318,0.4879,0.00773714,0.00773714,0.00773714
18,3582.93,0.63975,1.17482,0.53296,0.77957,0.67265,0.77108,0.49869,0.51168,0.91967,0.48443,0.00759571,0.00759571,0.00759571
19,3790.43,0.63829,1.16107,0.53021,0.78117,0.67008,0.76903,0.49864,0.51033,0.91151,0.48417,0.00745429,0.00745429,0.00745429
20,3996.96,0.63061,1.14757,0.52781,0.75938,0.68169,0.77174,0.50218,0.50963,0.89645,0.48677,0.00731286,0.00731286,0.00731286
21,4201.33,0.6265,1.1288,0.5237,0.78135,0.67908,0.77993,0.51028,0.5036,0.87879,0.48269,0.00717143,0.00717143,0.00717143
22,4400.51,0.62476,1.12153,0.52376,0.80173,0.67742,0.78746,0.51629,0.49885,0.86621,0.48039,0.00703,0.00703,0.00703
23,4606.18,0.61988,1.10601,0.52169,0.78499,0.68862,0.7868,0.51726,0.49734,0.86089,0.47807,0.00688857,0.00688857,0.00688857
24,4789.77,0.61821,1.08801,0.5195,0.79909,0.69269,0.79479,0.52186,0.4966,0.84503,0.4785,0.00674714,0.00674714,0.00674714
25,4975.88,0.61586,1.07989,0.51731,0.79278,0.70031,0.79794,0.52619,0.48935,0.84346,0.47639,0.00660571,0.00660571,0.00660571
26,5162.02,0.60942,1.06891,0.51546,0.80309,0.69305,0.79776,0.52456,0.49045,0.84556,0.47677,0.00646429,0.00646429,0.00646429
27,5355.37,0.60868,1.05581,0.51592,0.79684,0.70348,0.80225,0.52829,0.48876,0.82498,0.47433,0.00632286,0.00632286,0.00632286
28,5562.6,0.60522,1.04683,0.51262,0.81332,0.69657,0.80338,0.52988,0.48879,0.82477,0.47492,0.00618143,0.00618143,0.00618143
29,5770.34,0.59942,1.04159,0.51037,0.80566,0.70773,0.80609,0.53483,0.48598,0.81972,0.47405,0.00604,0.00604,0.00604
30,5977.43,0.60089,1.02682,0.51018,0.80862,0.71063,0.80864,0.53578,0.48486,0.80571,0.47247,0.00589857,0.00589857,0.00589857
31,6184.41,0.59766,1.018,0.50931,0.80208,0.71279,0.80686,0.53437,0.48414,0.81097,0.47317,0.00575714,0.00575714,0.00575714
