epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,208.268,1.23174,1.85627,0.87691,0.61576,0.56169,0.59927,0.34694,0.91536,1.39512,0.70985,0.00332341,0.00332341,0.00332341
2,416.038,1.13024,1.51531,0.79331,0.56002,0.53982,0.54871,0.27214,1.13967,1.61254,0.80426,0.0065626,0.0065626,0.0065626
3,620.238,1.24532,1.68948,0.85261,0.46887,0.4226,0.40459,0.16388,1.49334,3.45365,0.99125,0.0097075,0.0097075,0.0097075
4,807.608,1.27572,1.74668,0.87308,0.58569,0.52216,0.54354,0.28998,1.06847,1.87977,0.8064,0.00957571,0.00957571,0.00957571
5,990.823,1.20052,1.61686,0.83773,0.58877,0.53301,0.56473,0.29566,1.04817,1.4543,0.7899,0.00943429,0.00943429,0.00943429
6,1172.17,1.13774,1.53019,0.80739,0.67512,0.58408,0.6515,0.38444,0.90255,1.19163,0.72252,0.00929286,0.00929286,0.00929286
7,1352.7,1.10811,1.46716,0.79092,0.69117,0.60089,0.65991,0.3851,0.88344,1.23678,0.71114,0.00915143,0.00915143,0.00915143
8,1536.06,1.07678,1.41962,0.77927,0.69398,0.62301,0.69178,0.41291,0.84007,1.11706,0.69424,0.00901,0.00901,0.00901
9,1718.71,1.04182,1.38502,0.75931,0.69704,0.61854,0.69616,0.41823,0.83627,1.10969,0.69288,0.00886857,0.00886857,0.00886857
10,1898.69,1.03023,1.34343,0.75401,0.72395,0.62855,0.71328,0.44104,0.80777,1.04136,0.6757,0.00872714,0.00872714,0.00872714
11,2078.86,1.01692,1.31574,0.74779,0.74084,0.64313,0.72804,0.45405,0.78477,1.01684,0.66629,0.00858571,0.00858571,0.00858571
12,2286.32,0.9994,1.29337,0.73917,0.73641,0.64461,0.72722,0.45737,0.78468,0.99964,0.66425,0.00844429,0.00844429,0.00844429
13,2494.06,0.9829,1.26497,0.72878,0.74965,0.64294,0.73783,0.46311,0.77112,0.99193,0.65912,0.00830286,0.00830286,0.00830286
14,2702.61,0.976,1.24885,0.72734,0.7502,0.66317,0.74742,0.46824,0.77696,0.96573,0.66194,0.00816143,0.00816143,0.00816143
15,2909.47,0.96731,1.22824,0.72291,0.7481,0.661,0.74214,0.46615,0.77519,0.97779,0.6606,0.00802,0.00802,0.00802
16,3114.98,0.95576,1.20533,0.71598,0.75162,0.67069,0.75342,0.48081,0.75014,0.9473,0.64691,0.00787857,0.00787857,0.00787857
17,3296.81,0.93607,1.18674,0.70721,0.75798,0.67713,0.75744,0.48596,0.73944,0.92877,0.643,0.00773714,0.00773714,0.00773714
18,3477.74,0.93922,1.17614,0.71082,0.76769,0.68054,0.77039,0.49534,0.73772,0.91157,0.64227,0.00759571,0.00759571,0.00759571
19,3661.52,0.93719,1.16173,0.7075,0.77463,0.67511,0.77444,0.49723,0.73355,0.90561,0.64171,0.00745429,0.00745429,0.00745429
20,3843.54,0.91977,1.14699,0.70041,0.76473,0.69132,0.77338,0.49908,0.72541,0.89374,0.6366,0.00731286,0.00731286,0.00731286
21,4026.25,0.91364,1.12916,0.69393,0.77796,0.68826,0.78335,0.50808,0.71777,0.87684,0.63288,0.00717143,0.00717143,0.00717143
22,4207.01,0.90826,1.12138,0.69291,0.79488,0.68314,0.78865,0.51743,0.70763,0.86517,0.62653,0.00703,0.00703,0.00703
23,4390.8,0.89965,1.10883,0.68946,0.79861,0.68268,0.78743,0.51253,0.71263,0.86013,0.62861,0.00688857,0.00688857,0.00688857
24,4598.2,0.9008,1.09016,0.68948,0.78147,0.7045,0.79311,0.52102,0.70085,0.83749,0.62549,0.00674714,0.00674714,0.00674714
25,4805.48,0.89297,1.07712,0.68441,0.78705,0.71025,0.79792,0.52277,0.69761,0.83595,0.62417,0.00660571,0.00660571,0.00660571
26,5013.54,0.88388,1.06948,0.67966,0.79128,0.70498,0.79754,0.52358,0.69608,0.8353,0.62338,0.00646429,0.00646429,0.00646429
27,5221.18,0.881,1.05524,0.67994,0.80271,0.70877,0.80426,0.52905,0.69331,0.82131,0.61984,0.00632286,0.00632286,0.00632286
28,5429.59,0.87516,1.05083,0.67467,0.79877,0.70451,0.8029,0.52754,0.68967,0.8311,0.61847,0.00618143,0.00618143,0.00618143
