epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,207.005,0.79612,1.82512,0.62652,0.57879,0.57701,0.59465,0.33686,0.6253,1.38668,0.53483,0.00332341,0.00332341,0.00332341
2,414.599,0.74583,1.48947,0.57523,0.56199,0.54892,0.57124,0.30655,0.68374,1.64375,0.56397,0.0065626,0.0065626,0.0065626
3,627.241,0.80948,1.66789,0.60963,0.40308,0.41661,0.37879,0.17881,0.83744,3.93207,0.65718,0.0097075,0.0097075,0.0097075
4,837.871,0.82705,1.72208,0.62733,0.51821,0.44055,0.4413,0.21132,0.80513,2.96181,0.63045,0.00957571,0.00957571,0.00957571
5,1047.26,0.7874,1.58884,0.60766,0.62796,0.55936,0.60861,0.33777,0.65798,1.36893,0.55687,0.00943429,0.00943429,0.00943429
6,1256.87,0.75698,1.50366,0.59269,0.67391,0.58433,0.64634,0.3735,0.64558,1.16927,0.54776,0.00929286,0.00929286,0.00929286
7,1465.34,0.73905,1.43769,0.58227,0.68201,0.60835,0.67054,0.39143,0.61681,1.16241,0.53507,0.00915143,0.00915143,0.00915143
8,1674.76,0.72364,1.39431,0.57531,0.71171,0.60739,0.69002,0.41586,0.59052,1.06318,0.52216,0.00901,0.00901,0.00901
9,1883.78,0.70756,1.36548,0.56702,0.70815,0.61987,0.70023,0.41972,0.59946,1.06,0.52359,0.00886857,0.00886857,0.00886857
10,2091.16,0.70047,1.32148,0.56377,0.72487,0.62176,0.70868,0.43301,0.5805,1.02306,0.52093,0.00872714,0.00872714,0.00872714
11,2299.51,0.69303,1.29094,0.55899,0.71863,0.65351,0.72809,0.44858,0.56758,0.9715,0.51074,0.00858571,0.00858571,0.00858571
12,2507.89,0.68408,1.27202,0.55444,0.73293,0.64235,0.7234,0.45331,0.55311,0.96902,0.50636,0.00844429,0.00844429,0.00844429
13,2715.62,0.6742,1.23906,0.5483,0.73867,0.66498,0.74758,0.46979,0.55133,0.94204,0.50546,0.00830286,0.00830286,0.00830286
14,2923.41,0.67136,1.2245,0.54643,0.76356,0.63995,0.74168,0.46615,0.54862,0.94072,0.50113,0.00816143,0.00816143,0.00816143
15,3130.99,0.66502,1.20596,0.54434,0.75781,0.67164,0.75316,0.47658,0.53776,0.92323,0.49691,0.00802,0.00802,0.00802
16,3339.46,0.65888,1.18746,0.53984,0.76466,0.67948,0.76251,0.48562,0.53159,0.89049,0.49595,0.00787857,0.00787857,0.00787857
17,3546.48,0.65006,1.16654,0.53698,0.78139,0.6701,0.7698,0.48986,0.53574,0.88521,0.49165,0.00773714,0.00773714,0.00773714
18,3752.92,0.64971,1.15139,0.53571,0.77165,0.68159,0.77429,0.49667,0.53015,0.87419,0.4901,0.00759571,0.00759571,0.00759571
19,3961.07,0.64683,1.14034,0.53362,0.77949,0.67845,0.77604,0.50039,0.52256,0.86788,0.48969,0.00745429,0.00745429,0.00745429
20,4168.06,0.64073,1.12608,0.53229,0.77696,0.69323,0.78256,0.5014,0.52522,0.85069,0.48921,0.00731286,0.00731286,0.00731286
21,4375.57,0.63718,1.10712,0.52737,0.78664,0.69174,0.78772,0.51026,0.51665,0.84419,0.486,0.00717143,0.00717143,0.00717143
22,4583.09,0.63513,1.09914,0.52795,0.799,0.6924,0.79402,0.51565,0.51087,0.8248,0.48269,0.00703,0.00703,0.00703
23,4790.74,0.6287,1.08487,0.52545,0.79922,0.69257,0.79358,0.5169,0.50973,0.82244,0.48181,0.00688857,0.00688857,0.00688857
24,4997.78,0.62799,1.06709,0.52222,0.79286,0.70723,0.79767,0.51819,0.51085,0.80864,0.48172,0.00674714,0.00674714,0.00674714
25,5204.93,0.62459,1.05424,0.52071,0.79538,0.70556,0.80141,0.52771,0.50459,0.79872,0.47945,0.00660571,0.00660571,0.00660571
26,5411.84,0.61853,1.04447,0.51815,0.7936,0.71498,0.80161,0.52464,0.50423,0.80041,0.48119,0.00646429,0.00646429,0.00646429
27,5618.75,0.61878,1.03422,0.51885,0.79252,0.71609,0.80206,0.52365,0.50675,0.79734,0.4814,0.00632286,0.00632286,0.00632286
28,5824.87,0.61533,1.02699,0.51576,0.79928,0.71795,0.80606,0.52813,0.50314,0.78819,0.47947,0.00618143,0.00618143,0.00618143
29,6033.26,0.60934,1.02003,0.51331,0.80148,0.71488,0.80812,0.53169,0.50035,0.78247,0.47659,0.00604,0.00604,0.00604
30,6241.24,0.60967,1.0047,0.51271,0.79719,0.73023,0.81202,0.53497,0.49864,0.77569,0.47573,0.00589857,0.00589857,0.00589857
31,6449.54,0.60741,0.99995,0.51203,0.79681,0.72393,0.81172,0.5356,0.49695,0.77258,0.47535,0.00575714,0.00575714,0.00575714
32,6656.8,0.60177,0.98219,0.50849,0.79747,0.72071,0.81218,0.53606,0.49751,0.77012,0.47576,0.00561571,0.00561571,0.00561571
33,6863.59,0.60238,0.97186,0.50863,0.78832,0.7344,0.81299,0.53845,0.49639,0.76729,0.47567,0.00547429,0.00547429,0.00547429
34,7072.4,0.59993,0.96545,0.50646,0.79532,0.7254,0.81439,0.53959,0.49407,0.76284,0.47518,0.00533286,0.00533286,0.00533286
