epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,142.921,0.87497,1.84542,0.62029,0.60199,0.57001,0.60747,0.35414,0.66996,1.37771,0.51271,0.00332341,0.00332341,0.00332341
2,287.535,0.83287,1.51143,0.5683,0.60122,0.52946,0.56442,0.2899,0.83086,1.59049,0.56441,0.0065626,0.0065626,0.0065626
3,432.905,0.90374,1.69651,0.60406,0.39456,0.38009,0.33435,0.15749,1.025,3.65035,0.70284,0.0097075,0.0097075,0.0097075
4,576.897,0.91706,1.74197,0.61942,0.55828,0.49759,0.51237,0.26099,0.82826,2.00869,0.584,0.00957571,0.00957571,0.00957571
5,719.657,0.87334,1.61368,0.60145,0.61891,0.54097,0.58631,0.32618,0.75833,1.37006,0.56165,0.00943429,0.00943429,0.00943429
6,860.74,0.83648,1.53044,0.58701,0.65699,0.56886,0.63022,0.37116,0.6815,1.23221,0.5376,0.00929286,0.00929286,0.00929286
7,1001.87,0.81786,1.47091,0.57777,0.69088,0.59963,0.66776,0.39164,0.67776,1.21171,0.53171,0.00915143,0.00915143,0.00915143
8,1143.25,0.79961,1.42202,0.57163,0.71345,0.59608,0.68645,0.41345,0.64965,1.10557,0.52086,0.00901,0.00901,0.00901
9,1288.72,0.78057,1.38889,0.56238,0.7013,0.60983,0.69154,0.41465,0.64484,1.11824,0.51733,0.00886857,0.00886857,0.00886857
10,1434.66,0.77365,1.34968,0.55974,0.71559,0.63513,0.71402,0.44131,0.62716,1.04827,0.50371,0.00872714,0.00872714,0.00872714
11,1579.68,0.76412,1.31544,0.55534,0.74261,0.62881,0.72064,0.44551,0.6238,1.02088,0.51088,0.00858571,0.00858571,0.00858571
12,1722.95,0.75254,1.29387,0.55089,0.70813,0.647,0.71921,0.45417,0.59979,1.0317,0.49992,0.00844429,0.00844429,0.00844429
13,1864.06,0.74104,1.26573,0.54483,0.76207,0.6461,0.74041,0.46533,0.60311,0.9926,0.5011,0.00830286,0.00830286,0.00830286
14,2005.17,0.7369,1.24987,0.5432,0.74792,0.65334,0.73981,0.46146,0.60166,0.99904,0.49936,0.00816143,0.00816143,0.00816143
15,2146.15,0.72814,1.22834,0.53975,0.74482,0.67288,0.74565,0.47343,0.58803,0.98764,0.49234,0.00802,0.00802,0.00802
16,2287.27,0.72157,1.20886,0.53606,0.75884,0.67016,0.75801,0.48456,0.58338,0.95389,0.49176,0.00787857,0.00787857,0.00787857
17,2432.74,0.71018,1.18919,0.53285,0.76732,0.66911,0.76316,0.49142,0.5753,0.92818,0.48566,0.00773714,0.00773714,0.00773714
18,2578.34,0.70954,1.17803,0.5327,0.77237,0.68089,0.77032,0.49618,0.58439,0.91422,0.48808,0.00759571,0.00759571,0.00759571
19,2724.15,0.70901,1.16632,0.53036,0.78045,0.67979,0.77844,0.50411,0.57526,0.90859,0.49034,0.00745429,0.00745429,0.00745429
20,2869.6,0.6983,1.15097,0.52782,0.77094,0.68894,0.77815,0.50288,0.57623,0.89533,0.4852,0.00731286,0.00731286,0.00731286
21,3015.09,0.69369,1.13173,0.52336,0.77744,0.69442,0.78358,0.51278,0.56393,0.8782,0.48264,0.00717143,0.00717143,0.00717143
22,3160.57,0.69072,1.12334,0.52284,0.77735,0.69365,0.78557,0.5103,0.56624,0.87982,0.48177,0.00703,0.00703,0.00703
23,3305.77,0.684,1.10967,0.52062,0.80095,0.67903,0.78689,0.51411,0.56004,0.86987,0.47925,0.00688857,0.00688857,0.00688857
24,3451.42,0.68347,1.09258,0.51949,0.78912,0.69843,0.79599,0.52119,0.56083,0.84595,0.47951,0.00674714,0.00674714,0.00674714
25,3596.27,0.67947,1.08165,0.5186,0.795,0.7044,0.79831,0.52325,0.5557,0.84374,0.47896,0.00660571,0.00660571,0.00660571
26,3739.95,0.67214,1.07013,0.51542,0.80588,0.69653,0.79552,0.5215,0.55483,0.84683,0.47811,0.00646429,0.00646429,0.00646429
27,3885.78,0.67091,1.05897,0.51589,0.79505,0.71059,0.80117,0.52635,0.55295,0.83672,0.47469,0.00632286,0.00632286,0.00632286
28,4031.73,0.66772,1.05052,0.51247,0.79042,0.72015,0.80624,0.53054,0.54857,0.82782,0.47373,0.00618143,0.00618143,0.00618143
29,4175.98,0.65953,1.04181,0.51017,0.81365,0.70321,0.8054,0.53266,0.55099,0.8226,0.47356,0.00604,0.00604,0.00604
30,4321.35,0.65898,1.02641,0.50941,0.79888,0.71652,0.808,0.53234,0.54991,0.81611,0.47419,0.00589857,0.00589857,0.00589857
31,4466.97,0.65849,1.02109,0.50889,0.80724,0.71365,0.81001,0.53374,0.54903,0.81618,0.47379,0.00575714,0.00575714,0.00575714
32,4612.3,0.65242,1.00405,0.50579,0.81324,0.71555,0.8115,0.53777,0.54657,0.8061,0.47272,0.00561571,0.00561571,0.00561571
33,4756.8,0.65308,0.99257,0.50456,0.80868,0.72127,0.81288,0.53972,0.54475,0.80221,0.47155,0.00547429,0.00547429,0.00547429
34,4902.04,0.65089,0.98545,0.5023,0.80847,0.72393,0.81427,0.54095,0.5444,0.79468,0.4704,0.00533286,0.00533286,0.00533286
35,5047.41,0.64722,0.97547,0.50224,0.81535,0.72166,0.81661,0.54433,0.54465,0.78871,0.47044,0.00519143,0.00519143,0.00519143
36,5192.88,0.64107,0.96663,0.4998,0.81476,0.72467,0.81809,0.54685,0.54237,0.78507,0.46945,0.00505,0.00505,0.00505
37,5338.26,0.63741,0.9539,0.49692,0.81273,0.72721,0.81774,0.5471,0.53962,0.78416,0.4677,0.00490857,0.00490857,0.00490857
38,5483.65,0.63667,0.94677,0.4983,0.80978,0.73009,0.81869,0.54788,0.53849,0.78185,0.46738,0.00476714,0.00476714,0.00476714
39,5629.05,0.63615,0.94405,0.49676,0.81182,0.72787,0.81952,0.54823,0.53976,0.77691,0.46753,0.00462571,0.00462571,0.00462571
40,5774.45,0.63081,0.92704,0.49398,0.82532,0.72126,0.82051,0.54832,0.53954,0.77634,0.46791,0.00448429,0.00448429,0.00448429
