epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,199.366,0.78634,2.17073,0.62278,0.56978,0.54648,0.56643,0.3215,0.62349,1.63403,0.52674,0.00332341,0.00332341,0.00332341
2,380.271,0.73567,1.80821,0.56978,0.586,0.52556,0.552,0.26095,0.76655,1.72076,0.58241,0.0065626,0.0065626,0.0065626
3,574.711,0.79836,2.01769,0.60477,0.43624,0.38378,0.36092,0.16787,0.84213,2.73738,0.65977,0.0097075,0.0097075,0.0097075
4,759.166,0.8162,2.07665,0.62227,0.53416,0.47218,0.46913,0.23241,0.75813,2.00917,0.60996,0.00957571,0.00957571,0.00957571
5,943.202,0.77893,1.93273,0.60454,0.59374,0.54237,0.57216,0.31914,0.66088,1.65775,0.55455,0.00943429,0.00943429,0.00943429
6,1128.04,0.7471,1.83447,0.58806,0.65243,0.57773,0.64038,0.36979,0.63145,1.41868,0.54513,0.00929286,0.00929286,0.00929286
7,1310.41,0.73113,1.76275,0.57977,0.69858,0.60301,0.67448,0.39403,0.61556,1.32827,0.53283,0.00915143,0.00915143,0.00915143
8,1494.45,0.71536,1.70416,0.57213,0.6853,0.61407,0.67949,0.40202,0.58737,1.29724,0.52049,0.00901,0.00901,0.00901
9,1675.28,0.69993,1.67131,0.56438,0.70942,0.62835,0.70827,0.42605,0.58319,1.24615,0.52047,0.00886857,0.00886857,0.00886857
10,1858.74,0.69415,1.62336,0.56055,0.71842,0.62395,0.70468,0.43145,0.57046,1.26235,0.51426,0.00872714,0.00872714,0.00872714
11,2040.52,0.68635,1.58842,0.55612,0.73127,0.64115,0.72298,0.44829,0.55051,1.20425,0.5036,0.00858571,0.00858571,0.00858571
12,2247.9,0.67601,1.56099,0.55299,0.72934,0.63489,0.72019,0.44999,0.54838,1.17519,0.50255,0.00844429,0.00844429,0.00844429
13,2438.99,0.66626,1.53209,0.54692,0.7416,0.654,0.73636,0.46067,0.53667,1.16564,0.50164,0.00830286,0.00830286,0.00830286
14,2628.51,0.66346,1.51193,0.54533,0.74609,0.64006,0.72958,0.45357,0.5418,1.17028,0.49986,0.00816143,0.00816143,0.00816143
15,2821.37,0.65797,1.48992,0.54144,0.74582,0.65761,0.73909,0.46464,0.53521,1.16313,0.49758,0.00802,0.00802,0.00802
16,3008.21,0.65119,1.46258,0.53698,0.74576,0.66703,0.74734,0.4737,0.5251,1.12228,0.49352,0.00787857,0.00787857,0.00787857
17,3193.68,0.64276,1.44262,0.53319,0.76,0.67374,0.75592,0.48589,0.51753,1.104,0.4874,0.00773714,0.00773714,0.00773714
18,3376.29,0.64172,1.42634,0.53322,0.77383,0.67317,0.76413,0.48827,0.51955,1.07721,0.4883,0.00759571,0.00759571,0.00759571
19,3560.6,0.64116,1.41313,0.53145,0.77188,0.67209,0.76992,0.49507,0.51298,1.05714,0.4856,0.00745429,0.00745429,0.00745429
20,3743.19,0.6337,1.39412,0.52972,0.77176,0.69159,0.77585,0.49979,0.51186,1.04401,0.48518,0.00731286,0.00731286,0.00731286
21,3926.41,0.62881,1.379,0.52423,0.78033,0.68692,0.77775,0.50423,0.50667,1.04457,0.4827,0.00717143,0.00717143,0.00717143
22,4109.26,0.62695,1.36664,0.52461,0.77881,0.68945,0.78022,0.506,0.50659,1.0322,0.48195,0.00703,0.00703,0.00703
23,4294.23,0.62229,1.34437,0.52291,0.79241,0.69193,0.78558,0.5097,0.50343,1.0174,0.48064,0.00688857,0.00688857,0.00688857
24,4502.02,0.62193,1.32949,0.52091,0.77933,0.70197,0.78958,0.51095,0.50093,1.01105,0.47993,0.00674714,0.00674714,0.00674714
25,4698.53,0.61895,1.31645,0.51868,0.78833,0.70158,0.7959,0.51787,0.49861,0.99361,0.47811,0.00660571,0.00660571,0.00660571
26,4901.19,0.6128,1.30439,0.51538,0.80498,0.69966,0.79768,0.52139,0.49233,0.99422,0.47562,0.00646429,0.00646429,0.00646429
27,5090.54,0.61187,1.28668,0.51707,0.80136,0.70395,0.7984,0.52004,0.4942,0.99014,0.47509,0.00632286,0.00632286,0.00632286
28,5276.63,0.60898,1.28446,0.51469,0.79315,0.70287,0.7966,0.5237,0.49142,0.98272,0.4763,0.00618143,0.00618143,0.00618143
29,5463.63,0.60328,1.26827,0.51181,0.79133,0.71275,0.80201,0.52959,0.487,0.9743,0.47288,0.00604,0.00604,0.00604
30,5652.42,0.60497,1.25714,0.51188,0.78551,0.72277,0.80484,0.53058,0.48752,0.96921,0.47285,0.00589857,0.00589857,0.00589857
31,5839.35,0.60094,1.24485,0.50967,0.79259,0.72255,0.80611,0.53153,0.48672,0.96174,0.47329,0.00575714,0.00575714,0.00575714
32,6022.57,0.59524,1.2311,0.50656,0.79986,0.71629,0.80617,0.53296,0.48643,0.95455,0.47301,0.00561571,0.00561571,0.00561571
33,6203.19,0.59564,1.21871,0.50628,0.80832,0.71049,0.80777,0.53491,0.48356,0.95314,0.4701,0.00547429,0.00547429,0.00547429
34,6410.69,0.59434,1.20904,0.50467,0.80336,0.71741,0.81138,0.53754,0.48127,0.94678,0.46909,0.00533286,0.00533286,0.00533286
35,6618.6,0.59071,1.19366,0.50518,0.79497,0.72677,0.8116,0.53857,0.48277,0.94063,0.47036,0.00519143,0.00519143,0.00519143
36,6820.63,0.58501,1.17926,0.50079,0.80922,0.71891,0.81339,0.53926,0.48196,0.93613,0.46968,0.00505,0.00505,0.00505
37,7008.07,0.5828,1.17015,0.49855,0.80782,0.72313,0.81492,0.54103,0.48026,0.93324,0.46827,0.00490857,0.00490857,0.00490857
38,7193.12,0.58137,1.1567,0.49988,0.80879,0.72981,0.81669,0.54192,0.47967,0.92825,0.46747,0.00476714,0.00476714,0.00476714
39,7374.16,0.58142,1.15789,0.49856,0.80494,0.73685,0.81698,0.54312,0.47903,0.92421,0.46676,0.00462571,0.00462571,0.00462571
40,7560.28,0.57669,1.13669,0.49611,0.81139,0.72812,0.81824,0.54389,0.47845,0.92513,0.46686,0.00448429,0.00448429,0.00448429
41,7744.36,0.57374,1.12417,0.49369,0.79998,0.73468,0.81827,0.54502,0.47827,0.92251,0.46727,0.00434286,0.00434286,0.00434286
42,7927.21,0.57207,1.11695,0.49384,0.79527,0.73833,0.81762,0.54529,0.47726,0.92066,0.46726,0.00420143,0.00420143,0.00420143
43,8108.56,0.56849,1.10183,0.49051,0.7931,0.74144,0.81856,0.54598,0.47686,0.91836,0.46717,0.00406,0.00406,0.00406
44,8290.44,0.56393,1.093,0.48912,0.80394,0.73793,0.8189,0.54592,0.4767,0.91701,0.4671,0.00391857,0.00391857,0.00391857
45,8473.51,0.56537,1.09385,0.48956,0.81146,0.73211,0.81958,0.54613,0.47665,0.91654,0.46736,0.00377714,0.00377714,0.00377714
46,8680.9,0.56309,1.07695,0.48945,0.81567,0.72717,0.81922,0.54637,0.476,0.91573,0.46712,0.00363571,0.00363571,0.00363571
47,8887.26,0.56002,1.06396,0.48643,0.8139,0.72926,0.8194,0.54624,0.47556,0.9148,0.46651,0.00349429,0.00349429,0.00349429
48,9083.25,0.55741,1.05165,0.4856,0.81573,0.73059,0.81989,0.54719,0.47521,0.9127,0.46626,0.00335286,0.00335286,0.00335286
49,9266.27,0.55473,1.04102,0.48358,0.8135,0.73375,0.81999,0.54797,0.47543,0.91089,0.46612,0.00321143,0.00321143,0.00321143
50,9449.18,0.55391,1.03451,0.48278,0.80937,0.73655,0.8208,0.54776,0.47551,0.90961,0.46611,0.00307,0.00307,0.00307
51,9632.14,0.54936,1.02116,0.48043,0.80843,0.73549,0.82027,0.54867,0.47545,0.90751,0.46594,0.00292857,0.00292857,0.00292857
52,9817.28,0.54497,1.00669,0.47847,0.8083,0.73738,0.82056,0.54893,0.4754,0.90571,0.46592,0.00278714,0.00278714,0.00278714
53,10001.1,0.54537,1.00294,0.47837,0.81246,0.73683,0.82094,0.54883,0.47557,0.90482,0.466,0.00264571,0.00264571,0.00264571
54,10182.9,0.54233,0.98915,0.47782,0.81108,0.7367,0.82108,0.54861,0.47552,0.9037,0.466,0.00250429,0.00250429,0.00250429
55,10390.5,0.5403,0.97719,0.4757,0.81546,0.73439,0.82135,0.54912,0.47548,0.9025,0.46614,0.00236286,0.00236286,0.00236286
56,10585.5,0.53845,0.96471,0.47548,0.81599,0.73569,0.82133,0.54969,0.47528,0.90138,0.46609,0.00222143,0.00222143,0.00222143
