epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,81.2604,1.96497,1.74987,1.35319,0.65077,0.58608,0.64535,0.40216,1.53581,1.18385,1.21257,0.00331224,0.00331224,0.00331224
2,163.57,1.8572,1.34327,1.2524,0.49594,0.45328,0.43962,0.21226,2.16379,1.76173,1.46325,0.00655158,0.00655158,0.00655158
3,246.43,2.02411,1.49306,1.30885,0.33937,0.3141,0.25722,0.10879,2.51625,5.00996,1.78485,0.00969664,0.00969664,0.00969664
4,329.81,2.09975,1.60929,1.351,0.43305,0.42451,0.3953,0.19704,2.06511,4.79106,1.52059,0.00957571,0.00957571,0.00957571
5,412.352,1.99725,1.49937,1.31801,0.57029,0.50653,0.5249,0.27814,1.94293,2.0818,1.43074,0.00943429,0.00943429,0.00943429
6,493.707,1.93277,1.42601,1.29068,0.60353,0.55059,0.58032,0.32361,1.79975,1.64769,1.35791,0.00929286,0.00929286,0.00929286
7,576.172,1.87136,1.3664,1.27511,0.65959,0.57631,0.63545,0.37456,1.64707,1.34691,1.30364,0.00915143,0.00915143,0.00915143
8,658.486,1.83727,1.32605,1.26232,0.63058,0.57443,0.61808,0.36303,1.67716,1.68131,1.30879,0.00901,0.00901,0.00901
9,739.873,1.80233,1.29313,1.25026,0.67812,0.59567,0.6579,0.38619,1.63956,1.30629,1.28017,0.00886857,0.00886857,0.00886857
10,820.943,1.76783,1.25344,1.23513,0.69227,0.61429,0.68646,0.42083,1.57367,1.19317,1.25852,0.00872714,0.00872714,0.00872714
11,902.405,1.74671,1.23896,1.23121,0.66672,0.63343,0.68604,0.41994,1.54893,1.20805,1.24567,0.00858571,0.00858571,0.00858571
12,983.408,1.72528,1.21232,1.22171,0.69987,0.62807,0.70222,0.43531,1.51428,1.109,1.22394,0.00844429,0.00844429,0.00844429
13,1065.19,1.69764,1.18937,1.2083,0.71598,0.62395,0.70388,0.43373,1.53342,1.13902,1.2304,0.00830286,0.00830286,0.00830286
14,1146.33,1.68526,1.17247,1.20612,0.71656,0.64868,0.72245,0.45143,1.50893,1.06973,1.22548,0.00816143,0.00816143,0.00816143
15,1228.69,1.66768,1.14936,1.19842,0.71719,0.65418,0.73035,0.45906,1.4736,1.102,1.22018,0.00802,0.00802,0.00802
16,1311.39,1.65568,1.13694,1.19886,0.73864,0.64274,0.72997,0.45984,1.46699,1.07318,1.21368,0.00787857,0.00787857,0.00787857
17,1392.51,1.64011,1.11747,1.18755,0.73468,0.6646,0.74146,0.46997,1.4437,1.03573,1.19967,0.00773714,0.00773714,0.00773714
18,1473.93,1.62195,1.11312,1.18665,0.7481,0.6701,0.75455,0.48227,1.44092,0.98696,1.19748,0.00759571,0.00759571,0.00759571
19,1554.89,1.62588,1.10214,1.18723,0.75835,0.66443,0.7548,0.48731,1.41736,0.99313,1.19539,0.00745429,0.00745429,0.00745429
20,1636.27,1.6107,1.08638,1.18092,0.74575,0.66995,0.75362,0.48144,1.43798,0.99765,1.19395,0.00731286,0.00731286,0.00731286
21,1717.12,1.5856,1.06679,1.17595,0.75296,0.68524,0.76402,0.4886,1.41844,0.96281,1.18923,0.00717143,0.00717143,0.00717143
22,1798.23,1.5809,1.06293,1.16933,0.76388,0.67725,0.76564,0.49555,1.40714,0.96711,1.17806,0.00703,0.00703,0.00703
23,1879.31,1.57009,1.05056,1.16475,0.75563,0.67917,0.76507,0.4977,1.39317,0.97195,1.17728,0.00688857,0.00688857,0.00688857
24,1960.32,1.56385,1.03156,1.15999,0.77924,0.67207,0.7773,0.50836,1.3887,0.92454,1.17267,0.00674714,0.00674714,0.00674714
25,2041.43,1.54954,1.01624,1.15503,0.77179,0.67914,0.77303,0.50419,1.39189,0.93715,1.17374,0.00660571,0.00660571,0.00660571
26,2122.47,1.5494,1.0132,1.15601,0.7616,0.69356,0.77757,0.50678,1.37486,0.93414,1.17003,0.00646429,0.00646429,0.00646429
27,2205.2,1.52552,0.99675,1.14707,0.76412,0.68776,0.77829,0.50975,1.38175,0.91479,1.16385,0.00632286,0.00632286,0.00632286
28,2285.77,1.52159,0.99451,1.14591,0.78093,0.69752,0.78685,0.5175,1.36004,0.91897,1.15269,0.00618143,0.00618143,0.00618143
29,2366.43,1.51626,0.9842,1.14079,0.76864,0.70062,0.78515,0.51858,1.36639,0.91169,1.15104,0.00604,0.00604,0.00604
30,2447.69,1.50995,0.97799,1.14032,0.77809,0.7049,0.79068,0.52065,1.34923,0.89644,1.15208,0.00589857,0.00589857,0.00589857
31,2529.45,1.49158,0.95731,1.13115,0.78283,0.70327,0.79512,0.52322,1.3492,0.87846,1.15286,0.00575714,0.00575714,0.00575714
32,2610.76,1.48466,0.95145,1.13194,0.78595,0.70319,0.79668,0.52682,1.33869,0.88549,1.14977,0.00561571,0.00561571,0.00561571
33,2690.95,1.49286,0.95293,1.13293,0.78949,0.70632,0.79932,0.535,1.31831,0.87294,1.1433,0.00547429,0.00547429,0.00547429
34,2772.17,1.47441,0.93508,1.12505,0.78947,0.70894,0.8003,0.53674,1.32214,0.85845,1.13878,0.00533286,0.00533286,0.00533286
35,2852.4,1.46322,0.92565,1.1246,0.78462,0.71837,0.80537,0.53863,1.32244,0.8537,1.1348,0.00519143,0.00519143,0.00519143
36,2932.78,1.46666,0.91894,1.1192,0.78544,0.70955,0.79944,0.53377,1.3162,0.86031,1.13875,0.00505,0.00505,0.00505
37,3013.09,1.44799,0.91078,1.11639,0.79506,0.71328,0.8036,0.53905,1.31432,0.86274,1.1351,0.00490857,0.00490857,0.00490857
38,3093.56,1.44253,0.90956,1.11819,0.7852,0.72181,0.80828,0.54368,1.31091,0.83753,1.13313,0.00476714,0.00476714,0.00476714
39,3174.18,1.44013,0.90407,1.11164,0.78581,0.72534,0.80878,0.54471,1.30276,0.83852,1.13324,0.00462571,0.00462571,0.00462571
40,3256.68,1.42902,0.87864,1.10903,0.79037,0.72306,0.8107,0.54391,1.29928,0.83207,1.1344,0.00448429,0.00448429,0.00448429
41,3338.67,1.42417,0.87947,1.10705,0.78197,0.72904,0.81012,0.54651,1.30052,0.83141,1.13273,0.00434286,0.00434286,0.00434286
