epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,80.4773,1.33845,1.7458,1.86897,0.62383,0.60831,0.65289,0.40876,1.15115,1.16598,1.60363,0.00331224,0.00331224,0.00331224
2,161.053,1.33249,1.34919,1.82289,0.57986,0.53036,0.53839,0.29856,1.35235,1.65041,1.73916,0.00655158,0.00655158,0.00655158
3,242.732,1.46344,1.49774,1.92193,0.40191,0.39232,0.35547,0.16918,1.66739,4.52043,2.06326,0.00969664,0.00969664,0.00969664
4,324.051,1.52975,1.61346,1.97846,0.49201,0.46335,0.45109,0.23348,1.53028,3.16247,1.94615,0.00957571,0.00957571,0.00957571
5,405.154,1.45882,1.50623,1.93976,0.56969,0.50533,0.52385,0.27913,1.48292,2.45872,1.89664,0.00943429,0.00943429,0.00943429
6,486.312,1.4093,1.42149,1.91954,0.61102,0.56308,0.59841,0.34669,1.3358,1.65857,1.77663,0.00929286,0.00929286,0.00929286
7,568.222,1.36926,1.36625,1.88305,0.66844,0.54637,0.60868,0.35722,1.32235,1.38749,1.79581,0.00915143,0.00915143,0.00915143
8,649.874,1.34697,1.32011,1.87378,0.63809,0.59156,0.63877,0.39025,1.23567,1.34912,1.72918,0.00901,0.00901,0.00901
9,730.963,1.32621,1.28801,1.8638,0.68596,0.59936,0.67239,0.41387,1.22828,1.23472,1.72609,0.00886857,0.00886857,0.00886857
10,812.164,1.30811,1.24498,1.86516,0.68985,0.62091,0.68741,0.42681,1.22756,1.15949,1.71183,0.00872714,0.00872714,0.00872714
11,893.603,1.29781,1.22251,1.84271,0.67505,0.62565,0.68674,0.43296,1.18307,1.20293,1.70062,0.00858571,0.00858571,0.00858571
12,975.057,1.2733,1.20128,1.82833,0.71535,0.6298,0.70796,0.44666,1.16685,1.10091,1.68567,0.00844429,0.00844429,0.00844429
13,1057.25,1.26336,1.17564,1.8283,0.69694,0.63484,0.70366,0.44733,1.15767,1.07701,1.65879,0.00830286,0.00830286,0.00830286
14,1137.48,1.2512,1.15963,1.81663,0.71913,0.63646,0.71475,0.45669,1.15516,1.08113,1.66273,0.00816143,0.00816143,0.00816143
15,1217.66,1.23987,1.13274,1.81538,0.71052,0.65757,0.72383,0.45452,1.17127,1.09154,1.69356,0.00802,0.00802,0.00802
16,1298.88,1.23241,1.12298,1.80678,0.74447,0.6543,0.74212,0.47138,1.14757,1.02846,1.66063,0.00787857,0.00787857,0.00787857
17,1380.56,1.21733,1.10516,1.80112,0.7445,0.65941,0.74185,0.47978,1.11161,1.01216,1.63723,0.00773714,0.00773714,0.00773714
18,1461.93,1.21037,1.09723,1.79163,0.75184,0.65934,0.748,0.48385,1.13446,0.99012,1.64591,0.00759571,0.00759571,0.00759571
