epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,82.0371,1.0326,1.73112,1.247,0.66818,0.57888,0.65531,0.40397,0.92266,1.16477,1.13729,0.00331224,0.00331224,0.00331224
2,164.517,1.00917,1.34846,1.18533,0.58709,0.55179,0.57173,0.32054,1.04703,1.6632,1.22939,0.00655158,0.00655158,0.00655158
3,252.036,1.11537,1.50471,1.25342,0.34079,0.3483,0.29281,0.13764,1.38171,8.81189,1.60111,0.00969664,0.00969664,0.00969664
4,332.218,1.17887,1.61286,1.31926,0.49659,0.46615,0.46486,0.22994,1.29913,2.37701,1.47122,0.00957571,0.00957571,0.00957571
5,412.484,1.12221,1.50012,1.29068,0.58921,0.51635,0.54507,0.29958,1.1772,1.82893,1.37261,0.00943429,0.00943429,0.00943429
6,493.108,1.08138,1.4125,1.2678,0.5937,0.56053,0.58617,0.33541,1.09457,1.9186,1.3139,0.00929286,0.00929286,0.00929286
7,573.574,1.04805,1.34978,1.24786,0.66147,0.57646,0.63854,0.38049,1.04487,1.35998,1.26576,0.00915143,0.00915143,0.00915143
8,655.044,1.03266,1.31006,1.23962,0.67829,0.58724,0.65407,0.3956,1.00684,1.28362,1.24146,0.00901,0.00901,0.00901
9,737.522,1.01601,1.27888,1.22838,0.68148,0.60164,0.66569,0.40405,0.98308,1.29119,1.22712,0.00886857,0.00886857,0.00886857
10,818.812,1.00077,1.23754,1.21572,0.68203,0.61727,0.68011,0.41851,0.99813,1.16581,1.23303,0.00872714,0.00872714,0.00872714
11,900.423,0.98826,1.2197,1.20934,0.69469,0.60812,0.68627,0.4296,0.9426,1.2216,1.21395,0.00858571,0.00858571,0.00858571
12,981.53,0.97048,1.19139,1.20011,0.70481,0.61862,0.69188,0.42569,0.965,1.14609,1.21756,0.00844429,0.00844429,0.00844429
13,1062.4,0.96232,1.16994,1.19126,0.72571,0.63182,0.7129,0.45331,0.92721,1.07327,1.1892,0.00830286,0.00830286,0.00830286
14,1142.98,0.95503,1.15387,1.18515,0.71849,0.64825,0.71933,0.4614,0.90621,1.04591,1.18908,0.00816143,0.00816143,0.00816143
15,1224.42,0.94299,1.12929,1.17992,0.73406,0.65464,0.73702,0.46963,0.90843,1.03641,1.19279,0.00802,0.00802,0.00802
16,1304.59,0.94126,1.11945,1.17738,0.75356,0.65052,0.74321,0.47863,0.89817,1.00301,1.17256,0.00787857,0.00787857,0.00787857
17,1384.5,0.92759,1.09291,1.16525,0.75075,0.65796,0.74293,0.47815,0.90221,1.01755,1.16879,0.00773714,0.00773714,0.00773714
18,1466.03,0.9215,1.0849,1.16473,0.7489,0.6537,0.7424,0.47988,0.89364,0.98653,1.16714,0.00759571,0.00759571,0.00759571
19,1547.95,0.92012,1.07858,1.16216,0.76074,0.6594,0.7528,0.49165,0.88369,0.97341,1.15765,0.00745429,0.00745429,0.00745429
20,1628.96,0.91382,1.06206,1.15679,0.74774,0.67458,0.75489,0.48607,0.88743,0.96748,1.1584,0.00731286,0.00731286,0.00731286
