epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,81.3203,2.0261,1.76939,1.76969,0.66185,0.59703,0.65802,0.41798,1.61042,1.14934,1.51175,0.00331224,0.00331224,0.00331224
2,162.693,2.00953,1.36097,1.68059,0.55022,0.49591,0.51192,0.27903,2.09722,2.08469,1.81769,0.00655158,0.00655158,0.00655158
3,251.777,2.25171,1.52055,1.82609,0.28466,0.36414,0.26457,0.12723,2.68538,10.945,2.40804,0.00969664,0.00969664,0.00969664
4,332.657,2.37411,1.63594,1.9348,0.4562,0.42921,0.41529,0.22379,2.31865,3.64712,2.07395,0.00957571,0.00957571,0.00957571
5,414.648,2.23324,1.52492,1.86308,0.43627,0.54842,0.49017,0.27894,2.13841,2.75946,1.95756,0.00943429,0.00943429,0.00943429
6,494.306,2.14747,1.44292,1.81133,0.6109,0.5405,0.5847,0.34647,1.97788,1.55226,1.84484,0.00929286,0.00929286,0.00929286
7,573.392,2.06769,1.38419,1.76662,0.63489,0.56811,0.62237,0.37166,1.86819,1.44563,1.76384,0.00915143,0.00915143,0.00915143
8,653.557,2.02434,1.34134,1.74729,0.65284,0.5764,0.63036,0.38448,1.87412,1.32887,1.73903,0.00901,0.00901,0.00901
9,734.43,1.9894,1.30465,1.72827,0.6676,0.58629,0.64659,0.38877,1.87464,1.33915,1.76753,0.00886857,0.00886857,0.00886857
10,814.469,1.94357,1.26838,1.69306,0.67583,0.61378,0.67092,0.41287,1.77112,1.21797,1.69513,0.00872714,0.00872714,0.00872714
11,894.696,1.92648,1.24465,1.68584,0.64302,0.60008,0.64994,0.39986,1.76761,1.30269,1.67619,0.00858571,0.00858571,0.00858571
12,974.161,1.87911,1.22288,1.66139,0.6976,0.63099,0.69559,0.43664,1.71753,1.12691,1.64869,0.00844429,0.00844429,0.00844429
