epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,80.2145,1.68179,1.7563,1.50529,0.64072,0.60572,0.66105,0.41419,1.38089,1.14873,1.31875,0.00331224,0.00331224,0.00331224
2,159.573,1.67319,1.3548,1.43131,0.5881,0.52197,0.54012,0.30082,1.66499,1.57982,1.47592,0.00655158,0.00655158,0.00655158
3,248.632,1.84561,1.51971,1.53162,0.13844,0.22054,0.08737,0.0364,2.96594,12.4065,2.42091,0.00969664,0.00969664,0.00969664
4,329.824,1.95732,1.64163,1.62759,0.42913,0.38474,0.35956,0.18137,2.18058,4.20446,1.91479,0.00957571,0.00957571,0.00957571
5,410.144,1.84638,1.51381,1.57394,0.49786,0.51085,0.49416,0.27792,1.7776,2.56422,1.66827,0.00943429,0.00943429,0.00943429
6,492.526,1.77592,1.43546,1.53331,0.63579,0.55683,0.60331,0.35355,1.65852,1.45206,1.56293,0.00929286,0.00929286,0.00929286
7,574.925,1.71777,1.36795,1.50579,0.65758,0.56991,0.62452,0.36846,1.60462,1.45983,1.52214,0.00915143,0.00915143,0.00915143
8,656.074,1.68231,1.32675,1.48824,0.67407,0.58809,0.63566,0.37989,1.5616,1.42005,1.49035,0.00901,0.00901,0.00901
9,736.394,1.65402,1.29342,1.47293,0.66834,0.5792,0.64255,0.38797,1.56997,1.25617,1.49254,0.00886857,0.00886857,0.00886857
10,816.178,1.61947,1.25411,1.448,0.68796,0.62715,0.69608,0.43449,1.4722,1.13675,1.41922,0.00872714,0.00872714,0.00872714
11,895.658,1.6053,1.23306,1.4406,0.66541,0.61801,0.67286,0.41852,1.44394,1.26924,1.42603,0.00858571,0.00858571,0.00858571
12,975.505,1.58153,1.21541,1.43076,0.6987,0.61023,0.68236,0.42113,1.47724,1.16873,1.42943,0.00844429,0.00844429,0.00844429
13,1054.78,1.56444,1.18382,1.41434,0.6985,0.61745,0.69657,0.44174,1.43363,1.10201,1.40143,0.00830286,0.00830286,0.00830286
14,1134.95,1.54585,1.16947,1.40102,0.71263,0.64922,0.72025,0.45875,1.40084,1.07221,1.4011,0.00816143,0.00816143,0.00816143
15,1215.3,1.5285,1.14142,1.39832,0.74578,0.63618,0.73052,0.46633,1.40514,1.04925,1.41396,0.00802,0.00802,0.00802
16,1295.25,1.52135,1.13163,1.39821,0.74781,0.64672,0.73327,0.47073,1.38906,1.03324,1.38231,0.00787857,0.00787857,0.00787857
17,1375.89,1.50587,1.111,1.38015,0.7468,0.65322,0.73838,0.47806,1.37067,1.01881,1.38567,0.00773714,0.00773714,0.00773714
18,1456.19,1.4897,1.11033,1.37784,0.73623,0.66714,0.74729,0.48347,1.35351,1.01108,1.35891,0.00759571,0.00759571,0.00759571
19,1535.55,1.48676,1.09721,1.37662,0.74537,0.65189,0.74362,0.48639,1.34481,1.00152,1.36253,0.00745429,0.00745429,0.00745429
20,1615.73,1.47528,1.07747,1.36919,0.7496,0.64269,0.74491,0.48829,1.34828,0.9855,1.35289,0.00731286,0.00731286,0.00731286
21,1695.87,1.45372,1.05952,1.36325,0.74439,0.66833,0.75023,0.48689,1.33738,0.99108,1.35437,0.00717143,0.00717143,0.00717143
22,1776.83,1.45194,1.06191,1.35497,0.74355,0.68054,0.75768,0.49631,1.30252,0.9824,1.33388,0.00703,0.00703,0.00703
23,1855.64,1.44499,1.03959,1.34805,0.73679,0.67521,0.7562,0.49542,1.3236,0.97921,1.33706,0.00688857,0.00688857,0.00688857
24,1934.86,1.43437,1.03248,1.34092,0.7742,0.67943,0.77436,0.51552,1.28982,0.92175,1.32474,0.00674714,0.00674714,0.00674714
25,2014.11,1.41765,1.00935,1.33211,0.78104,0.68252,0.77703,0.51534,1.29803,0.91762,1.32574,0.00660571,0.00660571,0.00660571
26,2092.79,1.41541,1.01197,1.32875,0.76963,0.69442,0.77736,0.51079,1.31646,0.9256,1.34163,0.00646429,0.00646429,0.00646429
27,2171.66,1.39604,0.99045,1.31953,0.75188,0.69898,0.78199,0.51775,1.31472,0.895,1.32752,0.00632286,0.00632286,0.00632286
28,2252.6,1.39457,0.98873,1.32199,0.764,0.69121,0.77901,0.51788,1.28605,0.9117,1.32357,0.00618143,0.00618143,0.00618143
29,2331.96,1.38416,0.97301,1.31276,0.76223,0.70695,0.78444,0.5228,1.28258,0.90148,1.31369,0.00604,0.00604,0.00604
30,2410.84,1.37962,0.97083,1.31528,0.77572,0.69372,0.78405,0.5234,1.28231,0.88944,1.31647,0.00589857,0.00589857,0.00589857
31,2489.75,1.36798,0.94711,1.30408,0.78282,0.69579,0.78543,0.525,1.27998,0.88365,1.32268,0.00575714,0.00575714,0.00575714
32,2570.56,1.35796,0.94059,1.2996,0.78531,0.69607,0.79317,0.53059,1.26711,0.86909,1.31381,0.00561571,0.00561571,0.00561571
33,2650.83,1.36954,0.94302,1.30285,0.78151,0.70781,0.79374,0.5349,1.25485,0.87082,1.30179,0.00547429,0.00547429,0.00547429
34,2730.29,1.35055,0.92694,1.28887,0.79747,0.69474,0.7969,0.54296,1.2446,0.86047,1.28878,0.00533286,0.00533286,0.00533286
35,2810.56,1.34503,0.9171,1.29065,0.79459,0.70141,0.79708,0.53829,1.25495,0.85246,1.30544,0.00519143,0.00519143,0.00519143
