epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,81.3381,1.84755,1.76408,1.77,0.63702,0.58696,0.64894,0.40771,1.55161,1.17365,1.53723,0.00331224,0.00331224,0.00331224
2,163.283,1.82415,1.35681,1.68043,0.56752,0.53144,0.55164,0.31699,1.75353,1.81198,1.73106,0.00655158,0.00655158,0.00655158
3,250.157,2.04505,1.52459,1.82672,0.31524,0.29564,0.2496,0.11772,2.6334,12.8314,2.41639,0.00969664,0.00969664,0.00969664
4,335.647,2.16758,1.633,1.93999,0.35973,0.36368,0.32489,0.16853,2.40313,5.5963,2.3016,0.00957571,0.00957571,0.00957571
5,415.822,2.04834,1.52423,1.87233,0.52036,0.49073,0.48735,0.261,2.17161,2.25059,2.05729,0.00943429,0.00943429,0.00943429
6,495.909,1.97218,1.43569,1.82002,0.61497,0.53105,0.58396,0.34182,1.84748,1.55005,1.83162,0.00929286,0.00929286,0.00929286
7,575.566,1.89552,1.38212,1.77193,0.6703,0.5452,0.61658,0.36876,1.70862,1.55914,1.75308,0.00915143,0.00915143,0.00915143
8,655.546,1.85245,1.3316,1.74881,0.64297,0.58128,0.62547,0.37631,1.72214,1.40304,1.73008,0.00901,0.00901,0.00901
9,737.14,1.82629,1.302,1.72989,0.70316,0.59756,0.67821,0.41637,1.65564,1.24809,1.70291,0.00886857,0.00886857,0.00886857
10,818.265,1.79106,1.2683,1.69765,0.69277,0.61074,0.67852,0.42153,1.63519,1.15884,1.66704,0.00872714,0.00872714,0.00872714
11,897.589,1.77067,1.23972,1.68759,0.68298,0.61009,0.68408,0.42676,1.57899,1.19472,1.6445,0.00858571,0.00858571,0.00858571
12,978.15,1.7364,1.22197,1.66899,0.68722,0.62613,0.69483,0.43454,1.59622,1.17493,1.65473,0.00844429,0.00844429,0.00844429
13,1059.85,1.72268,1.19185,1.65139,0.68844,0.63104,0.69785,0.43333,1.62044,1.17966,1.65533,0.00830286,0.00830286,0.00830286
14,1139.7,1.69808,1.17786,1.63229,0.712,0.65501,0.72247,0.45679,1.54238,1.10534,1.61155,0.00816143,0.00816143,0.00816143
