epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,79.3888,1.22358,1.73661,1.24745,0.64204,0.60021,0.6554,0.4159,1.04814,1.14036,1.12739,0.00331224,0.00331224,0.00331224
2,159.226,1.21112,1.34768,1.18631,0.59221,0.54608,0.56819,0.32183,1.2346,1.60707,1.25011,0.00655158,0.00655158,0.00655158
3,240.056,1.33843,1.5033,1.25817,0.42096,0.33424,0.3073,0.15448,1.58169,3.55074,1.54984,0.00969664,0.00969664,0.00969664
4,321.12,1.40567,1.6169,1.31534,0.44615,0.43177,0.41097,0.22023,1.42291,3.39403,1.42874,0.00957571,0.00957571,0.00957571
5,400.991,1.33743,1.49888,1.28357,0.55113,0.50753,0.52912,0.28933,1.35223,2.32658,1.35106,0.00943429,0.00943429,0.00943429
6,481.163,1.29564,1.41824,1.2597,0.64289,0.56321,0.61518,0.35375,1.25057,1.55352,1.28983,0.00929286,0.00929286,0.00929286
7,562.48,1.25721,1.35415,1.24157,0.64466,0.57913,0.6291,0.37412,1.21212,1.40167,1.27158,0.00915143,0.00915143,0.00915143
8,643.958,1.2403,1.31838,1.23346,0.65212,0.59001,0.63585,0.38539,1.1628,1.37005,1.2275,0.00901,0.00901,0.00901
9,724.974,1.22409,1.28609,1.22589,0.67331,0.60981,0.66786,0.40442,1.13932,1.29855,1.23329,0.00886857,0.00886857,0.00886857
10,805.573,1.2067,1.24296,1.21072,0.67578,0.59854,0.66659,0.40766,1.18497,1.22227,1.23566,0.00872714,0.00872714,0.00872714
11,886.021,1.19567,1.21681,1.20319,0.6866,0.61412,0.68082,0.42128,1.11616,1.20733,1.21327,0.00858571,0.00858571,0.00858571
12,966.109,1.17955,1.19996,1.20017,0.71907,0.62919,0.70416,0.44162,1.09483,1.11865,1.19793,0.00844429,0.00844429,0.00844429
13,1045.61,1.17229,1.16918,1.18718,0.69118,0.62561,0.6959,0.43661,1.12517,1.10368,1.21363,0.00830286,0.00830286,0.00830286
14,1125.6,1.16047,1.15384,1.1808,0.72461,0.64591,0.72968,0.46675,1.06367,1.05504,1.18953,0.00816143,0.00816143,0.00816143
15,1205.77,1.14916,1.13299,1.17454,0.73282,0.66498,0.74015,0.47421,1.06528,1.00723,1.18418,0.00802,0.00802,0.00802
16,1284.91,1.14525,1.12093,1.17327,0.74014,0.65167,0.73897,0.47557,1.06639,1.01824,1.17492,0.00787857,0.00787857,0.00787857
17,1365.38,1.1348,1.101,1.16115,0.74803,0.65364,0.74152,0.48075,1.03771,1.01493,1.16031,0.00773714,0.00773714,0.00773714
18,1445.03,1.12675,1.09607,1.16093,0.75253,0.64013,0.73671,0.47515,1.05135,0.99883,1.16499,0.00759571,0.00759571,0.00759571
19,1524.37,1.12284,1.08562,1.1573,0.75417,0.65486,0.75242,0.49025,1.02595,0.98039,1.15789,0.00745429,0.00745429,0.00745429
20,1604.52,1.11831,1.06632,1.15226,0.77316,0.67092,0.76244,0.499,1.01949,0.94684,1.15079,0.00731286,0.00731286,0.00731286
21,1684.44,1.10801,1.04842,1.15213,0.74888,0.66357,0.7549,0.49182,1.02051,0.96686,1.14927,0.00717143,0.00717143,0.00717143
22,1764.6,1.10786,1.04586,1.14687,0.74622,0.67485,0.75923,0.49492,1.01467,0.97396,1.14163,0.00703,0.00703,0.00703
23,1844.16,1.10014,1.02764,1.14087,0.76016,0.67255,0.76264,0.50149,1.00989,0.96838,1.14246,0.00688857,0.00688857,0.00688857
24,1923.36,1.0957,1.01682,1.13579,0.78625,0.66663,0.77429,0.5104,0.99723,0.92687,1.13864,0.00674714,0.00674714,0.00674714
25,2002.68,1.08771,0.99692,1.1296,0.77405,0.68115,0.77413,0.51352,1.00191,0.91798,1.13442,0.00660571,0.00660571,0.00660571
26,2082.21,1.09068,0.99784,1.13089,0.77303,0.67434,0.76921,0.50741,0.99912,0.93215,1.13358,0.00646429,0.00646429,0.00646429
27,2161.51,1.07553,0.97423,1.12285,0.77909,0.68105,0.7832,0.52144,1.00257,0.88366,1.13888,0.00632286,0.00632286,0.00632286
28,2241.13,1.07522,0.9729,1.12626,0.76871,0.69267,0.78462,0.52285,0.97706,0.90952,1.12747,0.00618143,0.00618143,0.00618143
29,2322.02,1.06846,0.96164,1.11738,0.76921,0.6903,0.78244,0.52505,0.98264,0.88708,1.11902,0.00604,0.00604,0.00604
30,2402.67,1.06716,0.95769,1.11919,0.76198,0.70537,0.78222,0.52296,0.9764,0.89436,1.12352,0.00589857,0.00589857,0.00589857
31,2483.32,1.06481,0.93579,1.11464,0.78418,0.69792,0.78843,0.53014,0.97172,0.86872,1.12633,0.00575714,0.00575714,0.00575714
32,2564.14,1.05407,0.92843,1.11094,0.79585,0.68588,0.79372,0.53609,0.9699,0.86629,1.11906,0.00561571,0.00561571,0.00561571
33,2643.86,1.06359,0.92837,1.11138,0.76711,0.71286,0.79401,0.53519,0.96662,0.87669,1.11933,0.00547429,0.00547429,0.00547429
34,2722.85,1.05558,0.91083,1.10578,0.79163,0.69978,0.79779,0.54041,0.9702,0.84917,1.11856,0.00533286,0.00533286,0.00533286
35,2802.26,1.05183,0.90566,1.10415,0.78398,0.71181,0.79897,0.53953,0.95612,0.85001,1.10974,0.00519143,0.00519143,0.00519143
36,2882.2,1.05159,0.90069,1.09928,0.79141,0.70368,0.79793,0.53832,0.96083,0.85836,1.11183,0.00505,0.00505,0.00505
37,2962.65,1.03545,0.88318,1.09367,0.77824,0.71405,0.80287,0.54528,0.95416,0.83388,1.10795,0.00490857,0.00490857,0.00490857
38,3042.84,1.03573,0.8796,1.09627,0.8066,0.70592,0.80727,0.54839,0.94953,0.83304,1.10403,0.00476714,0.00476714,0.00476714
39,3122.17,1.03729,0.88042,1.09201,0.79771,0.71362,0.80905,0.55285,0.94771,0.82526,1.10709,0.00462571,0.00462571,0.00462571
40,3201.24,1.02812,0.85707,1.08829,0.79863,0.7178,0.81064,0.55046,0.95362,0.81671,1.11191,0.00448429,0.00448429,0.00448429
41,3281.42,1.02776,0.85581,1.08621,0.79413,0.72532,0.80979,0.55277,0.94136,0.81801,1.10644,0.00434286,0.00434286,0.00434286
42,3361.14,1.03056,0.84686,1.08683,0.81004,0.71531,0.81271,0.55636,0.93959,0.80442,1.10606,0.00420143,0.00420143,0.00420143
43,3441.91,1.02597,0.8442,1.08205,0.80149,0.72282,0.81535,0.55859,0.94033,0.80785,1.10312,0.00406,0.00406,0.00406
44,3522.2,1.01864,0.82999,1.08068,0.80801,0.72317,0.81665,0.55863,0.94236,0.79579,1.10326,0.00391857,0.00391857,0.00391857
45,3601.62,1.01915,0.83204,1.07664,0.80198,0.72316,0.81246,0.55254,0.94564,0.80578,1.10739,0.00377714,0.00377714,0.00377714
46,3681.02,1.01097,0.81881,1.07361,0.79658,0.72854,0.81579,0.55709,0.93782,0.8077,1.0998,0.00363571,0.00363571,0.00363571
47,3759.75,1.01312,0.80669,1.07238,0.80476,0.7313,0.81777,0.55755,0.94288,0.79126,1.10422,0.00349429,0.00349429,0.00349429
48,3839.2,1.00529,0.80108,1.06895,0.81261,0.72795,0.8198,0.5596,0.93921,0.79223,1.10312,0.00335286,0.00335286,0.00335286
49,3918.29,1.00455,0.79037,1.06984,0.8074,0.73377,0.82023,0.56101,0.93869,0.79065,1.10328,0.00321143,0.00321143,0.00321143
50,3997.35,1.00393,0.78834,1.06435,0.80426,0.72595,0.81936,0.56129,0.93722,0.79266,1.10274,0.00307,0.00307,0.00307
51,4076.67,0.99873,0.77841,1.06138,0.8018,0.74143,0.82081,0.56362,0.93578,0.78425,1.10344,0.00292857,0.00292857,0.00292857
52,4155.81,0.9878,0.7626,1.05975,0.80195,0.73819,0.81974,0.56349,0.93366,0.78981,1.10008,0.00278714,0.00278714,0.00278714
