epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,78.6444,1.34524,1.87011,1.25744,0.65428,0.59516,0.66153,0.42134,1.11856,1.08746,1.12691,0.00331224,0.00331224,0.00331224
2,157.822,1.33159,1.30441,1.18591,0.6074,0.5495,0.57689,0.32451,1.29866,1.68593,1.22729,0.00655158,0.00655158,0.00655158
3,238.78,1.45694,1.4506,1.25474,0.33343,0.31095,0.26197,0.12299,1.75473,6.70006,1.58058,0.00969664,0.00969664,0.00969664
4,317.674,1.53615,1.57067,1.32033,0.49962,0.46979,0.46955,0.24624,1.59045,2.3392,1.42565,0.00957571,0.00957571,0.00957571
5,398.166,1.4579,1.45248,1.28535,0.55144,0.50512,0.52869,0.29533,1.4318,1.9366,1.36517,0.00943429,0.00943429,0.00943429
6,476.711,1.41488,1.37048,1.26128,0.6083,0.54482,0.58697,0.33717,1.34055,1.50611,1.29259,0.00929286,0.00929286,0.00929286
7,554.112,1.37114,1.31667,1.23963,0.6558,0.58146,0.64009,0.38661,1.25534,1.40844,1.24012,0.00915143,0.00915143,0.00915143
8,631.387,1.34774,1.27735,1.23025,0.66981,0.59926,0.65528,0.38784,1.27742,1.25119,1.24386,0.00901,0.00901,0.00901
9,709.604,1.33014,1.24121,1.22251,0.65723,0.60087,0.65038,0.39539,1.26394,1.36361,1.24301,0.00886857,0.00886857,0.00886857
10,786.029,1.3112,1.20596,1.20717,0.67784,0.61474,0.68027,0.42734,1.22133,1.11903,1.21298,0.00872714,0.00872714,0.00872714
11,862.714,1.29359,1.17865,1.20037,0.69432,0.6179,0.69207,0.43305,1.17765,1.12159,1.20347,0.00858571,0.00858571,0.00858571
12,940.718,1.2729,1.15547,1.19344,0.70483,0.63396,0.70852,0.44855,1.15997,1.05353,1.17804,0.00844429,0.00844429,0.00844429
13,1028.1,1.26716,1.13035,1.18541,0.72032,0.63058,0.71798,0.45972,1.15005,1.03497,1.1767,0.00830286,0.00830286,0.00830286
14,1108.82,1.25258,1.11775,1.17785,0.69892,0.64848,0.71889,0.46057,1.17188,1.01184,1.18816,0.00816143,0.00816143,0.00816143
15,1188.16,1.2399,1.0956,1.17059,0.72168,0.64513,0.72547,0.46347,1.15346,0.99683,1.19997,0.00802,0.00802,0.00802
16,1266,1.23404,1.08454,1.17265,0.75425,0.65648,0.74916,0.48352,1.12645,0.95776,1.16494,0.00787857,0.00787857,0.00787857
17,1343.9,1.22276,1.06399,1.15995,0.74238,0.64707,0.73787,0.47847,1.13027,0.96224,1.16914,0.00773714,0.00773714,0.00773714
18,1421.39,1.21172,1.04944,1.1599,0.75437,0.66136,0.753,0.48887,1.12838,0.93375,1.16389,0.00759571,0.00759571,0.00759571
19,1498.95,1.20985,1.04459,1.16179,0.76544,0.664,0.76199,0.4982,1.11099,0.92563,1.16136,0.00745429,0.00745429,0.00745429
20,1576.36,1.20147,1.02875,1.15396,0.74053,0.66491,0.74754,0.4858,1.1188,0.93864,1.16682,0.00731286,0.00731286,0.00731286
21,1653.42,1.18386,1.01344,1.14968,0.76538,0.67279,0.76198,0.49895,1.08743,0.91676,1.14639,0.00717143,0.00717143,0.00717143
22,1730.88,1.18637,1.00769,1.14541,0.76664,0.66901,0.76712,0.50328,1.08764,0.90737,1.13605,0.00703,0.00703,0.00703
23,1808.22,1.17746,0.99383,1.13965,0.7604,0.67451,0.76457,0.50169,1.09761,0.91543,1.14921,0.00688857,0.00688857,0.00688857
24,1885.4,1.17027,0.97997,1.13502,0.77534,0.68081,0.77777,0.51387,1.06833,0.8812,1.12876,0.00674714,0.00674714,0.00674714
25,1961.92,1.15881,0.95988,1.12871,0.76379,0.68222,0.77204,0.51358,1.07351,0.87367,1.13418,0.00660571,0.00660571,0.00660571
26,2039.42,1.16101,0.956,1.12822,0.77649,0.68502,0.7814,0.51782,1.06336,0.86119,1.12688,0.00646429,0.00646429,0.00646429
27,2117.06,1.14424,0.94136,1.12261,0.78723,0.68595,0.78463,0.51934,1.06995,0.86753,1.12565,0.00632286,0.00632286,0.00632286
28,2194.52,1.14587,0.9408,1.12478,0.77639,0.681,0.78163,0.52256,1.06617,0.86901,1.13025,0.00618143,0.00618143,0.00618143
29,2271.13,1.13616,0.92608,1.11545,0.76582,0.68052,0.77523,0.51767,1.05838,0.86063,1.12662,0.00604,0.00604,0.00604
30,2348.67,1.13261,0.92464,1.1195,0.7816,0.68737,0.78541,0.52841,1.04828,0.83877,1.11662,0.00589857,0.00589857,0.00589857
31,2426.01,1.12692,0.90494,1.11205,0.77867,0.70554,0.79268,0.53071,1.05332,0.82941,1.13089,0.00575714,0.00575714,0.00575714
32,2502.52,1.11772,0.8917,1.10564,0.78276,0.69337,0.79086,0.53313,1.03879,0.83091,1.11152,0.00561571,0.00561571,0.00561571
33,2579.48,1.12567,0.89501,1.10817,0.78188,0.71149,0.80027,0.53581,1.04671,0.82165,1.11606,0.00547429,0.00547429,0.00547429
34,2656.72,1.11431,0.88114,1.10131,0.78777,0.71006,0.79938,0.53991,1.03345,0.81266,1.10953,0.00533286,0.00533286,0.00533286
35,2734.13,1.1081,0.8681,1.10376,0.78261,0.71206,0.79932,0.54068,1.02887,0.81678,1.10461,0.00519143,0.00519143,0.00519143
36,2810.4,1.10959,0.86683,1.10132,0.78053,0.70764,0.79743,0.53687,1.04517,0.81347,1.11751,0.00505,0.00505,0.00505
37,2887.17,1.09167,0.85501,1.0944,0.78881,0.71227,0.80607,0.54806,1.03222,0.79903,1.11058,0.00490857,0.00490857,0.00490857
38,2964.56,1.08889,0.85021,1.09623,0.80071,0.70678,0.80399,0.54421,1.0309,0.80433,1.1108,0.00476714,0.00476714,0.00476714
39,3041.44,1.08742,0.849,1.08961,0.80232,0.70897,0.80803,0.55256,1.01533,0.79018,1.10039,0.00462571,0.00462571,0.00462571
40,3118.44,1.07682,0.82607,1.08612,0.80565,0.70816,0.80792,0.54994,1.02311,0.78875,1.10532,0.00448429,0.00448429,0.00448429
41,3195.71,1.07841,0.82836,1.08551,0.79488,0.71494,0.8119,0.55431,1.01528,0.77515,1.10249,0.00434286,0.00434286,0.00434286
42,3273.05,1.08001,0.82001,1.0848,0.79791,0.71955,0.81123,0.55281,1.01563,0.78375,1.10319,0.00420143,0.00420143,0.00420143
43,3351.24,1.07084,0.81701,1.08054,0.79971,0.7169,0.81245,0.5568,1.01278,0.77727,1.10221,0.00406,0.00406,0.00406
44,3428.31,1.06039,0.80109,1.0804,0.80442,0.72024,0.81711,0.55848,1.01347,0.76349,1.10218,0.00391857,0.00391857,0.00391857
45,3505.49,1.06251,0.79688,1.07563,0.80562,0.72509,0.81579,0.55708,1.01356,0.77039,1.10291,0.00377714,0.00377714,0.00377714
46,3581.99,1.05473,0.78836,1.0732,0.80325,0.7234,0.81663,0.55862,1.01126,0.76622,1.09831,0.00363571,0.00363571,0.00363571
47,3659.66,1.05438,0.77689,1.07245,0.80174,0.72373,0.81365,0.55453,1.01599,0.77035,1.10286,0.00349429,0.00349429,0.00349429
48,3736.97,1.04504,0.77197,1.06676,0.79868,0.7272,0.81719,0.55711,1.01074,0.76434,1.09787,0.00335286,0.00335286,0.00335286
49,3814.05,1.04245,0.7633,1.06673,0.79872,0.73639,0.81732,0.55859,1.01384,0.76784,1.10168,0.00321143,0.00321143,0.00321143
50,3891.27,1.03843,0.75914,1.06424,0.80337,0.72844,0.81958,0.56428,1.0092,0.75442,1.10228,0.00307,0.00307,0.00307
51,3969.45,1.03407,0.75232,1.06466,0.80599,0.72868,0.81891,0.56291,1.00809,0.75523,1.10235,0.00292857,0.00292857,0.00292857
52,4046.85,1.02291,0.73701,1.06092,0.8008,0.74068,0.82039,0.5637,1.00962,0.75582,1.10112,0.00278714,0.00278714,0.00278714
53,4124.37,1.02063,0.7343,1.0551,0.80148,0.73627,0.82001,0.56202,1.01261,0.75228,1.10428,0.00264571,0.00264571,0.00264571
54,4201.56,1.01638,0.7286,1.05172,0.81933,0.72623,0.82099,0.56303,1.00571,0.74972,1.09636,0.00250429,0.00250429,0.00250429
55,4278.57,1.00405,0.71518,1.04826,0.80558,0.73964,0.82281,0.56413,1.00868,0.74684,1.09876,0.00236286,0.00236286,0.00236286
56,4356.24,1.00261,0.70737,1.04624,0.80733,0.73856,0.82459,0.56692,1.00768,0.73872,1.10091,0.00222143,0.00222143,0.00222143
57,4433.34,1.00752,0.71006,1.04802,0.81573,0.73773,0.82625,0.567,1.00687,0.74097,1.10181,0.00208,0.00208,0.00208
58,4510.73,0.9933,0.69148,1.04193,0.81988,0.73292,0.82492,0.56567,1.00995,0.73535,1.10245,0.00193857,0.00193857,0.00193857
59,4588.11,0.98672,0.68998,1.03583,0.81699,0.73554,0.82453,0.56691,1.00993,0.7351,1.10572,0.00179714,0.00179714,0.00179714
60,4664.92,0.98735,0.6866,1.03689,0.8116,0.73708,0.8249,0.56675,1.00839,0.73627,1.10688,0.00165571,0.00165571,0.00165571
61,4742.44,0.95277,0.61019,1.03527,0.81105,0.73849,0.82312,0.56675,1.00899,0.7426,1.10492,0.00151429,0.00151429,0.00151429
62,4819.31,0.94113,0.58967,1.02752,0.80963,0.7408,0.82266,0.56523,1.01265,0.74269,1.10678,0.00137286,0.00137286,0.00137286
63,4897.8,0.93215,0.58141,1.02017,0.81462,0.7333,0.8209,0.56392,1.01478,0.74514,1.10834,0.00123143,0.00123143,0.00123143
64,4974.87,0.92756,0.57262,1.01834,0.81324,0.739,0.82239,0.56599,1.01601,0.74331,1.11127,0.00109,0.00109,0.00109
65,5054.47,0.91856,0.56456,1.01459,0.81426,0.73847,0.82265,0.56654,1.01563,0.74228,1.10948,0.000948571,0.000948571,0.000948571
66,5134.4,0.91127,0.5534,1.01132,0.81298,0.73911,0.8235,0.56694,1.01593,0.74415,1.10953,0.000807143,0.000807143,0.000807143
67,5212.7,0.90807,0.55113,1.00889,0.82021,0.73446,0.82299,0.56641,1.01639,0.74367,1.11072,0.000665714,0.000665714,0.000665714
68,5291.69,0.89933,0.5391,1.00411,0.81856,0.73809,0.8226,0.56628,1.01865,0.74488,1.11356,0.000524286,0.000524286,0.000524286
69,5368.41,0.89168,0.53066,1.00225,0.81695,0.73825,0.82213,0.56573,1.01826,0.74695,1.11336,0.000382857,0.000382857,0.000382857
70,5444.17,0.88892,0.52544,1.00092,0.81627,0.7379,0.82236,0.56495,1.01828,0.74811,1.11291,0.000241429,0.000241429,0.000241429
