epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,78.1354,1.55527,1.97383,1.25757,0.66837,0.5816,0.65631,0.41938,1.25238,1.14338,1.11356,0.00331224,0.00331224,0.00331224
2,155.75,1.50997,1.35463,1.186,0.57771,0.51697,0.52735,0.28374,1.59038,1.57239,1.24648,0.00655158,0.00655158,0.00655158
3,235.832,1.66783,1.52079,1.25535,0.38363,0.36488,0.32028,0.15728,1.98818,6.95858,1.55627,0.00969664,0.00969664,0.00969664
4,313.676,1.76273,1.63154,1.31679,0.49079,0.42679,0.42547,0.22321,1.80541,2.7326,1.43025,0.00957571,0.00957571,0.00957571
5,392.004,1.66504,1.51959,1.28462,0.56214,0.48928,0.5108,0.27895,1.69617,1.93484,1.37034,0.00943429,0.00943429,0.00943429
6,470.409,1.61061,1.43065,1.26129,0.60262,0.54563,0.58083,0.34088,1.51477,1.46391,1.28409,0.00929286,0.00929286,0.00929286
7,547.813,1.55265,1.37145,1.23921,0.66468,0.56814,0.6356,0.37882,1.42603,1.35011,1.25387,0.00915143,0.00915143,0.00915143
8,624.473,1.52354,1.32608,1.22908,0.64416,0.59243,0.63136,0.38263,1.38437,1.44528,1.22971,0.00901,0.00901,0.00901
9,701.966,1.49955,1.29399,1.22137,0.67052,0.6001,0.65327,0.39327,1.40112,1.34098,1.23257,0.00886857,0.00886857,0.00886857
10,780.092,1.47566,1.25769,1.20663,0.69161,0.61562,0.68534,0.42665,1.36683,1.16086,1.20617,0.00872714,0.00872714,0.00872714
11,857.455,1.45667,1.23256,1.20214,0.68744,0.62428,0.69225,0.43341,1.31155,1.14313,1.19892,0.00858571,0.00858571,0.00858571
12,933.627,1.43298,1.21096,1.19264,0.7115,0.61432,0.69995,0.43768,1.32317,1.13053,1.19413,0.00844429,0.00844429,0.00844429
13,1011.06,1.42035,1.18465,1.18343,0.69774,0.62484,0.69656,0.44022,1.3125,1.10479,1.19034,0.00830286,0.00830286,0.00830286
14,1088.53,1.40773,1.16565,1.17811,0.71969,0.62749,0.71545,0.45839,1.26936,1.052,1.18188,0.00816143,0.00816143,0.00816143
15,1166.3,1.39096,1.14603,1.17074,0.72584,0.65107,0.7319,0.46784,1.2717,1.04129,1.1879,0.00802,0.00802,0.00802
16,1243.25,1.38274,1.13253,1.1706,0.73485,0.63979,0.72616,0.46611,1.266,1.0457,1.17596,0.00787857,0.00787857,0.00787857
17,1320.77,1.36777,1.11646,1.15889,0.74679,0.63658,0.73424,0.47517,1.26142,1.02099,1.16195,0.00773714,0.00773714,0.00773714
18,1398.48,1.35133,1.10569,1.1563,0.74065,0.65056,0.73783,0.47927,1.24745,1.01737,1.15936,0.00759571,0.00759571,0.00759571
19,1475.71,1.35156,1.0973,1.15895,0.75286,0.6597,0.75253,0.49041,1.2321,0.99405,1.15779,0.00745429,0.00745429,0.00745429
20,1553.26,1.33853,1.07751,1.14964,0.75113,0.67127,0.75805,0.4989,1.20766,0.96177,1.14524,0.00731286,0.00731286,0.00731286
21,1629.97,1.31993,1.05836,1.1475,0.73664,0.66885,0.74841,0.48498,1.21688,0.97698,1.15218,0.00717143,0.00717143,0.00717143
22,1707.55,1.31997,1.05672,1.14268,0.75364,0.68322,0.76651,0.50525,1.18944,0.95135,1.13584,0.00703,0.00703,0.00703
23,1785.62,1.31472,1.03963,1.13764,0.75347,0.66719,0.75304,0.4892,1.22166,0.97836,1.14924,0.00688857,0.00688857,0.00688857
24,1863.22,1.30175,1.02837,1.13077,0.76108,0.68169,0.76564,0.50479,1.19652,0.94349,1.13208,0.00674714,0.00674714,0.00674714
25,1940.47,1.29241,1.01209,1.12961,0.76713,0.68393,0.77512,0.51654,1.18195,0.90698,1.13351,0.00660571,0.00660571,0.00660571
26,2017.94,1.29216,1.00681,1.12627,0.76289,0.68494,0.76731,0.5052,1.19578,0.94873,1.14625,0.00646429,0.00646429,0.00646429
27,2094.87,1.27154,0.98803,1.11901,0.77121,0.6941,0.78323,0.52503,1.16395,0.88416,1.12252,0.00632286,0.00632286,0.00632286
28,2172.63,1.27174,0.98759,1.1236,0.76188,0.69804,0.77911,0.51716,1.15946,0.92139,1.1227,0.00618143,0.00618143,0.00618143
29,2250.32,1.25912,0.97093,1.11401,0.7672,0.69318,0.77993,0.52109,1.16362,0.88992,1.12189,0.00604,0.00604,0.00604
30,2327.46,1.25679,0.97138,1.11763,0.78259,0.69408,0.78756,0.52757,1.1616,0.88227,1.12063,0.00589857,0.00589857,0.00589857
31,2404.02,1.2499,0.9496,1.11086,0.77508,0.69201,0.78478,0.52553,1.16796,0.87162,1.12146,0.00575714,0.00575714,0.00575714
32,2481.28,1.24316,0.93927,1.10503,0.77661,0.706,0.79587,0.53345,1.16664,0.86197,1.12256,0.00561571,0.00561571,0.00561571
33,2558.69,1.2454,0.94286,1.10633,0.78058,0.70007,0.7899,0.53118,1.14614,0.88261,1.11706,0.00547429,0.00547429,0.00547429
34,2635.62,1.23074,0.92292,1.09766,0.78972,0.69989,0.79553,0.53826,1.14617,0.86189,1.11049,0.00533286,0.00533286,0.00533286
35,2713,1.22784,0.91938,1.1016,0.78817,0.70302,0.79713,0.53875,1.13352,0.85988,1.10583,0.00519143,0.00519143,0.00519143
36,2790.23,1.22801,0.9142,1.0996,0.79289,0.71232,0.80083,0.53882,1.15536,0.84572,1.1162,0.00505,0.00505,0.00505
37,2866.4,1.20595,0.89872,1.09142,0.79618,0.71028,0.80262,0.54448,1.14206,0.84199,1.11082,0.00490857,0.00490857,0.00490857
38,2942.6,1.20493,0.89279,1.09297,0.79781,0.71098,0.80413,0.54607,1.13319,0.83427,1.10625,0.00476714,0.00476714,0.00476714
39,3019.83,1.20126,0.89195,1.08871,0.80102,0.7149,0.80655,0.54888,1.12681,0.83242,1.10501,0.00462571,0.00462571,0.00462571
40,3097.71,1.18954,0.87307,1.0837,0.79388,0.71852,0.80898,0.5478,1.13691,0.82199,1.10842,0.00448429,0.00448429,0.00448429
41,3175.42,1.18929,0.86791,1.08176,0.78988,0.72107,0.80952,0.55017,1.12959,0.82514,1.10215,0.00434286,0.00434286,0.00434286
42,3253.08,1.18872,0.86302,1.08063,0.80468,0.71744,0.81122,0.55205,1.12502,0.81719,1.10036,0.00420143,0.00420143,0.00420143
43,3330.88,1.1795,0.85891,1.07594,0.80534,0.71408,0.81133,0.55494,1.12525,0.81495,1.09802,0.00406,0.00406,0.00406
44,3407.42,1.17018,0.8397,1.0745,0.79364,0.72364,0.81463,0.55586,1.12491,0.80459,1.10308,0.00391857,0.00391857,0.00391857
