epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,77.1872,1.20655,1.77527,1.25432,0.64001,0.59811,0.6516,0.40855,1.03332,1.07957,1.14367,0.00331224,0.00331224,0.00331224
2,157.323,1.14117,1.30548,1.17973,0.56042,0.58339,0.581,0.32912,1.1699,1.69139,1.23875,0.00655158,0.00655158,0.00655158
3,240.355,1.26997,1.4564,1.24775,0.31791,0.28625,0.23279,0.10687,1.67994,9.14167,1.6859,0.00969664,0.00969664,0.00969664
4,319.916,1.36559,1.57139,1.31168,0.52125,0.37923,0.39965,0.20225,1.52044,3.80567,1.52518,0.00957571,0.00957571,0.00957571
5,397.953,1.30753,1.45852,1.2831,0.57698,0.49137,0.52472,0.28332,1.36745,1.84576,1.37286,0.00943429,0.00943429,0.00943429
6,475.104,1.26343,1.38714,1.25923,0.62085,0.54854,0.6038,0.35181,1.25675,1.48476,1.30114,0.00929286,0.00929286,0.00929286
7,552.848,1.22403,1.32117,1.23977,0.67456,0.56866,0.63659,0.38354,1.18391,1.3094,1.26093,0.00915143,0.00915143,0.00915143
8,631.112,1.21046,1.27692,1.23599,0.62283,0.57088,0.60398,0.36008,1.19005,1.44005,1.24331,0.00901,0.00901,0.00901
9,707.893,1.19015,1.24568,1.22393,0.68697,0.60747,0.67207,0.40419,1.16546,1.19651,1.23539,0.00886857,0.00886857,0.00886857
10,785.487,1.16883,1.20987,1.21035,0.68168,0.61016,0.68076,0.42035,1.14977,1.15976,1.2199,0.00872714,0.00872714,0.00872714
11,863.335,1.15819,1.18753,1.20634,0.69068,0.6245,0.69562,0.43017,1.11858,1.11854,1.21376,0.00858571,0.00858571,0.00858571
12,940.63,1.14153,1.16549,1.19903,0.71135,0.62544,0.70583,0.4462,1.09764,1.06479,1.20038,0.00844429,0.00844429,0.00844429
13,1017.2,1.12594,1.13562,1.18764,0.68461,0.64378,0.70399,0.44816,1.08531,1.08635,1.18857,0.00830286,0.00830286,0.00830286
14,1094.46,1.11703,1.12117,1.18094,0.72696,0.64027,0.72391,0.463,1.07544,1.02369,1.18614,0.00816143,0.00816143,0.00816143
15,1171.6,1.10464,1.10149,1.17556,0.71747,0.64883,0.72813,0.46195,1.07079,1.0237,1.18463,0.00802,0.00802,0.00802
16,1247.88,1.10103,1.08895,1.17513,0.75151,0.65018,0.74171,0.47513,1.05086,0.97801,1.16603,0.00787857,0.00787857,0.00787857
17,1325.41,1.08632,1.07304,1.16498,0.74222,0.65779,0.74098,0.48163,1.04142,0.97123,1.16717,0.00773714,0.00773714,0.00773714
18,1402.94,1.07933,1.06327,1.16458,0.74731,0.65603,0.74681,0.48051,1.0415,0.97059,1.16655,0.00759571,0.00759571,0.00759571
19,1481.07,1.0756,1.05517,1.16269,0.74274,0.65757,0.74714,0.48435,1.04162,0.9557,1.16578,0.00745429,0.00745429,0.00745429
20,1558.79,1.06973,1.03304,1.15715,0.75631,0.65529,0.75181,0.48662,1.04086,0.93981,1.15625,0.00731286,0.00731286,0.00731286
21,1636.72,1.05423,1.0136,1.15192,0.75996,0.67027,0.75818,0.49122,1.01994,0.92366,1.15708,0.00717143,0.00717143,0.00717143
22,1714.01,1.04962,1.01265,1.14683,0.76505,0.67327,0.76893,0.50924,0.99695,0.90888,1.14295,0.00703,0.00703,0.00703
23,1792.04,1.04186,0.99929,1.14187,0.74204,0.67548,0.75572,0.4909,1.01758,0.94953,1.15243,0.00688857,0.00688857,0.00688857
24,1869.33,1.03431,0.98551,1.13793,0.78004,0.68186,0.7745,0.51015,1.00077,0.89706,1.14041,0.00674714,0.00674714,0.00674714
25,1946.53,1.0275,0.96937,1.13544,0.76435,0.68066,0.771,0.50863,0.99074,0.89452,1.13772,0.00660571,0.00660571,0.00660571
26,2023.47,1.02824,0.96018,1.13398,0.76376,0.69566,0.7782,0.51112,0.99261,0.88231,1.13727,0.00646429,0.00646429,0.00646429
27,2099.99,1.01088,0.94656,1.12559,0.78263,0.68232,0.78128,0.5179,0.98743,0.86371,1.12955,0.00632286,0.00632286,0.00632286
28,2177.72,1.01272,0.94584,1.12829,0.76611,0.69347,0.7827,0.52036,0.97763,0.87095,1.13042,0.00618143,0.00618143,0.00618143
29,2254.98,1.00244,0.93214,1.12094,0.76973,0.69345,0.78053,0.52313,0.96782,0.85089,1.12463,0.00604,0.00604,0.00604
30,2332.74,1.00141,0.92667,1.12303,0.77874,0.69221,0.78133,0.52211,0.95905,0.86282,1.11932,0.00589857,0.00589857,0.00589857
31,2409.5,0.99609,0.91298,1.11682,0.77004,0.70008,0.78525,0.52243,0.97978,0.84105,1.1326,0.00575714,0.00575714,0.00575714
32,2485.94,0.98722,0.90038,1.11336,0.78453,0.69817,0.79383,0.53358,0.96179,0.82835,1.11986,0.00561571,0.00561571,0.00561571
33,2562.61,0.98823,0.90101,1.11265,0.77944,0.69823,0.78939,0.53272,0.9583,0.8486,1.11816,0.00547429,0.00547429,0.00547429
34,2639.33,0.97922,0.88429,1.1056,0.77732,0.70469,0.79189,0.53296,0.96076,0.8318,1.11871,0.00533286,0.00533286,0.00533286
35,2715.31,0.97671,0.87406,1.10794,0.78469,0.71507,0.80206,0.54088,0.95489,0.81712,1.11841,0.00519143,0.00519143,0.00519143
36,2791.95,0.97655,0.87172,1.10644,0.78351,0.70384,0.79656,0.53502,0.96984,0.82185,1.12391,0.00505,0.00505,0.00505
37,2868.3,0.95877,0.86079,1.0979,0.77374,0.7187,0.80103,0.54401,0.95165,0.80802,1.1118,0.00490857,0.00490857,0.00490857
38,2945.75,0.95899,0.85707,1.09979,0.80456,0.70277,0.80548,0.54662,0.9401,0.79944,1.10836,0.00476714,0.00476714,0.00476714
39,3022.44,0.95472,0.85559,1.09483,0.79605,0.70995,0.80545,0.54574,0.94592,0.8005,1.11052,0.00462571,0.00462571,0.00462571
40,3099.47,0.94812,0.82997,1.09136,0.7911,0.71453,0.80921,0.54923,0.94118,0.78749,1.10867,0.00448429,0.00448429,0.00448429
41,3175.94,0.94335,0.82821,1.08815,0.80198,0.70834,0.80748,0.54951,0.93567,0.79384,1.10572,0.00434286,0.00434286,0.00434286
42,3252.74,0.94579,0.82334,1.08893,0.7994,0.71713,0.81191,0.55254,0.93715,0.78218,1.10853,0.00420143,0.00420143,0.00420143
43,3330.05,0.93469,0.81926,1.08159,0.80294,0.71769,0.81128,0.5535,0.93695,0.78032,1.10402,0.00406,0.00406,0.00406
44,3406.21,0.92981,0.80385,1.08139,0.80877,0.71714,0.81381,0.55332,0.9343,0.77331,1.10497,0.00391857,0.00391857,0.00391857
45,3482.36,0.92926,0.80299,1.07977,0.7984,0.71842,0.81234,0.55301,0.93613,0.77873,1.10669,0.00377714,0.00377714,0.00377714
46,3558.49,0.92316,0.79211,1.07646,0.7981,0.72604,0.81554,0.55524,0.93619,0.78025,1.10711,0.00363571,0.00363571,0.00363571
47,3634.94,0.92036,0.78557,1.07496,0.79154,0.73657,0.81529,0.55299,0.93404,0.77596,1.10716,0.00349429,0.00349429,0.00349429
48,3711.07,0.91368,0.77545,1.07237,0.79867,0.73253,0.81545,0.55625,0.92933,0.77622,1.10308,0.00335286,0.00335286,0.00335286
49,3788.07,0.91125,0.76819,1.07149,0.79866,0.73217,0.8163,0.55841,0.93121,0.76678,1.10498,0.00321143,0.00321143,0.00321143
50,3865.32,0.90718,0.76573,1.06705,0.80521,0.72707,0.81799,0.56162,0.92563,0.76743,1.10029,0.00307,0.00307,0.00307
51,3941.53,0.90326,0.75665,1.06652,0.80709,0.72654,0.81552,0.55938,0.9222,0.76944,1.09931,0.00292857,0.00292857,0.00292857
52,4018.3,0.89461,0.74165,1.06422,0.80464,0.73351,0.81664,0.56066,0.9221,0.76905,1.10134,0.00278714,0.00278714,0.00278714
53,4095.17,0.88847,0.73798,1.05756,0.80529,0.73022,0.81764,0.56183,0.92048,0.76627,1.09846,0.00264571,0.00264571,0.00264571
54,4172.45,0.88346,0.73394,1.05522,0.79459,0.74079,0.81846,0.55982,0.92688,0.76368,1.10251,0.00250429,0.00250429,0.00250429
55,4249.62,0.87587,0.72016,1.05199,0.81645,0.72867,0.82093,0.56166,0.92744,0.75511,1.10281,0.00236286,0.00236286,0.00236286
56,4327.14,0.87526,0.71177,1.05057,0.80909,0.73474,0.8208,0.56158,0.92807,0.75115,1.10285,0.00222143,0.00222143,0.00222143
57,4404.54,0.87598,0.71435,1.05167,0.80257,0.73605,0.82006,0.56201,0.92527,0.75482,1.10351,0.00208,0.00208,0.00208
58,4482.03,0.86473,0.69821,1.04648,0.8092,0.73564,0.82049,0.56216,0.92753,0.75646,1.10579,0.00193857,0.00193857,0.00193857
59,4559.52,0.85865,0.69932,1.04043,0.80812,0.73418,0.82045,0.56386,0.92544,0.75367,1.10211,0.00179714,0.00179714,0.00179714
60,4636.97,0.85707,0.69198,1.04099,0.80925,0.74098,0.82248,0.56394,0.92564,0.75226,1.10358,0.00165571,0.00165571,0.00165571
61,4717.28,0.84374,0.6191,1.03725,0.80983,0.73623,0.82092,0.56212,0.92692,0.75615,1.10566,0.00151429,0.00151429,0.00151429
62,4796.36,0.83225,0.59802,1.02884,0.80612,0.74621,0.82202,0.56385,0.92776,0.75464,1.10746,0.00137286,0.00137286,0.00137286
63,4875.66,0.82374,0.58826,1.02448,0.8066,0.74689,0.82232,0.56324,0.92954,0.75648,1.10913,0.00123143,0.00123143,0.00123143
64,4955.54,0.82118,0.58142,1.02262,0.81539,0.73947,0.821,0.56267,0.93169,0.75961,1.11224,0.00109,0.00109,0.00109
65,5032.69,0.81232,0.57265,1.0197,0.81259,0.73997,0.8211,0.5627,0.93257,0.76106,1.11314,0.000948571,0.000948571,0.000948571
66,5111.68,0.80569,0.56187,1.01619,0.81975,0.73459,0.81969,0.56216,0.93283,0.763,1.1147,0.000807143,0.000807143,0.000807143
67,5190.99,0.80038,0.55703,1.01181,0.82258,0.73276,0.82001,0.5611,0.93256,0.76086,1.11474,0.000665714,0.000665714,0.000665714
68,5268.84,0.79352,0.54845,1.00826,0.82001,0.73604,0.81931,0.56178,0.93309,0.76214,1.11536,0.000524286,0.000524286,0.000524286
69,5344.52,0.78995,0.54124,1.00754,0.81493,0.73799,0.81874,0.56099,0.93456,0.76472,1.11711,0.000382857,0.000382857,0.000382857
70,5421.85,0.78677,0.53398,1.00609,0.81941,0.73553,0.81755,0.56048,0.93712,0.76727,1.11999,0.000241429,0.000241429,0.000241429
