epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,77.6168,1.53156,1.84803,1.25027,0.68228,0.59202,0.66367,0.42794,1.24811,1.12635,1.11612,0.00331224,0.00331224,0.00331224
2,155.229,1.50327,1.36814,1.18304,0.53409,0.55431,0.55002,0.30713,1.49455,1.87337,1.25703,0.00655158,0.00655158,0.00655158
3,236.16,1.66333,1.51793,1.25226,0.29081,0.37465,0.25515,0.12267,2.01377,8.69382,1.60453,0.00969664,0.00969664,0.00969664
4,314.313,1.74287,1.63057,1.31264,0.45991,0.4044,0.39056,0.20062,1.81433,3.31843,1.43221,0.00957571,0.00957571,0.00957571
5,393.126,1.65437,1.51829,1.28315,0.55904,0.46892,0.4943,0.26122,1.74753,2.46975,1.37558,0.00943429,0.00943429,0.00943429
6,470.947,1.60091,1.43519,1.25793,0.60481,0.53697,0.5757,0.33497,1.49764,1.6211,1.27692,0.00929286,0.00929286,0.00929286
7,548.718,1.54934,1.37946,1.23985,0.65767,0.56561,0.62632,0.37468,1.43066,1.49078,1.2696,0.00915143,0.00915143,0.00915143
8,626.89,1.52134,1.33355,1.23421,0.61853,0.5563,0.59304,0.3527,1.45348,1.57511,1.24866,0.00901,0.00901,0.00901
9,704.211,1.4974,1.29425,1.22318,0.68055,0.59166,0.66227,0.40476,1.39527,1.31063,1.22733,0.00886857,0.00886857,0.00886857
10,780.354,1.47245,1.25765,1.20984,0.67132,0.61402,0.67275,0.41818,1.36457,1.18209,1.20765,0.00872714,0.00872714,0.00872714
11,858.383,1.45995,1.23978,1.20297,0.67509,0.60848,0.67526,0.41972,1.34707,1.29744,1.21092,0.00858571,0.00858571,0.00858571
12,936.591,1.43005,1.2133,1.19611,0.70652,0.62333,0.70251,0.44341,1.3134,1.10937,1.19835,0.00844429,0.00844429,0.00844429
13,1014.57,1.417,1.18359,1.18282,0.70007,0.63967,0.71198,0.45622,1.28532,1.09582,1.17058,0.00830286,0.00830286,0.00830286
14,1092.14,1.40362,1.16884,1.17718,0.7015,0.64049,0.70468,0.4461,1.31893,1.10562,1.19406,0.00816143,0.00816143,0.00816143
15,1168.55,1.39025,1.15057,1.17443,0.73735,0.6532,0.72935,0.46895,1.28272,1.03997,1.1846,0.00802,0.00802,0.00802
16,1245.08,1.38069,1.1348,1.17048,0.73688,0.65308,0.73352,0.4642,1.28967,1.0297,1.17584,0.00787857,0.00787857,0.00787857
17,1322.27,1.36711,1.11642,1.15852,0.73058,0.65093,0.73609,0.47545,1.25539,1.02643,1.15935,0.00773714,0.00773714,0.00773714
18,1399.35,1.35604,1.10945,1.16132,0.75356,0.6495,0.74383,0.47943,1.25846,0.99542,1.17274,0.00759571,0.00759571,0.00759571
19,1475.82,1.35429,1.10078,1.16013,0.73794,0.66272,0.74751,0.48869,1.23226,1.00287,1.15376,0.00745429,0.00745429,0.00745429
20,1552.7,1.3416,1.08164,1.14993,0.75164,0.67348,0.75897,0.50079,1.20536,0.95513,1.13719,0.00731286,0.00731286,0.00731286
21,1630.05,1.32451,1.06348,1.14841,0.75466,0.67039,0.755,0.49058,1.2436,0.99063,1.15419,0.00717143,0.00717143,0.00717143
22,1706.89,1.32386,1.06087,1.14326,0.76803,0.67183,0.76334,0.50121,1.21411,0.95243,1.13358,0.00703,0.00703,0.00703
23,1783.32,1.31371,1.04311,1.13735,0.75142,0.68066,0.76772,0.50611,1.20987,0.95681,1.13811,0.00688857,0.00688857,0.00688857
24,1859.68,1.3028,1.02694,1.13385,0.75381,0.67381,0.76369,0.50516,1.21864,0.94689,1.13434,0.00674714,0.00674714,0.00674714
25,1936.02,1.29127,1.01115,1.12854,0.77844,0.67086,0.77066,0.51219,1.19608,0.9203,1.13252,0.00660571,0.00660571,0.00660571
26,2012.85,1.29563,1.00926,1.12769,0.7699,0.68422,0.77667,0.5147,1.18688,0.92185,1.12846,0.00646429,0.00646429,0.00646429
27,2090.18,1.27464,0.99216,1.12115,0.78025,0.68435,0.7824,0.52324,1.17919,0.89216,1.12504,0.00632286,0.00632286,0.00632286
28,2167.93,1.2748,0.99074,1.12128,0.75702,0.69446,0.77737,0.51536,1.18898,0.92551,1.12814,0.00618143,0.00618143,0.00618143
29,2244.87,1.2651,0.97397,1.11366,0.76972,0.70184,0.78338,0.52259,1.17934,0.88326,1.119,0.00604,0.00604,0.00604
30,2322.1,1.25926,0.9728,1.11692,0.77303,0.68966,0.77808,0.51922,1.17356,0.90579,1.12408,0.00589857,0.00589857,0.00589857
31,2398.18,1.25312,0.95077,1.11086,0.7787,0.69162,0.78524,0.52569,1.17194,0.88255,1.12044,0.00575714,0.00575714,0.00575714
32,2474.84,1.24018,0.94353,1.10582,0.78377,0.696,0.79172,0.53374,1.16203,0.86672,1.11577,0.00561571,0.00561571,0.00561571
33,2552.19,1.24853,0.94562,1.10966,0.78717,0.70591,0.79742,0.5375,1.15557,0.86541,1.11505,0.00547429,0.00547429,0.00547429
34,2629.51,1.23417,0.92595,1.10165,0.79707,0.69064,0.79634,0.53893,1.15034,0.85545,1.10705,0.00533286,0.00533286,0.00533286
35,2706.35,1.22807,0.91728,1.10041,0.78406,0.70376,0.79798,0.53846,1.15208,0.85314,1.11223,0.00519143,0.00519143,0.00519143
36,2783.18,1.23034,0.91435,1.09759,0.7881,0.70369,0.79848,0.53654,1.17144,0.84203,1.11456,0.00505,0.00505,0.00505
37,2860.14,1.20908,0.89911,1.0934,0.7869,0.70743,0.79963,0.54253,1.14962,0.83696,1.10888,0.00490857,0.00490857,0.00490857
38,2937.19,1.20862,0.89879,1.09524,0.78621,0.71036,0.80212,0.54568,1.13752,0.84046,1.10894,0.00476714,0.00476714,0.00476714
39,3013.58,1.20578,0.89771,1.08958,0.78992,0.70899,0.80634,0.54901,1.14035,0.82372,1.10756,0.00462571,0.00462571,0.00462571
40,3090.57,1.18924,0.87129,1.08342,0.80085,0.71058,0.81058,0.55323,1.13149,0.8093,1.10439,0.00448429,0.00448429,0.00448429
41,3166.57,1.19035,0.87027,1.08177,0.7885,0.72504,0.80948,0.55293,1.12759,0.81631,1.10049,0.00434286,0.00434286,0.00434286
42,3243.21,1.19191,0.86161,1.08187,0.79761,0.71885,0.81092,0.55609,1.12464,0.81446,1.09587,0.00420143,0.00420143,0.00420143
43,3320.69,1.18186,0.8633,1.07691,0.80175,0.7173,0.80986,0.55748,1.12281,0.81153,1.09753,0.00406,0.00406,0.00406
44,3397.99,1.17171,0.84746,1.07583,0.79424,0.72564,0.81532,0.55889,1.12826,0.79914,1.0993,0.00391857,0.00391857,0.00391857
45,3475.62,1.17324,0.84581,1.07293,0.80117,0.72236,0.8149,0.55508,1.12778,0.80998,1.09854,0.00377714,0.00377714,0.00377714
46,3552.08,1.16338,0.83531,1.06892,0.80321,0.71967,0.81448,0.55782,1.12395,0.80277,1.09299,0.00363571,0.00363571,0.00363571
47,3628.98,1.15912,0.82171,1.06689,0.79395,0.73132,0.81401,0.55509,1.13449,0.79907,1.09724,0.00349429,0.00349429,0.00349429
48,3706.34,1.14981,0.81628,1.06332,0.80486,0.72519,0.81402,0.55782,1.12744,0.79582,1.09695,0.00335286,0.00335286,0.00335286
49,3783.29,1.14637,0.80369,1.06449,0.79035,0.73782,0.81695,0.56241,1.12328,0.78864,1.09481,0.00321143,0.00321143,0.00321143
50,3860.3,1.14446,0.80221,1.06121,0.79409,0.73544,0.81882,0.56313,1.12065,0.78538,1.09499,0.00307,0.00307,0.00307
51,3937.38,1.14071,0.79334,1.06066,0.80193,0.73091,0.81832,0.56217,1.12219,0.78524,1.09577,0.00292857,0.00292857,0.00292857
52,4014.56,1.12657,0.78072,1.05984,0.80299,0.73371,0.81963,0.56517,1.12257,0.7792,1.09855,0.00278714,0.00278714,0.00278714
