epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,77.2132,1.56481,1.90411,1.2452,0.66401,0.57632,0.65386,0.41944,1.26336,1.1993,1.10736,0.00331224,0.00331224,0.00331224
2,154.353,1.53957,1.4128,1.17979,0.5444,0.53335,0.52444,0.28226,1.55983,1.97309,1.24225,0.00655158,0.00655158,0.00655158
3,233.388,1.7003,1.56449,1.24317,0.3192,0.30271,0.24769,0.10967,2.12924,6.02242,1.58309,0.00969664,0.00969664,0.00969664
4,311.228,1.79037,1.68329,1.30342,0.48161,0.47742,0.4454,0.22903,1.79319,3.17814,1.40567,0.00957571,0.00957571,0.00957571
5,389.713,1.68936,1.57276,1.26938,0.55643,0.52676,0.54103,0.29984,1.60409,1.99212,1.33643,0.00943429,0.00943429,0.00943429
6,468.024,1.63473,1.48382,1.2478,0.62382,0.56807,0.6087,0.35659,1.51103,1.686,1.27076,0.00929286,0.00929286,0.00929286
7,545.491,1.57911,1.42288,1.22909,0.66932,0.56549,0.62657,0.37306,1.43155,1.4617,1.2407,0.00915143,0.00915143,0.00915143
8,623.043,1.54828,1.38009,1.21908,0.65508,0.57817,0.62163,0.37401,1.41114,1.47217,1.22486,0.00901,0.00901,0.00901
9,700.29,1.52169,1.3462,1.21183,0.67251,0.6058,0.66421,0.40165,1.36895,1.33256,1.21222,0.00886857,0.00886857,0.00886857
10,777.887,1.495,1.30383,1.19429,0.70036,0.60599,0.67808,0.4161,1.37055,1.17967,1.20421,0.00872714,0.00872714,0.00872714
11,854.935,1.48267,1.28115,1.18958,0.68253,0.6284,0.69094,0.43138,1.32551,1.24573,1.18439,0.00858571,0.00858571,0.00858571
12,932.783,1.45837,1.25868,1.1802,0.69364,0.62681,0.69446,0.43056,1.33581,1.20435,1.18879,0.00844429,0.00844429,0.00844429
13,1010.1,1.44526,1.232,1.17378,0.71722,0.62799,0.70576,0.44126,1.34858,1.12934,1.19154,0.00830286,0.00830286,0.00830286
14,1087.61,1.42789,1.21837,1.16614,0.69094,0.64885,0.71182,0.44785,1.30231,1.11637,1.17789,0.00816143,0.00816143,0.00816143
15,1164.29,1.41291,1.19475,1.16048,0.73163,0.64642,0.73231,0.46613,1.29195,1.07375,1.17468,0.00802,0.00802,0.00802
16,1242.09,1.40753,1.17791,1.1627,0.74143,0.64392,0.73359,0.46743,1.28803,1.07036,1.17357,0.00787857,0.00787857,0.00787857
17,1318.48,1.39099,1.16004,1.15111,0.7441,0.64641,0.73625,0.47476,1.28443,1.04124,1.16911,0.00773714,0.00773714,0.00773714
18,1394.71,1.37601,1.15306,1.14851,0.75621,0.65757,0.75146,0.48629,1.25863,1.01978,1.15569,0.00759571,0.00759571,0.00759571
19,1471.12,1.37516,1.14404,1.14836,0.74357,0.65888,0.74686,0.48847,1.25519,1.01413,1.15406,0.00745429,0.00745429,0.00745429
20,1547.23,1.36596,1.11797,1.14303,0.75843,0.65603,0.75252,0.49257,1.23603,1.00542,1.14216,0.00731286,0.00731286,0.00731286
21,1623.96,1.34543,1.10229,1.13856,0.75674,0.67743,0.76379,0.49488,1.24168,0.98954,1.14477,0.00717143,0.00717143,0.00717143
22,1700.42,1.34535,1.09779,1.13258,0.76807,0.67213,0.76563,0.50329,1.21347,0.98744,1.12998,0.00703,0.00703,0.00703
23,1777.42,1.33507,1.08135,1.12649,0.73553,0.6819,0.76279,0.50189,1.20709,0.98877,1.13009,0.00688857,0.00688857,0.00688857
24,1853.4,1.32567,1.06905,1.12374,0.7741,0.67011,0.77112,0.50956,1.20383,0.96849,1.12522,0.00674714,0.00674714,0.00674714
25,1929.66,1.31749,1.05148,1.12044,0.76148,0.68064,0.77096,0.51082,1.20982,0.95401,1.13073,0.00660571,0.00660571,0.00660571
26,2005.94,1.31494,1.04685,1.11671,0.76426,0.6818,0.76433,0.50219,1.21358,0.96838,1.1348,0.00646429,0.00646429,0.00646429
27,2082.16,1.29304,1.02617,1.11104,0.78062,0.69095,0.78662,0.52158,1.20315,0.92234,1.13251,0.00632286,0.00632286,0.00632286
