epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,77.9477,1.55665,1.95563,1.4924,0.67967,0.5815,0.66127,0.41265,1.36252,1.25266,1.38052,0.00331224,0.00331224,0.00331224
2,156.8,1.52823,1.47867,1.44404,0.52697,0.54782,0.53221,0.2919,1.54617,1.99305,1.48096,0.00655158,0.00655158,0.00655158
3,238.116,1.6706,1.63044,1.50527,0.33505,0.39632,0.31038,0.15704,1.87713,7.36651,1.7844,0.00969664,0.00969664,0.00969664
4,318.035,1.75755,1.74317,1.55474,0.39555,0.38847,0.33747,0.16268,1.93796,4.99133,1.72157,0.00957571,0.00957571,0.00957571
5,395.585,1.67548,1.62829,1.51551,0.51627,0.50679,0.50131,0.27252,1.69917,2.26765,1.5797,0.00943429,0.00943429,0.00943429
6,474.48,1.62414,1.54135,1.48723,0.63634,0.54296,0.58688,0.33538,1.55152,1.64869,1.49003,0.00929286,0.00929286,0.00929286
7,552.629,1.57398,1.47249,1.46694,0.65462,0.56565,0.62935,0.38175,1.47693,1.3682,1.4457,0.00915143,0.00915143,0.00915143
8,631.68,1.54852,1.43736,1.45407,0.63984,0.58081,0.62278,0.38035,1.43648,1.56104,1.43182,0.00901,0.00901,0.00901
9,710.153,1.52844,1.39166,1.44565,0.6817,0.5703,0.64094,0.38399,1.44903,1.33126,1.43146,0.00886857,0.00886857,0.00886857
10,789.179,1.50453,1.35774,1.43237,0.68941,0.61495,0.6818,0.41788,1.42179,1.26895,1.40754,0.00872714,0.00872714,0.00872714
11,867.842,1.48668,1.32934,1.42431,0.69788,0.62863,0.69808,0.43481,1.36962,1.25866,1.38664,0.00858571,0.00858571,0.00858571
12,944.934,1.46831,1.30646,1.41861,0.70096,0.61773,0.6975,0.43722,1.34267,1.20336,1.3807,0.00844429,0.00844429,0.00844429
13,1021.9,1.45051,1.28207,1.40755,0.71049,0.62889,0.70727,0.44246,1.35928,1.17409,1.38396,0.00830286,0.00830286,0.00830286
14,1099.05,1.44043,1.25955,1.40125,0.71994,0.65133,0.72266,0.46195,1.31805,1.14011,1.37024,0.00816143,0.00816143,0.00816143
15,1175.67,1.42946,1.23883,1.3981,0.72338,0.64906,0.73032,0.46455,1.34369,1.12736,1.37936,0.00802,0.00802,0.00802
16,1252.43,1.42241,1.2315,1.39584,0.73774,0.63332,0.72707,0.45955,1.32616,1.10884,1.36498,0.00787857,0.00787857,0.00787857
17,1329.47,1.40437,1.20493,1.38461,0.74142,0.65373,0.74354,0.47992,1.30371,1.07349,1.35692,0.00773714,0.00773714,0.00773714
18,1408.2,1.39779,1.20052,1.38558,0.75032,0.66471,0.75302,0.48909,1.28725,1.05775,1.34666,0.00759571,0.00759571,0.00759571
19,1486.41,1.39363,1.18829,1.38314,0.74376,0.67572,0.75546,0.48959,1.29632,1.04644,1.34955,0.00745429,0.00745429,0.00745429
20,1564.29,1.3852,1.16756,1.37804,0.75758,0.6459,0.74357,0.48333,1.2866,1.0525,1.34766,0.00731286,0.00731286,0.00731286
21,1642.29,1.36798,1.14711,1.3738,0.7424,0.6738,0.75352,0.49172,1.27076,1.0571,1.3417,0.00717143,0.00717143,0.00717143
22,1720.66,1.36264,1.14954,1.36927,0.75248,0.67688,0.76199,0.49904,1.25017,1.03583,1.33232,0.00703,0.00703,0.00703
23,1798.77,1.35442,1.13258,1.36395,0.76331,0.67103,0.76646,0.50476,1.25787,1.02815,1.33521,0.00688857,0.00688857,0.00688857
24,1876.8,1.3462,1.11614,1.35991,0.77259,0.67146,0.77093,0.50741,1.25065,0.99929,1.32913,0.00674714,0.00674714,0.00674714
25,1954.57,1.33982,1.0971,1.35829,0.77524,0.67431,0.77225,0.51125,1.24316,0.97962,1.32903,0.00660571,0.00660571,0.00660571
26,2031.91,1.33701,1.09323,1.354,0.77064,0.69157,0.77955,0.51366,1.24109,0.98623,1.32811,0.00646429,0.00646429,0.00646429
27,2109.29,1.31854,1.07923,1.34906,0.76993,0.69007,0.78211,0.52148,1.23368,0.95801,1.3249,0.00632286,0.00632286,0.00632286
28,2187.84,1.31774,1.0739,1.34974,0.76605,0.6938,0.78374,0.52239,1.22152,0.96035,1.32078,0.00618143,0.00618143,0.00618143
29,2264.96,1.30785,1.05589,1.34251,0.77102,0.69698,0.78155,0.52222,1.23225,0.94821,1.32687,0.00604,0.00604,0.00604
30,2341.73,1.30734,1.05726,1.34617,0.78063,0.69511,0.7828,0.52255,1.21131,0.9521,1.3155,0.00589857,0.00589857,0.00589857
31,2418.83,1.29569,1.03474,1.3375,0.78426,0.6943,0.78861,0.52323,1.21969,0.9384,1.32587,0.00575714,0.00575714,0.00575714
32,2495.96,1.29032,1.02727,1.3368,0.79128,0.69311,0.7928,0.53063,1.20897,0.93005,1.31618,0.00561571,0.00561571,0.00561571
33,2573.07,1.29401,1.0274,1.33795,0.78341,0.70174,0.79612,0.53789,1.20345,0.91948,1.31246,0.00547429,0.00547429,0.00547429
34,2650.08,1.28612,1.00635,1.33251,0.79341,0.70362,0.79795,0.53734,1.19866,0.91606,1.30841,0.00533286,0.00533286,0.00533286
35,2728.17,1.27674,1.00115,1.33162,0.77875,0.70386,0.79601,0.53203,1.21625,0.92737,1.32183,0.00519143,0.00519143,0.00519143
36,2806.6,1.27939,0.99653,1.32976,0.79196,0.69628,0.79767,0.53322,1.2138,0.9248,1.31524,0.00505,0.00505,0.00505
37,2883.83,1.25864,0.97888,1.32185,0.78887,0.70292,0.80137,0.54199,1.2007,0.90961,1.30632,0.00490857,0.00490857,0.00490857
38,2961.67,1.25598,0.97776,1.32213,0.7897,0.71597,0.805,0.54392,1.1851,0.89655,1.30287,0.00476714,0.00476714,0.00476714
39,3039.87,1.25725,0.9785,1.32013,0.78676,0.70887,0.80135,0.54303,1.18452,0.90765,1.30481,0.00462571,0.00462571,0.00462571
40,3118.22,1.23853,0.95252,1.312,0.78396,0.72089,0.80749,0.54811,1.18289,0.88658,1.30126,0.00448429,0.00448429,0.00448429
41,3196.87,1.24384,0.95278,1.31439,0.79062,0.71948,0.80585,0.54542,1.1842,0.8905,1.30412,0.00434286,0.00434286,0.00434286
42,3273.98,1.23984,0.94343,1.3116,0.78465,0.72179,0.80825,0.54794,1.17979,0.88573,1.30324,0.00420143,0.00420143,0.00420143
43,3352.22,1.23317,0.94178,1.3075,0.79417,0.71827,0.81052,0.55186,1.18745,0.88029,1.30752,0.00406,0.00406,0.00406
44,3429.39,1.2212,0.92354,1.30421,0.79089,0.72259,0.81097,0.55336,1.1792,0.87567,1.30207,0.00391857,0.00391857,0.00391857
45,3507.2,1.22599,0.91904,1.30666,0.80176,0.71605,0.80917,0.55147,1.17533,0.88069,1.29948,0.00377714,0.00377714,0.00377714
46,3583.97,1.21801,0.90917,1.30252,0.8023,0.72153,0.81257,0.55378,1.1776,0.87119,1.29707,0.00363571,0.00363571,0.00363571
47,3660.66,1.21184,0.9013,1.29985,0.80872,0.71492,0.81384,0.55554,1.17257,0.86495,1.29758,0.00349429,0.00349429,0.00349429
48,3737.95,1.20246,0.89,1.29604,0.80987,0.71633,0.81237,0.55202,1.17733,0.87351,1.30327,0.00335286,0.00335286,0.00335286
49,3815.66,1.20468,0.87903,1.29727,0.80148,0.72378,0.81626,0.55596,1.18494,0.86487,1.30551,0.00321143,0.00321143,0.00321143
50,3893.56,1.19906,0.88038,1.29406,0.80777,0.72326,0.81571,0.5582,1.17394,0.85679,1.30168,0.00307,0.00307,0.00307
51,3971.53,1.19388,0.86853,1.29165,0.80261,0.73172,0.8166,0.5568,1.17524,0.85849,1.30109,0.00292857,0.00292857,0.00292857
52,4049.19,1.17807,0.85324,1.28721,0.79926,0.73705,0.81653,0.55635,1.17917,0.86267,1.30617,0.00278714,0.00278714,0.00278714
53,4127.42,1.1786,0.85269,1.28407,0.81008,0.72918,0.8182,0.55924,1.17185,0.85926,1.29947,0.00264571,0.00264571,0.00264571
54,4204.78,1.16824,0.84136,1.28157,0.79323,0.73863,0.8187,0.56077,1.17237,0.85119,1.3008,0.00250429,0.00250429,0.00250429
55,4283.1,1.15722,0.83341,1.27666,0.81197,0.72958,0.81885,0.5613,1.16739,0.85612,1.29957,0.00236286,0.00236286,0.00236286
56,4361.62,1.157,0.82118,1.27508,0.79771,0.73967,0.8194,0.56178,1.17086,0.84869,1.29971,0.00222143,0.00222143,0.00222143
57,4440.03,1.16317,0.82598,1.27834,0.80919,0.73475,0.82,0.56238,1.16973,0.85042,1.29855,0.00208,0.00208,0.00208
58,4517.9,1.14487,0.80711,1.27013,0.80216,0.73831,0.81951,0.5613,1.17578,0.85049,1.30392,0.00193857,0.00193857,0.00193857
59,4595.54,1.13848,0.80645,1.26664,0.81208,0.73267,0.82059,0.56338,1.17205,0.84484,1.301,0.00179714,0.00179714,0.00179714
60,4673.2,1.13658,0.79769,1.26656,0.81579,0.73243,0.81886,0.56185,1.17324,0.84894,1.30388,0.00165571,0.00165571,0.00165571
61,4753.39,1.08669,0.70568,1.23549,0.80928,0.73372,0.81955,0.5617,1.17818,0.84833,1.30695,0.00151429,0.00151429,0.00151429
62,4830.11,1.07253,0.68565,1.22869,0.80483,0.73638,0.82097,0.56288,1.17704,0.84582,1.3078,0.00137286,0.00137286,0.00137286
63,4907.98,1.06387,0.67344,1.22465,0.80257,0.73837,0.81957,0.5623,1.17944,0.84675,1.30927,0.00123143,0.00123143,0.00123143
64,4984.28,1.05634,0.66291,1.22122,0.79116,0.75056,0.82006,0.56051,1.18485,0.84694,1.31263,0.00109,0.00109,0.00109
65,5063.32,1.04682,0.65371,1.21764,0.79954,0.74478,0.81972,0.56123,1.18972,0.84847,1.31562,0.000948571,0.000948571,0.000948571
66,5143.43,1.04073,0.64358,1.21602,0.8061,0.74148,0.8192,0.5605,1.19024,0.84849,1.31626,0.000807143,0.000807143,0.000807143
67,5222.71,1.03522,0.64026,1.21222,0.81003,0.74128,0.81932,0.56017,1.19043,0.85083,1.31695,0.000665714,0.000665714,0.000665714
68,5299.33,1.02647,0.62536,1.20749,0.80712,0.74247,0.81907,0.55925,1.19095,0.85042,1.31817,0.000524286,0.000524286,0.000524286
69,5376.17,1.01924,0.62045,1.20607,0.8097,0.73913,0.81817,0.55914,1.19171,0.85259,1.31884,0.000382857,0.000382857,0.000382857
70,5454.17,1.01466,0.61276,1.20362,0.80895,0.73859,0.81728,0.55876,1.19286,0.85587,1.31932,0.000241429,0.000241429,0.000241429
