epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,136.312,1.63082,1.95456,1.41533,0.61885,0.57487,0.60569,0.35434,1.24242,1.40971,1.17862,0.00332341,0.00332341,0.00332341
2,273.511,1.55608,1.59432,1.317,0.54323,0.51421,0.51744,0.26879,1.44314,1.94765,1.29498,0.0065626,0.0065626,0.0065626
3,411.669,1.67646,1.79484,1.40493,0.43483,0.33878,0.32379,0.15818,1.72262,3.82406,1.51525,0.0097075,0.0097075,0.0097075
4,548.559,1.7106,1.85417,1.44754,0.48802,0.44494,0.42795,0.22665,1.53565,2.41562,1.39153,0.00957571,0.00957571,0.00957571
5,685.465,1.62641,1.70837,1.39966,0.55825,0.51419,0.52461,0.29877,1.38537,1.4911,1.29137,0.00943429,0.00943429,0.00943429
6,823.49,1.571,1.61098,1.36777,0.66182,0.56827,0.63046,0.37682,1.29841,1.2732,1.23806,0.00929286,0.00929286,0.00929286
7,960.206,1.53727,1.54664,1.34641,0.65649,0.58401,0.63695,0.37631,1.3195,1.34737,1.24009,0.00915143,0.00915143,0.00915143
8,1096.72,1.50228,1.49285,1.32884,0.665,0.57413,0.648,0.39468,1.24077,1.22216,1.21954,0.00901,0.00901,0.00901
9,1234.04,1.48167,1.46257,1.31307,0.67295,0.58819,0.66292,0.4061,1.25002,1.18559,1.21831,0.00886857,0.00886857,0.00886857
10,1371.55,1.45922,1.42031,1.30148,0.71449,0.61287,0.69781,0.43468,1.21087,1.11039,1.18969,0.00872714,0.00872714,0.00872714
11,1509.33,1.44665,1.38665,1.29329,0.73557,0.61675,0.70726,0.44275,1.19402,1.07696,1.19428,0.00858571,0.00858571,0.00858571
12,1646.59,1.42406,1.36536,1.28256,0.70735,0.62637,0.7066,0.45236,1.16206,1.06818,1.17943,0.00844429,0.00844429,0.00844429
13,1783.15,1.41179,1.33404,1.27186,0.72476,0.62015,0.7159,0.45532,1.16974,1.06466,1.17098,0.00830286,0.00830286,0.00830286
14,1920.16,1.40297,1.32053,1.26621,0.74106,0.62414,0.72135,0.46119,1.15336,1.0371,1.15623,0.00816143,0.00816143,0.00816143
15,2057.01,1.39063,1.30013,1.25924,0.73918,0.6375,0.72275,0.45857,1.14904,1.06444,1.163,0.00802,0.00802,0.00802
16,2194.42,1.37813,1.27776,1.24964,0.73095,0.64153,0.72607,0.46448,1.13333,1.02671,1.16027,0.00787857,0.00787857,0.00787857
17,2332.05,1.36669,1.25724,1.24702,0.7494,0.65219,0.74489,0.48534,1.11728,0.98358,1.14679,0.00773714,0.00773714,0.00773714
18,2469.99,1.35963,1.24299,1.2437,0.75916,0.66052,0.75125,0.49165,1.11692,0.96307,1.14567,0.00759571,0.00759571,0.00759571
19,2607.54,1.35654,1.23321,1.23774,0.77222,0.65377,0.75838,0.49303,1.10466,0.95985,1.13979,0.00745429,0.00745429,0.00745429
20,2745.33,1.34062,1.22021,1.23265,0.75023,0.67598,0.76103,0.49562,1.10578,0.95194,1.13876,0.00731286,0.00731286,0.00731286
21,2883.17,1.33416,1.20321,1.22293,0.75488,0.68136,0.76948,0.50505,1.09396,0.92723,1.13134,0.00717143,0.00717143,0.00717143
22,3021.17,1.33206,1.19161,1.22411,0.77658,0.67794,0.77392,0.51004,1.08332,0.91892,1.12625,0.00703,0.00703,0.00703
23,3158.41,1.3172,1.17972,1.21372,0.78432,0.68153,0.77862,0.5114,1.07947,0.91525,1.11975,0.00688857,0.00688857,0.00688857
24,3294.56,1.31187,1.16433,1.20841,0.78115,0.68534,0.77872,0.51396,1.0818,0.90098,1.11808,0.00674714,0.00674714,0.00674714
25,3432.41,1.31058,1.152,1.20766,0.77825,0.68335,0.78047,0.51744,1.06952,0.89461,1.11885,0.00660571,0.00660571,0.00660571
26,3570.29,1.29617,1.13843,1.20113,0.7953,0.68305,0.78367,0.51777,1.06785,0.89689,1.11474,0.00646429,0.00646429,0.00646429
27,3707.92,1.29502,1.12789,1.20046,0.77866,0.69783,0.78901,0.52271,1.0684,0.87031,1.11367,0.00632286,0.00632286,0.00632286
28,3845.79,1.29128,1.12191,1.19429,0.79602,0.68802,0.79029,0.5259,1.06372,0.87229,1.11385,0.00618143,0.00618143,0.00618143
29,3982.52,1.28295,1.11338,1.19308,0.80007,0.69408,0.7962,0.53136,1.05859,0.8621,1.11194,0.00604,0.00604,0.00604
30,4119.24,1.27822,1.09949,1.18997,0.80459,0.69676,0.79723,0.53268,1.05146,0.85675,1.10582,0.00589857,0.00589857,0.00589857
31,4256.7,1.26984,1.09383,1.18642,0.80168,0.69986,0.79788,0.53433,1.04665,0.85378,1.10295,0.00575714,0.00575714,0.00575714
32,4393.77,1.2645,1.08183,1.18108,0.81619,0.69106,0.80026,0.53574,1.0443,0.84706,1.10073,0.00561571,0.00561571,0.00561571
33,4530.77,1.25937,1.06938,1.1779,0.80439,0.69782,0.80043,0.53656,1.04271,0.84152,1.09992,0.00547429,0.00547429,0.00547429
