epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,138.941,1.63231,1.94982,1.39113,0.61221,0.57584,0.61228,0.36362,1.22743,1.4121,1.15511,0.00332341,0.00332341,0.00332341
2,280.931,1.55619,1.59759,1.3016,0.55395,0.55463,0.55013,0.29661,1.43014,1.78279,1.26605,0.0065626,0.0065626,0.0065626
3,421.619,1.67589,1.79288,1.38587,0.40216,0.36462,0.3349,0.15586,1.71998,3.32137,1.43189,0.0097075,0.0097075,0.0097075
4,561.328,1.71181,1.84391,1.42455,0.53386,0.49353,0.50006,0.26819,1.49471,2.41867,1.33042,0.00957571,0.00957571,0.00957571
5,700.666,1.62493,1.70414,1.37843,0.5997,0.52825,0.56819,0.32592,1.35778,1.54425,1.25613,0.00943429,0.00943429,0.00943429
6,839.613,1.56983,1.6127,1.34833,0.63448,0.54983,0.61047,0.34781,1.40083,1.30978,1.26518,0.00929286,0.00929286,0.00929286
7,979.787,1.53453,1.54506,1.32776,0.66711,0.58645,0.64912,0.38409,1.32623,1.28708,1.24227,0.00915143,0.00915143,0.00915143
8,1119.15,1.50113,1.492,1.30964,0.69512,0.59793,0.67,0.40543,1.23467,1.17442,1.20028,0.00901,0.00901,0.00901
9,1258.15,1.48416,1.46448,1.29461,0.69083,0.60394,0.67818,0.41425,1.22974,1.19006,1.1925,0.00886857,0.00886857,0.00886857
10,1398.06,1.45615,1.41797,1.28042,0.71774,0.6075,0.69543,0.4311,1.19968,1.1197,1.17139,0.00872714,0.00872714,0.00872714
11,1537.33,1.44855,1.38767,1.27067,0.73859,0.61718,0.70938,0.44649,1.18107,1.07094,1.16336,0.00858571,0.00858571,0.00858571
12,1677.66,1.42323,1.36467,1.25914,0.70679,0.63023,0.70489,0.44547,1.18206,1.06761,1.16085,0.00844429,0.00844429,0.00844429
13,1817.73,1.41062,1.33338,1.25044,0.74783,0.63953,0.72669,0.46285,1.15609,1.04898,1.15116,0.00830286,0.00830286,0.00830286
14,1957.28,1.40349,1.31894,1.24348,0.74402,0.62541,0.72408,0.46133,1.15092,1.0444,1.15532,0.00816143,0.00816143,0.00816143
15,2096.45,1.38903,1.30173,1.2364,0.75176,0.63512,0.72996,0.46437,1.14982,1.0334,1.14934,0.00802,0.00802,0.00802
16,2236.33,1.38,1.27724,1.2284,0.73123,0.65705,0.73901,0.47478,1.13118,1.00751,1.14369,0.00787857,0.00787857,0.00787857
17,2375.37,1.36831,1.26143,1.22296,0.7413,0.65277,0.73866,0.47616,1.12749,1.00273,1.13605,0.00773714,0.00773714,0.00773714
18,2514.91,1.36199,1.24601,1.22173,0.76093,0.65464,0.75139,0.48661,1.1225,0.96892,1.12798,0.00759571,0.00759571,0.00759571
19,2653.98,1.35521,1.23251,1.21363,0.765,0.66869,0.75871,0.49331,1.10198,0.95889,1.12087,0.00745429,0.00745429,0.00745429
20,2794.07,1.34227,1.21761,1.20706,0.77223,0.6664,0.76355,0.49854,1.104,0.94206,1.12596,0.00731286,0.00731286,0.00731286
21,2933.14,1.3325,1.20109,1.19539,0.76843,0.67846,0.76644,0.50409,1.09413,0.92502,1.11774,0.00717143,0.00717143,0.00717143
22,3071.96,1.33357,1.19382,1.19692,0.77873,0.67673,0.77182,0.50791,1.0807,0.9172,1.11164,0.00703,0.00703,0.00703
23,3210.94,1.31987,1.1764,1.18912,0.77824,0.67713,0.77058,0.50739,1.08232,0.91517,1.11301,0.00688857,0.00688857,0.00688857
24,3350.94,1.31573,1.16375,1.18268,0.77673,0.68719,0.77709,0.51098,1.0773,0.90122,1.10907,0.00674714,0.00674714,0.00674714
25,3491.03,1.31161,1.14994,1.17884,0.77333,0.68794,0.78019,0.51741,1.06695,0.89762,1.1069,0.00660571,0.00660571,0.00660571
26,3631.21,1.30105,1.13885,1.17377,0.79404,0.67764,0.7838,0.52102,1.06159,0.88778,1.10301,0.00646429,0.00646429,0.00646429
27,3770.84,1.29645,1.12551,1.17319,0.80021,0.6865,0.78561,0.51929,1.06779,0.88337,1.10696,0.00632286,0.00632286,0.00632286
28,3910.47,1.29103,1.11813,1.16526,0.7993,0.68597,0.78915,0.52297,1.06365,0.87785,1.10213,0.00618143,0.00618143,0.00618143
29,4049.04,1.28124,1.11379,1.16334,0.78617,0.69752,0.79087,0.52637,1.05813,0.87152,1.10433,0.00604,0.00604,0.00604
30,4188.58,1.27882,1.09687,1.15767,0.79475,0.69739,0.79383,0.53082,1.05323,0.85808,1.09596,0.00589857,0.00589857,0.00589857
31,4330.3,1.27343,1.09325,1.1539,0.80209,0.69325,0.79576,0.52971,1.0563,0.85793,1.10052,0.00575714,0.00575714,0.00575714
32,4469.95,1.26834,1.07775,1.14821,0.79141,0.70657,0.79705,0.53265,1.05195,0.85103,1.09555,0.00561571,0.00561571,0.00561571
33,4608.89,1.2634,1.06315,1.14462,0.79424,0.70311,0.79862,0.53397,1.04983,0.8451,1.09407,0.00547429,0.00547429,0.00547429
34,4748.85,1.2564,1.05643,1.13767,0.79494,0.70348,0.80022,0.53581,1.04641,0.84259,1.09399,0.00533286,0.00533286,0.00533286
35,4887.87,1.25139,1.04799,1.13697,0.79904,0.70385,0.80046,0.53596,1.0446,0.8402,1.09506,0.00519143,0.00519143,0.00519143
36,5027.26,1.24509,1.0383,1.13082,0.80818,0.69947,0.80323,0.53773,1.04481,0.83108,1.0944,0.00505,0.00505,0.00505
37,5167.15,1.24026,1.02619,1.12589,0.8072,0.70552,0.80361,0.53934,1.04033,0.8282,1.09246,0.00490857,0.00490857,0.00490857
38,5305.67,1.23294,1.01593,1.12343,0.80146,0.71278,0.806,0.54105,1.03951,0.82303,1.09098,0.00476714,0.00476714,0.00476714
39,5444.6,1.23383,1.01438,1.12016,0.80703,0.70636,0.80772,0.542,1.03927,0.8196,1.09084,0.00462571,0.00462571,0.00462571
40,5583.43,1.22245,0.99444,1.11444,0.80812,0.70673,0.8084,0.54401,1.03708,0.81795,1.09118,0.00448429,0.00448429,0.00448429
41,5722.29,1.21785,0.98396,1.10914,0.80399,0.71164,0.80905,0.54632,1.03497,0.8167,1.09077,0.00434286,0.00434286,0.00434286
42,5861.4,1.21317,0.98039,1.10471,0.79877,0.71756,0.81003,0.54648,1.03518,0.81362,1.09124,0.00420143,0.00420143,0.00420143
43,6000.68,1.21036,0.97234,1.09983,0.79499,0.72491,0.8111,0.54863,1.03251,0.80883,1.08992,0.00406,0.00406,0.00406
44,6139.88,1.20098,0.961,1.09652,0.79789,0.72087,0.81178,0.54869,1.03148,0.80706,1.0892,0.00391857,0.00391857,0.00391857
45,6278.35,1.19975,0.95712,1.09221,0.80472,0.71906,0.8111,0.54904,1.03052,0.80454,1.08848,0.00377714,0.00377714,0.00377714
46,6417.05,1.19089,0.94317,1.08799,0.80283,0.72396,0.81161,0.54948,1.02833,0.80137,1.08783,0.00363571,0.00363571,0.00363571
47,6555.8,1.18743,0.93073,1.08235,0.80318,0.72318,0.81218,0.55025,1.02727,0.79818,1.08763,0.00349429,0.00349429,0.00349429
