epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,136.342,1.63082,1.95456,1.41533,0.61885,0.57487,0.60569,0.35434,1.24242,1.40971,1.17862,0.00332341,0.00332341,0.00332341
2,273.994,1.55608,1.59432,1.317,0.54323,0.51421,0.51744,0.26879,1.44314,1.94765,1.29498,0.0065626,0.0065626,0.0065626
3,412.074,1.67646,1.79484,1.40493,0.43483,0.33878,0.32379,0.15818,1.72262,3.82406,1.51525,0.0097075,0.0097075,0.0097075
4,549.771,1.71203,1.85281,1.44864,0.51339,0.45119,0.45366,0.24154,1.52428,2.63434,1.38365,0.00957571,0.00957571,0.00957571
5,686.876,1.62573,1.70809,1.40136,0.6032,0.54268,0.59105,0.33825,1.35794,1.40309,1.28538,0.00943429,0.00943429,0.00943429
6,823.966,1.57338,1.61554,1.36978,0.64666,0.56383,0.62592,0.36604,1.33956,1.33838,1.25723,0.00929286,0.00929286,0.00929286
7,960.83,1.53433,1.54301,1.34675,0.65774,0.58575,0.63958,0.38227,1.29037,1.3991,1.24303,0.00915143,0.00915143,0.00915143
8,1098.02,1.50473,1.49609,1.33163,0.66985,0.58003,0.65129,0.39355,1.27589,1.20252,1.22308,0.00901,0.00901,0.00901
9,1234.21,1.4838,1.46383,1.31662,0.67213,0.58982,0.66372,0.40811,1.23402,1.18352,1.21152,0.00886857,0.00886857,0.00886857
10,1371.49,1.45949,1.4238,1.30183,0.70853,0.62938,0.70469,0.44063,1.19258,1.10836,1.18088,0.00872714,0.00872714,0.00872714
11,1508.43,1.44764,1.38952,1.29429,0.71903,0.62116,0.70679,0.44909,1.16291,1.07459,1.17858,0.00858571,0.00858571,0.00858571
12,1645.42,1.42265,1.36452,1.28332,0.7045,0.62339,0.70014,0.44268,1.17576,1.08206,1.17701,0.00844429,0.00844429,0.00844429
13,1782.4,1.41211,1.3367,1.27224,0.72991,0.61878,0.71416,0.45451,1.16454,1.06484,1.16789,0.00830286,0.00830286,0.00830286
14,1919.7,1.40351,1.32021,1.26607,0.74597,0.61966,0.71737,0.4578,1.15008,1.04857,1.16189,0.00816143,0.00816143,0.00816143
15,2057.11,1.39012,1.30022,1.25911,0.74951,0.63299,0.72908,0.46441,1.15292,1.01814,1.1581,0.00802,0.00802,0.00802
16,2193.9,1.37959,1.27647,1.2516,0.7298,0.64992,0.73617,0.47286,1.13288,0.99726,1.1562,0.00787857,0.00787857,0.00787857
17,2330.92,1.36854,1.25775,1.2465,0.74886,0.64822,0.73947,0.48076,1.12067,0.99415,1.14284,0.00773714,0.00773714,0.00773714
18,2467.82,1.36007,1.24537,1.2439,0.75684,0.65976,0.74913,0.48963,1.11311,0.97039,1.14594,0.00759571,0.00759571,0.00759571
19,2604.69,1.35233,1.23089,1.23599,0.75367,0.6733,0.76269,0.49842,1.10211,0.94698,1.14151,0.00745429,0.00745429,0.00745429
20,2741.29,1.33966,1.21991,1.23483,0.75769,0.67395,0.76106,0.49837,1.10521,0.95187,1.14401,0.00731286,0.00731286,0.00731286
21,2877.36,1.33163,1.19785,1.22242,0.75228,0.6838,0.76728,0.50606,1.08929,0.92976,1.13303,0.00717143,0.00717143,0.00717143
22,3014.61,1.33203,1.19173,1.2239,0.77814,0.67642,0.7728,0.50849,1.08629,0.91395,1.12989,0.00703,0.00703,0.00703
23,3152.12,1.31901,1.17904,1.21936,0.75498,0.68705,0.76952,0.50711,1.07344,0.92048,1.12131,0.00688857,0.00688857,0.00688857
24,3289.11,1.31317,1.16183,1.20979,0.77211,0.6885,0.77812,0.51408,1.07833,0.90054,1.11728,0.00674714,0.00674714,0.00674714
25,3426.21,1.31135,1.15273,1.20615,0.77471,0.69287,0.78122,0.51712,1.0725,0.89074,1.11916,0.00660571,0.00660571,0.00660571
26,3562.52,1.2984,1.13612,1.2001,0.78469,0.68975,0.78252,0.51986,1.0626,0.8873,1.11488,0.00646429,0.00646429,0.00646429
27,3699.35,1.29419,1.12516,1.20272,0.7849,0.69542,0.78714,0.52129,1.06611,0.87724,1.11496,0.00632286,0.00632286,0.00632286
28,3835.7,1.29108,1.11865,1.19621,0.78765,0.69895,0.78848,0.52253,1.06064,0.8763,1.10874,0.00618143,0.00618143,0.00618143
29,3972.88,1.28174,1.11363,1.19509,0.78731,0.70239,0.7906,0.52689,1.05501,0.86668,1.10857,0.00604,0.00604,0.00604
30,4110.02,1.27753,1.09768,1.19065,0.80062,0.69231,0.7951,0.53264,1.04938,0.85277,1.10271,0.00589857,0.00589857,0.00589857
31,4246.49,1.27137,1.09034,1.18466,0.79765,0.69802,0.79552,0.53034,1.0556,0.85256,1.10746,0.00575714,0.00575714,0.00575714
32,4383.49,1.264,1.07952,1.18185,0.80628,0.69198,0.79832,0.53406,1.04668,0.84754,1.10549,0.00561571,0.00561571,0.00561571
33,4519.41,1.26079,1.06579,1.17855,0.80243,0.69885,0.80009,0.53378,1.04583,0.84711,1.10307,0.00547429,0.00547429,0.00547429
34,4656.5,1.25132,1.05787,1.16966,0.80099,0.70591,0.80221,0.5375,1.04197,0.84039,1.10082,0.00533286,0.00533286,0.00533286
35,4793.72,1.24991,1.04735,1.17211,0.80982,0.70047,0.80316,0.53939,1.04309,0.83438,1.10191,0.00519143,0.00519143,0.00519143
36,4931.28,1.24133,1.03522,1.16667,0.7985,0.71092,0.80549,0.54095,1.04033,0.82778,1.10055,0.00505,0.00505,0.00505
37,5068.35,1.23659,1.02892,1.16389,0.80456,0.70792,0.80636,0.54199,1.03756,0.82696,1.1003,0.00490857,0.00490857,0.00490857
38,5204.7,1.23023,1.01827,1.16212,0.80648,0.71495,0.80961,0.54279,1.03879,0.82664,1.10019,0.00476714,0.00476714,0.00476714
39,5340.59,1.22892,1.017,1.16208,0.79179,0.71964,0.81006,0.54411,1.03769,0.82383,1.10085,0.00462571,0.00462571,0.00462571
40,5476.41,1.21937,0.99653,1.1529,0.79263,0.72221,0.80987,0.54516,1.0361,0.82163,1.09903,0.00448429,0.00448429,0.00448429
41,5612.66,1.21428,0.98388,1.14938,0.80103,0.71996,0.81143,0.54626,1.03665,0.81801,1.10001,0.00434286,0.00434286,0.00434286
42,5749.86,1.21013,0.98246,1.14589,0.8057,0.71588,0.81201,0.54711,1.03747,0.81403,1.09996,0.00420143,0.00420143,0.00420143
43,5886.83,1.20457,0.97248,1.14338,0.80225,0.72054,0.8122,0.54779,1.03588,0.80998,1.09904,0.00406,0.00406,0.00406
44,6024.05,1.1987,0.9611,1.14236,0.79725,0.72663,0.81322,0.54834,1.0349,0.80882,1.0986,0.00391857,0.00391857,0.00391857
45,6161.15,1.19506,0.96003,1.13836,0.80229,0.72607,0.81345,0.5492,1.03383,0.80627,1.09795,0.00377714,0.00377714,0.00377714
46,6298.25,1.18606,0.94688,1.13715,0.80398,0.7278,0.81471,0.54969,1.0324,0.80475,1.09665,0.00363571,0.00363571,0.00363571
47,6435.19,1.1827,0.93384,1.13328,0.80363,0.72659,0.81477,0.55043,1.0323,0.80276,1.09669,0.00349429,0.00349429,0.00349429
48,6572.31,1.17347,0.92566,1.12676,0.81092,0.71981,0.81519,0.55145,1.03207,0.80186,1.09606,0.00335286,0.00335286,0.00335286
49,6708.36,1.17321,0.91948,1.12582,0.81556,0.71547,0.81619,0.5505,1.03195,0.8007,1.09612,0.00321143,0.00321143,0.00321143
50,6844.26,1.16458,0.90993,1.12082,0.81471,0.71786,0.81607,0.55139,1.03154,0.79928,1.09622,0.00307,0.00307,0.00307
51,6980.21,1.1577,0.90237,1.11668,0.81079,0.72225,0.81644,0.55149,1.03228,0.7977,1.09703,0.00292857,0.00292857,0.00292857
52,7116.02,1.14976,0.88995,1.1141,0.80915,0.72543,0.81716,0.55208,1.03264,0.79644,1.09707,0.00278714,0.00278714,0.00278714
53,7251.82,1.14814,0.88603,1.11334,0.80955,0.72643,0.81751,0.55249,1.03283,0.79532,1.09752,0.00264571,0.00264571,0.00264571
54,7388.01,1.14181,0.87479,1.11382,0.81213,0.72637,0.81793,0.55228,1.03297,0.79476,1.09791,0.00250429,0.00250429,0.00250429
55,7524.88,1.1377,0.86279,1.10486,0.81104,0.72819,0.81818,0.55295,1.03251,0.7945,1.09731,0.00236286,0.00236286,0.00236286
56,7661.2,1.12975,0.85321,1.10194,0.81122,0.72857,0.81805,0.55301,1.03231,0.79378,1.09717,0.00222143,0.00222143,0.00222143
57,7798.37,1.12481,0.84642,1.10068,0.81252,0.72585,0.81844,0.55356,1.03239,0.79324,1.09741,0.00208,0.00208,0.00208
58,7935.61,1.11807,0.83791,1.09523,0.81259,0.7272,0.81867,0.5535,1.03294,0.79196,1.098,0.00193857,0.00193857,0.00193857
59,8072.6,1.11304,0.83154,1.09174,0.81577,0.72573,0.81873,0.55341,1.03335,0.79132,1.09833,0.00179714,0.00179714,0.00179714
60,8212.96,1.10909,0.82639,1.09172,0.81698,0.72478,0.81856,0.55346,1.03367,0.79065,1.09855,0.00165571,0.00165571,0.00165571
61,8352.19,1.07203,0.73983,1.08402,0.81706,0.72538,0.81893,0.55347,1.03372,0.78986,1.09868,0.00151429,0.00151429,0.00151429
62,8489.3,1.05386,0.7154,1.07578,0.81788,0.72512,0.8193,0.55375,1.03358,0.78945,1.0986,0.00137286,0.00137286,0.00137286
63,8626.01,1.0434,0.70175,1.06954,0.81518,0.72721,0.81918,0.55392,1.03379,0.78899,1.09865,0.00123143,0.00123143,0.00123143
64,8764.33,1.03536,0.68941,1.06609,0.81361,0.72861,0.81939,0.55402,1.03377,0.78918,1.09845,0.00109,0.00109,0.00109
65,8903.18,1.02188,0.67696,1.05861,0.81362,0.73021,0.81961,0.55433,1.03344,0.78876,1.09807,0.000948571,0.000948571,0.000948571
66,9042.16,1.01484,0.66475,1.05338,0.81426,0.72944,0.81938,0.55435,1.03358,0.78845,1.09816,0.000807143,0.000807143,0.000807143
67,9181.55,1.00864,0.65551,1.0513,0.81736,0.72804,0.82011,0.55411,1.03426,0.78809,1.09858,0.000665714,0.000665714,0.000665714
68,9318.05,0.99982,0.64504,1.04766,0.81746,0.72851,0.82037,0.55415,1.03467,0.78779,1.09904,0.000524286,0.000524286,0.000524286
69,9454.92,0.99202,0.63879,1.04328,0.81759,0.72823,0.82053,0.55427,1.03511,0.78768,1.09936,0.000382857,0.000382857,0.000382857
70,9594.07,0.98746,0.63034,1.04109,0.81848,0.72741,0.82045,0.55427,1.03546,0.78738,1.09957,0.000241429,0.000241429,0.000241429
