epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,137.4,0.38145,1.90117,0.23639,0.65682,0.5769,0.64299,0.35771,0.28027,1.36111,0.18979,0.00332341,0.00332341,0.00332341
2,275.347,0.35718,1.57151,0.21952,0.63293,0.51976,0.56472,0.2492,0.36819,1.63667,0.22118,0.0065626,0.0065626,0.0065626
3,414.315,0.40365,1.76758,0.2428,0.36668,0.33764,0.29369,0.12467,0.43433,5.0734,0.25947,0.0097075,0.0097075,0.0097075
4,552.062,0.42689,1.82692,0.25915,0.58412,0.47694,0.51005,0.26101,0.32398,2.52649,0.21504,0.00957571,0.00957571,0.00957571
5,689.391,0.41625,1.69391,0.2605,0.64754,0.55098,0.6093,0.33296,0.29727,1.38887,0.2016,0.00943429,0.00943429,0.00943429
6,825.719,0.40129,1.60331,0.25983,0.65103,0.58378,0.6446,0.36357,0.29081,1.26389,0.19867,0.00929286,0.00929286,0.00929286
7,961.937,0.4005,1.54036,0.26411,0.69238,0.5991,0.6664,0.38594,0.26209,1.2599,0.18835,0.00915143,0.00915143,0.00915143
8,1098.9,0.40139,1.49238,0.27011,0.68923,0.61295,0.67281,0.38902,0.25958,1.18864,0.18664,0.00901,0.00901,0.00901
9,1236.34,0.39462,1.46075,0.27152,0.71775,0.59531,0.68726,0.40691,0.25522,1.17149,0.18583,0.00886857,0.00886857,0.00886857
10,1373.53,0.40471,1.41757,0.28043,0.71738,0.63452,0.70979,0.43272,0.24391,1.11685,0.1809,0.00872714,0.00872714,0.00872714
11,1510.6,0.4087,1.38056,0.28629,0.74122,0.61516,0.71586,0.43551,0.24195,1.08773,0.17976,0.00858571,0.00858571,0.00858571
12,1646.85,0.41173,1.35794,0.29312,0.73583,0.6384,0.72272,0.44504,0.23647,1.07796,0.17786,0.00844429,0.00844429,0.00844429
13,1783.33,0.41289,1.33103,0.29757,0.74861,0.65392,0.74314,0.46578,0.23106,1.05313,0.17547,0.00830286,0.00830286,0.00830286
14,1920.62,0.42203,1.31429,0.30635,0.74253,0.64593,0.73202,0.45213,0.23275,1.05366,0.1764,0.00816143,0.00816143,0.00816143
15,2058.37,0.42546,1.29223,0.31229,0.76212,0.64587,0.74053,0.45958,0.23045,1.03801,0.17569,0.00802,0.00802,0.00802
16,2195.48,0.42994,1.26964,0.31811,0.74572,0.67158,0.75398,0.47464,0.22437,1.00602,0.17286,0.00787857,0.00787857,0.00787857
17,2333.12,0.42949,1.24679,0.32241,0.75677,0.66471,0.75495,0.47359,0.2226,1.00963,0.17192,0.00773714,0.00773714,0.00773714
18,2470.33,0.44144,1.23453,0.33277,0.76624,0.6745,0.76758,0.49137,0.22172,0.96547,0.17135,0.00759571,0.00759571,0.00759571
19,2607.83,0.45037,1.21639,0.33978,0.77613,0.67133,0.77295,0.49501,0.21621,0.96605,0.17,0.00745429,0.00745429,0.00745429
20,2744.88,0.45204,1.20294,0.34631,0.77528,0.68408,0.77742,0.49678,0.21596,0.94889,0.16965,0.00731286,0.00731286,0.00731286
21,2881.76,0.45862,1.18522,0.35147,0.77884,0.69018,0.78091,0.50331,0.21452,0.9329,0.16884,0.00717143,0.00717143,0.00717143
22,3018.44,0.46506,1.17803,0.35937,0.79105,0.68653,0.78503,0.50814,0.21188,0.92167,0.1679,0.00703,0.00703,0.00703
23,3155.64,0.46953,1.15952,0.36554,0.7843,0.68723,0.78532,0.5101,0.21129,0.9143,0.16799,0.00688857,0.00688857,0.00688857
24,3293.25,0.47921,1.14244,0.3739,0.79809,0.69013,0.79297,0.5125,0.21065,0.90267,0.16694,0.00674714,0.00674714,0.00674714
25,3430.4,0.48515,1.13115,0.38039,0.78647,0.70701,0.80147,0.52142,0.20797,0.88704,0.16597,0.00660571,0.00660571,0.00660571
26,3567.98,0.48732,1.1198,0.38554,0.79191,0.69962,0.7983,0.51882,0.20684,0.8848,0.16619,0.00646429,0.00646429,0.00646429
27,3705.41,0.49548,1.10713,0.3948,0.80076,0.70748,0.80236,0.52353,0.20602,0.87467,0.16578,0.00632286,0.00632286,0.00632286
28,3842.87,0.50119,1.09712,0.39981,0.81416,0.70177,0.80548,0.5278,0.20452,0.87019,0.16498,0.00618143,0.00618143,0.00618143
29,3980.05,0.50379,1.08955,0.40629,0.80389,0.70702,0.80594,0.52837,0.20369,0.86823,0.16468,0.00604,0.00604,0.00604
30,4117.34,0.51385,1.07328,0.41444,0.79751,0.71687,0.80882,0.52957,0.20277,0.86057,0.16427,0.00589857,0.00589857,0.00589857
31,4253.47,0.52026,1.06478,0.42162,0.79976,0.71866,0.81018,0.53115,0.20167,0.85618,0.16392,0.00575714,0.00575714,0.00575714
32,4390.74,0.52247,1.05243,0.4262,0.80436,0.71384,0.81244,0.53431,0.20053,0.84855,0.16341,0.00561571,0.00561571,0.00561571
