epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,136.966,0.92859,1.91131,0.75406,0.60968,0.55163,0.58443,0.33588,0.71855,1.44916,0.62623,0.00332341,0.00332341,0.00332341
2,274.937,0.87723,1.56559,0.69834,0.5861,0.54647,0.57358,0.30122,0.81641,1.66202,0.67102,0.0065626,0.0065626,0.0065626
3,412.239,0.95473,1.76016,0.74634,0.51661,0.34539,0.34493,0.16688,0.98429,4.39937,0.80923,0.0097075,0.0097075,0.0097075
4,549.418,0.97767,1.80863,0.77228,0.58253,0.51195,0.53979,0.28969,0.81651,2.30864,0.70118,0.00957571,0.00957571,0.00957571
5,686.893,0.93657,1.6712,0.75226,0.61244,0.53085,0.5661,0.31816,0.77371,1.45415,0.68146,0.00943429,0.00943429,0.00943429
6,823.998,0.90726,1.58227,0.74073,0.66574,0.57321,0.64341,0.37606,0.74909,1.2618,0.65789,0.00929286,0.00929286,0.00929286
7,961.122,0.89106,1.51545,0.73109,0.67193,0.57089,0.63546,0.36601,0.75415,1.32953,0.65956,0.00915143,0.00915143,0.00915143
8,1097.38,0.87632,1.46632,0.729,0.67911,0.60381,0.66746,0.40008,0.69307,1.1934,0.63915,0.00901,0.00901,0.00901
9,1234.5,0.86469,1.43505,0.72214,0.69603,0.62193,0.69372,0.42372,0.68485,1.1409,0.63056,0.00886857,0.00886857,0.00886857
10,1371.74,0.85899,1.39292,0.72246,0.72586,0.61799,0.7097,0.43574,0.66661,1.09844,0.62004,0.00872714,0.00872714,0.00872714
11,1509.14,0.85528,1.36128,0.72087,0.74162,0.6288,0.72479,0.45596,0.65015,1.04693,0.61443,0.00858571,0.00858571,0.00858571
12,1646.42,0.84758,1.33906,0.72004,0.73603,0.63828,0.72787,0.46061,0.63772,1.05286,0.60753,0.00844429,0.00844429,0.00844429
13,1783.79,0.8422,1.31008,0.71743,0.7674,0.64101,0.74211,0.47256,0.64003,1.0308,0.61096,0.00830286,0.00830286,0.00830286
14,1921.14,0.84164,1.29722,0.71956,0.75235,0.63223,0.72505,0.45986,0.6342,1.04817,0.60697,0.00816143,0.00816143,0.00816143
15,2058.33,0.83854,1.27343,0.71908,0.7501,0.64536,0.73566,0.46534,0.63327,1.03474,0.60772,0.00802,0.00802,0.00802
16,2194.72,0.83679,1.25145,0.71895,0.76206,0.65262,0.74723,0.47849,0.61823,1.00053,0.6008,0.00787857,0.00787857,0.00787857
17,2330.57,0.83001,1.23096,0.71846,0.75559,0.67388,0.76172,0.49092,0.61371,0.97088,0.59447,0.00773714,0.00773714,0.00773714
18,2467.59,0.83236,1.21605,0.72185,0.77171,0.67351,0.76323,0.49359,0.61774,0.95843,0.5974,0.00759571,0.00759571,0.00759571
19,2604.36,0.83453,1.20445,0.72343,0.78043,0.668,0.77082,0.50093,0.60528,0.94278,0.59384,0.00745429,0.00745429,0.00745429
20,2741.6,0.82898,1.19266,0.72515,0.77845,0.68171,0.7768,0.50667,0.60485,0.93173,0.59538,0.00731286,0.00731286,0.00731286
21,2878.53,0.82877,1.17514,0.72366,0.78045,0.6815,0.77748,0.50558,0.60443,0.92672,0.59149,0.00717143,0.00717143,0.00717143
22,3015,0.83183,1.16786,0.72688,0.79227,0.68372,0.78457,0.51391,0.59794,0.90753,0.58761,0.00703,0.00703,0.00703
23,3152.63,0.82804,1.15363,0.72712,0.78247,0.68622,0.78429,0.51455,0.59432,0.9062,0.58578,0.00688857,0.00688857,0.00688857
24,3290.31,0.82931,1.1362,0.72802,0.78854,0.69095,0.78873,0.51533,0.59745,0.89116,0.58779,0.00674714,0.00674714,0.00674714
25,3427.13,0.83165,1.1229,0.73106,0.7918,0.70032,0.79553,0.52417,0.58755,0.88043,0.58469,0.00660571,0.00660571,0.00660571
26,3564.19,0.82672,1.11063,0.73058,0.78233,0.70292,0.7943,0.52321,0.58571,0.88265,0.58158,0.00646429,0.00646429,0.00646429
27,3700.67,0.82945,1.09951,0.73516,0.79636,0.70093,0.79812,0.52674,0.58494,0.8634,0.5805,0.00632286,0.00632286,0.00632286
28,3836.82,0.8317,1.09397,0.73561,0.8017,0.70274,0.80185,0.52981,0.58219,0.85711,0.5805,0.00618143,0.00618143,0.00618143
29,3973.14,0.82899,1.08658,0.73853,0.79953,0.7032,0.80208,0.53274,0.58092,0.85532,0.58031,0.00604,0.00604,0.00604
30,4110.28,0.83185,1.06882,0.73978,0.78854,0.71338,0.80604,0.53509,0.57923,0.84559,0.57823,0.00589857,0.00589857,0.00589857
31,4247.16,0.83217,1.06337,0.74107,0.79532,0.70985,0.80728,0.5357,0.57855,0.84209,0.57819,0.00575714,0.00575714,0.00575714
32,4383.3,0.83037,1.04842,0.74307,0.80347,0.71333,0.80904,0.53896,0.5775,0.83561,0.57887,0.00561571,0.00561571,0.00561571
33,4519.51,0.83239,1.03632,0.74384,0.81502,0.7087,0.81131,0.53963,0.57545,0.83476,0.57613,0.00547429,0.00547429,0.00547429
34,4656.69,0.83301,1.03022,0.74555,0.81078,0.70802,0.8134,0.54195,0.57398,0.83022,0.57526,0.00533286,0.00533286,0.00533286
35,4793.91,0.83246,1.0154,0.75001,0.80677,0.71112,0.81386,0.54191,0.57335,0.82407,0.57601,0.00519143,0.00519143,0.00519143
36,4930.8,0.83061,1.00483,0.74894,0.81188,0.71106,0.8159,0.54563,0.57165,0.8178,0.57519,0.00505,0.00505,0.00505
37,5068.04,0.83109,0.99651,0.74986,0.79798,0.72583,0.8151,0.54446,0.57225,0.81838,0.57502,0.00490857,0.00490857,0.00490857
38,5204.75,0.83304,0.98822,0.75516,0.80074,0.72085,0.81425,0.54513,0.56994,0.81389,0.57391,0.00476714,0.00476714,0.00476714
39,5341.37,0.83614,0.98323,0.7567,0.79997,0.72785,0.81554,0.5457,0.56939,0.8111,0.57321,0.00462571,0.00462571,0.00462571
40,5478.9,0.83344,0.96571,0.75538,0.80111,0.73047,0.81689,0.54662,0.56934,0.80997,0.57342,0.00448429,0.00448429,0.00448429
41,5616.11,0.8342,0.9552,0.75736,0.80765,0.73033,0.81906,0.54761,0.56905,0.80585,0.57349,0.00434286,0.00434286,0.00434286
42,5752.11,0.8341,0.95227,0.75909,0.81213,0.72758,0.81988,0.54865,0.56885,0.80348,0.57318,0.00420143,0.00420143,0.00420143
43,5889.59,0.83387,0.93944,0.75967,0.80497,0.73241,0.82041,0.54938,0.56842,0.80237,0.57245,0.00406,0.00406,0.00406
44,6026.58,0.83265,0.9323,0.76236,0.80925,0.73037,0.82076,0.55031,0.56757,0.79924,0.57237,0.00391857,0.00391857,0.00391857
45,6163.88,0.83551,0.92935,0.76429,0.81157,0.73157,0.82099,0.55041,0.56771,0.7984,0.57212,0.00377714,0.00377714,0.00377714
46,6299.85,0.83535,0.91594,0.76757,0.81252,0.73191,0.82179,0.55111,0.56782,0.7976,0.57232,0.00363571,0.00363571,0.00363571
47,6435.98,0.83489,0.90529,0.76665,0.80966,0.73758,0.82192,0.55175,0.5671,0.79656,0.57138,0.00349429,0.00349429,0.00349429
48,6572.12,0.83375,0.89366,0.76911,0.81053,0.73743,0.82216,0.55159,0.56703,0.79525,0.57144,0.00335286,0.00335286,0.00335286
49,6708.06,0.83587,0.88556,0.77006,0.81257,0.7366,0.82211,0.55238,0.56676,0.79447,0.57118,0.00321143,0.00321143,0.00321143
50,6844.11,0.8359,0.87945,0.7735,0.81295,0.73663,0.82236,0.55247,0.56618,0.7941,0.57078,0.00307,0.00307,0.00307
51,6980.1,0.83304,0.86975,0.77284,0.81361,0.73512,0.82263,0.55243,0.56589,0.79266,0.57054,0.00292857,0.00292857,0.00292857
52,7116.08,0.83143,0.85807,0.77488,0.81789,0.731,0.82268,0.55234,0.56573,0.79202,0.5703,0.00278714,0.00278714,0.00278714
53,7253.49,0.83449,0.85381,0.77839,0.81786,0.73111,0.82282,0.55255,0.56582,0.79115,0.57042,0.00264571,0.00264571,0.00264571
54,7390.52,0.83186,0.84281,0.78055,0.81408,0.73382,0.82267,0.55255,0.56589,0.78999,0.5706,0.00250429,0.00250429,0.00250429
55,7526.4,0.83368,0.8317,0.7792,0.81518,0.73367,0.82305,0.55304,0.56574,0.78885,0.57047,0.00236286,0.00236286,0.00236286
56,7662.25,0.83278,0.82038,0.78099,0.81566,0.73247,0.82306,0.55339,0.56581,0.78842,0.57047,0.00222143,0.00222143,0.00222143
57,7798.03,0.83156,0.81481,0.78302,0.81663,0.7337,0.8233,0.55387,0.56567,0.78771,0.57046,0.00208,0.00208,0.00208
58,7934.99,0.83037,0.8071,0.7836,0.81579,0.73451,0.82329,0.55414,0.56608,0.78727,0.57072,0.00193857,0.00193857,0.00193857
59,8072.13,0.83289,0.80116,0.78574,0.81512,0.73213,0.82324,0.55455,0.56615,0.78694,0.57067,0.00179714,0.00179714,0.00179714
60,8209.33,0.83224,0.79427,0.7895,0.8183,0.72974,0.82363,0.55461,0.56636,0.78632,0.57073,0.00165571,0.00165571,0.00165571
61,8349.8,0.806,0.70571,0.78794,0.81457,0.73257,0.82376,0.55497,0.56621,0.78613,0.57063,0.00151429,0.00151429,0.00151429
62,8490.07,0.79467,0.68139,0.78434,0.82165,0.72797,0.82371,0.55542,0.56626,0.78538,0.57064,0.00137286,0.00137286,0.00137286
