epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,136.048,0.6632,1.90226,0.49942,0.63524,0.56852,0.6261,0.35799,0.51838,1.43612,0.42467,0.00332341,0.00332341,0.00332341
2,273.586,0.62454,1.56197,0.46219,0.64131,0.55047,0.6004,0.33127,0.54571,1.67478,0.43136,0.0065626,0.0065626,0.0065626
3,411.049,0.68591,1.75337,0.49746,0.44137,0.42165,0.39148,0.19286,0.67074,2.89393,0.50681,0.0097075,0.0097075,0.0097075
4,549.463,0.70629,1.80352,0.51612,0.59065,0.51674,0.54834,0.29751,0.564,2.17031,0.4559,0.00957571,0.00957571,0.00957571
5,685.675,0.68353,1.6681,0.51013,0.61909,0.55345,0.59553,0.32188,0.55868,1.40934,0.45149,0.00943429,0.00943429,0.00943429
6,822.981,0.66162,1.58059,0.50319,0.67496,0.58181,0.65452,0.37942,0.52201,1.2449,0.43207,0.00929286,0.00929286,0.00929286
7,960.533,0.65371,1.5166,0.5027,0.70744,0.60463,0.67154,0.39162,0.49529,1.28259,0.42265,0.00915143,0.00915143,0.00915143
8,1098.29,0.64682,1.46706,0.50418,0.67854,0.60844,0.67729,0.40883,0.47589,1.18743,0.41325,0.00901,0.00901,0.00901
9,1235.92,0.63812,1.43732,0.50205,0.72277,0.61087,0.69769,0.42119,0.47413,1.15605,0.41253,0.00886857,0.00886857,0.00886857
10,1373.12,0.6399,1.39315,0.50655,0.73454,0.62307,0.7149,0.4441,0.45574,1.08775,0.40213,0.00872714,0.00872714,0.00872714
11,1510.13,0.64076,1.36209,0.50915,0.74251,0.63846,0.72807,0.45399,0.44854,1.06108,0.39921,0.00858571,0.00858571,0.00858571
12,1646.35,0.63847,1.34032,0.51301,0.73495,0.64456,0.73449,0.46074,0.44419,1.04084,0.39696,0.00844429,0.00844429,0.00844429
13,1783.57,0.63658,1.30791,0.51369,0.74976,0.64007,0.73486,0.46168,0.44173,1.05312,0.39583,0.00830286,0.00830286,0.00830286
14,1920.53,0.63994,1.29326,0.51964,0.76037,0.65312,0.74699,0.47346,0.43113,1.02235,0.38968,0.00816143,0.00816143,0.00816143
15,2057.7,0.64093,1.27435,0.52295,0.75026,0.6616,0.74566,0.47112,0.43435,1.01413,0.39093,0.00802,0.00802,0.00802
16,2195.03,0.64269,1.25075,0.52496,0.76806,0.66457,0.75891,0.48175,0.42783,0.97926,0.38994,0.00787857,0.00787857,0.00787857
17,2332.56,0.63976,1.23353,0.52907,0.75472,0.67352,0.75832,0.48692,0.4212,0.98219,0.38609,0.00773714,0.00773714,0.00773714
18,2470.11,0.64725,1.21965,0.53604,0.77795,0.67059,0.76907,0.49703,0.4163,0.94969,0.38289,0.00759571,0.00759571,0.00759571
19,2606.49,0.6526,1.20551,0.53938,0.76425,0.68555,0.77074,0.50015,0.41526,0.94739,0.38298,0.00745429,0.00745429,0.00745429
20,2742.33,0.65232,1.19125,0.54394,0.77572,0.69513,0.78001,0.50687,0.414,0.93123,0.38311,0.00731286,0.00731286,0.00731286
21,2878.27,0.65575,1.1731,0.54675,0.79347,0.67649,0.78334,0.51132,0.41151,0.91396,0.38137,0.00717143,0.00717143,0.00717143
22,3014.16,0.65972,1.16336,0.55318,0.78758,0.68976,0.78514,0.51552,0.4065,0.90677,0.38004,0.00703,0.00703,0.00703
23,3149.99,0.66029,1.14731,0.5557,0.78741,0.68874,0.78578,0.51563,0.40467,0.90449,0.37808,0.00688857,0.00688857,0.00688857
24,3285.99,0.66539,1.13456,0.5606,0.7912,0.69271,0.79384,0.52272,0.40291,0.88531,0.3768,0.00674714,0.00674714,0.00674714
