epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,136.496,1.77451,1.81928,1.49719,0.61837,0.56719,0.60675,0.33162,1.44126,1.39806,1.266,0.00332341,0.00332341,0.00332341
2,274.588,1.68207,1.45106,1.38564,0.57983,0.52233,0.53487,0.29009,1.53067,1.60457,1.34322,0.0065626,0.0065626,0.0065626
3,414.238,1.82462,1.61783,1.47093,0.41595,0.36117,0.33727,0.16556,1.76608,4.85333,1.53066,0.0097075,0.0097075,0.0097075
4,551.895,1.87275,1.66415,1.51439,0.48502,0.40391,0.40083,0.20739,1.76731,2.99518,1.5041,0.00957571,0.00957571,0.00957571
5,689.903,1.7724,1.53162,1.45689,0.58617,0.54669,0.57737,0.32153,1.52421,1.2772,1.33682,0.00943429,0.00943429,0.00943429
6,826.69,1.70972,1.44451,1.4242,0.65655,0.5569,0.61867,0.35212,1.47579,1.17591,1.30536,0.00929286,0.00929286,0.00929286
7,964.748,1.67128,1.38643,1.40128,0.68106,0.58276,0.65367,0.38679,1.38242,1.13113,1.27224,0.00915143,0.00915143,0.00915143
8,1102.27,1.63117,1.34034,1.38042,0.67858,0.62164,0.67859,0.40304,1.36162,1.08358,1.267,0.00901,0.00901,0.00901
9,1238.44,1.60811,1.31123,1.36368,0.6902,0.60806,0.681,0.40918,1.32236,1.04629,1.2396,0.00886857,0.00886857,0.00886857
10,1376.26,1.57976,1.26865,1.34843,0.72451,0.61223,0.70568,0.43217,1.30614,0.97683,1.22374,0.00872714,0.00872714,0.00872714
11,1513.32,1.56434,1.23969,1.33866,0.74429,0.61771,0.71231,0.44155,1.28921,0.94022,1.21956,0.00858571,0.00858571,0.00858571
12,1650.34,1.53665,1.22242,1.32583,0.70607,0.64763,0.71651,0.44931,1.26066,0.92696,1.21033,0.00844429,0.00844429,0.00844429
13,1787.93,1.52235,1.19563,1.31283,0.76124,0.63669,0.73042,0.45359,1.26443,0.92992,1.20541,0.00830286,0.00830286,0.00830286
14,1925.57,1.51432,1.18215,1.30852,0.73879,0.63696,0.72834,0.45734,1.24292,0.93315,1.20154,0.00816143,0.00816143,0.00816143
15,2062.93,1.50056,1.16114,1.30168,0.73406,0.64722,0.73411,0.46383,1.22245,0.91562,1.18897,0.00802,0.00802,0.00802
16,2199.07,1.48531,1.14144,1.29033,0.74386,0.65381,0.74246,0.47174,1.22086,0.88426,1.18414,0.00787857,0.00787857,0.00787857
17,2335.77,1.47265,1.13159,1.28441,0.74785,0.66366,0.74814,0.47601,1.20704,0.87961,1.18113,0.00773714,0.00773714,0.00773714
18,2472.8,1.46573,1.11374,1.28396,0.76203,0.6638,0.7566,0.48521,1.20285,0.8503,1.17508,0.00759571,0.00759571,0.00759571
19,2609.03,1.4556,1.10267,1.27397,0.76703,0.671,0.76616,0.4909,1.19032,0.84523,1.16632,0.00745429,0.00745429,0.00745429
20,2746.53,1.44088,1.09234,1.27125,0.76146,0.67451,0.76283,0.49246,1.18496,0.84217,1.16724,0.00731286,0.00731286,0.00731286
21,2883.08,1.42748,1.07455,1.25725,0.76652,0.69131,0.77734,0.50366,1.17094,0.8157,1.16033,0.00717143,0.00717143,0.00717143
22,3019.23,1.42817,1.06828,1.25954,0.779,0.6785,0.77754,0.50284,1.16593,0.81292,1.15772,0.00703,0.00703,0.00703
23,3155.75,1.41486,1.05742,1.25269,0.78328,0.67994,0.77765,0.5059,1.15669,0.80821,1.15002,0.00688857,0.00688857,0.00688857
24,3293.79,1.40742,1.04,1.24486,0.78916,0.68035,0.78014,0.50765,1.1625,0.79888,1.15318,0.00674714,0.00674714,0.00674714
25,3430.88,1.40206,1.03217,1.23932,0.77506,0.70233,0.78655,0.51283,1.14713,0.79424,1.14636,0.00660571,0.00660571,0.00660571
26,3568.62,1.38885,1.02061,1.23668,0.82155,0.67344,0.78883,0.51506,1.13946,0.78388,1.14241,0.00646429,0.00646429,0.00646429
27,3705.34,1.38374,1.01065,1.23384,0.81188,0.68857,0.79479,0.51948,1.14219,0.77323,1.1405,0.00632286,0.00632286,0.00632286
28,3842.42,1.37748,1.0047,1.22933,0.80889,0.68078,0.79146,0.51932,1.13421,0.77625,1.14076,0.00618143,0.00618143,0.00618143
29,3980.18,1.36928,0.9982,1.22669,0.80748,0.68514,0.79065,0.52134,1.12933,0.7708,1.13596,0.00604,0.00604,0.00604
30,4116.82,1.36234,0.98628,1.22241,0.78898,0.70216,0.79401,0.52331,1.1291,0.76501,1.13875,0.00589857,0.00589857,0.00589857
