epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,211.21,1.60677,1.95269,1.41264,0.59077,0.55288,0.59058,0.34811,1.21988,1.41688,1.17074,0.00332341,0.00332341,0.00332341
2,423.188,1.52746,1.59438,1.31109,0.57577,0.50353,0.53624,0.27253,1.5407,1.65398,1.34341,0.0065626,0.0065626,0.0065626
3,638.771,1.64698,1.79134,1.39965,0.35034,0.33649,0.29422,0.12047,2.02473,4.83703,1.62473,0.0097075,0.0097075,0.0097075
4,849.903,1.6796,1.84734,1.4429,0.55872,0.46513,0.4897,0.26295,1.47408,2.29723,1.35369,0.00957571,0.00957571,0.00957571
5,1059.13,1.59687,1.7083,1.39454,0.5734,0.52152,0.54241,0.2995,1.38121,1.60305,1.28258,0.00943429,0.00943429,0.00943429
6,1269.44,1.54203,1.61467,1.3653,0.62533,0.56341,0.61294,0.34681,1.38899,1.34291,1.27593,0.00929286,0.00929286,0.00929286
7,1478.27,1.50742,1.5461,1.34299,0.65528,0.58737,0.6428,0.38428,1.27666,1.2857,1.2385,0.00915143,0.00915143,0.00915143
8,1688.38,1.47401,1.49244,1.3256,0.67677,0.59213,0.66192,0.3997,1.22966,1.22625,1.22071,0.00901,0.00901,0.00901
9,1897.7,1.45435,1.45932,1.30931,0.67512,0.59289,0.66691,0.40582,1.21465,1.17255,1.2068,0.00886857,0.00886857,0.00886857
10,2106.48,1.43286,1.4199,1.30112,0.7086,0.60803,0.69576,0.42777,1.21269,1.12535,1.19098,0.00872714,0.00872714,0.00872714
11,2315.34,1.41692,1.38763,1.29227,0.72243,0.62035,0.70439,0.44064,1.18384,1.09924,1.18603,0.00858571,0.00858571,0.00858571
12,2524.04,1.39441,1.36479,1.27977,0.70147,0.61172,0.6975,0.44696,1.15285,1.09555,1.17144,0.00844429,0.00844429,0.00844429
13,2734.11,1.38495,1.33725,1.26819,0.74393,0.63656,0.72889,0.46327,1.13814,1.05027,1.16502,0.00830286,0.00830286,0.00830286
14,2943.07,1.37401,1.32305,1.2613,0.73721,0.62702,0.71697,0.45127,1.15315,1.07389,1.17111,0.00816143,0.00816143,0.00816143
15,3145.85,1.36344,1.30171,1.25694,0.72533,0.65148,0.72669,0.46462,1.12876,1.04101,1.15645,0.00802,0.00802,0.00802
16,3354.2,1.35187,1.27841,1.24911,0.73852,0.64381,0.73761,0.47474,1.10929,1.0089,1.15474,0.00787857,0.00787857,0.00787857
17,3552.14,1.34092,1.25892,1.24283,0.76258,0.64379,0.74557,0.48265,1.10507,0.98464,1.14191,0.00773714,0.00773714,0.00773714
18,3755.66,1.33328,1.24398,1.24104,0.76602,0.65875,0.75744,0.49298,1.10597,0.96237,1.14636,0.00759571,0.00759571,0.00759571
19,3963.55,1.32708,1.23246,1.23462,0.77554,0.66101,0.76074,0.49399,1.09626,0.96248,1.14178,0.00745429,0.00745429,0.00745429
20,4171.13,1.31623,1.21823,1.23327,0.76341,0.66838,0.76172,0.49923,1.08907,0.9451,1.13747,0.00731286,0.00731286,0.00731286
21,4379.24,1.30636,1.19884,1.2214,0.77643,0.66757,0.76707,0.5063,1.08207,0.92802,1.13353,0.00717143,0.00717143,0.00717143
