epoch,time,train/box_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2
1,48.32,1.43156,3.27557,0.0045,0.6061,0.5359,0.57473,0.34528,1.2961,1.5982,0.00624,0.000471963,0.000471963,0.000471963
2,94.3707,1.45294,1.57909,0.00485,0.58089,0.51919,0.54327,0.31977,1.36585,1.58361,0.0071,0.000934885,0.000934885,0.000934885
3,141.023,1.477,1.54655,0.00508,0.57656,0.5015,0.52968,0.3028,1.424,1.59467,0.0078,0.00138433,0.00138433,0.00138433
4,186.869,1.48218,1.50914,0.00515,0.61125,0.53501,0.57499,0.33808,1.42824,1.52223,0.00782,0.00136837,0.00136837,0.00136837
5,233.126,1.45636,1.44346,0.00496,0.66156,0.55985,0.62566,0.38103,1.30052,1.45293,0.00687,0.00134816,0.00134816,0.00134816
6,279.629,1.43237,1.38053,0.00485,0.67179,0.5905,0.65501,0.40591,1.29989,1.26522,0.00668,0.00132795,0.00132795,0.00132795
7,325.878,1.41852,1.35576,0.00477,0.64546,0.58553,0.63395,0.38289,1.34327,1.30618,0.00687,0.00130774,0.00130774,0.00130774
8,372.014,1.40884,1.32194,0.0048,0.69193,0.60052,0.67166,0.42041,1.25542,1.24945,0.00646,0.00128753,0.00128753,0.00128753
9,418.233,1.39252,1.28912,0.00466,0.72206,0.59377,0.68483,0.43414,1.2248,1.19744,0.00632,0.00126732,0.00126732,0.00126732
10,464.328,1.38288,1.28481,0.00467,0.69186,0.60523,0.68113,0.42662,1.24571,1.22308,0.00635,0.00124711,0.00124711,0.00124711
11,510.438,1.36357,1.23463,0.00452,0.6842,0.61878,0.69383,0.42578,1.3022,1.18057,0.00687,0.0012269,0.0012269,0.0012269
12,556.382,1.35737,1.23074,0.00455,0.72105,0.62761,0.7123,0.45429,1.20802,1.17975,0.0062,0.00120669,0.00120669,0.00120669
13,602.59,1.34724,1.21048,0.00445,0.7018,0.646,0.72162,0.46777,1.19039,1.09808,0.00601,0.00118648,0.00118648,0.00118648
14,649.014,1.3369,1.18891,0.00446,0.69563,0.62469,0.69358,0.43178,1.2584,1.21581,0.00639,0.00116627,0.00116627,0.00116627
15,694.889,1.33184,1.18232,0.00445,0.7158,0.63981,0.7206,0.46665,1.16973,1.13896,0.00582,0.00114606,0.00114606,0.00114606
16,741.428,1.33905,1.16439,0.00438,0.72167,0.64727,0.73168,0.47622,1.183,1.08217,0.00598,0.00112585,0.00112585,0.00112585
17,788.039,1.31809,1.14218,0.00436,0.7286,0.64221,0.73092,0.47005,1.19707,1.08773,0.00594,0.00110564,0.00110564,0.00110564
18,833.992,1.30888,1.1364,0.00437,0.7212,0.64901,0.72524,0.47041,1.18582,1.0978,0.00612,0.00108543,0.00108543,0.00108543
19,880.048,1.30656,1.12781,0.00429,0.73799,0.66716,0.74541,0.47934,1.18422,1.05271,0.00583,0.00106522,0.00106522,0.00106522
20,926.435,1.30834,1.11662,0.00422,0.73013,0.6617,0.74445,0.48636,1.17086,1.05891,0.00603,0.00104501,0.00104501,0.00104501
21,972.399,1.2944,1.09708,0.00423,0.74095,0.66961,0.75039,0.49182,1.16764,1.03575,0.00586,0.0010248,0.0010248,0.0010248
22,1019.28,1.28846,1.08429,0.00419,0.74456,0.6627,0.75016,0.49162,1.16588,1.03489,0.00575,0.00100459,0.00100459,0.00100459
23,1065.69,1.28144,1.07383,0.00415,0.74388,0.66373,0.74941,0.49256,1.15199,1.05005,0.00572,0.000984377,0.000984377,0.000984377
24,1112.18,1.28044,1.06144,0.00413,0.74658,0.65557,0.73909,0.48858,1.14236,1.06468,0.00567,0.000964167,0.000964167,0.000964167
25,1158.89,1.26894,1.0476,0.0041,0.75419,0.67171,0.75705,0.50436,1.13443,0.9892,0.00557,0.000943957,0.000943957,0.000943957
26,1207.03,1.25883,1.03571,0.00408,0.74762,0.66538,0.75328,0.49786,1.13918,1.03853,0.00572,0.000923746,0.000923746,0.000923746
27,1253.59,1.26189,1.04406,0.00406,0.75501,0.68237,0.762,0.5075,1.12422,0.99587,0.00545,0.000903536,0.000903536,0.000903536
28,1300.3,1.25479,1.01395,0.00401,0.75852,0.67977,0.76779,0.51179,1.11861,0.98903,0.00543,0.000883326,0.000883326,0.000883326
29,1347.63,1.24842,1.01127,0.004,0.76114,0.67484,0.76103,0.50493,1.11628,1.0119,0.00542,0.000863116,0.000863116,0.000863116
30,1393.41,1.23838,0.99169,0.00395,0.76697,0.67938,0.77045,0.51647,1.11501,0.97257,0.00542,0.000842906,0.000842906,0.000842906
31,1439.57,1.2415,0.97864,0.00391,0.76541,0.68475,0.77418,0.52146,1.10664,0.96561,0.00539,0.000822696,0.000822696,0.000822696
32,1485.73,1.22944,0.97804,0.00391,0.74934,0.69629,0.77095,0.5114,1.11965,0.9855,0.00541,0.000802486,0.000802486,0.000802486
33,1532.95,1.23569,0.97371,0.00391,0.77562,0.66929,0.75979,0.50764,1.12098,0.99471,0.00542,0.000782275,0.000782275,0.000782275
34,1578.9,1.22392,0.96331,0.00384,0.77368,0.6702,0.76499,0.51164,1.11086,0.98653,0.00535,0.000762065,0.000762065,0.000762065
35,1625.03,1.21413,0.94649,0.00381,0.77714,0.69008,0.78025,0.52176,1.11147,0.96061,0.00536,0.000741855,0.000741855,0.000741855
36,1671.01,1.21919,0.93911,0.00381,0.76168,0.70805,0.78426,0.52415,1.10375,0.95899,0.00534,0.000721645,0.000721645,0.000721645
37,1717.25,1.21109,0.93716,0.00383,0.78799,0.68226,0.78414,0.52448,1.11136,0.95554,0.00548,0.000701435,0.000701435,0.000701435
38,1764.13,1.19778,0.92129,0.00379,0.76582,0.70388,0.78808,0.53129,1.09125,0.94636,0.00524,0.000681225,0.000681225,0.000681225
39,1810.21,1.19897,0.91073,0.00379,0.78252,0.6997,0.78812,0.53373,1.09312,0.93576,0.00533,0.000661015,0.000661015,0.000661015
40,1856.71,1.18616,0.89565,0.0037,0.79472,0.70079,0.79477,0.5362,1.09815,0.91631,0.00529,0.000640804,0.000640804,0.000640804
41,1903.07,1.18241,0.88681,0.00368,0.77875,0.70478,0.79293,0.53887,1.08329,0.93574,0.00516,0.000620594,0.000620594,0.000620594
42,1949.72,1.17855,0.87898,0.00368,0.78886,0.70275,0.78922,0.53434,1.08459,0.93471,0.00521,0.000600384,0.000600384,0.000600384
43,1996.1,1.17583,0.87282,0.00362,0.796,0.70632,0.79698,0.54164,1.08575,0.91214,0.00517,0.000580174,0.000580174,0.000580174
44,2042.44,1.16134,0.86239,0.00362,0.78747,0.70985,0.79638,0.54064,1.08867,0.91799,0.00532,0.000559964,0.000559964,0.000559964
45,2088.38,1.16408,0.85538,0.00356,0.79117,0.70803,0.79873,0.54071,1.08087,0.91484,0.00515,0.000539754,0.000539754,0.000539754
46,2135.32,1.16004,0.84892,0.00355,0.79031,0.70587,0.79107,0.53593,1.07815,0.93212,0.00519,0.000519544,0.000519544,0.000519544
47,2182.8,1.15226,0.83025,0.00355,0.78696,0.71127,0.79719,0.54385,1.07415,0.90874,0.00521,0.000499333,0.000499333,0.000499333
48,2228.08,1.15307,0.82883,0.00352,0.79148,0.71374,0.79768,0.54231,1.07346,0.91619,0.00513,0.000479123,0.000479123,0.000479123
49,2273.7,1.13949,0.81838,0.00348,0.7933,0.71196,0.79671,0.54179,1.07897,0.90906,0.00519,0.000458913,0.000458913,0.000458913
50,2319.83,1.14047,0.81115,0.00348,0.79959,0.70802,0.79296,0.53787,1.08356,0.92359,0.00518,0.000438703,0.000438703,0.000438703
51,2365.3,1.13145,0.79977,0.00345,0.80192,0.71602,0.80085,0.54531,1.07204,0.90619,0.00512,0.000418493,0.000418493,0.000418493
52,2411.49,1.12269,0.78855,0.00343,0.78621,0.72204,0.79898,0.54393,1.07207,0.9126,0.00505,0.000398283,0.000398283,0.000398283
53,2456.74,1.12448,0.78661,0.00337,0.80131,0.71438,0.79766,0.54388,1.06963,0.91659,0.00511,0.000378073,0.000378073,0.000378073
54,2501.78,1.11796,0.78004,0.00337,0.80604,0.71117,0.79839,0.54554,1.07572,0.91262,0.00504,0.000357862,0.000357862,0.000357862
55,2547.4,1.12198,0.77349,0.00337,0.81256,0.71038,0.80228,0.54668,1.07032,0.91289,0.00513,0.000337652,0.000337652,0.000337652
56,2592.95,1.10832,0.76677,0.00332,0.79595,0.72026,0.79932,0.54369,1.07662,0.91703,0.00515,0.000317442,0.000317442,0.000317442
57,2638.24,1.10108,0.7547,0.0033,0.79182,0.72712,0.80164,0.54703,1.07034,0.91728,0.00507,0.000297232,0.000297232,0.000297232
58,2684.03,1.10031,0.75506,0.00326,0.80887,0.72028,0.8039,0.55039,1.06393,0.9048,0.00508,0.000277022,0.000277022,0.000277022
59,2729.73,1.09675,0.74841,0.00331,0.81265,0.71322,0.80075,0.54893,1.06834,0.91783,0.00505,0.000256812,0.000256812,0.000256812
60,2775.26,1.09117,0.7328,0.00325,0.79952,0.72185,0.80215,0.54864,1.07066,0.9147,0.00507,0.000236602,0.000236602,0.000236602
61,2821.43,1.043,0.6588,0.00355,0.79594,0.72109,0.79779,0.5421,1.08477,0.93321,0.00513,0.000216391,0.000216391,0.000216391
62,2865.49,1.02066,0.63166,0.00347,0.80839,0.71356,0.79872,0.54143,1.08442,0.9329,0.00512,0.000196181,0.000196181,0.000196181
