epoch,time,train/box_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2
1,45.6784,1.49257,2.9205,0.00482,0.62378,0.53778,0.58329,0.35404,1.3571,1.61127,0.01027,0.00047208,0.00047208,0.00047208
2,90.6488,1.50031,1.43994,0.00502,0.61281,0.53567,0.58391,0.34538,1.42179,1.46217,0.01068,0.000935,0.000935,0.000935
3,135.739,1.52812,1.38841,0.00533,0.60713,0.50819,0.55945,0.32517,1.54708,1.50316,0.01503,0.00138445,0.00138445,0.00138445
4,180.802,1.55314,1.36171,0.00547,0.61797,0.57249,0.61361,0.36271,1.45246,1.49231,0.01194,0.00136837,0.00136837,0.00136837
5,226.241,1.52807,1.32934,0.00526,0.66212,0.57747,0.63673,0.38722,1.38548,1.31922,0.01102,0.00134816,0.00134816,0.00134816
6,271.614,1.49796,1.26277,0.0051,0.66349,0.59582,0.65354,0.39994,1.38752,1.20965,0.01111,0.00132795,0.00132795,0.00132795
7,316.852,1.47924,1.24766,0.00504,0.69737,0.59734,0.67181,0.41948,1.31022,1.18776,0.00956,0.00130774,0.00130774,0.00130774
8,361.962,1.46241,1.20195,0.00492,0.71127,0.61751,0.70236,0.43852,1.31437,1.08869,0.00978,0.00128753,0.00128753,0.00128753
9,407.275,1.44588,1.18055,0.00486,0.68707,0.60716,0.68017,0.4199,1.36999,1.16009,0.01088,0.00126732,0.00126732,0.00126732
10,452.56,1.44324,1.16237,0.00479,0.70355,0.63371,0.70722,0.44085,1.3228,1.09085,0.00969,0.00124711,0.00124711,0.00124711
11,497.87,1.41214,1.13265,0.00466,0.69003,0.62155,0.70211,0.43783,1.32329,1.11372,0.01032,0.0012269,0.0012269,0.0012269
12,542.833,1.42317,1.12824,0.00464,0.7269,0.62888,0.70483,0.43965,1.29642,1.0805,0.00915,0.00120669,0.00120669,0.00120669
