epoch,time,train/box_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,76.1676,2.44363,4.66019,0.00712,0.42982,0.45458,0.41507,0.20074,1.80928,3.61323,0.01031,0.00994764,0.00331588,0.00994764,0.00331588,0.00994764,0.00331588,0.00994764,0.00331588
2,151.503,1.88748,2.40096,0.00489,0.45137,0.48069,0.42853,0.20693,1.69892,2.60178,0.01022,0.0196655,0.00655518,0.0196655,0.00655518,0.0196655,0.00655518,0.0196655,0.00655518
3,227.417,1.82395,1.74201,0.00478,0.4922,0.50559,0.49142,0.23518,1.79055,3.12993,0.01164,0.0291006,0.00970018,0.0291006,0.00970018,0.0291006,0.00970018,0.0291006,0.00970018
4,302.544,1.80122,1.57491,0.00467,0.55602,0.50243,0.51193,0.26454,1.73565,1.79811,0.01007,0.0287271,0.00957571,0.0287271,0.00957571,0.0287271,0.00957571,0.0287271,0.00957571
5,378.918,1.73831,1.47305,0.00444,0.59093,0.53941,0.57382,0.32179,1.60798,1.47777,0.0089,0.0283029,0.00943429,0.0283029,0.00943429,0.0283029,0.00943429,0.0283029,0.00943429
6,454.472,1.6821,1.38577,0.00424,0.64548,0.55035,0.6091,0.33589,1.59223,1.36746,0.00894,0.0278786,0.00929286,0.0278786,0.00929286,0.0278786,0.00929286,0.0278786,0.00929286
7,529.507,1.646,1.33876,0.0041,0.69367,0.58973,0.66536,0.39316,1.47691,1.19877,0.00824,0.0274543,0.00915143,0.0274543,0.00915143,0.0274543,0.00915143,0.0274543,0.00915143
8,604.896,1.61286,1.28158,0.00401,0.676,0.61295,0.67131,0.4095,1.39749,1.17182,0.00746,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901
9,680.182,1.59698,1.2443,0.0039,0.70262,0.61935,0.68957,0.42045,1.42728,1.13327,0.00801,0.0266057,0.00886857,0.0266057,0.00886857,0.0266057,0.00886857,0.0266057,0.00886857
10,755.393,1.57601,1.21793,0.00385,0.70223,0.63405,0.69937,0.43044,1.3575,1.09892,0.00684,0.0261814,0.00872714,0.0261814,0.00872714,0.0261814,0.00872714,0.0261814,0.00872714
11,831.01,1.54272,1.19489,0.00376,0.71612,0.62285,0.70086,0.43719,1.36519,1.10908,0.00736,0.0257571,0.00858571,0.0257571,0.00858571,0.0257571,0.00858571,0.0257571,0.00858571
12,907.231,1.54487,1.17183,0.00373,0.70176,0.63272,0.70099,0.43323,1.34714,1.12365,0.00712,0.0253329,0.00844429,0.0253329,0.00844429,0.0253329,0.00844429,0.0253329,0.00844429
13,982.851,1.52156,1.13683,0.00367,0.72755,0.64289,0.72149,0.44967,1.30531,1.10029,0.00649,0.0249086,0.00830286,0.0249086,0.00830286,0.0249086,0.00830286,0.0249086,0.00830286
14,1058.93,1.50851,1.12726,0.00363,0.72497,0.65125,0.7297,0.46055,1.32851,1.02537,0.00715,0.0244843,0.00816143,0.0244843,0.00816143,0.0244843,0.00816143,0.0244843,0.00816143
15,1134.39,1.49434,1.1044,0.00359,0.72765,0.66506,0.74477,0.479,1.27433,1.00272,0.00643,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802
16,1210.3,1.49289,1.08575,0.00355,0.7399,0.65584,0.73593,0.46433,1.31621,1.0036,0.00699,0.0236357,0.00787857,0.0236357,0.00787857,0.0236357,0.00787857,0.0236357,0.00787857
17,1285.58,1.47817,1.06899,0.00352,0.75386,0.65692,0.74727,0.47096,1.30916,0.97633,0.0067,0.0232114,0.00773714,0.0232114,0.00773714,0.0232114,0.00773714,0.0232114,0.00773714
18,1361.19,1.46979,1.06953,0.00354,0.75625,0.65733,0.75256,0.48539,1.27907,0.96652,0.00639,0.0227871,0.00759571,0.0227871,0.00759571,0.0227871,0.00759571,0.0227871,0.00759571
19,1436.47,1.46226,1.03652,0.00345,0.77218,0.68018,0.7713,0.50026,1.25722,0.93834,0.00647,0.0223629,0.00745429,0.0223629,0.00745429,0.0223629,0.00745429,0.0223629,0.00745429
20,1511.83,1.44597,1.02026,0.00342,0.78051,0.68314,0.76955,0.49508,1.28514,0.9418,0.00647,0.0219386,0.00731286,0.0219386,0.00731286,0.0219386,0.00731286,0.0219386,0.00731286
21,1586.7,1.44122,1.00149,0.00342,0.75627,0.67451,0.76273,0.49579,1.24453,0.93906,0.00611,0.0215143,0.00717143,0.0215143,0.00717143,0.0215143,0.00717143,0.0215143,0.00717143
22,1662.11,1.43597,0.99447,0.00337,0.77072,0.6966,0.78016,0.50623,1.24398,0.93836,0.00611,0.02109,0.00703,0.02109,0.00703,0.02109,0.00703,0.02109,0.00703
23,1737.27,1.41643,0.9688,0.00332,0.78144,0.69351,0.78043,0.50324,1.24809,0.8917,0.00612,0.0206657,0.00688857,0.0206657,0.00688857,0.0206657,0.00688857,0.0206657,0.00688857
24,1812.49,1.41383,0.95533,0.00329,0.78532,0.69276,0.78242,0.51353,1.22242,0.89058,0.006,0.0202414,0.00674714,0.0202414,0.00674714,0.0202414,0.00674714,0.0202414,0.00674714
25,1887.58,1.40918,0.94499,0.00327,0.78722,0.69343,0.78295,0.51141,1.2388,0.87045,0.00621,0.0198171,0.00660571,0.0198171,0.00660571,0.0198171,0.00660571,0.0198171,0.00660571
26,1962.34,1.39047,0.93396,0.00327,0.77111,0.70744,0.78489,0.51176,1.22734,0.90133,0.00603,0.0193929,0.00646429,0.0193929,0.00646429,0.0193929,0.00646429,0.0193929,0.00646429
27,2037.78,1.38499,0.91487,0.00323,0.79817,0.69619,0.79039,0.52052,1.22169,0.87241,0.00597,0.0189686,0.00632286,0.0189686,0.00632286,0.0189686,0.00632286,0.0189686,0.00632286
28,2113.25,1.37957,0.90582,0.0032,0.78541,0.6899,0.78316,0.51187,1.21958,0.88525,0.00581,0.0185443,0.00618143,0.0185443,0.00618143,0.0185443,0.00618143,0.0185443,0.00618143
29,2188.83,1.37666,0.88806,0.00319,0.80166,0.70757,0.79748,0.5256,1.23108,0.85445,0.00599,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604
30,2264.27,1.36459,0.8642,0.00314,0.78865,0.70669,0.79461,0.52771,1.1966,0.85224,0.00578,0.0176957,0.00589857,0.0176957,0.00589857,0.0176957,0.00589857,0.0176957,0.00589857
31,2339.75,1.37048,0.86634,0.00312,0.79318,0.71127,0.79808,0.53286,1.18665,0.85424,0.00569,0.0172714,0.00575714,0.0172714,0.00575714,0.0172714,0.00575714,0.0172714,0.00575714
32,2415.59,1.35607,0.85831,0.0031,0.79713,0.71376,0.8016,0.53434,1.18254,0.85963,0.0057,0.0168471,0.00561571,0.0168471,0.00561571,0.0168471,0.00561571,0.0168471,0.00561571
33,2491.63,1.34605,0.8409,0.00312,0.80161,0.71875,0.8049,0.53456,1.18254,0.83927,0.0057,0.0164229,0.00547429,0.0164229,0.00547429,0.0164229,0.00547429,0.0164229,0.00547429
34,2566.73,1.3413,0.82822,0.00306,0.7935,0.71656,0.80083,0.52982,1.19538,0.85993,0.00572,0.0159986,0.00533286,0.0159986,0.00533286,0.0159986,0.00533286,0.0159986,0.00533286
35,2641.94,1.33019,0.81853,0.00303,0.80092,0.72599,0.80744,0.53863,1.18184,0.85525,0.00562,0.0155743,0.00519143,0.0155743,0.00519143,0.0155743,0.00519143,0.0155743,0.00519143
36,2717.29,1.32657,0.8111,0.00304,0.79921,0.72764,0.80692,0.5393,1.17918,0.84771,0.00547,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505
37,2792.96,1.31806,0.7915,0.00303,0.7939,0.72178,0.80268,0.53439,1.19969,0.85378,0.00579,0.0147257,0.00490857,0.0147257,0.00490857,0.0147257,0.00490857,0.0147257,0.00490857
38,2868.93,1.31181,0.78635,0.00301,0.81574,0.71862,0.80907,0.54025,1.18402,0.84478,0.00572,0.0143014,0.00476714,0.0143014,0.00476714,0.0143014,0.00476714,0.0143014,0.00476714
39,2944.2,1.30701,0.77695,0.00298,0.80298,0.72161,0.80523,0.53884,1.1802,0.86212,0.00571,0.0138771,0.00462571,0.0138771,0.00462571,0.0138771,0.00462571,0.0138771,0.00462571
40,3019.42,1.29509,0.76149,0.00294,0.80816,0.72453,0.80925,0.54314,1.18255,0.86168,0.00571,0.0134529,0.00448429,0.0134529,0.00448429,0.0134529,0.00448429,0.0134529,0.00448429
41,3094.44,1.2903,0.75474,0.00292,0.81848,0.72008,0.81073,0.54248,1.18015,0.84618,0.00561,0.0130286,0.00434286,0.0130286,0.00434286,0.0130286,0.00434286,0.0130286,0.00434286
42,3169.74,1.28419,0.74354,0.00291,0.8018,0.73442,0.81188,0.54475,1.18084,0.85237,0.00567,0.0126043,0.00420143,0.0126043,0.00420143,0.0126043,0.00420143,0.0126043,0.00420143
43,3245.63,1.27829,0.73773,0.00289,0.8213,0.72349,0.81425,0.54657,1.16876,0.82546,0.00555,0.01218,0.00406,0.01218,0.00406,0.01218,0.00406,0.01218,0.00406
44,3320.75,1.27056,0.72299,0.00286,0.80478,0.73098,0.81165,0.54362,1.17098,0.839,0.00557,0.0117557,0.00391857,0.0117557,0.00391857,0.0117557,0.00391857,0.0117557,0.00391857
45,3395.98,1.2718,0.71696,0.00285,0.81471,0.73229,0.81337,0.54737,1.16662,0.83788,0.0055,0.0113314,0.00377714,0.0113314,0.00377714,0.0113314,0.00377714,0.0113314,0.00377714
46,3471.86,1.25942,0.71106,0.00281,0.81056,0.73106,0.81032,0.54464,1.16532,0.85241,0.00546,0.0109071,0.00363571,0.0109071,0.00363571,0.0109071,0.00363571,0.0109071,0.00363571
47,3547.48,1.24589,0.6875,0.00281,0.81765,0.73255,0.81364,0.54797,1.16708,0.84418,0.00545,0.0104829,0.00349429,0.0104829,0.00349429,0.0104829,0.00349429,0.0104829,0.00349429
48,3623.35,1.24231,0.68435,0.00277,0.81776,0.72985,0.81183,0.54698,1.17053,0.84438,0.00549,0.0100586,0.00335286,0.0100586,0.00335286,0.0100586,0.00335286,0.0100586,0.00335286
49,3698.74,1.2326,0.67424,0.00273,0.81369,0.73401,0.81113,0.54715,1.16464,0.84713,0.0055,0.00963429,0.00321143,0.00963429,0.00321143,0.00963429,0.00321143,0.00963429,0.00321143
50,3774.86,1.2287,0.67017,0.00271,0.81001,0.73798,0.81139,0.54673,1.163,0.83644,0.00543,0.00921,0.00307,0.00921,0.00307,0.00921,0.00307,0.00921,0.00307
