epoch,time,train/box_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,77.5693,2.29968,4.68294,0.00912,0.40045,0.42022,0.3643,0.1627,1.63268,3.61485,0.01166,0.00994764,0.00331588,0.00994764,0.00331588,0.00994764,0.00331588,0.00994764,0.00331588
2,154.908,1.7039,2.47248,0.00604,0.51426,0.49969,0.4971,0.24401,1.64968,2.46877,0.01156,0.0196655,0.00655518,0.0196655,0.00655518,0.0196655,0.00655518,0.0196655,0.00655518
3,232.281,1.63603,1.84312,0.00589,0.47681,0.47913,0.44792,0.21403,1.74703,2.60222,0.01298,0.0291006,0.00970018,0.0291006,0.00970018,0.0291006,0.00970018,0.0291006,0.00970018
4,309.677,1.593,1.70177,0.00568,0.56257,0.53021,0.54954,0.31311,1.4154,2.01349,0.00909,0.0287271,0.00957571,0.0287271,0.00957571,0.0287271,0.00957571,0.0287271,0.00957571
5,387.515,1.53748,1.58484,0.0054,0.60741,0.54688,0.5827,0.33686,1.41058,1.64271,0.0091,0.0283029,0.00943429,0.0283029,0.00943429,0.0283029,0.00943429,0.0283029,0.00943429
6,465.355,1.488,1.49931,0.00518,0.63425,0.55977,0.60852,0.35754,1.38494,1.52013,0.00905,0.0278786,0.00929286,0.0278786,0.00929286,0.0278786,0.00929286,0.0278786,0.00929286
7,543.191,1.45634,1.44319,0.00497,0.66405,0.5845,0.64618,0.38564,1.33996,1.32815,0.00844,0.0274543,0.00915143,0.0274543,0.00915143,0.0274543,0.00915143,0.0274543,0.00915143
8,620.35,1.42513,1.38597,0.00486,0.65621,0.61498,0.66278,0.40646,1.2728,1.22361,0.00767,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901
9,697.434,1.40628,1.34822,0.00475,0.68158,0.6086,0.67246,0.41439,1.28852,1.23295,0.00824,0.0266057,0.00886857,0.0266057,0.00886857,0.0266057,0.00886857,0.0266057,0.00886857
10,774.605,1.38892,1.31089,0.00466,0.70582,0.63286,0.69989,0.43509,1.2626,1.1734,0.00778,0.0261814,0.00872714,0.0261814,0.00872714,0.0261814,0.00872714,0.0261814,0.00872714
11,852.092,1.36258,1.26525,0.00457,0.70131,0.62694,0.70121,0.44007,1.26674,1.13303,0.00785,0.0257571,0.00858571,0.0257571,0.00858571,0.0257571,0.00858571,0.0257571,0.00858571
12,929.74,1.35761,1.24739,0.00451,0.72522,0.63738,0.71505,0.45334,1.21266,1.1058,0.00745,0.0253329,0.00844429,0.0253329,0.00844429,0.0253329,0.00844429,0.0253329,0.00844429
13,1007.58,1.34102,1.21151,0.00445,0.71323,0.65786,0.72055,0.45602,1.20368,1.11942,0.00746,0.0249086,0.00830286,0.0249086,0.00830286,0.0249086,0.00830286,0.0249086,0.00830286
14,1085.92,1.32983,1.19874,0.00439,0.70251,0.62513,0.69967,0.44451,1.22793,1.16738,0.00749,0.0244843,0.00816143,0.0244843,0.00816143,0.0244843,0.00816143,0.0244843,0.00816143
15,1163.46,1.3126,1.16972,0.00435,0.74943,0.65213,0.7405,0.48169,1.18612,1.05088,0.00726,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802
16,1241.01,1.31332,1.16202,0.0043,0.71637,0.66396,0.73434,0.47116,1.20029,1.07391,0.00718,0.0236357,0.00787857,0.0236357,0.00787857,0.0236357,0.00787857,0.0236357,0.00787857
17,1319.26,1.29784,1.12906,0.00426,0.7628,0.66408,0.75511,0.48803,1.17258,1.02825,0.00696,0.0232114,0.00773714,0.0232114,0.00773714,0.0232114,0.00773714,0.0232114,0.00773714
18,1396.55,1.28497,1.12595,0.00423,0.7403,0.66099,0.74075,0.48262,1.14954,1.0876,0.00683,0.0227871,0.00759571,0.0227871,0.00759571,0.0227871,0.00759571,0.0227871,0.00759571
19,1474.25,1.28043,1.09648,0.00417,0.75914,0.68104,0.76378,0.50258,1.1296,1.00418,0.00648,0.0223629,0.00745429,0.0223629,0.00745429,0.0223629,0.00745429,0.0223629,0.00745429
20,1551.78,1.26673,1.08405,0.00409,0.75733,0.6748,0.76465,0.50367,1.12525,0.98979,0.00636,0.0219386,0.00731286,0.0219386,0.00731286,0.0219386,0.00731286,0.0219386,0.00731286
21,1629.82,1.26391,1.05927,0.00412,0.77205,0.67554,0.77218,0.51359,1.11347,0.97089,0.00636,0.0215143,0.00717143,0.0215143,0.00717143,0.0215143,0.00717143,0.0215143,0.00717143
22,1707.25,1.25513,1.04834,0.00403,0.74818,0.69408,0.76929,0.51241,1.10681,0.96363,0.00622,0.02109,0.00703,0.02109,0.00703,0.02109,0.00703,0.02109,0.00703
23,1784.03,1.23899,1.01503,0.00398,0.7577,0.6907,0.76839,0.50825,1.10004,0.97296,0.00619,0.0206657,0.00688857,0.0206657,0.00688857,0.0206657,0.00688857,0.0206657,0.00688857
24,1861.12,1.24281,1.00608,0.00398,0.78293,0.68946,0.77557,0.51972,1.11779,0.94486,0.00645,0.0202414,0.00674714,0.0202414,0.00674714,0.0202414,0.00674714,0.0202414,0.00674714
25,1938.48,1.23168,0.99078,0.00392,0.78576,0.70184,0.78839,0.52822,1.11472,0.91171,0.00636,0.0198171,0.00660571,0.0198171,0.00660571,0.0198171,0.00660571,0.0198171,0.00660571
26,2015.63,1.22065,0.974,0.00391,0.76935,0.69304,0.7758,0.51773,1.1161,0.96408,0.00645,0.0193929,0.00646429,0.0193929,0.00646429,0.0193929,0.00646429,0.0193929,0.00646429
27,2093.54,1.20923,0.95902,0.00385,0.77543,0.70685,0.78412,0.52239,1.09578,0.91191,0.0061,0.0189686,0.00632286,0.0189686,0.00632286,0.0189686,0.00632286,0.0189686,0.00632286
28,2170.22,1.20519,0.9454,0.00381,0.78286,0.70915,0.78683,0.52745,1.08836,0.91454,0.00606,0.0185443,0.00618143,0.0185443,0.00618143,0.0185443,0.00618143,0.0185443,0.00618143
29,2246.81,1.20281,0.92894,0.00381,0.79712,0.69853,0.78951,0.53076,1.08704,0.92471,0.00618,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604
30,2324.58,1.1919,0.90469,0.00373,0.77764,0.70944,0.79174,0.53064,1.08646,0.91071,0.00601,0.0176957,0.00589857,0.0176957,0.00589857,0.0176957,0.00589857,0.0176957,0.00589857
31,2401.93,1.19458,0.90192,0.00371,0.79364,0.69967,0.78839,0.53361,1.06541,0.92749,0.00577,0.0172714,0.00575714,0.0172714,0.00575714,0.0172714,0.00575714,0.0172714,0.00575714
32,2478.75,1.1814,0.88934,0.00369,0.79466,0.71866,0.8006,0.5414,1.08465,0.89338,0.00605,0.0168471,0.00561571,0.0168471,0.00561571,0.0168471,0.00561571,0.0168471,0.00561571
33,2555.95,1.17338,0.87009,0.00369,0.78744,0.71714,0.79663,0.54002,1.08434,0.89634,0.00606,0.0164229,0.00547429,0.0164229,0.00547429,0.0164229,0.00547429,0.0164229,0.00547429
34,2633.43,1.16594,0.85957,0.00362,0.79296,0.71606,0.79469,0.53544,1.07704,0.9048,0.00591,0.0159986,0.00533286,0.0159986,0.00533286,0.0159986,0.00533286,0.0159986,0.00533286
35,2710.44,1.15885,0.84832,0.0036,0.8033,0.70711,0.79319,0.53618,1.07662,0.92141,0.00603,0.0155743,0.00519143,0.0155743,0.00519143,0.0155743,0.00519143,0.0155743,0.00519143
36,2787.83,1.15602,0.83605,0.00363,0.80162,0.71581,0.79968,0.54042,1.06673,0.89632,0.00582,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505
37,2864.97,1.1452,0.82251,0.00359,0.80695,0.7188,0.80028,0.53903,1.08143,0.90944,0.006,0.0147257,0.00490857,0.0147257,0.00490857,0.0147257,0.00490857,0.0147257,0.00490857
38,2942.44,1.13529,0.81576,0.00356,0.80281,0.71168,0.79696,0.53904,1.08663,0.91062,0.00613,0.0143014,0.00476714,0.0143014,0.00476714,0.0143014,0.00476714,0.0143014,0.00476714
39,3019.87,1.13628,0.80015,0.00356,0.79999,0.72783,0.80372,0.54278,1.07089,0.89918,0.00592,0.0138771,0.00462571,0.0138771,0.00462571,0.0138771,0.00462571,0.0138771,0.00462571
40,3096.94,1.12552,0.78224,0.00347,0.80073,0.72231,0.80167,0.54467,1.0761,0.92751,0.00603,0.0134529,0.00448429,0.0134529,0.00448429,0.0134529,0.00448429,0.0134529,0.00448429
41,3174.13,1.11765,0.77656,0.0035,0.80515,0.72448,0.8028,0.54516,1.07174,0.90404,0.00597,0.0130286,0.00434286,0.0130286,0.00434286,0.0130286,0.00434286,0.0130286,0.00434286
42,3252.34,1.11196,0.7681,0.00347,0.80887,0.71969,0.80137,0.54458,1.06876,0.89833,0.00587,0.0126043,0.00420143,0.0126043,0.00420143,0.0126043,0.00420143,0.0126043,0.00420143
43,3330.05,1.1019,0.7519,0.0034,0.8051,0.72924,0.80366,0.54633,1.06494,0.90428,0.00588,0.01218,0.00406,0.01218,0.00406,0.01218,0.00406,0.01218,0.00406
44,3407.09,1.09892,0.73634,0.00338,0.81684,0.72762,0.80711,0.5488,1.06576,0.89668,0.00593,0.0117557,0.00391857,0.0117557,0.00391857,0.0117557,0.00391857,0.0117557,0.00391857
45,3484.93,1.09352,0.72272,0.00333,0.80336,0.7355,0.80643,0.54732,1.07192,0.90014,0.00584,0.0113314,0.00377714,0.0113314,0.00377714,0.0113314,0.00377714,0.0113314,0.00377714
46,3563.06,1.08248,0.71585,0.00329,0.80892,0.73242,0.80505,0.54572,1.08174,0.90529,0.00598,0.0109071,0.00363571,0.0109071,0.00363571,0.0109071,0.00363571,0.0109071,0.00363571
47,3640.61,1.07475,0.69739,0.00329,0.81364,0.72879,0.80648,0.54584,1.07953,0.90835,0.00595,0.0104829,0.00349429,0.0104829,0.00349429,0.0104829,0.00349429,0.0104829,0.00349429
48,3717.69,1.06869,0.69372,0.00326,0.81843,0.72779,0.80548,0.5475,1.07167,0.92618,0.00585,0.0100586,0.00335286,0.0100586,0.00335286,0.0100586,0.00335286,0.0100586,0.00335286
49,3794.84,1.06004,0.68481,0.0032,0.80071,0.74191,0.80617,0.54777,1.06722,0.8971,0.00575,0.00963429,0.00321143,0.00963429,0.00321143,0.00963429,0.00321143,0.00963429,0.00321143
50,3872.51,1.05557,0.6813,0.00317,0.80713,0.73706,0.80728,0.54718,1.07329,0.90651,0.00583,0.00921,0.00307,0.00921,0.00307,0.00921,0.00307,0.00921,0.00307
51,3950.32,1.05519,0.67078,0.00312,0.80228,0.74365,0.80671,0.54835,1.07384,0.90693,0.00584,0.00878571,0.00292857,0.00878571,0.00292857,0.00878571,0.00292857,0.00878571,0.00292857
52,4027.39,1.04295,0.65324,0.00314,0.80517,0.73859,0.80397,0.54756,1.07968,0.90606,0.00593,0.00836143,0.00278714,0.00836143,0.00278714,0.00836143,0.00278714,0.00836143,0.00278714
53,4104.64,1.03195,0.64307,0.0031,0.80082,0.74115,0.80568,0.5466,1.0794,0.90953,0.00585,0.00793714,0.00264571,0.00793714,0.00264571,0.00793714,0.00264571,0.00793714,0.00264571
54,4181.05,1.0203,0.62789,0.00311,0.81187,0.73339,0.80512,0.54747,1.07475,0.91959,0.00582,0.00751286,0.00250429,0.00751286,0.00250429,0.00751286,0.00250429,0.00751286,0.00250429
55,4258.41,1.0223,0.62361,0.00305,0.79793,0.73945,0.80525,0.54744,1.07967,0.91967,0.00592,0.00708857,0.00236286,0.00708857,0.00236286,0.00708857,0.00236286,0.00708857,0.00236286
56,4336.55,1.01662,0.61738,0.00302,0.80885,0.73516,0.80398,0.54683,1.08114,0.92596,0.00593,0.00666429,0.00222143,0.00666429,0.00222143,0.00666429,0.00222143,0.00666429,0.00222143
57,4414.57,1.00294,0.60672,0.00299,0.80957,0.73682,0.80444,0.54739,1.07791,0.92482,0.00591,0.00624,0.00208,0.00624,0.00208,0.00624,0.00208,0.00624,0.00208
58,4491.74,0.99867,0.59644,0.00293,0.80755,0.7365,0.80293,0.54606,1.07762,0.92918,0.0059,0.00581571,0.00193857,0.00581571,0.00193857,0.00581571,0.00193857,0.00581571,0.00193857
59,4568.53,0.98977,0.59174,0.00293,0.8127,0.73508,0.80327,0.54581,1.07823,0.92877,0.00586,0.00539143,0.00179714,0.00539143,0.00179714,0.00539143,0.00179714,0.00539143,0.00179714
60,4646,0.98301,0.58149,0.00288,0.81189,0.7353,0.80171,0.54562,1.07996,0.9368,0.00592,0.00496714,0.00165571,0.00496714,0.00165571,0.00496714,0.00165571,0.00496714,0.00165571
61,4721.4,0.93151,0.47871,0.0031,0.80878,0.73674,0.80061,0.54453,1.0838,0.94256,0.00595,0.00454286,0.00151429,0.00454286,0.00151429,0.00454286,0.00151429,0.00454286,0.00151429
62,4797.43,0.91003,0.45604,0.003,0.80404,0.73919,0.80072,0.54346,1.09024,0.95037,0.00601,0.00411857,0.00137286,0.00411857,0.00137286,0.00411857,0.00137286,0.00411857,0.00137286
63,4873.52,0.89288,0.447,0.00296,0.80412,0.74004,0.79916,0.54123,1.09437,0.96134,0.00605,0.00369429,0.00123143,0.00369429,0.00123143,0.00369429,0.00123143,0.00369429,0.00123143
64,4947.96,0.88652,0.42979,0.00292,0.80749,0.73673,0.79781,0.53965,1.09856,0.96294,0.00606,0.00327,0.00109,0.00327,0.00109,0.00327,0.00109,0.00327,0.00109
65,5025.11,0.87763,0.42589,0.00285,0.81391,0.72818,0.79452,0.5379,1.10037,0.97652,0.00602,0.00284571,0.000948571,0.00284571,0.000948571,0.00284571,0.000948571,0.00284571,0.000948571
66,5100.08,0.87214,0.42319,0.00281,0.8233,0.7244,0.79343,0.53737,1.10045,0.98267,0.00601,0.00242143,0.000807143,0.00242143,0.000807143,0.00242143,0.000807143,0.00242143,0.000807143
67,5174.62,0.86559,0.41545,0.00279,0.82267,0.72228,0.79268,0.53746,1.10319,0.98571,0.00602,0.00199714,0.000665714,0.00199714,0.000665714,0.00199714,0.000665714,0.00199714,0.000665714
68,5250.21,0.85583,0.40603,0.00275,0.81395,0.73076,0.79216,0.53673,1.10455,0.98849,0.00603,0.00157286,0.000524286,0.00157286,0.000524286,0.00157286,0.000524286,0.00157286,0.000524286
69,5326.27,0.8509,0.40637,0.00274,0.80714,0.73325,0.79154,0.53644,1.1057,0.99217,0.00605,0.00114857,0.000382857,0.00114857,0.000382857,0.00114857,0.000382857,0.00114857,0.000382857
70,5403.19,0.83904,0.39144,0.00268,0.82017,0.72371,0.79059,0.53494,1.10841,0.99556,0.00608,0.000724286,0.000241429,0.000724286,0.000241429,0.000724286,0.000241429,0.000724286,0.000241429
