epoch,time,train/box_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,80.1292,2.41033,4.76324,0.00949,0.38617,0.43958,0.37295,0.18076,1.68001,3.65187,0.01207,0.00994764,0.00331588,0.00994764,0.00331588,0.00994764,0.00331588,0.00994764,0.00331588
2,160.462,1.71931,2.40256,0.00617,0.41136,0.46348,0.39166,0.20643,1.50947,2.60575,0.01008,0.0196655,0.00655518,0.0196655,0.00655518,0.0196655,0.00655518,0.0196655,0.00655518
3,241.43,1.64909,1.81799,0.00602,0.49065,0.46299,0.4435,0.20521,1.73537,2.73875,0.01236,0.0291006,0.00970018,0.0291006,0.00970018,0.0291006,0.00970018,0.0291006,0.00970018
4,322.249,1.61501,1.71472,0.00584,0.60916,0.51117,0.55735,0.30424,1.52663,1.94752,0.01025,0.0287271,0.00957571,0.0287271,0.00957571,0.0287271,0.00957571,0.0287271,0.00957571
5,403.198,1.56502,1.60892,0.00561,0.55811,0.51111,0.53088,0.29731,1.51335,1.74944,0.01044,0.0283029,0.00943429,0.0283029,0.00943429,0.0283029,0.00943429,0.0283029,0.00943429
6,484.459,1.51639,1.53527,0.00536,0.65649,0.55728,0.62874,0.36389,1.44893,1.44872,0.00982,0.0278786,0.00929286,0.0278786,0.00929286,0.0278786,0.00929286,0.0278786,0.00929286
7,566.134,1.48939,1.49655,0.00518,0.64896,0.56887,0.63037,0.34826,1.45841,1.41293,0.00956,0.0274543,0.00915143,0.0274543,0.00915143,0.0274543,0.00915143,0.0274543,0.00915143
8,647.463,1.46227,1.44605,0.00509,0.68739,0.5822,0.65674,0.40119,1.32773,1.36933,0.00895,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901
9,729.173,1.4464,1.40785,0.00496,0.68828,0.61407,0.67648,0.41126,1.33085,1.29134,0.00835,0.0266057,0.00886857,0.0266057,0.00886857,0.0266057,0.00886857,0.0266057,0.00886857
10,810.025,1.43016,1.37754,0.0049,0.68749,0.60716,0.67891,0.41763,1.27692,1.311,0.00782,0.0261814,0.00872714,0.0261814,0.00872714,0.0261814,0.00872714,0.0261814,0.00872714
11,890.249,1.40473,1.33588,0.0048,0.71647,0.61399,0.69738,0.43665,1.27895,1.21096,0.00873,0.0257571,0.00858571,0.0257571,0.00858571,0.0257571,0.00858571,0.0257571,0.00858571
12,971.767,1.40221,1.31557,0.00478,0.71052,0.61347,0.69049,0.42195,1.32295,1.2466,0.00841,0.0253329,0.00844429,0.0253329,0.00844429,0.0253329,0.00844429,0.0253329,0.00844429
13,1053.44,1.38619,1.29822,0.00472,0.72058,0.63001,0.71646,0.45309,1.23628,1.23201,0.00785,0.0249086,0.00830286,0.0249086,0.00830286,0.0249086,0.00830286,0.0249086,0.00830286
14,1135.21,1.37533,1.27534,0.00465,0.71234,0.61209,0.70154,0.4442,1.23503,1.22359,0.00772,0.0244843,0.00816143,0.0244843,0.00816143,0.0244843,0.00816143,0.0244843,0.00816143
15,1216.87,1.36066,1.24908,0.00464,0.7325,0.65695,0.73862,0.47183,1.24012,1.08274,0.00823,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802
16,1298.14,1.36368,1.23113,0.0046,0.74099,0.65763,0.73702,0.4686,1.21279,1.08412,0.00751,0.0236357,0.00787857,0.0236357,0.00787857,0.0236357,0.00787857,0.0236357,0.00787857
17,1379.96,1.34717,1.19866,0.00454,0.75561,0.65748,0.74543,0.47514,1.21711,1.06629,0.00738,0.0232114,0.00773714,0.0232114,0.00773714,0.0232114,0.00773714,0.0232114,0.00773714
18,1461.58,1.33904,1.20834,0.00457,0.76403,0.6543,0.75358,0.49303,1.17796,1.03217,0.00702,0.0227871,0.00759571,0.0227871,0.00759571,0.0227871,0.00759571,0.0227871,0.00759571
19,1543.86,1.33419,1.17294,0.00448,0.7392,0.6798,0.75731,0.49176,1.1923,1.02502,0.00732,0.0223629,0.00745429,0.0223629,0.00745429,0.0223629,0.00745429,0.0223629,0.00745429
20,1627.47,1.31551,1.16998,0.00437,0.77433,0.66039,0.75681,0.4914,1.16426,1.01436,0.00686,0.0219386,0.00731286,0.0219386,0.00731286,0.0219386,0.00731286,0.0219386,0.00731286
21,1706.8,1.31784,1.14134,0.00444,0.77063,0.66762,0.76459,0.49183,1.17179,0.99473,0.00703,0.0215143,0.00717143,0.0215143,0.00717143,0.0215143,0.00717143,0.0215143,0.00717143
22,1786.38,1.30758,1.13958,0.00434,0.76146,0.67104,0.75914,0.49827,1.15446,1.00587,0.00684,0.02109,0.00703,0.02109,0.00703,0.02109,0.00703,0.02109,0.00703
23,1866.06,1.2917,1.10651,0.00427,0.76952,0.67697,0.76817,0.50525,1.15818,0.98044,0.00706,0.0206657,0.00688857,0.0206657,0.00688857,0.0206657,0.00688857,0.0206657,0.00688857
24,1946.84,1.29662,1.09311,0.00428,0.77219,0.67006,0.76551,0.5065,1.1418,0.9964,0.00676,0.0202414,0.00674714,0.0202414,0.00674714,0.0202414,0.00674714,0.0202414,0.00674714
25,2027.29,1.28684,1.08908,0.00423,0.78339,0.67265,0.77087,0.50876,1.15585,0.96556,0.00684,0.0198171,0.00660571,0.0198171,0.00660571,0.0198171,0.00660571,0.0198171,0.00660571
26,2106.75,1.27904,1.06108,0.00423,0.76076,0.68068,0.7673,0.50675,1.15697,0.98272,0.00691,0.0193929,0.00646429,0.0193929,0.00646429,0.0193929,0.00646429,0.0193929,0.00646429
27,2187.58,1.26501,1.05128,0.00417,0.78055,0.67818,0.77179,0.5113,1.13757,0.97589,0.00679,0.0189686,0.00632286,0.0189686,0.00632286,0.0189686,0.00632286,0.0189686,0.00632286
28,2266.93,1.26102,1.03298,0.00413,0.79015,0.69061,0.78106,0.52116,1.1289,0.95128,0.00673,0.0185443,0.00618143,0.0185443,0.00618143,0.0185443,0.00618143,0.0185443,0.00618143
