epoch,time,train/box_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,77.4324,2.32999,4.56452,0.00913,0.45009,0.44176,0.40945,0.2061,1.65845,3.53866,0.01132,0.00994764,0.00331588,0.00994764,0.00331588,0.00994764,0.00331588,0.00994764,0.00331588
2,152.978,1.67214,2.40144,0.00588,0.46452,0.50845,0.44938,0.23647,1.51262,2.15996,0.01064,0.0196655,0.00655518,0.0196655,0.00655518,0.0196655,0.00655518,0.0196655,0.00655518
3,228.958,1.61411,1.80478,0.00579,0.52053,0.48086,0.47809,0.22121,1.72338,2.79224,0.01283,0.0291006,0.00970018,0.0291006,0.00970018,0.0291006,0.00970018,0.0291006,0.00970018
4,305.563,1.58653,1.68639,0.00564,0.58906,0.50206,0.54263,0.29974,1.50277,2.05466,0.01053,0.0287271,0.00957571,0.0287271,0.00957571,0.0287271,0.00957571,0.0287271,0.00957571
5,382.162,1.52374,1.58593,0.00535,0.61509,0.53249,0.57634,0.33478,1.42462,1.73312,0.00932,0.0283029,0.00943429,0.0283029,0.00943429,0.0283029,0.00943429,0.0283029,0.00943429
6,458.006,1.47438,1.50889,0.0051,0.65103,0.55299,0.61906,0.3685,1.36848,1.44095,0.00906,0.0278786,0.00929286,0.0278786,0.00929286,0.0278786,0.00929286,0.0278786,0.00929286
7,533.817,1.44836,1.45408,0.00492,0.66417,0.58208,0.65774,0.39932,1.3468,1.27219,0.00888,0.0274543,0.00915143,0.0274543,0.00915143,0.0274543,0.00915143,0.0274543,0.00915143
8,609.242,1.42029,1.40139,0.00481,0.68386,0.59645,0.66779,0.41467,1.26587,1.24565,0.00761,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901
9,684.67,1.40345,1.35463,0.00472,0.68224,0.60247,0.66879,0.41488,1.29767,1.27272,0.00844,0.0266057,0.00886857,0.0266057,0.00886857,0.0266057,0.00886857,0.0266057,0.00886857
10,760.358,1.38902,1.31818,0.00463,0.70237,0.61574,0.69553,0.4423,1.23588,1.16303,0.00772,0.0261814,0.00872714,0.0261814,0.00872714,0.0261814,0.00872714,0.0261814,0.00872714
11,836.142,1.36036,1.28717,0.00453,0.7183,0.6213,0.70715,0.44747,1.27952,1.14931,0.0081,0.0257571,0.00858571,0.0257571,0.00858571,0.0257571,0.00858571,0.0257571,0.00858571
12,911.955,1.35514,1.26429,0.00449,0.71286,0.63306,0.70906,0.4571,1.20345,1.14727,0.00733,0.0253329,0.00844429,0.0253329,0.00844429,0.0253329,0.00844429,0.0253329,0.00844429
13,988.383,1.33978,1.23033,0.00442,0.71285,0.6503,0.72232,0.4629,1.19343,1.14461,0.0071,0.0249086,0.00830286,0.0249086,0.00830286,0.0249086,0.00830286,0.0249086,0.00830286
14,1063.84,1.33048,1.21825,0.00438,0.72022,0.63599,0.72405,0.4674,1.17833,1.07395,0.00702,0.0244843,0.00816143,0.0244843,0.00816143,0.0244843,0.00816143,0.0244843,0.00816143
15,1139.76,1.31903,1.18441,0.00435,0.72091,0.66941,0.73622,0.47721,1.18065,1.1079,0.0072,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802
16,1215.97,1.31722,1.16777,0.00429,0.72415,0.66554,0.73482,0.4694,1.19856,1.06548,0.0071,0.0236357,0.00787857,0.0236357,0.00787857,0.0236357,0.00787857,0.0236357,0.00787857
17,1291.84,1.29872,1.14348,0.00422,0.75467,0.66391,0.75502,0.49113,1.16319,1.01333,0.00676,0.0232114,0.00773714,0.0232114,0.00773714,0.0232114,0.00773714,0.0232114,0.00773714
18,1367.37,1.29282,1.13373,0.00425,0.73898,0.67173,0.74566,0.48777,1.17533,1.02697,0.0073,0.0227871,0.00759571,0.0227871,0.00759571,0.0227871,0.00759571,0.0227871,0.00759571
19,1443.19,1.29024,1.1047,0.00419,0.74324,0.67602,0.76319,0.50174,1.14071,0.97951,0.00656,0.0223629,0.00745429,0.0223629,0.00745429,0.0223629,0.00745429,0.0223629,0.00745429
20,1519.64,1.27275,1.0883,0.0041,0.76535,0.67418,0.76195,0.50654,1.11769,0.98897,0.00626,0.0219386,0.00731286,0.0219386,0.00731286,0.0219386,0.00731286,0.0219386,0.00731286
