epoch,time,train/box_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,80.8052,2.4013,4.60003,0.00797,0.36639,0.41524,0.33187,0.13371,1.458,3.60194,0.00926,0.00994764,0.00331588,0.00994764,0.00331588,0.00994764,0.00331588,0.00994764,0.00331588
2,158.131,1.56052,2.36565,0.00449,0.50628,0.54083,0.51609,0.2517,1.57845,2.2615,0.00984,0.0196655,0.00655518,0.0196655,0.00655518,0.0196655,0.00655518,0.0196655,0.00655518
3,235.421,1.49749,1.7824,0.00439,0.49442,0.4849,0.46645,0.17945,1.87979,3.01259,0.0117,0.0291006,0.00970018,0.0291006,0.00970018,0.0291006,0.00970018,0.0291006,0.00970018
4,312.925,1.44476,1.66432,0.00421,0.56999,0.49588,0.51722,0.26321,1.52722,1.75635,0.00948,0.0287271,0.00957571,0.0287271,0.00957571,0.0287271,0.00957571,0.0287271,0.00957571
5,390.567,1.36948,1.56222,0.00393,0.61365,0.55811,0.59762,0.32837,1.43103,1.50101,0.0093,0.0283029,0.00943429,0.0283029,0.00943429,0.0283029,0.00943429,0.0283029,0.00943429
6,468.511,1.33194,1.4657,0.00378,0.65693,0.57554,0.63653,0.36383,1.29245,1.36532,0.0072,0.0278786,0.00929286,0.0278786,0.00929286,0.0278786,0.00929286,0.0278786,0.00929286
7,546.843,1.30243,1.41991,0.00363,0.63572,0.58503,0.63072,0.36082,1.32621,1.37349,0.00763,0.0274543,0.00915143,0.0274543,0.00915143,0.0274543,0.00915143,0.0274543,0.00915143
8,624.698,1.28208,1.35957,0.00358,0.69223,0.63682,0.69911,0.41912,1.2277,1.18975,0.00681,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901
9,702.767,1.26837,1.32002,0.00349,0.64894,0.60515,0.65507,0.39341,1.25567,1.39827,0.00742,0.0266057,0.00886857,0.0266057,0.00886857,0.0266057,0.00886857,0.0266057,0.00886857
10,780.126,1.24043,1.29468,0.00342,0.69477,0.62753,0.69271,0.43024,1.19038,1.15781,0.00659,0.0261814,0.00872714,0.0261814,0.00872714,0.0261814,0.00872714,0.0261814,0.00872714
11,857.129,1.2119,1.24656,0.00335,0.71811,0.64896,0.7242,0.44551,1.1662,1.10891,0.00619,0.0257571,0.00858571,0.0257571,0.00858571,0.0257571,0.00858571,0.0257571,0.00858571
12,934.966,1.22295,1.23016,0.00335,0.72636,0.639,0.71206,0.44103,1.17293,1.13604,0.00648,0.0253329,0.00844429,0.0253329,0.00844429,0.0253329,0.00844429,0.0253329,0.00844429
13,1011.94,1.20756,1.19308,0.00332,0.73896,0.6453,0.72669,0.44889,1.14447,1.17342,0.00609,0.0249086,0.00830286,0.0249086,0.00830286,0.0249086,0.00830286,0.0249086,0.00830286
14,1088.88,1.18731,1.18141,0.00326,0.72497,0.6467,0.71185,0.4509,1.11839,1.1088,0.00615,0.0244843,0.00816143,0.0244843,0.00816143,0.0244843,0.00816143,0.0244843,0.00816143
15,1167.22,1.18025,1.16114,0.00325,0.73364,0.66838,0.74293,0.47227,1.15023,1.04135,0.00658,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802
16,1245,1.17827,1.14325,0.00321,0.72339,0.67569,0.74292,0.46972,1.12023,1.08436,0.00588,0.0236357,0.00787857,0.0236357,0.00787857,0.0236357,0.00787857,0.0236357,0.00787857
17,1322.87,1.15207,1.11075,0.00316,0.75759,0.67496,0.76477,0.48963,1.08348,0.97939,0.00555,0.0232114,0.00773714,0.0232114,0.00773714,0.0232114,0.00773714,0.0232114,0.00773714
18,1400.99,1.15558,1.10972,0.00321,0.7578,0.68364,0.76457,0.49109,1.09533,0.99613,0.00582,0.0227871,0.00759571,0.0227871,0.00759571,0.0227871,0.00759571,0.0227871,0.00759571
19,1478.5,1.15021,1.07825,0.00315,0.72345,0.68157,0.75362,0.48221,1.1119,1.08889,0.00595,0.0223629,0.00745429,0.0223629,0.00745429,0.0223629,0.00745429,0.0223629,0.00745429
20,1555.36,1.14842,1.0606,0.00312,0.76823,0.68159,0.76612,0.49587,1.0743,0.97259,0.00543,0.0219386,0.00731286,0.0219386,0.00731286,0.0219386,0.00731286,0.0219386,0.00731286
21,1632.9,1.14083,1.04377,0.00314,0.77107,0.68905,0.77565,0.5049,1.03696,0.96156,0.0051,0.0215143,0.00717143,0.0215143,0.00717143,0.0215143,0.00717143,0.0215143,0.00717143
22,1710.87,1.1354,1.02954,0.00308,0.7606,0.69637,0.77684,0.49989,1.08411,0.98226,0.00565,0.02109,0.00703,0.02109,0.00703,0.02109,0.00703,0.02109,0.00703
23,1788.62,1.12615,1.0036,0.00306,0.75789,0.69057,0.76992,0.49507,1.0704,0.99042,0.00538,0.0206657,0.00688857,0.0206657,0.00688857,0.0206657,0.00688857,0.0206657,0.00688857
24,1865.74,1.12801,0.99348,0.00305,0.77792,0.69495,0.78054,0.50543,1.05734,0.92602,0.00519,0.0202414,0.00674714,0.0202414,0.00674714,0.0202414,0.00674714,0.0202414,0.00674714
25,1944.17,1.12168,0.98153,0.00303,0.80345,0.69086,0.78918,0.51368,1.05966,0.91255,0.0053,0.0198171,0.00660571,0.0198171,0.00660571,0.0198171,0.00660571,0.0198171,0.00660571
26,2022.29,1.10804,0.96636,0.00303,0.777,0.69613,0.78502,0.51422,1.04694,0.92881,0.00529,0.0193929,0.00646429,0.0193929,0.00646429,0.0193929,0.00646429,0.0193929,0.00646429
27,2100.14,1.11232,0.94033,0.00302,0.78785,0.70355,0.79003,0.51701,1.0185,0.92548,0.00506,0.0189686,0.00632286,0.0189686,0.00632286,0.0189686,0.00632286,0.0189686,0.00632286
28,2177.63,1.09945,0.92742,0.00297,0.78989,0.68811,0.78091,0.51375,1.01735,0.93011,0.00507,0.0185443,0.00618143,0.0185443,0.00618143,0.0185443,0.00618143,0.0185443,0.00618143
29,2255.5,1.10687,0.9099,0.003,0.78854,0.70837,0.79329,0.5243,1.04005,0.91474,0.0053,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604
30,2333.22,1.10431,0.88658,0.00297,0.79921,0.71967,0.80318,0.529,1.04114,0.87722,0.00529,0.0176957,0.00589857,0.0176957,0.00589857,0.0176957,0.00589857,0.0176957,0.00589857
31,2411.17,1.09278,0.88103,0.00292,0.80755,0.71708,0.80234,0.53116,1.02394,0.89241,0.00515,0.0172714,0.00575714,0.0172714,0.00575714,0.0172714,0.00575714,0.0172714,0.00575714
32,2488.82,1.08214,0.87774,0.00291,0.79435,0.7149,0.79895,0.53081,1.02749,0.88109,0.0051,0.0168471,0.00561571,0.0168471,0.00561571,0.0168471,0.00561571,0.0168471,0.00561571
33,2566.57,1.07695,0.85877,0.00294,0.78577,0.72552,0.80324,0.53532,0.99563,0.8974,0.00505,0.0164229,0.00547429,0.0164229,0.00547429,0.0164229,0.00547429,0.0164229,0.00547429
34,2644.3,1.07659,0.8404,0.0029,0.80463,0.71518,0.80121,0.53285,1.00573,0.89029,0.00504,0.0159986,0.00533286,0.0159986,0.00533286,0.0159986,0.00533286,0.0159986,0.00533286
35,2722.95,1.07786,0.83071,0.0029,0.79529,0.72739,0.80209,0.53336,1.01264,0.90444,0.00503,0.0155743,0.00519143,0.0155743,0.00519143,0.0155743,0.00519143,0.0155743,0.00519143
36,2800.3,1.07433,0.82203,0.00292,0.77982,0.73467,0.80322,0.53448,1.01913,0.88071,0.00503,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505
37,2877.67,1.05936,0.80895,0.00289,0.79411,0.73744,0.81,0.54011,1.01322,0.86961,0.00505,0.0147257,0.00490857,0.0147257,0.00490857,0.0147257,0.00490857,0.0147257,0.00490857
38,2955.73,1.05773,0.80383,0.00289,0.80562,0.72586,0.80614,0.53919,0.99784,0.87326,0.00502,0.0143014,0.00476714,0.0143014,0.00476714,0.0143014,0.00476714,0.0143014,0.00476714
39,3033.81,1.05861,0.79015,0.00289,0.80511,0.72646,0.8072,0.54192,1.01163,0.88802,0.00509,0.0138771,0.00462571,0.0138771,0.00462571,0.0138771,0.00462571,0.0138771,0.00462571
40,3111.93,1.05278,0.76857,0.00284,0.80634,0.7302,0.81483,0.54964,1.00705,0.86342,0.00501,0.0134529,0.00448429,0.0134529,0.00448429,0.0134529,0.00448429,0.0134529,0.00448429
41,3189.21,1.04487,0.76047,0.00284,0.81761,0.7204,0.80902,0.54277,1.01337,0.88103,0.00502,0.0130286,0.00434286,0.0130286,0.00434286,0.0130286,0.00434286,0.0130286,0.00434286
42,3267.28,1.04112,0.74315,0.00283,0.81549,0.72971,0.81375,0.54777,1.00672,0.8716,0.00501,0.0126043,0.00420143,0.0126043,0.00420143,0.0126043,0.00420143,0.0126043,0.00420143
43,3344.2,1.02616,0.74069,0.00278,0.80094,0.73469,0.80925,0.5454,1.00659,0.88025,0.00512,0.01218,0.00406,0.01218,0.00406,0.01218,0.00406,0.01218,0.00406
44,3421.62,1.02209,0.73061,0.00278,0.7953,0.73872,0.8074,0.54532,1.01347,0.8815,0.00506,0.0117557,0.00391857,0.0117557,0.00391857,0.0117557,0.00391857,0.0117557,0.00391857
45,3498.72,1.03781,0.71879,0.00279,0.80551,0.73978,0.80996,0.54443,1.02568,0.88371,0.00523,0.0113314,0.00377714,0.0113314,0.00377714,0.0113314,0.00377714,0.0113314,0.00377714
46,3575.6,1.02378,0.70599,0.00275,0.79982,0.74622,0.81307,0.54683,1.02206,0.88492,0.00521,0.0109071,0.00363571,0.0109071,0.00363571,0.0109071,0.00363571,0.0109071,0.00363571
47,3653.58,1.01892,0.68428,0.00276,0.80804,0.72867,0.80851,0.54459,1.01648,0.88838,0.00508,0.0104829,0.00349429,0.0104829,0.00349429,0.0104829,0.00349429,0.0104829,0.00349429
48,3730.3,1.00493,0.68012,0.00271,0.81686,0.73767,0.81123,0.54662,1.00818,0.88197,0.00502,0.0100586,0.00335286,0.0100586,0.00335286,0.0100586,0.00335286,0.0100586,0.00335286
49,3808.01,1.00917,0.6721,0.00271,0.80441,0.7401,0.81101,0.54784,1.01258,0.88401,0.0051,0.00963429,0.00321143,0.00963429,0.00321143,0.00963429,0.00321143,0.00963429,0.00321143
50,3885.98,1.00748,0.66299,0.0027,0.80544,0.74166,0.8088,0.54579,1.01753,0.88962,0.00515,0.00921,0.00307,0.00921,0.00307,0.00921,0.00307,0.00921,0.00307
51,3963.42,1.01051,0.66152,0.00267,0.80954,0.7431,0.81196,0.54893,1.01055,0.88937,0.00514,0.00878571,0.00292857,0.00878571,0.00292857,0.00878571,0.00292857,0.00878571,0.00292857
52,4040.19,0.99236,0.64307,0.00268,0.81632,0.73612,0.81079,0.54985,1.0098,0.88686,0.00507,0.00836143,0.00278714,0.00836143,0.00278714,0.00836143,0.00278714,0.00836143,0.00278714
53,4117.45,0.99516,0.63679,0.00268,0.81863,0.73577,0.80933,0.54849,1.00758,0.87989,0.0051,0.00793714,0.00264571,0.00793714,0.00264571,0.00793714,0.00264571,0.00793714,0.00264571
54,4194.45,0.98341,0.62173,0.00269,0.82019,0.73317,0.80741,0.54686,1.00438,0.89411,0.00508,0.00751286,0.00250429,0.00751286,0.00250429,0.00751286,0.00250429,0.00751286,0.00250429
55,4272.11,0.98544,0.61635,0.00265,0.83124,0.73041,0.80921,0.54724,1.00612,0.8935,0.00499,0.00708857,0.00236286,0.00708857,0.00236286,0.00708857,0.00236286,0.00708857,0.00236286
56,4350.44,0.981,0.61123,0.00262,0.82201,0.73322,0.80774,0.54703,1.00898,0.89603,0.00505,0.00666429,0.00222143,0.00666429,0.00222143,0.00666429,0.00222143,0.00666429,0.00222143
57,4427.66,0.97648,0.59813,0.00263,0.82377,0.73166,0.8092,0.54802,1.00351,0.90153,0.005,0.00624,0.00208,0.00624,0.00208,0.00624,0.00208,0.00624,0.00208
58,4506.77,0.96295,0.5888,0.00255,0.81156,0.74205,0.80845,0.549,1.00026,0.90372,0.00495,0.00581571,0.00193857,0.00581571,0.00193857,0.00581571,0.00193857,0.00581571,0.00193857
59,4586.34,0.96466,0.58712,0.00259,0.8051,0.74625,0.80553,0.54677,1.0024,0.9108,0.00493,0.00539143,0.00179714,0.00539143,0.00179714,0.00539143,0.00179714,0.00539143,0.00179714
60,4662.84,0.95283,0.57549,0.00255,0.80359,0.74474,0.80451,0.54593,1.00089,0.91775,0.00491,0.00496714,0.00165571,0.00496714,0.00165571,0.00496714,0.00165571,0.00496714,0.00165571
61,4741.17,0.92144,0.48437,0.0028,0.8202,0.73589,0.80538,0.54482,1.004,0.92484,0.005,0.00454286,0.00151429,0.00454286,0.00151429,0.00454286,0.00151429,0.00454286,0.00151429
62,4819.01,0.90126,0.45645,0.00271,0.82165,0.73232,0.80566,0.54402,1.01973,0.91757,0.00509,0.00411857,0.00137286,0.00411857,0.00137286,0.00411857,0.00137286,0.00411857,0.00137286
63,4897.12,0.89146,0.44568,0.0027,0.81003,0.74013,0.80475,0.54264,1.0212,0.92073,0.0051,0.00369429,0.00123143,0.00369429,0.00123143,0.00369429,0.00123143,0.00369429,0.00123143
64,4973.48,0.88932,0.43577,0.00268,0.81308,0.74023,0.80293,0.54144,1.01961,0.92902,0.00507,0.00327,0.00109,0.00327,0.00109,0.00327,0.00109,0.00327,0.00109
65,5051.31,0.88323,0.43068,0.00264,0.81568,0.73569,0.80157,0.54082,1.01895,0.93454,0.00504,0.00284571,0.000948571,0.00284571,0.000948571,0.00284571,0.000948571,0.00284571,0.000948571
66,5126.91,0.87539,0.42671,0.0026,0.81365,0.73894,0.80081,0.54092,1.00126,0.94019,0.005,0.00242143,0.000807143,0.00242143,0.000807143,0.00242143,0.000807143,0.00242143,0.000807143
67,5203.92,0.87123,0.41553,0.0026,0.82073,0.73238,0.79961,0.54006,0.99724,0.95084,0.00497,0.00199714,0.000665714,0.00199714,0.000665714,0.00199714,0.000665714,0.00199714,0.000665714
68,5278.4,0.86781,0.40699,0.00258,0.82427,0.72887,0.80009,0.54003,1.00016,0.95549,0.00499,0.00157286,0.000524286,0.00157286,0.000524286,0.00157286,0.000524286,0.00157286,0.000524286
69,5352.58,0.85891,0.40032,0.00257,0.81879,0.73105,0.79822,0.53881,0.98751,0.96121,0.00493,0.00114857,0.000382857,0.00114857,0.000382857,0.00114857,0.000382857,0.00114857,0.000382857
70,5429.81,0.85338,0.39507,0.00253,0.81706,0.73189,0.79614,0.53749,0.98325,0.9642,0.00491,0.000724286,0.000241429,0.000724286,0.000241429,0.000724286,0.000241429,0.000724286,0.000241429
