epoch,time,train/box_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2
1,45.3673,1.4451,3.10763,0.00413,0.62448,0.5544,0.60598,0.37446,1.29254,1.70042,0.00779,0.00047208,0.00047208,0.00047208
2,89.9263,1.45267,1.63054,0.00429,0.63515,0.53822,0.58708,0.35636,1.39747,1.63477,0.00971,0.000935,0.000935,0.000935
3,135.068,1.4864,1.60685,0.00458,0.5776,0.49982,0.54458,0.32469,1.44407,1.65266,0.0102,0.00138445,0.00138445,0.00138445
4,179.786,1.5027,1.56301,0.00464,0.60417,0.52285,0.56052,0.322,1.4679,1.65949,0.01024,0.00136837,0.00136837,0.00136837
5,224.728,1.48396,1.52103,0.00453,0.62179,0.56386,0.60079,0.36879,1.33228,1.59657,0.00904,0.00134816,0.00134816,0.00134816
6,269.623,1.46618,1.46888,0.00446,0.62793,0.56853,0.61173,0.36952,1.41584,1.52303,0.00961,0.00132795,0.00132795,0.00132795
7,314.513,1.44691,1.44973,0.0044,0.65667,0.55717,0.62212,0.39609,1.28496,1.47791,0.00822,0.00130774,0.00130774,0.00130774
8,359.535,1.42512,1.40617,0.00427,0.65411,0.59527,0.65305,0.41976,1.2418,1.39534,0.00771,0.00128753,0.00128753,0.00128753
9,404.637,1.41307,1.37004,0.00421,0.67234,0.59583,0.66254,0.40781,1.39594,1.34147,0.00934,0.00126732,0.00126732,0.00126732
10,449.338,1.40387,1.35271,0.00418,0.61632,0.55353,0.6139,0.38443,1.31842,1.49846,0.00889,0.00124711,0.00124711,0.00124711
11,494.255,1.37669,1.31986,0.00405,0.6617,0.60378,0.65989,0.41139,1.34854,1.37736,0.00909,0.0012269,0.0012269,0.0012269
12,539.059,1.38666,1.31084,0.00405,0.71497,0.62489,0.70377,0.45436,1.25884,1.20813,0.00812,0.00120669,0.00120669,0.00120669
13,584.152,1.36892,1.29455,0.00408,0.70929,0.62508,0.70142,0.45531,1.20855,1.22352,0.00723,0.00118648,0.00118648,0.00118648
14,629.198,1.35672,1.2638,0.00402,0.704,0.62926,0.70422,0.45774,1.22956,1.20094,0.00796,0.00116627,0.00116627,0.00116627
15,673.963,1.35057,1.24993,0.00402,0.70496,0.66,0.72651,0.47636,1.20318,1.18038,0.00786,0.00114606,0.00114606,0.00114606
16,719.038,1.34489,1.23598,0.00394,0.69189,0.63688,0.69899,0.45385,1.22852,1.20053,0.00781,0.00112585,0.00112585,0.00112585
17,763.945,1.33853,1.21569,0.00392,0.72883,0.6476,0.72656,0.48092,1.18569,1.17993,0.00756,0.00110564,0.00110564,0.00110564
18,808.988,1.3241,1.20744,0.00392,0.73009,0.65585,0.73118,0.48156,1.18445,1.14813,0.00687,0.00108543,0.00108543,0.00108543
19,853.958,1.31829,1.19685,0.00385,0.73415,0.66152,0.73805,0.48704,1.17907,1.1633,0.00741,0.00106522,0.00106522,0.00106522
20,899.217,1.32439,1.19098,0.00384,0.73522,0.66244,0.74335,0.49396,1.1612,1.11728,0.00705,0.00104501,0.00104501,0.00104501
21,944.312,1.30726,1.16256,0.00378,0.72555,0.65786,0.72915,0.48767,1.16704,1.11227,0.00709,0.0010248,0.0010248,0.0010248
22,989.158,1.30435,1.16805,0.00384,0.73549,0.64836,0.73148,0.48499,1.18282,1.12378,0.00739,0.00100459,0.00100459,0.00100459
23,1033.81,1.29035,1.13897,0.0037,0.74292,0.65612,0.74811,0.50198,1.15113,1.1138,0.00673,0.000984377,0.000984377,0.000984377
24,1078.51,1.29339,1.13322,0.00373,0.74886,0.65998,0.74603,0.50005,1.1599,1.10179,0.00707,0.000964167,0.000964167,0.000964167
25,1123.26,1.28258,1.11536,0.00371,0.75292,0.67007,0.75766,0.5083,1.13374,1.0814,0.00647,0.000943957,0.000943957,0.000943957
26,1168.96,1.28308,1.09549,0.00369,0.75412,0.66198,0.75031,0.50332,1.14282,1.05629,0.00657,0.000923746,0.000923746,0.000923746
27,1220.06,1.274,1.09411,0.00364,0.77296,0.66225,0.75555,0.51032,1.13712,1.06054,0.00674,0.000903536,0.000903536,0.000903536
28,1265.95,1.26461,1.0862,0.00362,0.76053,0.6637,0.75623,0.50903,1.15192,1.06533,0.0071,0.000883326,0.000883326,0.000883326
29,1311.82,1.26145,1.06823,0.00359,0.77254,0.66891,0.76447,0.51642,1.14128,1.04589,0.00641,0.000863116,0.000863116,0.000863116
30,1357.88,1.25188,1.05484,0.00355,0.76812,0.67527,0.76502,0.51843,1.11779,1.03955,0.00662,0.000842906,0.000842906,0.000842906
31,1404.06,1.25749,1.04093,0.00354,0.77364,0.67501,0.76644,0.5186,1.11969,1.02207,0.00646,0.000822696,0.000822696,0.000822696
32,1450.25,1.24405,1.03439,0.00349,0.78052,0.68286,0.77677,0.52495,1.13203,1.00928,0.00667,0.000802486,0.000802486,0.000802486
33,1496,1.25025,1.02925,0.0035,0.77082,0.6832,0.76999,0.51909,1.14763,1.04242,0.00705,0.000782275,0.000782275,0.000782275
34,1541.74,1.24384,1.0169,0.0035,0.77286,0.6943,0.77509,0.52404,1.11686,1.0235,0.00634,0.000762065,0.000762065,0.000762065
35,1587.31,1.22889,0.99913,0.00348,0.78183,0.67585,0.77381,0.52439,1.12082,1.04392,0.00631,0.000741855,0.000741855,0.000741855
36,1632.71,1.22627,0.99948,0.00343,0.76397,0.69322,0.77136,0.52001,1.11097,1.06178,0.006,0.000721645,0.000721645,0.000721645
37,1678.45,1.21965,0.98861,0.00343,0.77817,0.69235,0.78365,0.53491,1.10533,1.01925,0.00637,0.000701435,0.000701435,0.000701435
38,1724.41,1.21007,0.95901,0.00338,0.77866,0.69719,0.78081,0.53056,1.10089,0.99997,0.00591,0.000681225,0.000681225,0.000681225
39,1769.92,1.20385,0.95815,0.00337,0.77314,0.69403,0.77793,0.52967,1.0989,1.02042,0.00613,0.000661015,0.000661015,0.000661015
40,1815.85,1.19666,0.94985,0.0033,0.77879,0.70051,0.78721,0.53649,1.09485,1.00499,0.00609,0.000640804,0.000640804,0.000640804
41,1861.98,1.19648,0.94331,0.00334,0.78265,0.70418,0.78731,0.53474,1.10436,1.00205,0.00631,0.000620594,0.000620594,0.000620594
42,1907.67,1.19003,0.92921,0.00331,0.78083,0.70006,0.78358,0.53685,1.0864,1.00917,0.00585,0.000600384,0.000600384,0.000600384
43,1953.31,1.18284,0.91514,0.0033,0.79222,0.70546,0.79394,0.54441,1.07804,0.9938,0.00581,0.000580174,0.000580174,0.000580174
44,1999.12,1.1827,0.91299,0.0033,0.79865,0.69068,0.78634,0.54094,1.07364,0.98395,0.00569,0.000559964,0.000559964,0.000559964
45,2044.65,1.17848,0.9069,0.00326,0.77709,0.71488,0.78986,0.54043,1.08526,0.98708,0.00591,0.000539754,0.000539754,0.000539754
46,2090.27,1.18094,0.89794,0.00326,0.78877,0.70671,0.791,0.5459,1.08144,0.97885,0.00603,0.000519544,0.000519544,0.000519544
47,2135.95,1.1596,0.87688,0.00316,0.80663,0.69674,0.79334,0.54606,1.08126,0.97572,0.0059,0.000499333,0.000499333,0.000499333
48,2181.75,1.15883,0.87268,0.00317,0.78709,0.70977,0.78724,0.5393,1.07914,0.99625,0.00565,0.000479123,0.000479123,0.000479123
49,2227.49,1.14743,0.86245,0.00312,0.77831,0.72114,0.7933,0.54537,1.0767,0.96865,0.00567,0.000458913,0.000458913,0.000458913
50,2273.43,1.16268,0.85879,0.00315,0.77431,0.72456,0.79172,0.54362,1.0856,0.99078,0.00594,0.000438703,0.000438703,0.000438703
51,2319.17,1.14747,0.84624,0.00314,0.79218,0.72026,0.79521,0.54766,1.08133,0.96217,0.00565,0.000418493,0.000418493,0.000418493
52,2365.07,1.14509,0.83489,0.00309,0.80207,0.71157,0.795,0.54378,1.08249,0.98059,0.00594,0.000398283,0.000398283,0.000398283
53,2410.67,1.13848,0.82483,0.00306,0.78227,0.72507,0.79609,0.5478,1.07072,0.98502,0.00569,0.000378073,0.000378073,0.000378073
54,2456.52,1.12414,0.80411,0.0031,0.79018,0.71372,0.79356,0.54468,1.07241,1.00199,0.00563,0.000357862,0.000357862,0.000357862
55,2502.24,1.12978,0.81122,0.00304,0.81367,0.70397,0.79763,0.54965,1.05996,0.95224,0.00532,0.000337652,0.000337652,0.000337652
56,2548.19,1.12308,0.80728,0.00303,0.80222,0.71168,0.79337,0.54622,1.06801,0.98618,0.00549,0.000317442,0.000317442,0.000317442
57,2593.9,1.10664,0.78561,0.00299,0.80282,0.71755,0.79601,0.54884,1.06275,0.99629,0.00547,0.000297232,0.000297232,0.000297232
58,2639.57,1.11039,0.78494,0.00295,0.80127,0.72046,0.79741,0.54849,1.06769,0.98022,0.0055,0.000277022,0.000277022,0.000277022
59,2685.03,1.10293,0.77969,0.00298,0.79973,0.71808,0.79732,0.54915,1.06943,0.98706,0.0055,0.000256812,0.000256812,0.000256812
60,2730.84,1.10722,0.77318,0.00295,0.80419,0.71788,0.79821,0.5507,1.06414,0.98593,0.0054,0.000236602,0.000236602,0.000236602
61,2777.74,1.04338,0.69322,0.00318,0.79097,0.71383,0.79,0.54083,1.07914,1.00224,0.00548,0.000216391,0.000216391,0.000216391
62,2822.66,1.0294,0.65744,0.00313,0.7968,0.71356,0.79136,0.5431,1.0749,1.00564,0.00542,0.000196181,0.000196181,0.000196181
63,2867.64,1.02146,0.64894,0.00309,0.80942,0.70879,0.79354,0.54471,1.07939,0.98979,0.00557,0.000175971,0.000175971,0.000175971
64,2912.71,1.01253,0.63249,0.00306,0.80774,0.70764,0.793,0.54297,1.07903,1.00022,0.00556,0.000155761,0.000155761,0.000155761
65,2957.57,1.00606,0.62816,0.00301,0.79813,0.71983,0.79372,0.54332,1.07991,0.98806,0.00554,0.000135551,0.000135551,0.000135551
66,3002.3,1.00358,0.62391,0.00297,0.80271,0.71814,0.79289,0.54335,1.07956,0.99273,0.00544,0.000115341,0.000115341,0.000115341
67,3047.54,0.99981,0.61426,0.00299,0.79337,0.72198,0.79092,0.54192,1.07861,0.99631,0.00541,9.51306e-05,9.51306e-05,9.51306e-05
68,3092.42,0.99131,0.6113,0.00295,0.79204,0.72519,0.79254,0.5425,1.08172,1.00014,0.00545,7.49204e-05,7.49204e-05,7.49204e-05
69,3137.48,0.99278,0.60744,0.00297,0.79234,0.7283,0.792,0.54325,1.08355,1.0032,0.00551,5.47103e-05,5.47103e-05,5.47103e-05
70,3182.52,0.9902,0.60285,0.00292,0.79376,0.72413,0.79083,0.54356,1.08008,1.01102,0.00542,3.45001e-05,3.45001e-05,3.45001e-05
