epoch,time,train/box_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2
1,45.4735,1.17479,2.77705,0.00415,0.5764,0.54693,0.56433,0.33505,1.04816,1.57399,0.00707,0.00047208,0.00047208,0.00047208
2,90.3293,1.16124,1.3699,0.0041,0.6133,0.57364,0.6108,0.35618,1.1504,1.54152,0.00863,0.000935,0.000935,0.000935
3,135.498,1.20641,1.33553,0.00435,0.60684,0.54312,0.57945,0.31747,1.23267,1.54447,0.00909,0.00138445,0.00138445,0.00138445
4,180.458,1.20647,1.29927,0.00435,0.61684,0.56236,0.602,0.34139,1.17301,1.43493,0.00851,0.00136837,0.00136837,0.00136837
5,225.406,1.19047,1.25859,0.00424,0.62722,0.57954,0.6085,0.35695,1.15113,1.47659,0.00882,0.00134816,0.00134816,0.00134816
6,270.676,1.1828,1.20966,0.00418,0.66922,0.60329,0.66674,0.39558,1.09707,1.30933,0.00764,0.00132795,0.00132795,0.00132795
7,315.868,1.16727,1.18775,0.00414,0.70194,0.61199,0.68278,0.41055,1.04862,1.18752,0.00692,0.00130774,0.00130774,0.00130774
8,361.152,1.15007,1.14642,0.00406,0.68323,0.61618,0.68063,0.40998,1.09259,1.14493,0.00833,0.00128753,0.00128753,0.00128753
9,406.487,1.14038,1.11903,0.00401,0.71023,0.61971,0.70184,0.41048,1.13896,1.15949,0.0082,0.00126732,0.00126732,0.00126732
10,451.552,1.13662,1.10021,0.00395,0.70451,0.61951,0.69236,0.42478,1.04714,1.13223,0.00725,0.00124711,0.00124711,0.00124711
11,496.55,1.11978,1.08041,0.00392,0.71229,0.62903,0.708,0.43269,1.05997,1.07851,0.00752,0.0012269,0.0012269,0.0012269
12,541.607,1.12205,1.07277,0.00388,0.70017,0.64307,0.70663,0.425,1.05142,1.05853,0.00702,0.00120669,0.00120669,0.00120669
13,586.997,1.10801,1.04473,0.00386,0.71018,0.64115,0.70828,0.43557,1.04926,1.06514,0.00735,0.00118648,0.00118648,0.00118648
14,632.402,1.09971,1.03243,0.00384,0.74457,0.65061,0.73872,0.45785,0.99768,1.00866,0.00669,0.00116627,0.00116627,0.00116627
15,677.441,1.08697,1.01456,0.0038,0.72779,0.65986,0.73257,0.45287,0.97395,1.07516,0.0065,0.00114606,0.00114606,0.00114606
16,722.128,1.09085,1.00735,0.00378,0.71905,0.65879,0.72928,0.44708,0.99044,1.03453,0.00664,0.00112585,0.00112585,0.00112585
17,767.306,1.07976,0.98933,0.00376,0.72123,0.65194,0.72281,0.44754,1.00999,1.08367,0.00722,0.00110564,0.00110564,0.00110564
18,812.325,1.07222,0.98128,0.00372,0.7335,0.67564,0.74686,0.46528,1.00531,1.00413,0.00711,0.00108543,0.00108543,0.00108543
19,857.567,1.06383,0.97442,0.00368,0.73786,0.6669,0.74177,0.46682,0.97831,1.03231,0.00648,0.00106522,0.00106522,0.00106522
20,902.65,1.07209,0.96727,0.00368,0.75666,0.68124,0.76294,0.48579,0.94737,0.93389,0.00602,0.00104501,0.00104501,0.00104501
21,947.893,1.06039,0.94748,0.00362,0.74409,0.67333,0.75393,0.47905,0.98557,0.95244,0.00698,0.0010248,0.0010248,0.0010248
22,992.917,1.05712,0.94382,0.00367,0.73657,0.68029,0.7573,0.47432,0.96785,0.97662,0.00628,0.00100459,0.00100459,0.00100459
23,1037.96,1.04661,0.92039,0.00357,0.74478,0.67705,0.7568,0.47305,0.96762,0.98207,0.00615,0.000984377,0.000984377,0.000984377
24,1083.15,1.04817,0.91882,0.00358,0.75384,0.67208,0.75328,0.47935,0.97365,0.97202,0.00646,0.000964167,0.000964167,0.000964167
25,1128.09,1.03779,0.9071,0.00355,0.76807,0.6916,0.77582,0.4987,0.93392,0.89781,0.00594,0.000943957,0.000943957,0.000943957
26,1172.94,1.03346,0.88766,0.00353,0.78951,0.67314,0.77471,0.49685,0.95131,0.90698,0.00611,0.000923746,0.000923746,0.000923746
27,1217.63,1.02576,0.88467,0.00349,0.759,0.68963,0.76884,0.49455,0.93589,0.89762,0.00604,0.000903536,0.000903536,0.000903536
28,1262.42,1.0279,0.87603,0.00349,0.76167,0.69858,0.77389,0.49814,0.93336,0.89956,0.0059,0.000883326,0.000883326,0.000883326
29,1307.27,1.01826,0.86368,0.00346,0.77566,0.68898,0.77591,0.50484,0.90368,0.91932,0.00565,0.000863116,0.000863116,0.000863116
30,1352.27,1.00911,0.85803,0.00344,0.77097,0.70666,0.78739,0.51066,0.92638,0.87026,0.00592,0.000842906,0.000842906,0.000842906
31,1397.28,1.01417,0.84561,0.00341,0.7667,0.69775,0.77789,0.50678,0.92272,0.88456,0.00586,0.000822696,0.000822696,0.000822696
32,1442.13,1.00344,0.83621,0.00337,0.77898,0.68683,0.77921,0.50443,0.92567,0.85716,0.00593,0.000802486,0.000802486,0.000802486
