epoch,time,train/box_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,78.7446,2.31831,4.45036,0.00921,0.46213,0.43992,0.41543,0.18883,1.68991,3.19958,0.01097,0.00996063,0.00332021,0.00996063,0.00332021,0.00996063,0.00332021,0.00996063,0.00332021
2,156.876,1.68792,2.29926,0.00605,0.54547,0.52316,0.53736,0.28702,1.53662,2.08632,0.01103,0.0196783,0.00655944,0.0196783,0.00655944,0.0196783,0.00655944,0.0196783,0.00655944
3,234.122,1.60648,1.74409,0.00573,0.55581,0.55258,0.56302,0.31232,1.49793,2.06043,0.01087,0.0291132,0.00970439,0.0291132,0.00970439,0.0291132,0.00970439,0.0291132,0.00970439
4,310.838,1.56527,1.63547,0.00549,0.61801,0.55901,0.60121,0.34561,1.4329,1.65513,0.01027,0.0287271,0.00957571,0.0287271,0.00957571,0.0287271,0.00957571,0.0287271,0.00957571
5,387.813,1.50942,1.53316,0.00528,0.62708,0.58005,0.62512,0.36683,1.40355,1.4324,0.00986,0.0283029,0.00943429,0.0283029,0.00943429,0.0283029,0.00943429,0.0283029,0.00943429
6,462.614,1.46288,1.44659,0.00504,0.63767,0.58591,0.64022,0.3906,1.32925,1.45649,0.00954,0.0278786,0.00929286,0.0278786,0.00929286,0.0278786,0.00929286,0.0278786,0.00929286
7,537.277,1.44069,1.40338,0.00489,0.65878,0.6185,0.67732,0.42075,1.27691,1.28773,0.00837,0.0274543,0.00915143,0.0274543,0.00915143,0.0274543,0.00915143,0.0274543,0.00915143
8,613.839,1.4191,1.34716,0.00485,0.69819,0.63245,0.69724,0.43581,1.24673,1.31447,0.00782,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901
9,688.891,1.39668,1.32016,0.00468,0.70459,0.6221,0.69824,0.44241,1.24616,1.21513,0.00831,0.0266057,0.00886857,0.0266057,0.00886857,0.0266057,0.00886857,0.0266057,0.00886857
10,766.827,1.3884,1.28798,0.00461,0.69353,0.65388,0.71022,0.45005,1.24093,1.14484,0.00802,0.0261814,0.00872714,0.0261814,0.00872714,0.0261814,0.00872714,0.0261814,0.00872714
11,843.564,1.36433,1.24933,0.00451,0.70078,0.64139,0.70706,0.43782,1.28832,1.21121,0.00877,0.0257571,0.00858571,0.0257571,0.00858571,0.0257571,0.00858571,0.0257571,0.00858571
12,918.386,1.34894,1.22809,0.00441,0.70732,0.63643,0.71602,0.44499,1.28297,1.14697,0.00785,0.0253329,0.00844429,0.0253329,0.00844429,0.0253329,0.00844429,0.0253329,0.00844429
