epoch,time,train/box_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,82.1569,2.29814,4.50886,0.00903,0.48678,0.44566,0.43121,0.19126,1.64697,3.24269,0.01207,0.00996063,0.00332021,0.00996063,0.00332021,0.00996063,0.00332021,0.00996063,0.00332021
2,163.416,1.67235,2.26694,0.00608,0.55085,0.54799,0.55249,0.31284,1.47403,1.88313,0.01037,0.0196783,0.00655944,0.0196783,0.00655944,0.0196783,0.00655944,0.0196783,0.00655944
3,242.818,1.59456,1.74616,0.00574,0.57388,0.53388,0.557,0.2983,1.5585,2.05383,0.01207,0.0291132,0.00970439,0.0291132,0.00970439,0.0291132,0.00970439,0.0291132,0.00970439
4,322.703,1.5604,1.64352,0.00552,0.60075,0.54207,0.58686,0.33991,1.41565,1.76954,0.01036,0.0287271,0.00957571,0.0287271,0.00957571,0.0287271,0.00957571,0.0287271,0.00957571
5,402.802,1.50322,1.55259,0.0053,0.62052,0.54659,0.59404,0.35593,1.32929,1.46161,0.00886,0.0283029,0.00943429,0.0283029,0.00943429,0.0283029,0.00943429,0.0283029,0.00943429
6,482.64,1.46268,1.46768,0.00505,0.6482,0.58506,0.63954,0.38764,1.34825,1.49626,0.00999,0.0278786,0.00929286,0.0278786,0.00929286,0.0278786,0.00929286,0.0278786,0.00929286
7,563.439,1.43871,1.43129,0.00491,0.6294,0.6183,0.66366,0.41088,1.2943,1.28054,0.0086,0.0274543,0.00915143,0.0274543,0.00915143,0.0274543,0.00915143,0.0274543,0.00915143
8,640.65,1.41414,1.37812,0.00486,0.69243,0.61848,0.68632,0.42944,1.26098,1.28254,0.00828,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901
9,720.728,1.39217,1.34344,0.00467,0.69904,0.62844,0.69315,0.44132,1.25403,1.20868,0.00824,0.0266057,0.00886857,0.0266057,0.00886857,0.0266057,0.00886857,0.0266057,0.00886857
10,797.811,1.38099,1.30803,0.00461,0.70126,0.62839,0.69211,0.43532,1.25443,1.1909,0.00835,0.0261814,0.00872714,0.0261814,0.00872714,0.0261814,0.00872714,0.0261814,0.00872714
11,877.186,1.35803,1.26914,0.00451,0.70013,0.63162,0.69834,0.43917,1.25234,1.21174,0.00812,0.0257571,0.00858571,0.0257571,0.00858571,0.0257571,0.00858571,0.0257571,0.00858571
12,957.236,1.34158,1.25914,0.0044,0.70222,0.6417,0.71228,0.45319,1.23307,1.16167,0.0079,0.0253329,0.00844429,0.0253329,0.00844429,0.0253329,0.00844429,0.0253329,0.00844429
