epoch,time,train/box_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,109.428,2.30989,4.39684,0.00906,0.4857,0.45744,0.4399,0.20743,1.66136,3.18641,0.01146,0.00996063,0.00332021,0.00996063,0.00332021,0.00996063,0.00332021,0.00996063,0.00332021
2,225.877,1.69974,2.24368,0.0061,0.5879,0.52903,0.56921,0.31847,1.48625,1.94364,0.01011,0.0196783,0.00655944,0.0196783,0.00655944,0.0196783,0.00655944,0.0196783,0.00655944
3,332.572,1.60697,1.73374,0.00577,0.59031,0.53766,0.57056,0.31327,1.50758,2.11151,0.01114,0.0291132,0.00970439,0.0291132,0.00970439,0.0291132,0.00970439,0.0291132,0.00970439
4,441.932,1.57703,1.63236,0.00555,0.6179,0.55324,0.60171,0.35226,1.42346,1.6947,0.01051,0.0287271,0.00957571,0.0287271,0.00957571,0.0287271,0.00957571,0.0287271,0.00957571
5,550.397,1.5152,1.54433,0.00534,0.63778,0.58661,0.63455,0.38295,1.35439,1.45611,0.00942,0.0283029,0.00943429,0.0283029,0.00943429,0.0283029,0.00943429,0.0283029,0.00943429
6,659.179,1.47658,1.45965,0.00512,0.64504,0.5858,0.63017,0.38405,1.31338,1.41659,0.00896,0.0278786,0.00929286,0.0278786,0.00929286,0.0278786,0.00929286,0.0278786,0.00929286
7,765.65,1.45006,1.42008,0.00494,0.66529,0.5969,0.65757,0.40066,1.32946,1.31545,0.00955,0.0274543,0.00915143,0.0274543,0.00915143,0.0274543,0.00915143,0.0274543,0.00915143
8,867.307,1.42017,1.36501,0.00488,0.68974,0.62193,0.68886,0.43293,1.26468,1.24227,0.00842,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901
9,969.767,1.39661,1.3282,0.00468,0.70679,0.60162,0.68419,0.43799,1.24505,1.24809,0.00808,0.0266057,0.00886857,0.0266057,0.00886857,0.0266057,0.00886857,0.0266057,0.00886857
10,1077.81,1.38768,1.29912,0.00463,0.69804,0.63492,0.69735,0.44179,1.2293,1.18626,0.00816,0.0261814,0.00872714,0.0261814,0.00872714,0.0261814,0.00872714,0.0261814,0.00872714
11,1186.55,1.36304,1.26256,0.00451,0.71737,0.64013,0.71509,0.45606,1.21717,1.17189,0.00797,0.0257571,0.00858571,0.0257571,0.00858571,0.0257571,0.00858571,0.0257571,0.00858571
12,1289.06,1.35147,1.24337,0.00441,0.70166,0.61745,0.69264,0.43723,1.25742,1.22523,0.00782,0.0253329,0.00844429,0.0253329,0.00844429,0.0253329,0.00844429,0.0253329,0.00844429
13,1399.07,1.34419,1.22244,0.00448,0.70882,0.63841,0.71126,0.45691,1.20259,1.1512,0.00771,0.0249086,0.00830286,0.0249086,0.00830286,0.0249086,0.00830286,0.0249086,0.00830286
14,1509.18,1.32383,1.18695,0.00436,0.72743,0.66237,0.74106,0.48389,1.18517,1.07093,0.0075,0.0244843,0.00816143,0.0244843,0.00816143,0.0244843,0.00816143,0.0244843,0.00816143
15,1614.08,1.31909,1.16396,0.00431,0.73883,0.64101,0.72785,0.47037,1.18047,1.09825,0.00746,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802
16,1721.55,1.30805,1.15512,0.00427,0.72727,0.65287,0.72813,0.47141,1.18521,1.114,0.00712,0.0236357,0.00787857,0.0236357,0.00787857,0.0236357,0.00787857,0.0236357,0.00787857
17,1831.84,1.29936,1.12887,0.00423,0.75161,0.66476,0.75299,0.49368,1.16802,1.03724,0.00732,0.0232114,0.00773714,0.0232114,0.00773714,0.0232114,0.00773714,0.0232114,0.00773714
18,1941.97,1.28954,1.1181,0.00422,0.75487,0.67106,0.75131,0.49097,1.17543,1.05315,0.00702,0.0227871,0.00759571,0.0227871,0.00759571,0.0227871,0.00759571,0.0227871,0.00759571
19,2050.54,1.28036,1.08701,0.00413,0.74824,0.67719,0.76401,0.50304,1.15654,1.02091,0.00725,0.0223629,0.00745429,0.0223629,0.00745429,0.0223629,0.00745429,0.0223629,0.00745429
20,2157.58,1.27188,1.07612,0.00406,0.75321,0.68079,0.76116,0.50377,1.14458,1.01075,0.0068,0.0219386,0.00731286,0.0219386,0.00731286,0.0219386,0.00731286,0.0219386,0.00731286
21,2267.32,1.25994,1.06116,0.00404,0.75907,0.67819,0.76544,0.50559,1.13821,1.00454,0.00684,0.0215143,0.00717143,0.0215143,0.00717143,0.0215143,0.00717143,0.0215143,0.00717143
22,2377.53,1.25313,1.03886,0.00401,0.77028,0.68724,0.78024,0.52038,1.12204,0.9841,0.00659,0.02109,0.00703,0.02109,0.00703,0.02109,0.00703,0.02109,0.00703
23,2493.09,1.24732,1.02131,0.00397,0.75251,0.68276,0.7604,0.49938,1.12839,1.01425,0.0064,0.0206657,0.00688857,0.0206657,0.00688857,0.0206657,0.00688857,0.0206657,0.00688857
24,2604.72,1.24537,1.00819,0.00392,0.7612,0.69781,0.77745,0.51384,1.12968,0.99679,0.00675,0.0202414,0.00674714,0.0202414,0.00674714,0.0202414,0.00674714,0.0202414,0.00674714
25,2716.15,1.23704,0.99969,0.00396,0.76948,0.6959,0.77614,0.51365,1.12851,0.99661,0.00678,0.0198171,0.00660571,0.0198171,0.00660571,0.0198171,0.00660571,0.0198171,0.00660571
26,2827.5,1.22691,0.97029,0.00396,0.77967,0.69333,0.7835,0.52193,1.11555,0.96642,0.00663,0.0193929,0.00646429,0.0193929,0.00646429,0.0193929,0.00646429,0.0193929,0.00646429
27,2938.77,1.22145,0.97319,0.00387,0.77189,0.6946,0.77515,0.51782,1.11425,0.97896,0.00648,0.0189686,0.00632286,0.0189686,0.00632286,0.0189686,0.00632286,0.0189686,0.00632286
28,3050.39,1.21424,0.95257,0.00386,0.78039,0.69054,0.7826,0.52137,1.11974,0.95265,0.00653,0.0185443,0.00618143,0.0185443,0.00618143,0.0185443,0.00618143,0.0185443,0.00618143
29,3161.72,1.20264,0.93543,0.00384,0.77842,0.69361,0.78111,0.52,1.11901,0.96652,0.00658,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604
30,3272.93,1.20211,0.92723,0.00378,0.78212,0.69685,0.78319,0.52074,1.11114,0.95541,0.00646,0.0176957,0.00589857,0.0176957,0.00589857,0.0176957,0.00589857,0.0176957,0.00589857
31,3379.56,1.19147,0.91505,0.00368,0.78109,0.70714,0.78743,0.52862,1.10528,0.95857,0.0065,0.0172714,0.00575714,0.0172714,0.00575714,0.0172714,0.00575714,0.0172714,0.00575714
32,3490.69,1.19094,0.89343,0.0037,0.78102,0.70162,0.78354,0.52253,1.10436,0.97835,0.00638,0.0168471,0.00561571,0.0168471,0.00561571,0.0168471,0.00561571,0.0168471,0.00561571
33,3602.39,1.18069,0.88626,0.00367,0.7819,0.70922,0.79109,0.53237,1.10346,0.92991,0.00642,0.0164229,0.00547429,0.0164229,0.00547429,0.0164229,0.00547429,0.0164229,0.00547429
34,3713.89,1.17225,0.86237,0.00362,0.77858,0.70584,0.79007,0.53262,1.09799,0.94088,0.00633,0.0159986,0.00533286,0.0159986,0.00533286,0.0159986,0.00533286,0.0159986,0.00533286
35,3816.97,1.16362,0.85482,0.00361,0.79708,0.71539,0.79972,0.54004,1.09518,0.91888,0.00631,0.0155743,0.00519143,0.0155743,0.00519143,0.0155743,0.00519143,0.0155743,0.00519143
36,3922.4,1.16019,0.84048,0.00362,0.7864,0.71965,0.79839,0.53841,1.09929,0.92071,0.00626,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505
37,4033.64,1.15263,0.83477,0.0036,0.7874,0.71639,0.79481,0.53377,1.10899,0.93652,0.00633,0.0147257,0.00490857,0.0147257,0.00490857,0.0147257,0.00490857,0.0147257,0.00490857
38,4144.56,1.14458,0.814,0.00354,0.79811,0.71153,0.79592,0.53669,1.10484,0.93539,0.00631,0.0143014,0.00476714,0.0143014,0.00476714,0.0143014,0.00476714,0.0143014,0.00476714
39,4254.08,1.14462,0.81044,0.00355,0.80558,0.71066,0.79647,0.53713,1.09475,0.94676,0.00596,0.0138771,0.00462571,0.0138771,0.00462571,0.0138771,0.00462571,0.0138771,0.00462571
40,4365.39,1.13537,0.79595,0.00347,0.79001,0.71582,0.79561,0.53643,1.0937,0.9364,0.00609,0.0134529,0.00448429,0.0134529,0.00448429,0.0134529,0.00448429,0.0134529,0.00448429
41,4468.42,1.12434,0.78504,0.00347,0.78872,0.72508,0.80202,0.54104,1.09133,0.92984,0.00604,0.0130286,0.00434286,0.0130286,0.00434286,0.0130286,0.00434286,0.0130286,0.00434286
42,4577.12,1.1219,0.77771,0.00344,0.7954,0.72252,0.80265,0.54097,1.09121,0.93232,0.00599,0.0126043,0.00420143,0.0126043,0.00420143,0.0126043,0.00420143,0.0126043,0.00420143
43,4688.05,1.11351,0.75732,0.00339,0.80208,0.72789,0.80537,0.54544,1.08338,0.92605,0.00609,0.01218,0.00406,0.01218,0.00406,0.01218,0.00406,0.01218,0.00406
44,4798.43,1.10949,0.75409,0.00342,0.79867,0.72103,0.80208,0.54214,1.08794,0.92222,0.00602,0.0117557,0.00391857,0.0117557,0.00391857,0.0117557,0.00391857,0.0117557,0.00391857
